"Time (MJD)" PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err Palomar/ZTF.g Palomar/ZTF.g_err Palomar/ZTF.r Palomar/ZTF.r_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-8.000 -18.677 -0.014 -18.589 -0.028 -18.234 -0.039 -18.286 -0.020 -18.258 -0.252 -17.266 -1.563 12.130 2.448 0.947 0.242 43.141 43.122
-7.000 -18.819 -0.009 -18.735 -0.020 -18.385 -0.029 -18.431 -0.013 -18.323 -0.181 -17.350 -1.491 20.740 2.215 0.571 0.056 43.633 43.305
-6.000 -18.928 -0.009 -18.849 -0.014 -18.507 -0.021 -18.549 -0.011 -18.375 -0.117 -17.430 -1.414 19.898 2.179 0.623 0.063 43.637 43.321
-5.000 -19.008 -0.010 -18.934 -0.010 -18.603 -0.017 -18.642 -0.012 -18.415 -0.061 -17.509 -1.333 18.931 2.076 0.675 0.071 43.621 43.307
-4.000 -19.062 -0.011 -18.992 -0.008 -18.675 -0.015 -18.712 -0.013 -18.444 -0.022 -17.584 -1.248 18.066 1.583 0.724 0.062 43.600 43.191
-3.000 -19.093 -0.011 -19.027 -0.008 -18.725 -0.014 -18.762 -0.013 -18.464 -0.039 -17.655 -1.158 17.425 1.571 0.764 0.069 43.584 43.189
-2.000 -19.106 -0.010 -19.042 -0.009 -18.757 -0.016 -18.793 -0.012 -18.476 -0.070 -17.723 -1.065 16.470 1.369 0.819 0.071 43.546 43.120
-1.000 -19.102 -0.008 -19.042 -0.011 -18.772 -0.019 -18.808 -0.010 -18.481 -0.096 -17.787 -0.970 15.630 1.077 0.870 0.064 43.508 43.003
-0.000 -19.087 -0.007 -19.029 -0.013 -18.775 -0.023 -18.812 -0.009 -18.480 -0.114 -17.847 -0.872 14.918 0.786 0.915 0.053 43.470 42.852
1.000 -19.062 -0.006 -19.006 -0.016 -18.767 -0.027 -18.805 -0.008 -18.475 -0.126 -17.903 -0.773 14.304 0.565 0.952 0.043 43.432 42.692
2.000 -19.030 -0.005 -18.977 -0.017 -18.751 -0.031 -18.791 -0.007 -18.466 -0.132 -17.953 -0.674 13.769 0.429 0.984 0.036 43.395 42.554
3.000 -18.994 -0.005 -18.942 -0.019 -18.730 -0.034 -18.772 -0.006 -18.455 -0.132 -17.999 -0.576 13.298 0.355 1.012 0.032 43.358 42.453
4.000 -18.955 -0.005 -18.904 -0.020 -18.706 -0.036 -18.749 -0.006 -18.442 -0.128 -18.040 -0.480 12.878 0.319 1.036 0.031 43.323 42.386
5.000 -18.915 -0.006 -18.865 -0.020 -18.679 -0.038 -18.725 -0.007 -18.428 -0.120 -18.075 -0.387 12.496 0.303 1.058 0.032 43.289 42.346
6.000 -18.873 -0.006 -18.824 -0.021 -18.651 -0.039 -18.700 -0.007 -18.414 -0.109 -18.104 -0.299 12.141 0.303 1.079 0.034 43.256 42.328
7.000 -18.832 -0.006 -18.782 -0.021 -18.623 -0.038 -18.675 -0.007 -18.399 -0.097 -18.128 -0.216 11.809 0.318 1.100 0.038 43.224 42.333
8.000 -18.791 -0.007 -18.740 -0.020 -18.595 -0.037 -18.651 -0.008 -18.384 -0.083 -18.147 -0.141 11.504 0.354 1.119 0.045 43.194 42.363
9.000 -18.749 -0.008 -18.697 -0.020 -18.568 -0.035 -18.627 -0.009 -18.369 -0.069 -18.160 -0.077 11.269 0.425 1.131 0.057 43.167 42.426
10.000 -18.708 -0.009 -18.654 -0.020 -18.540 -0.032 -18.605 -0.010 -18.353 -0.056 -18.167 -0.039 11.188 0.526 1.122 0.071 43.148 42.503
11.000 -18.667 -0.010 -18.610 -0.020 -18.513 -0.028 -18.584 -0.011 -18.338 -0.045 -18.170 -0.060 10.799 0.514 1.158 0.076 43.114 42.477
12.000 -18.625 -0.011 -18.565 -0.020 -18.485 -0.026 -18.563 -0.012 -18.322 -0.035 -18.169 -0.095 10.541 0.546 1.177 0.085 43.086 42.489
13.000 -18.583 -0.012 -18.520 -0.020 -18.457 -0.026 -18.543 -0.014 -18.305 -0.029 -18.163 -0.124 10.344 0.575 1.187 0.093 43.061 42.495
14.000 -18.542 -0.012 -18.473 -0.020 -18.428 -0.029 -18.522 -0.015 -18.288 -0.025 -18.154 -0.144 10.125 0.582 1.203 0.099 43.035 42.486
15.000 -18.500 -0.013 -18.426 -0.020 -18.398 -0.035 -18.502 -0.016 -18.271 -0.024 -18.141 -0.155 9.872 0.580 1.227 0.105 43.008 42.472
16.000 -18.459 -0.014 -18.379 -0.020 -18.367 -0.045 -18.480 -0.017 -18.253 -0.025 -18.127 -0.156 9.614 0.578 1.255 0.113 42.982 42.460
17.000 -18.419 -0.014 -18.331 -0.019 -18.334 -0.055 -18.459 -0.018 -18.235 -0.025 -18.111 -0.148 9.377 0.580 1.281 0.122 42.956 42.450
18.000 -18.380 -0.014 -18.285 -0.019 -18.299 -0.068 -18.437 -0.019 -18.217 -0.025 -18.095 -0.132 9.171 0.585 1.304 0.130 42.933 42.443
19.000 -18.343 -0.015 -18.240 -0.018 -18.264 -0.080 -18.414 -0.020 -18.199 -0.025 -18.078 -0.109 8.998 0.589 1.320 0.138 42.911 42.436
20.000 -18.308 -0.015 -18.197 -0.017 -18.228 -0.094 -18.391 -0.020 -18.182 -0.024 -18.062 -0.080 8.858 0.590 1.331 0.143 42.891 42.425
21.000 -18.276 -0.015 -18.156 -0.016 -18.192 -0.107 -18.369 -0.021 -18.165 -0.023 -18.047 -0.050 8.762 0.577 1.332 0.143 42.872 42.404
22.000 -18.246 -0.015 -18.118 -0.016 -18.156 -0.120 -18.346 -0.021 -18.149 -0.022 -18.034 -0.035 8.682 0.554 1.331 0.138 42.856 42.373
23.000 -18.220 -0.015 -18.083 -0.015 -18.120 -0.133 -18.325 -0.022 -18.134 -0.021 -18.023 -0.057 8.506 0.584 1.359 0.156 42.838 42.392
24.000 -18.196 -0.015 -18.051 -0.015 -18.086 -0.146 -18.305 -0.021 -18.119 -0.020 -18.014 -0.095 8.386 0.599 1.376 0.166 42.824 42.397
25.000 -18.175 -0.015 -18.022 -0.015 -18.054 -0.157 -18.286 -0.021 -18.106 -0.019 -18.007 -0.135 8.325 0.611 1.379 0.172 42.813 42.400
26.000 -18.157 -0.015 -17.996 -0.015 -18.024 -0.168 -18.268 -0.020 -18.094 -0.019 -18.003 -0.174 8.261 0.620 1.385 0.178 42.804 42.401
27.000 -18.140 -0.014 -17.972 -0.015 -17.996 -0.178 -18.253 -0.019 -18.082 -0.019 -18.001 -0.210 8.203 0.629 1.392 0.184 42.796 42.403
28.000 -18.123 -0.014 -17.951 -0.015 -17.972 -0.187 -18.239 -0.018 -18.071 -0.019 -18.001 -0.241 8.151 0.637 1.399 0.189 42.789 42.405
29.000 -18.107 -0.013 -17.930 -0.015 -17.950 -0.195 -18.228 -0.017 -18.060 -0.019 -18.002 -0.267 8.104 0.642 1.406 0.193 42.783 42.406
30.000 -18.091 -0.013 -17.910 -0.015 -17.931 -0.202 -18.218 -0.016 -18.049 -0.019 -18.005 -0.285 8.059 0.642 1.412 0.196 42.778 42.403
31.000 -18.073 -0.013 -17.890 -0.016 -17.915 -0.208 -18.209 -0.015 -18.038 -0.018 -18.009 -0.296 8.016 0.638 1.417 0.196 42.771 42.397
32.000 -18.053 -0.013 -17.870 -0.016 -17.902 -0.212 -18.201 -0.015 -18.026 -0.018 -18.013 -0.300 7.975 0.629 1.420 0.195 42.765 42.386
