"Time (MJD)" PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err Palomar/ZTF.g Palomar/ZTF.g_err Palomar/ZTF.r Palomar/ZTF.r_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-5.000 -15.514 -0.219 -15.468 -0.225 -14.520 -0.287 -14.371 -0.290 -13.349 -1.157 -12.160 -2.429 40.000 140.806 0.057 0.133 42.766 43.938
-4.000 -16.371 -0.006 -16.349 -0.051 -15.907 -0.097 -15.834 -0.013 -15.167 -0.966 -13.899 -2.130 40.000 3.726 0.108 0.007 43.331 42.928
-3.000 -16.941 -0.044 -16.925 -0.064 -16.815 -0.139 -16.809 -0.099 -16.515 -0.778 -15.282 -1.716 11.922 1.197 0.455 0.061 42.474 42.158
-2.000 -17.224 -0.021 -17.196 -0.046 -17.184 -0.110 -17.225 -0.067 -17.267 -0.544 -16.166 -1.174 9.603 0.515 0.718 0.062 42.494 41.935
-1.000 -17.311 -0.003 -17.261 -0.034 -17.185 -0.050 -17.257 -0.003 -17.574 -0.343 -16.648 -0.574 10.068 0.078 0.693 0.008 42.547 41.130
-0.000 -17.317 -0.003 -17.244 -0.028 -17.088 -0.004 -17.182 -0.045 -17.720 -0.290 -16.942 -0.036 10.962 1.230 0.597 0.092 42.564 42.300
1.000 -17.311 -0.003 -17.226 -0.027 -17.076 -0.020 -17.193 -0.042 -17.900 -0.318 -17.188 -0.322 13.744 1.343 0.448 0.054 42.707 42.369
2.000 -17.307 -0.003 -17.220 -0.026 -17.170 -0.042 -17.309 -0.003 -18.109 -0.310 -17.352 -0.430 9.330 0.146 0.784 0.019 42.521 41.416
3.000 -17.302 -0.012 -17.219 -0.016 -17.283 -0.068 -17.435 -0.050 -18.220 -0.266 -17.305 -0.300 8.431 1.180 0.922 0.236 42.486 42.365
4.000 -17.298 -0.021 -17.218 -0.003 -17.338 -0.075 -17.487 -0.073 -18.137 -0.214 -16.965 -0.013 8.696 0.449 0.846 0.076 42.464 41.902
5.000 -17.289 -0.021 -17.209 -0.009 -17.320 -0.056 -17.455 -0.059 -17.887 -0.162 -16.392 -0.321 8.351 1.295 0.914 0.260 42.462 42.387
6.000 -17.256 -0.011 -17.174 -0.008 -17.257 -0.025 -17.375 -0.025 -17.581 -0.133 -15.745 -0.612 8.335 0.886 0.908 0.175 42.453 42.212
7.000 -17.194 -0.003 -17.110 -0.003 -17.187 -0.003 -17.296 -0.003 -17.326 -0.165 -15.178 -0.817 8.393 0.540 0.878 0.095 42.436 41.962
8.000 -17.141 -0.003 -17.055 -0.007 -17.148 -0.013 -17.255 -0.003 -17.171 -0.221 -14.772 -0.917 8.140 0.322 0.923 0.063 42.426 41.746
9.000 -17.140 -0.009 -17.053 -0.013 -17.157 -0.023 -17.263 -0.013 -17.107 -0.237 -14.535 -0.885 8.420 0.917 0.860 0.163 42.423 42.185
10.000 -17.176 -0.012 -17.091 -0.012 -17.199 -0.023 -17.301 -0.018 -17.089 -0.170 -14.430 -0.703 9.071 1.667 0.761 0.230 42.446 42.425
11.000 -17.183 -0.008 -17.106 -0.003 -17.231 -0.014 -17.325 -0.011 -17.063 -0.005 -14.405 -0.495 8.942 0.600 0.772 0.083 42.433 41.970
12.000 -17.131 -0.003 -17.069 -0.014 -17.235 -0.026 -17.316 -0.003 -16.993 -0.237 -14.410 -0.692 7.663 0.308 1.042 0.077 42.426 41.765
13.000 -17.063 -0.003 -17.022 -0.027 -17.233 -0.050 -17.295 -0.003 -16.874 -0.504 -14.402 -1.201 7.305 0.161 1.116 0.047 42.402 41.490
14.000 -17.033 -0.002 -17.015 -0.037 -17.251 -0.072 -17.284 -0.006 -16.714 -0.751 -14.355 -1.717 7.191 0.184 1.138 0.061 42.392 41.563
15.000 -17.025 -0.002 -17.030 -0.046 -17.277 -0.089 -17.278 -0.006 -16.534 -0.944 -14.276 -2.128 7.167 0.158 1.141 0.053 42.389 41.496
16.000 -16.985 -0.003 -17.014 -0.052 -17.290 -0.101 -17.264 -0.003 -16.369 -1.072 -14.202 -2.402 6.988 0.090 1.185 0.030 42.377 41.236
17.000 -16.919 -0.004 -16.969 -0.055 -17.309 -0.108 -17.264 -0.003 -16.265 -1.142 -14.174 -2.553 6.603 0.094 1.307 0.037 42.364 41.271
18.000 -16.887 -0.003 -16.953 -0.056 -17.356 -0.110 -17.300 -0.004 -16.227 -1.166 -14.189 -2.605 6.252 0.093 1.467 0.050 42.370 41.326
19.000 -16.877 -0.003 -16.954 -0.056 -17.375 -0.109 -17.307 -0.003 -16.176 -1.149 -14.183 -2.574 6.168 0.082 1.510 0.044 42.372 41.270
20.000 -16.751 -0.011 -16.829 -0.055 -17.224 -0.103 -17.149 -0.004 -16.003 -1.089 -14.094 -2.456 6.357 0.227 1.327 0.091 42.312 41.607
21.000 -16.376 -0.050 -16.453 -0.066 -16.838 -0.096 -16.768 -0.027 -15.709 -0.974 -13.973 -2.232 6.706 0.850 0.999 0.245 42.158 42.006
22.000 -15.842 -0.130 -15.920 -0.128 -16.384 -0.108 -16.337 -0.082 -15.488 -0.799 -14.006 -1.894 7.132 1.544 0.704 0.285 41.961 42.034
23.000 -15.469 -0.222 -15.551 -0.212 -16.188 -0.137 -16.178 -0.131 -15.612 -0.574 -14.402 -1.475 6.678 1.510 0.708 0.314 41.852 41.954
24.000 -15.551 -0.256 -15.641 -0.242 -16.466 -0.115 -16.493 -0.115 -16.190 -0.309 -15.202 -1.058 5.658 1.018 1.138 0.449 41.976 42.004
25.000 -16.086 -0.173 -16.178 -0.161 -17.098 -0.009 -17.147 -0.031 -17.021 -0.017 -16.195 -0.775 7.269 1.098 1.020 0.251 42.316 42.208
26.000 -16.748 -0.014 -16.834 -0.037 -17.689 -0.139 -17.739 -0.152 -17.702 -0.250 -17.027 -0.679 6.916 2.473 1.092 0.867 42.288 42.618
27.000 -17.150 -0.205 -17.219 -0.208 -17.873 -0.224 -17.911 -0.234 -17.912 -0.405 -17.420 -0.598 5.702 0.515 2.154 0.460 42.544 42.292
28.000 -17.130 -0.283 -17.180 -0.278 -17.592 -0.172 -17.613 -0.179 -17.637 -0.413 -17.344 -0.371 6.307 0.462 1.629 0.235 42.476 42.089
29.000 -16.828 -0.194 -16.865 -0.188 -17.107 -0.008 -17.117 -0.061 -17.151 -0.359 -17.004 -0.019 6.426 0.560 1.275 0.199 42.295 41.965
30.000 -16.521 -0.006 -16.556 -0.034 -16.776 -0.151 -16.782 -0.171 -16.806 -0.338 -16.680 -0.337 6.403 0.309 1.170 0.135 42.214 41.693
31.000 -16.395 -0.186 -16.441 -0.180 -16.786 -0.171 -16.799 -0.180 -16.791 -0.250 -16.560 -0.582 6.610 0.243 1.036 0.076 42.164 41.482
32.000 -16.446 -0.250 -16.510 -0.232 -17.066 -0.009 -17.091 -0.031 -17.055 -0.012 -16.655 -0.695 7.530 0.322 0.959 0.063 42.323 41.657
33.000 -16.545 -0.186 -16.626 -0.169 -17.386 -0.255 -17.427 -0.281 -17.391 -0.307 -16.851 -0.707 5.429 0.470 1.858 0.409 42.330 42.079
34.000 -16.577 -0.075 -16.665 -0.082 -17.548 -0.473 -17.602 -0.510 -17.602 -0.556 -17.012 -0.605 5.552 0.542 1.749 0.462 42.316 42.134
35.000 -16.521 -0.005 -16.608 -0.048 -17.500 -0.530 -17.559 -0.571 -17.612 -0.631 -17.060 -0.358 5.541 0.428 1.697 0.362 42.287 42.009
36.000 -16.435 -0.046 -16.514 -0.004 -17.325 -0.413 -17.384 -0.449 -17.475 -0.538 -16.996 -0.011 6.197 0.028 1.240 0.013 42.209 40.645
37.000 -16.385 -0.082 -16.453 -0.053 -17.153 -0.201 -17.204 -0.225 -17.295 -0.371 -16.858 -0.316 5.594 0.403 1.568 0.298 42.235 41.913
