"Time (MJD)" PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err Palomar/ZTF.g Palomar/ZTF.g_err Palomar/ZTF.r Palomar/ZTF.r_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-50.000 -15.582 -0.069 -15.629 -0.065 -16.130 -0.049 -16.168 -0.049 -16.285 -0.052 -16.293 -0.071 5.664 0.076 1.046 0.030 41.904 40.801
-49.000 -15.671 -0.065 -15.717 -0.061 -16.207 -0.045 -16.243 -0.045 -16.348 -0.049 -16.347 -0.067 5.742 0.088 1.052 0.034 41.933 40.881
-48.000 -15.759 -0.062 -15.804 -0.057 -16.282 -0.042 -16.316 -0.042 -16.410 -0.045 -16.399 -0.063 5.820 0.100 1.058 0.038 41.961 40.955
-47.000 -15.845 -0.058 -15.890 -0.054 -16.356 -0.039 -16.389 -0.039 -16.471 -0.042 -16.452 -0.060 5.899 0.112 1.064 0.041 41.990 41.025
-46.000 -15.929 -0.055 -15.974 -0.051 -16.429 -0.036 -16.459 -0.036 -16.531 -0.039 -16.503 -0.056 5.978 0.124 1.070 0.045 42.018 41.090
-45.000 -16.012 -0.052 -16.056 -0.048 -16.500 -0.033 -16.529 -0.033 -16.590 -0.036 -16.554 -0.053 6.057 0.137 1.077 0.049 42.046 41.153
-44.000 -16.094 -0.049 -16.137 -0.045 -16.570 -0.031 -16.597 -0.031 -16.648 -0.034 -16.603 -0.051 6.136 0.150 1.083 0.052 42.074 41.212
-43.000 -16.173 -0.046 -16.216 -0.043 -16.639 -0.029 -16.664 -0.029 -16.704 -0.031 -16.652 -0.048 6.215 0.164 1.090 0.056 42.101 41.269
-42.000 -16.251 -0.044 -16.294 -0.040 -16.706 -0.026 -16.729 -0.027 -16.760 -0.029 -16.701 -0.046 6.294 0.178 1.096 0.059 42.128 41.323
-41.000 -16.327 -0.041 -16.369 -0.038 -16.771 -0.025 -16.793 -0.025 -16.814 -0.027 -16.748 -0.043 6.372 0.191 1.103 0.063 42.155 41.374
-40.000 -16.401 -0.039 -16.443 -0.036 -16.835 -0.023 -16.856 -0.023 -16.868 -0.025 -16.794 -0.042 6.449 0.205 1.110 0.066 42.182 41.424
-39.000 -16.474 -0.037 -16.515 -0.033 -16.898 -0.021 -16.917 -0.021 -16.920 -0.024 -16.840 -0.040 6.525 0.219 1.118 0.070 42.208 41.471
-38.000 -16.544 -0.035 -16.585 -0.032 -16.959 -0.020 -16.976 -0.020 -16.971 -0.022 -16.885 -0.038 6.599 0.233 1.126 0.073 42.233 41.516
-37.000 -16.613 -0.033 -16.654 -0.030 -17.018 -0.018 -17.034 -0.018 -17.021 -0.021 -16.929 -0.037 6.672 0.247 1.134 0.076 42.259 41.559
-36.000 -16.680 -0.031 -16.721 -0.028 -17.076 -0.017 -17.091 -0.017 -17.070 -0.020 -16.972 -0.035 6.742 0.260 1.142 0.079 42.283 41.600
-35.000 -16.746 -0.030 -16.785 -0.026 -17.133 -0.016 -17.146 -0.016 -17.117 -0.019 -17.014 -0.034 6.810 0.272 1.151 0.082 42.307 41.639
-34.000 -16.809 -0.028 -16.848 -0.025 -17.187 -0.015 -17.199 -0.015 -17.163 -0.018 -17.055 -0.033 6.876 0.284 1.160 0.085 42.331 41.676
-33.000 -16.870 -0.027 -16.909 -0.023 -17.241 -0.014 -17.251 -0.014 -17.209 -0.017 -17.095 -0.032 6.939 0.296 1.169 0.088 42.354 41.710
-32.000 -16.930 -0.025 -16.969 -0.022 -17.292 -0.014 -17.302 -0.014 -17.252 -0.016 -17.134 -0.031 6.999 0.306 1.179 0.090 42.376 41.743
-31.000 -16.987 -0.024 -17.026 -0.021 -17.342 -0.013 -17.351 -0.013 -17.295 -0.016 -17.173 -0.031 7.057 0.316 1.189 0.093 42.398 41.773
-30.000 -17.043 -0.023 -17.081 -0.020 -17.391 -0.012 -17.398 -0.013 -17.337 -0.015 -17.210 -0.030 7.111 0.325 1.200 0.095 42.419 41.802
-29.000 -17.097 -0.022 -17.135 -0.019 -17.438 -0.012 -17.444 -0.012 -17.377 -0.015 -17.246 -0.029 7.164 0.333 1.210 0.097 42.439 41.829
-28.000 -17.149 -0.021 -17.186 -0.018 -17.483 -0.012 -17.489 -0.012 -17.416 -0.014 -17.282 -0.029 7.213 0.340 1.221 0.099 42.459 41.855
-27.000 -17.199 -0.020 -17.236 -0.017 -17.527 -0.011 -17.531 -0.012 -17.454 -0.014 -17.316 -0.028 7.261 0.347 1.231 0.101 42.477 41.879
-26.000 -17.247 -0.019 -17.284 -0.016 -17.569 -0.011 -17.573 -0.012 -17.490 -0.014 -17.350 -0.028 7.307 0.354 1.242 0.103 42.496 41.902
-25.000 -17.293 -0.019 -17.330 -0.016 -17.609 -0.011 -17.612 -0.011 -17.526 -0.014 -17.382 -0.027 7.351 0.360 1.252 0.104 42.513 41.924
-24.000 -17.337 -0.018 -17.374 -0.015 -17.648 -0.011 -17.651 -0.011 -17.560 -0.014 -17.414 -0.027 7.394 0.366 1.262 0.106 42.530 41.945
-23.000 -17.379 -0.018 -17.416 -0.015 -17.686 -0.011 -17.687 -0.011 -17.593 -0.013 -17.445 -0.026 7.436 0.372 1.271 0.108 42.547 41.965
-22.000 -17.420 -0.017 -17.456 -0.014 -17.722 -0.010 -17.723 -0.011 -17.624 -0.013 -17.474 -0.026 7.477 0.378 1.280 0.109 42.562 41.985
-21.000 -17.458 -0.017 -17.494 -0.014 -17.756 -0.010 -17.756 -0.011 -17.655 -0.013 -17.503 -0.025 7.517 0.385 1.289 0.111 42.577 42.005
-20.000 -17.495 -0.017 -17.531 -0.014 -17.789 -0.010 -17.789 -0.011 -17.684 -0.013 -17.531 -0.025 7.555 0.391 1.297 0.113 42.592 42.024
-19.000 -17.529 -0.017 -17.565 -0.014 -17.820 -0.010 -17.819 -0.011 -17.712 -0.013 -17.558 -0.024 7.592 0.398 1.305 0.114 42.606 42.042
-18.000 -17.562 -0.017 -17.598 -0.014 -17.850 -0.010 -17.849 -0.011 -17.739 -0.013 -17.584 -0.024 7.627 0.405 1.313 0.116 42.619 42.060
-17.000 -17.593 -0.017 -17.629 -0.014 -17.878 -0.010 -17.877 -0.011 -17.765 -0.013 -17.609 -0.024 7.660 0.412 1.321 0.117 42.632 42.077
-16.000 -17.622 -0.017 -17.658 -0.014 -17.905 -0.010 -17.903 -0.011 -17.790 -0.013 -17.633 -0.023 7.690 0.419 1.329 0.119 42.644 42.094
-15.000 -17.650 -0.017 -17.685 -0.014 -17.930 -0.010 -17.928 -0.011 -17.813 -0.013 -17.656 -0.023 7.718 0.425 1.337 0.121 42.655 42.109
-14.000 -17.675 -0.017 -17.710 -0.014 -17.954 -0.010 -17.952 -0.011 -17.835 -0.013 -17.678 -0.023 7.741 0.431 1.345 0.122 42.666 42.124
-13.000 -17.699 -0.017 -17.734 -0.014 -17.977 -0.010 -17.974 -0.011 -17.857 -0.013 -17.699 -0.023 7.761 0.436 1.354 0.124 42.676 42.137
-12.000 -17.721 -0.017 -17.756 -0.014 -17.998 -0.010 -17.995 -0.011 -17.877 -0.012 -17.719 -0.023 7.776 0.440 1.363 0.125 42.685 42.149
-11.000 -17.741 -0.017 -17.776 -0.015 -18.017 -0.010 -18.014 -0.011 -17.896 -0.012 -17.738 -0.023 7.787 0.444 1.372 0.126 42.693 42.160
