"Time (MJD)" PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err Palomar/ZTF.g Palomar/ZTF.g_err Palomar/ZTF.r Palomar/ZTF.r_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-6.000 -17.025 -0.012 -17.014 -0.012 -16.863 -0.019 -16.846 -0.015 -16.672 -0.018 -16.263 -0.305 11.099 0.540 0.517 0.033 42.461 41.829
-5.000 -17.211 -0.008 -17.205 -0.011 -17.120 -0.015 -17.109 -0.009 -16.969 -0.034 -16.581 -0.292 10.807 0.093 0.593 0.007 42.534 41.153
-4.000 -17.349 -0.007 -17.347 -0.012 -17.312 -0.015 -17.307 -0.008 -17.200 -0.060 -16.845 -0.288 9.896 0.069 0.725 0.007 42.555 41.095
-3.000 -17.441 -0.007 -17.443 -0.013 -17.447 -0.015 -17.445 -0.008 -17.369 -0.080 -17.055 -0.286 9.320 0.052 0.835 0.007 42.574 41.029
-2.000 -17.495 -0.006 -17.499 -0.012 -17.530 -0.015 -17.531 -0.007 -17.481 -0.093 -17.216 -0.279 8.956 0.039 0.918 0.006 42.587 40.937
-1.000 -17.518 -0.006 -17.524 -0.012 -17.573 -0.014 -17.575 -0.006 -17.545 -0.100 -17.330 -0.263 8.734 0.030 0.970 0.006 42.591 40.846
-0.000 -17.517 -0.005 -17.525 -0.011 -17.584 -0.014 -17.587 -0.006 -17.571 -0.100 -17.403 -0.236 8.606 0.026 0.995 0.005 42.588 40.782
1.000 -17.500 -0.006 -17.511 -0.011 -17.576 -0.012 -17.577 -0.006 -17.568 -0.096 -17.442 -0.196 8.537 0.024 1.003 0.005 42.580 40.749
2.000 -17.475 -0.006 -17.487 -0.011 -17.556 -0.011 -17.556 -0.006 -17.545 -0.088 -17.452 -0.145 8.497 0.024 1.000 0.005 42.570 40.740
3.000 -17.446 -0.006 -17.461 -0.010 -17.534 -0.010 -17.531 -0.007 -17.511 -0.081 -17.439 -0.083 8.459 0.029 0.995 0.006 42.558 40.814
4.000 -17.419 -0.006 -17.436 -0.010 -17.513 -0.009 -17.508 -0.007 -17.470 -0.079 -17.408 -0.018 8.342 0.070 1.008 0.014 42.545 41.183
5.000 -17.394 -0.007 -17.414 -0.011 -17.498 -0.010 -17.490 -0.007 -17.427 -0.087 -17.361 -0.069 8.348 0.029 0.996 0.006 42.536 40.793
6.000 -17.371 -0.008 -17.394 -0.012 -17.490 -0.012 -17.478 -0.008 -17.385 -0.104 -17.304 -0.152 8.261 0.049 1.006 0.010 42.526 41.013
7.000 -17.350 -0.011 -17.377 -0.015 -17.486 -0.015 -17.471 -0.008 -17.346 -0.127 -17.237 -0.236 8.146 0.071 1.024 0.015 42.517 41.176
8.000 -17.329 -0.015 -17.359 -0.018 -17.486 -0.018 -17.469 -0.009 -17.308 -0.154 -17.165 -0.320 8.003 0.096 1.050 0.021 42.508 41.305
9.000 -17.305 -0.019 -17.338 -0.021 -17.487 -0.021 -17.467 -0.011 -17.273 -0.180 -17.089 -0.401 7.832 0.123 1.085 0.029 42.499 41.414
10.000 -17.276 -0.023 -17.312 -0.025 -17.485 -0.024 -17.464 -0.014 -17.239 -0.206 -17.012 -0.476 7.639 0.150 1.126 0.038 42.488 41.505
11.000 -17.240 -0.027 -17.280 -0.028 -17.479 -0.027 -17.457 -0.017 -17.208 -0.228 -16.938 -0.543 7.432 0.174 1.173 0.049 42.476 41.574
12.000 -17.198 -0.030 -17.241 -0.030 -17.468 -0.029 -17.447 -0.020 -17.181 -0.247 -16.870 -0.601 7.215 0.191 1.225 0.060 42.462 41.620
13.000 -17.149 -0.031 -17.194 -0.031 -17.452 -0.031 -17.432 -0.023 -17.158 -0.261 -16.812 -0.649 6.994 0.198 1.282 0.069 42.448 41.643
14.000 -17.095 -0.032 -17.142 -0.031 -17.431 -0.031 -17.415 -0.025 -17.143 -0.271 -16.769 -0.686 6.773 0.195 1.344 0.077 42.432 41.642
15.000 -17.037 -0.031 -17.086 -0.029 -17.407 -0.031 -17.395 -0.026 -17.136 -0.276 -16.742 -0.712 6.553 0.181 1.412 0.080 42.418 41.619
16.000 -16.978 -0.029 -17.028 -0.027 -17.383 -0.030 -17.376 -0.026 -17.141 -0.277 -16.734 -0.726 6.339 0.159 1.486 0.080 42.405 41.573
17.000 -16.920 -0.025 -16.971 -0.023 -17.358 -0.027 -17.359 -0.025 -17.157 -0.273 -16.747 -0.730 6.134 0.132 1.568 0.075 42.394 41.505
18.000 -16.865 -0.022 -16.916 -0.019 -17.336 -0.024 -17.344 -0.023 -17.184 -0.265 -16.780 -0.724 5.942 0.103 1.656 0.067 42.386 41.414
19.000 -16.814 -0.018 -16.865 -0.015 -17.317 -0.020 -17.333 -0.020 -17.223 -0.254 -16.830 -0.708 5.766 0.077 1.748 0.056 42.381 41.301
20.000 -16.768 -0.016 -16.818 -0.012 -17.300 -0.016 -17.325 -0.017 -17.270 -0.241 -16.895 -0.683 5.607 0.055 1.842 0.044 42.378 41.170
21.000 -16.725 -0.014 -16.774 -0.011 -17.286 -0.013 -17.319 -0.014 -17.323 -0.225 -16.969 -0.651 5.466 0.039 1.936 0.034 42.377 41.032
22.000 -16.685 -0.013 -16.733 -0.011 -17.272 -0.011 -17.314 -0.012 -17.377 -0.208 -17.047 -0.610 5.343 0.029 2.026 0.028 42.377 40.918
23.000 -16.647 -0.013 -16.694 -0.012 -17.259 -0.010 -17.309 -0.010 -17.429 -0.190 -17.123 -0.563 5.233 0.025 2.111 0.026 42.377 40.871
24.000 -16.609 -0.013 -16.655 -0.013 -17.243 -0.010 -17.301 -0.009 -17.475 -0.171 -17.189 -0.510 5.135 0.027 2.192 0.029 42.377 40.903
25.000 -16.570 -0.013 -16.616 -0.013 -17.225 -0.011 -17.290 -0.009 -17.510 -0.153 -17.242 -0.452 5.047 0.030 2.267 0.035 42.376 40.966
26.000 -16.530 -0.013 -16.575 -0.013 -17.205 -0.011 -17.276 -0.008 -17.534 -0.134 -17.276 -0.390 4.968 0.034 2.334 0.042 42.374 41.029
27.000 -16.489 -0.014 -16.534 -0.014 -17.182 -0.011 -17.258 -0.008 -17.544 -0.117 -17.289 -0.324 4.897 0.039 2.394 0.049 42.371 41.083
28.000 -16.448 -0.014 -16.493 -0.014 -17.159 -0.011 -17.238 -0.007 -17.541 -0.102 -17.280 -0.257 4.833 0.043 2.446 0.057 42.367 41.137
29.000 -16.407 -0.014 -16.453 -0.014 -17.135 -0.010 -17.217 -0.006 -17.525 -0.090 -17.249 -0.190 4.779 0.051 2.488 0.069 42.362 41.209
30.000 -16.368 -0.014 -16.415 -0.015 -17.114 -0.010 -17.197 -0.007 -17.499 -0.083 -17.200 -0.125 4.742 0.072 2.509 0.100 42.356 41.355
31.000 -16.334 -0.015 -16.382 -0.015 -17.096 -0.011 -17.179 -0.008 -17.464 -0.080 -17.135 -0.065 4.768 0.143 2.441 0.194 42.341 41.641
32.000 -16.304 -0.015 -16.355 -0.016 -17.083 -0.012 -17.164 -0.010 -17.425 -0.080 -17.059 -0.022 5.208 0.358 1.896 0.316 42.275 41.910
33.000 -16.281 -0.016 -16.334 -0.017 -17.075 -0.013 -17.154 -0.011 -17.382 -0.082 -16.978 -0.048 4.908 0.280 2.206 0.331 42.304 41.880
