"Time (MJD)" PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err Palomar/ZTF.g Palomar/ZTF.g_err Palomar/ZTF.r Palomar/ZTF.r_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-9.000 -16.900 -0.090 -16.889 -0.089 -16.573 -0.099 -16.510 -0.101 -16.022 -0.164 -15.440 -0.352 22.127 7.887 0.221 0.067 42.922 43.112
-8.000 -17.452 -0.053 -17.444 -0.052 -17.164 -0.063 -17.105 -0.064 -16.638 -0.136 -16.061 -0.328 23.511 6.604 0.275 0.065 43.217 43.303
-7.000 -17.851 -0.033 -17.845 -0.032 -17.608 -0.042 -17.555 -0.042 -17.121 -0.123 -16.572 -0.310 17.562 2.619 0.437 0.065 43.111 42.935
-6.000 -18.110 -0.025 -18.107 -0.024 -17.914 -0.031 -17.868 -0.032 -17.480 -0.116 -16.977 -0.290 14.605 1.314 0.604 0.060 43.072 42.687
-5.000 -18.251 -0.023 -18.251 -0.023 -18.103 -0.025 -18.065 -0.026 -17.731 -0.107 -17.285 -0.264 12.802 0.786 0.759 0.056 43.042 42.499
-4.000 -18.303 -0.024 -18.305 -0.023 -18.202 -0.022 -18.171 -0.023 -17.896 -0.096 -17.513 -0.233 11.544 0.513 0.894 0.051 43.005 42.330
-3.000 -18.296 -0.023 -18.299 -0.023 -18.238 -0.021 -18.215 -0.021 -17.997 -0.083 -17.679 -0.196 10.617 0.342 1.007 0.044 42.963 42.156
-2.000 -18.256 -0.022 -18.261 -0.022 -18.238 -0.020 -18.222 -0.020 -18.057 -0.068 -17.800 -0.155 9.916 0.222 1.100 0.035 42.921 41.963
-1.000 -18.207 -0.021 -18.213 -0.020 -18.223 -0.019 -18.213 -0.019 -18.094 -0.053 -17.890 -0.115 9.376 0.134 1.178 0.025 42.883 41.738
-0.000 -18.162 -0.020 -18.169 -0.019 -18.207 -0.018 -18.202 -0.018 -18.121 -0.041 -17.959 -0.080 8.956 0.073 1.248 0.016 42.854 41.467
1.000 -18.129 -0.021 -18.137 -0.019 -18.197 -0.019 -18.197 -0.019 -18.144 -0.037 -18.014 -0.062 8.624 0.043 1.314 0.010 42.833 41.240
2.000 -18.110 -0.023 -18.119 -0.022 -18.196 -0.022 -18.198 -0.023 -18.166 -0.043 -18.055 -0.072 8.378 0.050 1.373 0.013 42.820 41.306
3.000 -18.099 -0.028 -18.108 -0.027 -18.200 -0.028 -18.204 -0.029 -18.185 -0.054 -18.084 -0.095 8.208 0.058 1.419 0.017 42.814 41.379
4.000 -18.090 -0.035 -18.100 -0.033 -18.203 -0.036 -18.209 -0.038 -18.196 -0.067 -18.097 -0.118 8.094 0.058 1.452 0.018 42.809 41.388
5.000 -18.076 -0.042 -18.087 -0.041 -18.201 -0.044 -18.208 -0.046 -18.198 -0.077 -18.096 -0.137 7.986 0.054 1.480 0.017 42.803 41.359
6.000 -18.052 -0.050 -18.064 -0.048 -18.188 -0.050 -18.196 -0.052 -18.189 -0.085 -18.080 -0.148 7.894 0.052 1.498 0.017 42.793 41.336
7.000 -18.014 -0.058 -18.027 -0.055 -18.164 -0.054 -18.173 -0.056 -18.168 -0.087 -18.053 -0.151 7.795 0.056 1.510 0.019 42.778 41.355
8.000 -17.962 -0.063 -17.976 -0.061 -18.129 -0.055 -18.139 -0.057 -18.138 -0.086 -18.019 -0.148 7.677 0.064 1.521 0.022 42.758 41.402
9.000 -17.899 -0.066 -17.915 -0.063 -18.085 -0.053 -18.097 -0.055 -18.104 -0.080 -17.983 -0.140 7.530 0.073 1.537 0.026 42.733 41.446
10.000 -17.828 -0.067 -17.845 -0.063 -18.037 -0.049 -18.052 -0.050 -18.069 -0.071 -17.950 -0.127 7.356 0.081 1.562 0.030 42.707 41.472
11.000 -17.754 -0.064 -17.773 -0.061 -17.990 -0.042 -18.007 -0.043 -18.039 -0.061 -17.923 -0.112 7.157 0.085 1.601 0.034 42.680 41.482
12.000 -17.682 -0.059 -17.703 -0.055 -17.946 -0.036 -17.967 -0.036 -18.015 -0.050 -17.907 -0.096 6.946 0.087 1.653 0.037 42.656 41.484
13.000 -17.614 -0.052 -17.637 -0.049 -17.909 -0.031 -17.933 -0.030 -17.999 -0.042 -17.899 -0.080 6.735 0.088 1.716 0.041 42.635 41.486
14.000 -17.552 -0.046 -17.577 -0.043 -17.879 -0.028 -17.907 -0.028 -17.990 -0.036 -17.898 -0.065 6.542 0.089 1.785 0.046 42.619 41.490
15.000 -17.498 -0.040 -17.525 -0.038 -17.856 -0.029 -17.887 -0.029 -17.986 -0.035 -17.901 -0.055 6.374 0.088 1.853 0.050 42.606 41.493
16.000 -17.450 -0.037 -17.479 -0.035 -17.838 -0.030 -17.872 -0.030 -17.984 -0.037 -17.903 -0.056 6.221 0.084 1.923 0.053 42.596 41.484
17.000 -17.407 -0.036 -17.438 -0.034 -17.823 -0.030 -17.860 -0.030 -17.982 -0.041 -17.900 -0.070 6.080 0.077 1.997 0.054 42.589 41.458
18.000 -17.368 -0.035 -17.401 -0.034 -17.809 -0.028 -17.848 -0.029 -17.976 -0.048 -17.889 -0.092 5.961 0.071 2.063 0.053 42.583 41.429
19.000 -17.332 -0.036 -17.367 -0.034 -17.795 -0.026 -17.835 -0.027 -17.965 -0.056 -17.868 -0.118 5.863 0.068 2.118 0.054 42.577 41.414
20.000 -17.297 -0.036 -17.334 -0.034 -17.780 -0.024 -17.821 -0.025 -17.948 -0.066 -17.838 -0.144 5.780 0.069 2.164 0.057 42.571 41.423
21.000 -17.262 -0.036 -17.300 -0.034 -17.763 -0.022 -17.804 -0.024 -17.927 -0.074 -17.799 -0.166 5.709 0.074 2.202 0.064 42.565 41.457
22.000 -17.226 -0.037 -17.266 -0.035 -17.745 -0.023 -17.786 -0.025 -17.903 -0.080 -17.756 -0.183 5.647 0.084 2.232 0.075 42.557 41.512
23.000 -17.189 -0.038 -17.231 -0.036 -17.725 -0.024 -17.768 -0.026 -17.877 -0.083 -17.710 -0.192 5.592 0.098 2.256 0.091 42.550 41.579
24.000 -17.151 -0.039 -17.195 -0.037 -17.706 -0.026 -17.748 -0.027 -17.852 -0.082 -17.667 -0.193 5.538 0.115 2.279 0.110 42.542 41.646
25.000 -17.111 -0.040 -17.157 -0.037 -17.686 -0.027 -17.729 -0.027 -17.829 -0.076 -17.627 -0.186 5.486 0.134 2.301 0.131 42.533 41.709
26.000 -17.069 -0.040 -17.117 -0.038 -17.666 -0.028 -17.710 -0.027 -17.808 -0.065 -17.593 -0.171 5.440 0.154 2.315 0.154 42.524 41.768
27.000 -17.027 -0.041 -17.076 -0.039 -17.646 -0.031 -17.692 -0.029 -17.791 -0.052 -17.566 -0.149 5.417 0.179 2.304 0.179 42.513 41.822
28.000 -16.984 -0.045 -17.036 -0.042 -17.626 -0.036 -17.674 -0.035 -17.776 -0.040 -17.545 -0.124 5.427 0.203 2.257 0.196 42.498 41.858
29.000 -16.943 -0.052 -16.996 -0.049 -17.607 -0.044 -17.657 -0.043 -17.765 -0.036 -17.529 -0.100 5.450 0.239 2.198 0.218 42.483 41.905
30.000 -16.905 -0.065 -16.960 -0.061 -17.590 -0.054 -17.641 -0.054 -17.755 -0.045 -17.519 -0.085 5.514 0.300 2.108 0.253 42.466 41.977
31.000 -16.872 -0.082 -16.928 -0.077 -17.576 -0.063 -17.628 -0.064 -17.748 -0.059 -17.512 -0.084 5.563 0.343 2.042 0.273 42.454 42.015
32.000 -16.846 -0.102 -16.904 -0.096 -17.564 -0.070 -17.619 -0.071 -17.744 -0.072 -17.508 -0.097 5.549 0.360 2.044 0.287 42.451 42.033
33.000 -16.828 -0.125 -16.886 -0.117 -17.558 -0.075 -17.613 -0.076 -17.743 -0.082 -17.508 -0.115 5.513 0.370 2.076 0.301 42.453 42.050
34.000 -16.816 -0.148 -16.875 -0.139 -17.555 -0.077 -17.612 -0.077 -17.745 -0.087 -17.511 -0.132 5.481 0.378 2.112 0.313 42.458 42.065
35.000 -16.810 -0.169 -16.870 -0.159 -17.557 -0.075 -17.614 -0.074 -17.751 -0.088 -17.518 -0.149 5.455 0.383 2.150 0.323 42.465 42.079
36.000 -16.806 -0.188 -16.866 -0.177 -17.560 -0.070 -17.618 -0.067 -17.759 -0.085 -17.528 -0.164 5.425 0.382 2.193 0.330 42.473 42.088
37.000 -16.800 -0.203 -16.861 -0.191 -17.563 -0.065 -17.622 -0.060 -17.769 -0.083 -17.542 -0.178 5.382 0.373 2.247 0.334 42.480 42.089
38.000 -16.787 -0.214 -16.849 -0.200 -17.562 -0.061 -17.622 -0.055 -17.778 -0.083 -17.558 -0.193 5.315 0.356 2.319 0.337 42.485 42.082
39.000 -16.764 -0.219 -16.826 -0.205 -17.554 -0.060 -17.616 -0.053 -17.785 -0.087 -17.575 -0.206 5.219 0.332 2.410 0.339 42.487 42.067
40.000 -16.726 -0.220 -16.789 -0.205 -17.536 -0.063 -17.602 -0.058 -17.788 -0.092 -17.592 -0.217 5.096 0.303 2.524 0.340 42.486 42.042
41.000 -16.673 -0.215 -16.737 -0.202 -17.508 -0.069 -17.576 -0.064 -17.784 -0.096 -17.607 -0.224 4.960 0.270 2.652 0.336 42.482 42.006
42.000 -16.605 -0.207 -16.671 -0.194 -17.468 -0.075 -17.540 -0.071 -17.773 -0.096 -17.619 -0.224 4.818 0.236 2.790 0.328 42.476 41.961
43.000 -16.526 -0.196 -16.593 -0.184 -17.419 -0.080 -17.495 -0.077 -17.755 -0.091 -17.626 -0.219 4.679 0.203 2.933 0.314 42.468 41.909
44.000 -16.441 -0.184 -16.510 -0.173 -17.364 -0.083 -17.445 -0.079 -17.733 -0.081 -17.630 -0.209 4.547 0.174 3.079 0.297 42.461 41.852
45.000 -16.358 -0.170 -16.428 -0.160 -17.308 -0.084 -17.393 -0.079 -17.707 -0.067 -17.629 -0.197 4.428 0.149 3.224 0.277 42.454 41.793
46.000 -16.283 -0.156 -16.355 -0.148 -17.255 -0.082 -17.344 -0.077 -17.680 -0.054 -17.624 -0.186 4.327 0.128 3.357 0.256 42.449 41.735
47.000 -16.224 -0.143 -16.296 -0.136 -17.212 -0.080 -17.302 -0.075 -17.656 -0.047 -17.618 -0.179 4.254 0.112 3.453 0.238 42.444 41.684
48.000 -16.185 -0.131 -16.258 -0.124 -17.180 -0.076 -17.272 -0.072 -17.636 -0.047 -17.609 -0.176 4.217 0.102 3.489 0.225 42.438 41.647
49.000 -16.170 -0.120 -16.242 -0.114 -17.162 -0.072 -17.255 -0.069 -17.621 -0.052 -17.599 -0.176 4.214 0.097 3.469 0.216 42.432 41.621
50.000 -16.178 -0.111 -16.249 -0.105 -17.159 -0.067 -17.250 -0.065 -17.611 -0.056 -17.587 -0.176 4.238 0.094 3.405 0.207 42.426 41.604
51.000 -16.206 -0.104 -16.277 -0.098 -17.166 -0.063 -17.255 -0.060 -17.604 -0.057 -17.571 -0.176 4.290 0.094 3.305 0.198 42.421 41.593
52.000 -16.251 -0.102 -16.319 -0.095 -17.182 -0.057 -17.268 -0.055 -17.597 -0.056 -17.551 -0.178 4.367 0.098 3.171 0.191 42.416 41.593
53.000 -16.305 -0.104 -16.371 -0.098 -17.201 -0.052 -17.282 -0.049 -17.588 -0.059 -17.524 -0.185 4.469 0.107 3.007 0.189 42.410 41.609
54.000 -16.361 -0.114 -16.425 -0.106 -17.219 -0.046 -17.296 -0.044 -17.574 -0.070 -17.490 -0.200 4.593 0.123 2.826 0.194 42.404 41.645
