# CREATED_DATE: 2019-07-12T09:57:10.962Z
# MODIFIED_DATE: 2022-07-23T07:04:51.778Z
# STATUS: Ignore
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ia
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237651752404123790/2MASSJ1240; (12:40:20.16, +01:16:23.52)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2019lbi
# RA: 190.08800370391353
# DEC: 1.274001555214921
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-01-19T00:00:00Z
# REDSHIFT: 0.013
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2019-07-04T04:36:13Z
# NON_DETECT_LIMIT: 20.4054
# MW_EBV: 0.015
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: PS19gyy/58820/1124021111011626300_58820.642_100877979_41_target.jpeg
# POSTAGE_STAMP_REF: PS19gyy/58820/1124021111011626300_58820.642_100877979_41_ref.jpeg
# POSTAGE_STAMP_DIFF: PS19gyy/58820/1124021111011626300_58820.642_100877979_41_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: PS19gyy/58820/1124021111011626300_58820.642_100877979_41_target.fits
# POSTAGE_STAMP_REF_FITS: PS19gyy/58820/1124021111011626300_58820.642_100877979_41_ref.fits
# POSTAGE_STAMP_DIFF_FITS: PS19gyy/58820/1124021111011626300_58820.642_100877979_41_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2019lbi
# REAL_BOGUS_SCORE: None
# HAS_HST: None
# HAS_SPITZER: None
# HAS_CHANDRA: None
# TAGS: [22, 29, 30]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      58676.173  g-ZTF  14747.562  717.183  17.078  0.053  None  P48  ZTF-Cam  None
OBS:      58676.192  r-ZTF  13134.085  616.944  17.204  0.051  None  P48  ZTF-Cam  None
OBS:      58679.187  g-ZTF  15511.016  708.594  17.023  0.050  None  P48  ZTF-Cam  None
OBS:      58679.191  r-ZTF  14144.893  633.157  17.124  0.049  None  P48  ZTF-Cam  None
OBS:      58805.537  g-ZTF  1005.542  639.221  19.994  0.690  None  P48  ZTF-Cam  None
OBS:      58828.568  r-ZTF  2903.756  585.974  18.843  0.219  None  P48  ZTF-Cam  None
OBS:      58850.521  r-ZTF  2657.875  274.758  18.939  0.112  None  P48  ZTF-Cam  None
OBS:      58872.545  r-ZTF  2117.261  196.175  19.186  0.101  None  P48  ZTF-Cam  None
OBS:      58875.502  r-ZTF  2195.451  261.751  19.146  0.129  None  P48  ZTF-Cam  None
OBS:      58884.519  r-ZTF  2093.678  242.968  19.198  0.126  None  P48  ZTF-Cam  None
OBS:      58894.463  r-ZTF  1714.323  202.164  19.415  0.128  None  P48  ZTF-Cam  None
OBS:      58898.359  r-ZTF  1804.966  198.320  19.359  0.119  None  P48  ZTF-Cam  None
OBS:      58901.398  r-ZTF  1863.486  171.219  19.324  0.100  None  P48  ZTF-Cam  None
OBS:      58904.475  r-ZTF  1949.153  215.568  19.275  0.120  None  P48  ZTF-Cam  None
OBS:      58908.455  r-ZTF  1713.501  216.396  19.415  0.137  None  P48  ZTF-Cam  None
OBS:      58911.449  r-ZTF  1592.616  266.500  19.495  0.182  None  P48  ZTF-Cam  None
OBS:      58936.399  r-ZTF  1361.453  207.320  19.665  0.165  None  P48  ZTF-Cam  None
OBS:      58955.270  r-ZTF  1015.786  187.738  19.983  0.201  None  P48  ZTF-Cam  None
OBS:      58968.201  r-ZTF  1010.301  154.636  19.989  0.166  None  P48  ZTF-Cam  None
OBS:      58992.233  r-ZTF  799.651  134.970  20.243  0.183  None  P48  ZTF-Cam  None
OBS:      58995.247  r-ZTF  910.331  163.469  20.102  0.195  None  P48  ZTF-Cam  None
