# CREATED_DATE: 2020-12-02T12:50:37.354Z
# MODIFIED_DATE: 2021-12-08T18:33:44.558Z
# STATUS: NeedsTemplate
# OBS_GROUP: PSST
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: PSO J010614.016+033428.087; (01:06:14.01, +03:34:28.12)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020abjq
# RA: 16.560948343462194
# DEC: 3.573939150676456
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-01-02T00:00:00Z
# REDSHIFT: 0.018433
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-08-01T20:29:46Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.022
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10LYSEngn/59191/1010614621033426100_59191.230_110886097_10_target.jpeg
# POSTAGE_STAMP_REF: 10LYSEngn/59191/1010614621033426100_59191.230_110886097_10_ref.jpeg
# POSTAGE_STAMP_DIFF: 10LYSEngn/59191/1010614621033426100_59191.230_110886097_10_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10LYSEngn/59191/1010614621033426100_59191.230_110886097_10_target.fits
# POSTAGE_STAMP_REF_FITS: 10LYSEngn/59191/1010614621033426100_59191.230_110886097_10_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10LYSEngn/59191/1010614621033426100_59191.230_110886097_10_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: None
# SLUG: 2020abjq
# REAL_BOGUS_SCORE: 0.999989
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 30, 32, 33, 77, 88]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59185.377  orange  11967.405  507.030  17.305  0.046  None  ATLAS  HKO  None
OBS:      59187.386  UVW1  49203.954  2641.859  15.770  0.060  None  Swift  UVOT  None
OBS:      59187.388  U  48305.880  2395.351  15.790  0.050  None  Swift  UVOT  None
OBS:      59187.389  B  36307.805  2114.463  16.100  0.060  None  Swift  UVOT  None
OBS:      59187.390  UVW2  53456.436  3301.995  15.680  0.070  None  Swift  UVOT  None
OBS:      59187.393  V  31045.596  2304.766  16.270  0.080  None  Swift  UVOT  None
OBS:      59187.394  UVM2  51522.864  2766.366  15.720  0.060  None  Swift  UVOT  None
OBS:      59188.586  UVW1  28054.336  1732.912  16.380  0.070  None  Swift  UVOT  None
OBS:      59188.588  U  31332.857  1824.737  16.260  0.060  None  Swift  UVOT  None
OBS:      59188.589  B  30760.968  1791.431  16.280  0.060  None  Swift  UVOT  None
OBS:      59188.590  UVW2  29376.497  2060.080  16.330  0.080  None  Swift  UVOT  None
OBS:      59188.594  V  20892.961  1933.441  16.700  0.100  None  Swift  UVOT  None
OBS:      59188.595  UVM2  31915.379  1971.408  16.240  0.070  None  Swift  UVOT  None
OBS:      59190.445  UVW1  37325.016  2305.560  16.070  0.070  None  Swift  UVOT  None
OBS:      59190.447  U  44463.127  2589.406  15.880  0.060  None  Swift  UVOT  None
OBS:      59190.447  B  36307.805  2433.930  16.100  0.070  None  Swift  UVOT  None
OBS:      59190.448  UVW2  27039.584  1896.200  16.420  0.080  None  Swift  UVOT  None
OBS:      59190.450  V  31622.777  3216.252  16.250  0.110  None  Swift  UVOT  None
OBS:      59190.451  UVM2  31332.857  1935.425  16.260  0.070  None  Swift  UVOT  None
OBS:      59191.308  UVW1  27289.778  1685.685  16.410  0.070  None  Swift  UVOT  None
OBS:      59191.309  U  40550.854  2361.566  15.980  0.060  None  Swift  UVOT  None
OBS:      59191.310  B  34994.517  2345.893  16.140  0.070  None  Swift  UVOT  None
OBS:      59191.310  UVW2  20137.243  1412.161  16.740  0.080  None  Swift  UVOT  None
OBS:      59191.313  V  33728.731  3430.442  16.180  0.110  None  Swift  UVOT  None
OBS:      59191.313  UVM2  26546.056  1639.745  16.440  0.070  None  Swift  UVOT  None
OBS:      59193.429  UVW1  21877.616  1534.208  16.650  0.080  None  Swift  UVOT  None
OBS:      59197.815  UVW1  11587.774  812.614  17.340  0.080  None  Swift  UVOT  None
OBS:      59197.816  U  23334.581  1564.257  16.580  0.070  None  Swift  UVOT  None
OBS:      59197.817  B  27289.778  1829.398  16.410  0.070  None  Swift  UVOT  None
OBS:      59197.818  UVW2  5754.399  502.680  18.100  0.090  None  Swift  UVOT  None
OBS:      59197.820  V  33419.504  3092.651  16.190  0.100  None  Swift  UVOT  None
OBS:      59197.821  UVM2  7516.229  527.089  17.810  0.080  None  Swift  UVOT  None
OBS:      59199.538  UVW1  8790.225  691.563  17.640  0.090  None  Swift  UVOT  None
OBS:      59199.539  U  20511.622  1557.488  16.720  0.080  None  Swift  UVOT  None
OBS:      59199.540  B  26061.536  1978.904  16.460  0.080  None  Swift  UVOT  None
OBS:      59199.540  UVW2  4017.908  386.263  18.490  0.100  None  Swift  UVOT  None
OBS:      59199.543  V  34994.517  3559.181  16.140  0.110  None  Swift  UVOT  None
OBS:      59199.543  UVM2  5597.576  440.384  18.130  0.090  None  Swift  UVOT  None
OBS:      59201.196  UVW1  5970.353  626.819  18.060  0.110  None  Swift  UVOT  None
OBS:      59201.197  U  18879.913  1602.801  16.810  0.090  None  Swift  UVOT  None
OBS:      59201.197  B  28575.905  2425.938  16.360  0.090  None  Swift  UVOT  None
OBS:      59201.198  UVW2  2779.713  316.604  18.890  0.120  None  Swift  UVOT  None
OBS:      59201.200  V  29922.646  3592.482  16.310  0.130  None  Swift  UVOT  None
OBS:      59201.200  UVM2  3467.369  364.034  18.650  0.110  None  Swift  UVOT  None
OBS:      59204.397  UVW1  4285.485  526.478  18.420  0.130  None  Swift  UVOT  None
OBS:      59204.398  U  14859.356  1395.362  17.070  0.100  None  Swift  UVOT  None
OBS:      59204.398  B  24210.290  2273.458  16.540  0.100  None  Swift  UVOT  None
OBS:      59204.399  UVW2  1406.048  223.500  19.630  0.170  None  Swift  UVOT  None
OBS:      59204.401  V  26546.056  3674.721  16.440  0.150  None  Swift  UVOT  None
OBS:      59204.401  UVM2  1770.109  249.332  19.380  0.150  None  Swift  UVOT  None
OBS:      59208.380  UVW1  2558.586  314.326  18.980  0.130  None  Swift  UVOT  None
OBS:      59208.382  U  9462.372  888.560  17.560  0.100  None  Swift  UVOT  None
OBS:      59208.382  B  21478.305  1630.890  16.670  0.080  None  Swift  UVOT  None
OBS:      59208.383  UVW2  666.807  130.250  20.440  0.210  None  Swift  UVOT  None
OBS:      59208.386  V  26791.683  2724.897  16.430  0.110  None  Swift  UVOT  None
OBS:      59208.386  UVM2  831.764  132.214  20.200  0.170  None  Swift  UVOT  None
OBS:      59213.085  UVW1  1235.947  230.161  19.770  0.200  None  Swift  UVOT  None
OBS:      59213.086  U  6668.068  746.966  17.940  0.120  None  Swift  UVOT  None
OBS:      59213.087  B  14060.475  1320.343  17.130  0.100  None  Swift  UVOT  None
OBS:      59213.088  UVW2  591.562  590.472  20.570  1.080  None  Swift  UVOT  Bad
OBS:      59213.090  V  26302.680  2916.448  16.450  0.120  None  Swift  UVOT  None
OBS:      59213.091  UVM2  625.173  127.818  20.510  0.220  None  Swift  UVOT  None
OBS:      59216.274  UVW1  1235.947  230.161  19.770  0.200  None  Swift  UVOT  None
OBS:      59216.276  U  4613.176  558.719  18.340  0.130  None  Swift  UVOT  None
OBS:      59216.277  B  15135.612  1284.930  17.050  0.090  None  Swift  UVOT  None
OBS:      59216.277  UVW2  580.764  118.739  20.590  0.220  None  Swift  UVOT  None
OBS:      59216.281  V  22080.047  2448.241  16.640  0.120  None  Swift  UVOT  None
OBS:      59216.281  UVM2  452.898  100.867  20.860  0.240  None  Swift  UVOT  None
OBS:      59220.207  UVW1  1086.426  1084.425  19.910  1.080  None  Swift  UVOT  Bad
OBS:      59223.982  UVW1  505.825  168.258  20.740  0.360  None  Swift  UVOT  Bad
OBS:      59226.636  UVW1  912.011  269.911  20.100  0.320  None  Swift  UVOT  Bad
OBS:      59226.637  U  2443.431  631.587  19.030  0.280  None  Swift  UVOT  None
OBS:      59226.637  B  10185.914  1512.366  17.480  0.160  None  Swift  UVOT  None
OBS:      59226.638  UVW2  424.620  423.838  20.930  1.080  None  Swift  UVOT  Bad
OBS:      59226.639  V  19408.859  3400.357  16.780  0.190  None  Swift  UVOT  None
OBS:      59226.640  UVM2  401.791  133.652  20.990  0.360  None  Swift  UVOT  Bad
OBS:      59744.385  UVW1  340.408  339.781  21.170  1.080  None  Swift  UVOT  Bad
OBS:      59744.388  U  666.807  665.579  20.440  1.080  None  Swift  UVOT  Bad
OBS:      59744.390  B  1659.587  474.716  19.450  0.310  None  Swift  UVOT  Bad
OBS:      59744.392  UVW2  170.608  170.294  21.920  1.080  None  Swift  UVOT  Bad
OBS:      59744.398  V  3404.082  1097.527  18.670  0.350  None  Swift  UVOT  Bad
OBS:      59744.400  UVM2  265.461  264.972  21.440  1.080  None  Swift  UVOT  Bad
OBS:      59128.507  orange-ATLAS  -821.107  339.938  nan  -0.449  None  ATLAS  HKO  None
OBS:      59128.510  orange-ATLAS  208.737  430.208  21.701  2.061  None  ATLAS  HKO  None
OBS:      59128.517  orange-ATLAS  -545.507  370.399  nan  -0.737  None  ATLAS  HKO  None
OBS:      59128.534  orange-ATLAS  308.461  524.383  21.277  1.700  None  ATLAS  HKO  None
OBS:      59130.467  orange-ATLAS  -143.880  325.312  nan  -2.455  None  ATLAS  HKO  None
OBS:      59130.470  orange-ATLAS  -456.667  311.447  nan  -0.740  None  ATLAS  HKO  None
OBS:      59130.477  orange-ATLAS  544.503  380.063  20.660  0.698  None  ATLAS  HKO  None
OBS:      59130.491  orange-ATLAS  -819.596  393.406  nan  -0.521  None  ATLAS  HKO  None
OBS:      59132.451  orange-ATLAS  -55.310  305.419  nan  -5.995  None  ATLAS  HKO  None
OBS:      59132.455  orange-ATLAS  -86.298  321.632  nan  -4.047  None  ATLAS  HKO  None
OBS:      59132.479  orange-ATLAS  -294.849  344.089  nan  -1.267  None  ATLAS  HKO  None
OBS:      59132.507  orange-ATLAS  -203.049  272.897  nan  -1.459  None  ATLAS  HKO  None
OBS:      59134.543  orange-ATLAS  383.707  358.383  21.040  0.934  None  ATLAS  HKO  None
OBS:      59134.546  orange-ATLAS  -555.137  331.417  nan  -0.648  None  ATLAS  HKO  None
OBS:      59134.553  orange-ATLAS  201.744  350.429  21.738  1.737  None  ATLAS  HKO  None
OBS:      59134.565  orange-ATLAS  -901.156  392.904  nan  -0.473  None  ATLAS  HKO  None
OBS:      59136.437  orange-ATLAS  -628.637  262.142  nan  -0.453  None  ATLAS  HKO  None
OBS:      59136.441  orange-ATLAS  -423.448  244.753  nan  -0.628  None  ATLAS  HKO  None
OBS:      59136.448  orange-ATLAS  146.285  398.042  22.087  2.721  None  ATLAS  HKO  None
OBS:      59136.460  orange-ATLAS  57.227  286.134  23.106  5.000  None  ATLAS  HKO  None
OBS:      59138.429  cyan-ATLAS  462.168  652.581  20.838  1.412  None  ATLAS  HKO  None
OBS:      59138.433  cyan-ATLAS  -35.678  620.796  nan  -18.892  None  ATLAS  HKO  None
OBS:      59138.440  cyan-ATLAS  1668.784  811.029  19.444  0.486  None  ATLAS  HKO  None
OBS:      59138.453  cyan-ATLAS  242.996  1178.533  21.536  4.850  None  ATLAS  HKO  None
OBS:      59140.373  orange-ATLAS  -343.875  325.649  nan  -1.028  None  ATLAS  HKO  None
OBS:      59140.376  orange-ATLAS  213.010  278.404  21.679  1.307  None  ATLAS  HKO  None
OBS:      59140.407  orange-ATLAS  -264.728  279.553  nan  -1.147  None  ATLAS  HKO  None
OBS:      59140.436  orange-ATLAS  12.555  255.271  24.753  20.333  None  ATLAS  HKO  None
OBS:      59142.355  cyan-ATLAS  170.451  285.165  21.921  1.673  None  ATLAS  HKO  None
OBS:      59142.359  cyan-ATLAS  -69.183  247.053  nan  -3.877  None  ATLAS  HKO  None
OBS:      59142.391  cyan-ATLAS  -82.338  247.014  nan  -3.257  None  ATLAS  HKO  None
OBS:      59142.397  cyan-ATLAS  432.116  295.567  20.911  0.684  None  ATLAS  HKO  None
OBS:      59144.335  orange-ATLAS  -361.743  412.387  nan  -1.238  None  ATLAS  HKO  None
OBS:      59144.341  orange-ATLAS  -237.684  374.352  nan  -1.710  None  ATLAS  HKO  None
OBS:      59144.345  orange-ATLAS  -251.420  596.117  nan  -2.574  None  ATLAS  HKO  None
OBS:      59144.380  orange-ATLAS  -268.658  433.077  nan  -1.750  None  ATLAS  HKO  None
OBS:      59144.413  orange-ATLAS  -418.408  294.978  nan  -0.765  None  ATLAS  HKO  None
OBS:      59144.418  orange-ATLAS  -226.360  397.036  nan  -1.904  None  ATLAS  HKO  None
OBS:      59144.421  orange-ATLAS  -95.148  328.451  nan  -3.748  None  ATLAS  HKO  None
OBS:      59144.456  orange-ATLAS  -40.216  316.983  nan  -8.558  None  ATLAS  HKO  None
OBS:      59146.398  orange-ATLAS  -95.499  391.833  nan  -4.455  None  ATLAS  HKO  None
OBS:      59146.401  orange-ATLAS  -449.573  378.990  nan  -0.915  None  ATLAS  HKO  None
OBS:      59146.419  orange-ATLAS  795.793  405.854  20.248  0.510  None  ATLAS  HKO  None
OBS:      59146.430  orange-ATLAS  -984.464  405.599  nan  -0.447  None  ATLAS  HKO  None
OBS:      59147.456  orange-ATLAS  381.944  452.222  21.045  1.184  None  ATLAS  HKO  None
OBS:      59147.461  orange-ATLAS  679.204  385.108  20.420  0.567  None  ATLAS  HKO  None
