# CREATED_DATE: 2020-12-16T08:25:06.812Z
# MODIFIED_DATE: 2022-08-15T06:38:02.466Z
# STATUS: Ignore
# OBS_GROUP: YSE
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: LCRSB150922.5-024726; (15:11:58.75, -02:58:40.70)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020acun
# RA: 227.99083278745908
# DEC: -2.9818886549685786
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-03-22T00:00:00Z
# REDSHIFT: 0.021595
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-09-26T10:50:53Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.128
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11CYSEbnv/59295/1151157800025854800_59295.551_113482222_98_target.jpeg
# POSTAGE_STAMP_REF: 11CYSEbnv/59295/1151157800025854800_59295.551_113482222_98_ref.jpeg
# POSTAGE_STAMP_DIFF: 11CYSEbnv/59295/1151157800025854800_59295.551_113482222_98_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11CYSEbnv/59295/1151157800025854800_59295.551_113482222_98_target.fits
# POSTAGE_STAMP_REF_FITS: 11CYSEbnv/59295/1151157800025854800_59295.551_113482222_98_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11CYSEbnv/59295/1151157800025854800_59295.551_113482222_98_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020acun
# REAL_BOGUS_SCORE: 0.999763
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 30]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59198.558  r-ZTF  1862.887  325.021  19.325  0.189  None  P48  ZTF-Cam  None
OBS:      59199.555  r-ZTF  2086.272  335.329  19.202  0.175  None  P48  ZTF-Cam  None
OBS:      59199.564  r-ZTF  2473.110  363.730  19.017  0.160  None  P48  ZTF-Cam  None
OBS:      59201.564  r-ZTF  3379.367  395.407  18.678  0.127  None  P48  ZTF-Cam  None
OBS:      59202.559  r-ZTF  3994.368  471.639  18.496  0.128  None  P48  ZTF-Cam  None
OBS:      59202.564  r-ZTF  3969.423  454.943  18.503  0.124  None  P48  ZTF-Cam  None
OBS:      59202.569  r-ZTF  3857.751  536.447  18.534  0.151  None  P48  ZTF-Cam  None
OBS:      59203.560  r-ZTF  4491.899  385.980  18.369  0.093  None  P48  ZTF-Cam  None
OBS:      59203.565  r-ZTF  4427.251  436.390  18.385  0.107  None  P48  ZTF-Cam  None
OBS:      59203.569  r-ZTF  4555.033  595.545  18.354  0.142  None  P48  ZTF-Cam  None
OBS:      59203.574  r-ZTF  4560.053  896.224  18.353  0.213  None  P48  ZTF-Cam  None
OBS:      59204.569  r-ZTF  4832.426  275.712  18.290  0.062  None  P48  ZTF-Cam  None
OBS:      59204.571  r-ZTF  4934.043  365.727  18.267  0.080  None  P48  ZTF-Cam  None
OBS:      59204.574  r-ZTF  5185.005  324.204  18.213  0.068  None  P48  ZTF-Cam  None
OBS:      59206.569  r-ZTF  6080.736  622.671  18.040  0.111  None  P48  ZTF-Cam  None
OBS:      59206.572  r-ZTF  6398.412  455.435  17.985  0.077  None  P48  ZTF-Cam  None
OBS:      59206.574  r-ZTF  7042.147  668.015  17.881  0.103  None  P48  ZTF-Cam  None
OBS:      59216.510  r-ZTF  9608.393  541.778  17.543  0.061  None  P48  ZTF-Cam  None
OBS:      59216.547  g-ZTF  5508.643  822.796  18.147  0.162  None  P48  ZTF-Cam  None
OBS:      59219.528  g-ZTF  5673.902  411.028  18.115  0.079  None  P48  ZTF-Cam  None
OBS:      59223.517  r-ZTF  9639.942  545.309  17.540  0.061  None  P48  ZTF-Cam  None
