# CREATED_DATE: 2020-01-25T13:15:45.144Z
# MODIFIED_DATE: 2022-10-15T17:13:46.285Z
# STATUS: Ignore
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: CGCG107-040; (15:49:02.67, +17:56:25.45)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020awg
# RA: 237.26042961295403
# DEC: 17.93786871537157
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-05-05T00:00:00Z
# REDSHIFT: 0.03181
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-01-07T12:03:43Z
# NON_DETECT_LIMIT: 19.9673
# MW_EBV: 0.035
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10EYSEdfv/58974/1154902491175616400_58974.430_103754067_98_target.jpeg
# POSTAGE_STAMP_REF: 10EYSEdfv/58974/1154902491175616400_58974.430_103754067_98_ref.jpeg
# POSTAGE_STAMP_DIFF: 10EYSEdfv/58974/1154902491175616400_58974.430_103754067_98_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10EYSEdfv/58974/1154902491175616400_58974.430_103754067_98_target.fits
# POSTAGE_STAMP_REF_FITS: 10EYSEdfv/58974/1154902491175616400_58974.430_103754067_98_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10EYSEdfv/58974/1154902491175616400_58974.430_103754067_98_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020awg
# REAL_BOGUS_SCORE: 0.999904
# HAS_HST: None
# HAS_SPITZER: None
# HAS_CHANDRA: None
# TAGS: [29, 39]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      58873.539  r-ZTF  2743.403  288.007  18.904  0.114  None  P48  ZTF-Cam  None
OBS:      58873.549  g-ZTF  2515.821  181.554  18.998  0.078  None  P48  ZTF-Cam  None
OBS:      58876.540  g-ZTF  2446.328  190.253  19.029  0.084  None  P48  ZTF-Cam  None
OBS:      58876.561  r-ZTF  2627.098  227.496  18.951  0.094  None  P48  ZTF-Cam  None
OBS:      58879.520  g-ZTF  2344.577  271.913  19.075  0.126  None  P48  ZTF-Cam  None
OBS:      58879.544  r-ZTF  2770.700  306.042  18.894  0.120  None  P48  ZTF-Cam  None
OBS:      58883.483  g-ZTF  2393.405  342.440  19.052  0.155  None  P48  ZTF-Cam  None
OBS:      58883.560  r-ZTF  2886.742  363.509  18.849  0.137  None  P48  ZTF-Cam  None
OBS:      58886.499  g-ZTF  2081.744  233.121  19.204  0.122  None  P48  ZTF-Cam  None
OBS:      58886.562  r-ZTF  2973.710  272.919  18.817  0.100  None  P48  ZTF-Cam  None
OBS:      58893.480  g-ZTF  1805.197  244.548  19.359  0.147  None  P48  ZTF-Cam  None
OBS:      58893.524  r-ZTF  2990.732  287.390  18.811  0.104  None  P48  ZTF-Cam  None
OBS:      58898.539  r-ZTF  2924.530  194.083  18.835  0.072  None  P48  ZTF-Cam  None
OBS:      58903.525  g-ZTF  1397.867  175.924  19.636  0.137  None  P48  ZTF-Cam  None
OBS:      58911.496  r-ZTF  2695.189  279.972  18.924  0.113  None  P48  ZTF-Cam  None
OBS:      58914.541  r-ZTF  2561.744  197.907  18.979  0.084  None  P48  ZTF-Cam  None
OBS:      58936.442  r-ZTF  2432.106  191.382  19.035  0.085  None  P48  ZTF-Cam  None
OBS:      58939.433  r-ZTF  2524.880  397.163  18.994  0.171  None  P48  ZTF-Cam  None
OBS:      58943.462  r-ZTF  2396.632  251.023  19.051  0.114  None  P48  ZTF-Cam  None
OBS:      58953.441  r-ZTF  2110.139  202.348  19.189  0.104  None  P48  ZTF-Cam  None
OBS:      58956.351  r-ZTF  2077.601  281.182  19.206  0.147  None  P48  ZTF-Cam  None
