# CREATED_DATE: 2020-01-26T18:36:31.976Z
# MODIFIED_DATE: 2022-07-21T07:24:55.804Z
# STATUS: NeedsTemplate
# OBS_GROUP: YSE
# NON_DETECT_BAND: None
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 2dFGRSN129Z319; (12:53:08.57, -04:03:40.50)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020azh
# RA: 193.27926755379517
# DEC: -4.061595780649575
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-01-26T00:00:00Z
# REDSHIFT: 0.029
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: None
# NON_DETECT_LIMIT: None
# MW_EBV: 0.019
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10AYSEasn/58874/1125307020040341700_58874.590_101998777_119_target.jpeg
# POSTAGE_STAMP_REF: 10AYSEasn/58874/1125307020040341700_58874.590_101998777_119_ref.jpeg
# POSTAGE_STAMP_DIFF: 10AYSEasn/58874/1125307020040341700_58874.590_101998777_119_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10AYSEasn/58874/1125307020040341700_58874.590_101998777_119_target.fits
# POSTAGE_STAMP_REF_FITS: 10AYSEasn/58874/1125307020040341700_58874.590_101998777_119_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10AYSEasn/58874/1125307020040341700_58874.590_101998777_119_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020azh
# REAL_BOGUS_SCORE: 0.999682
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 77]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      58870.588  i  1406.048  116.552  19.630  0.090  None  Pan-STARRS1  GPC1  None
OBS:      58898.460  r-ZTF  1131.194  114.589  19.866  0.110  None  P48  ZTF-Cam  None
OBS:      58901.397  r-ZTF  1097.028  109.189  19.899  0.108  None  P48  ZTF-Cam  None
OBS:      58870.585  g  255.428  136.118  21.482  0.533  None  Pan-STARRS1  GPC1  None
OBS:      58870.588  i  1403.589  111.038  19.632  0.086  None  Pan-STARRS1  GPC1  None
OBS:      58874.588  g  221.593  147.231  21.636  0.664  None  Pan-STARRS1  GPC1  None
OBS:      58874.590  r  966.051  123.088  20.038  0.138  None  Pan-STARRS1  GPC1  None
OBS:      58882.601  g  233.431  129.384  21.580  0.554  None  Pan-STARRS1  GPC1  None
OBS:      58882.604  z  1794.568  158.961  19.365  0.096  None  Pan-STARRS1  GPC1  None
OBS:      58937.417  r  -1246.592  343.462  nan  -0.299  None  Pan-STARRS1  GPC1  None
OBS:      58937.420  g  -1199.335  214.101  nan  -0.194  None  Pan-STARRS1  GPC1  None
OBS:      58941.416  i  276.976  201.657  21.394  0.728  None  Pan-STARRS1  GPC1  None
OBS:      58941.419  g  -203.496  207.369  nan  -1.106  None  Pan-STARRS1  GPC1  None
OBS:      58943.363  r  -121.017  389.280  nan  -3.493  None  Pan-STARRS1  GPC1  None
OBS:      58943.366  z  499.306  525.929  20.754  1.053  None  Pan-STARRS1  GPC1  None
OBS:      58950.394  i  -118.766  296.631  nan  -2.712  None  Pan-STARRS1  GPC1  None
OBS:      58950.396  r  -8.878  353.802  nan  -43.270  None  Pan-STARRS1  GPC1  None
OBS:      58956.450  g  -133.656  156.117  nan  -1.268  None  Pan-STARRS1  GPC1  None
OBS:      58956.453  i  -68.446  234.485  nan  -3.720  None  Pan-STARRS1  GPC1  None
OBS:      58960.302  g  -128.753  100.266  nan  -0.846  None  Pan-STARRS1  GPC1  None
OBS:      58960.304  r  121.936  73.457  22.285  0.602  None  Pan-STARRS1  GPC1  None
