# CREATED_DATE: 2020-01-05T01:03:31.955Z
# MODIFIED_DATE: 2022-05-29T06:22:25.135Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: None
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ib/c
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237658423551590565/UGC05573/1; (10:19:35.05, +06:19:34.90)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020fc
# RA: 154.8973227465059
# DEC: 6.328469399623156
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-01-21T00:00:00Z
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: None
# NON_DETECT_LIMIT: None
# MW_EBV: 0.021
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10AYSEahj/58869/1101935361061942400_58869.474_101747643_273_target.jpeg
# POSTAGE_STAMP_REF: 10AYSEahj/58869/1101935361061942400_58869.474_101747643_273_ref.jpeg
# POSTAGE_STAMP_DIFF: 10AYSEahj/58869/1101935361061942400_58869.474_101747643_273_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10AYSEahj/58869/1101935361061942400_58869.474_101747643_273_target.fits
# POSTAGE_STAMP_REF_FITS: 10AYSEahj/58869/1101935361061942400_58869.474_101747643_273_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10AYSEahj/58869/1101935361061942400_58869.474_101747643_273_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020fc
# REAL_BOGUS_SCORE: 0.839548
# HAS_HST: None
# HAS_SPITZER: None
# HAS_CHANDRA: None
# TAGS: [29]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      58846.602  r  619.441  171.158  20.520  0.300  None  Pan-STARRS1  GPC1  None
OBS:      58850.562  w  539.511  29.814  20.670  0.060  None  Pan-STARRS1  GPC1  None
OBS:      58837.626  g  291.693  191.678  21.338  0.657  None  Pan-STARRS1  GPC1  None
OBS:      58837.629  i  843.668  267.869  20.185  0.318  None  Pan-STARRS1  GPC1  None
OBS:      58846.599  g  272.648  216.600  21.411  0.794  None  Pan-STARRS1  GPC1  None
OBS:      58846.602  r  607.646  185.187  20.541  0.305  None  Pan-STARRS1  GPC1  None
OBS:      58865.485  i  613.649  110.799  20.530  0.196  None  Pan-STARRS1  GPC1  None
OBS:      58865.488  g  74.687  113.428  22.817  1.519  None  Pan-STARRS1  GPC1  None
OBS:      58869.474  i  689.414  51.144  20.404  0.081  None  Pan-STARRS1  GPC1  None
OBS:      58869.477  g  209.482  73.047  21.697  0.349  None  Pan-STARRS1  GPC1  None
OBS:      58871.579  g  101.307  55.082  22.486  0.544  None  Pan-STARRS1  GPC1  None
OBS:      58871.582  r  517.893  79.657  20.714  0.167  None  Pan-STARRS1  GPC1  None
OBS:      58875.466  g  144.827  169.349  22.098  1.169  None  Pan-STARRS1  GPC1  None
OBS:      58875.469  i  687.599  227.519  20.407  0.331  None  Pan-STARRS1  GPC1  None
OBS:      58878.489  g  105.132  176.509  22.446  1.679  None  Pan-STARRS1  GPC1  None
OBS:      58878.492  r  468.260  269.217  20.824  0.575  None  Pan-STARRS1  GPC1  None
OBS:      58882.484  i  331.268  121.941  21.200  0.368  None  Pan-STARRS1  GPC1  None
OBS:      58882.487  g  61.753  144.354  23.023  2.338  None  Pan-STARRS1  GPC1  None
OBS:      58884.467  i  158.619  149.659  21.999  0.944  None  Pan-STARRS1  GPC1  None
OBS:      58884.469  r  60.818  118.880  23.040  1.955  None  Pan-STARRS1  GPC1  None
OBS:      58919.369  r  -140.814  438.606  nan  -3.382  None  Pan-STARRS1  GPC1  None
OBS:      58934.317  g  261.609  246.309  21.456  0.942  None  Pan-STARRS1  GPC1  None
