# CREATED_DATE: 2020-05-27T20:08:36.327Z
# MODIFIED_DATE: 2022-10-03T05:04:06.896Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: SDSSJ210129.07-001703.6; (21:01:29.16, -00:17:04.99)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020lfi
# RA: 315.37077956195066
# DEC: -0.28538985714836645
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-06-05T00:00:00Z
# REDSHIFT: 0.055
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-05-18T11:02:45Z
# NON_DETECT_LIMIT: 20.3007
# MW_EBV: 0.068
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10FYSEfby/59005/1210128980001707300_59005.548_104722851_249_target.jpeg
# POSTAGE_STAMP_REF: 10FYSEfby/59005/1210128980001707300_59005.548_104722851_249_ref.jpeg
# POSTAGE_STAMP_DIFF: 10FYSEfby/59005/1210128980001707300_59005.548_104722851_249_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10FYSEfby/59005/1210128980001707300_59005.548_104722851_249_target.fits
# POSTAGE_STAMP_REF_FITS: 10FYSEfby/59005/1210128980001707300_59005.548_104722851_249_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10FYSEfby/59005/1210128980001707300_59005.548_104722851_249_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020lfi
# REAL_BOGUS_SCORE: 0.992968
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 38, 39, 77]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      58996.421  g-ZTF  996.757  176.661  20.004  0.192  None  P48  ZTF-Cam  None
OBS:      58996.464  r-ZTF  1274.178  193.262  19.737  0.165  None  P48  ZTF-Cam  None
OBS:      58999.429  g-ZTF  1300.014  257.846  19.715  0.215  None  P48  ZTF-Cam  None
OBS:      59002.439  g-ZTF  2056.941  212.867  19.217  0.112  None  P48  ZTF-Cam  None
OBS:      59002.462  r-ZTF  2484.942  206.899  19.012  0.090  None  P48  ZTF-Cam  None
OBS:      59013.355  r-ZTF  3244.291  253.879  18.722  0.085  None  P48  ZTF-Cam  None
OBS:      59013.481  g-ZTF  2925.064  312.443  18.835  0.116  None  P48  ZTF-Cam  None
OBS:      59016.460  r-ZTF  3072.838  191.123  18.781  0.068  None  P48  ZTF-Cam  None
OBS:      59019.337  g-ZTF  2531.618  247.514  18.992  0.106  None  P48  ZTF-Cam  None
OBS:      59019.388  r-ZTF  3159.579  221.426  18.751  0.076  None  P48  ZTF-Cam  None
OBS:      59022.356  g-ZTF  2229.439  212.065  19.130  0.103  None  P48  ZTF-Cam  None
OBS:      59022.459  r-ZTF  2703.958  204.929  18.920  0.082  None  P48  ZTF-Cam  None
OBS:      59025.335  g-ZTF  2040.350  194.969  19.226  0.104  None  P48  ZTF-Cam  None
OBS:      59025.376  r-ZTF  2518.762  163.582  18.997  0.071  None  P48  ZTF-Cam  None
OBS:      59028.480  r-ZTF  2279.510  220.184  19.105  0.105  None  P48  ZTF-Cam  None
OBS:      59031.334  g-ZTF  1571.262  234.524  19.509  0.162  None  P48  ZTF-Cam  None
OBS:      59031.357  r-ZTF  2138.354  337.261  19.175  0.171  None  P48  ZTF-Cam  None
OBS:      59034.376  r-ZTF  1683.674  275.998  19.434  0.178  None  P48  ZTF-Cam  None
OBS:      59044.379  r-ZTF  727.744  117.338  20.345  0.175  None  P48  ZTF-Cam  None
OBS:      58996.421  g-ZTF  996.782  176.665  20.003  0.192  None  P48  ZTF-Cam  None
OBS:      58996.464  r-ZTF  1274.207  193.266  19.737  0.165  None  P48  ZTF-Cam  None
OBS:      59000.563  orange  1946.256  233.034  19.277  0.130  None  ATLAS  HKO  None
OBS:      59005.546  i  2572.054  160.343  18.974  0.068  None  Pan-STARRS1  GPC1  None
OBS:      59005.548  r  2726.465  134.829  18.911  0.054  None  Pan-STARRS1  GPC1  None
OBS:      59013.559  g  2867.874  168.305  18.856  0.064  None  Pan-STARRS1  GPC1  None
OBS:      59013.562  i  3327.821  170.186  18.695  0.056  None  Pan-STARRS1  GPC1  None
OBS:      59017.506  g  2512.812  82.031  19.000  0.035  None  Pan-STARRS1  GPC1  None
OBS:      59017.509  r  2817.604  81.993  18.875  0.032  None  Pan-STARRS1  GPC1  None
OBS:      59021.541  i  2871.045  97.011  18.855  0.037  None  Pan-STARRS1  GPC1  None
OBS:      59021.544  g  2042.114  76.951  19.225  0.041  None  Pan-STARRS1  GPC1  None
OBS:      59027.515  g  1765.225  123.516  19.383  0.076  None  Pan-STARRS1  GPC1  None
OBS:      59027.518  z  2422.590  126.236  19.039  0.057  None  Pan-STARRS1  GPC1  None
OBS:      59029.450  g  1652.114  69.396  19.455  0.046  None  Pan-STARRS1  GPC1  None
OBS:      59029.453  i  2305.048  67.371  19.093  0.032  None  Pan-STARRS1  GPC1  None
OBS:      59030.488  r  2088.527  79.392  19.200  0.041  None  Pan-STARRS1  GPC1  None
OBS:      59030.490  z  2120.118  116.748  19.184  0.060  None  Pan-STARRS1  GPC1  None
OBS:      59033.532  i  2119.923  145.993  19.184  0.075  None  Pan-STARRS1  GPC1  None
OBS:      59033.534  r  1974.604  170.597  19.261  0.094  None  Pan-STARRS1  GPC1  None
OBS:      59041.547  z  1265.202  325.771  19.745  0.280  None  Pan-STARRS1  GPC1  None
OBS:      59041.550  r  1000.184  122.900  20.000  0.133  None  Pan-STARRS1  GPC1  None
OBS:      59046.522  g  26.558  439.256  23.939  16.539  None  Pan-STARRS1  GPC1  None
OBS:      59046.525  r  401.618  462.338  20.991  1.151  None  Pan-STARRS1  GPC1  None
OBS:      59049.474  g  1766.043  164.287  19.383  0.093  None  Pan-STARRS1  GPC1  None
