# CREATED_DATE: 2020-06-19T10:15:30.444Z
# MODIFIED_DATE: 2022-07-26T04:45:46.625Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: UGC07104; (12:07:09.06, +16:55:15.99)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020nap
# RA: 181.78675108747643
# DEC: 16.92115288972759
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-06-23T00:00:00Z
# REDSHIFT: 0.022
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-05-11T03:59:02Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.041
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10FYSEfye/59023/1120708811165516200_59023.273_105296212_8_target.jpeg
# POSTAGE_STAMP_REF: 10FYSEfye/59023/1120708811165516200_59023.273_105296212_8_ref.jpeg
# POSTAGE_STAMP_DIFF: 10FYSEfye/59023/1120708811165516200_59023.273_105296212_8_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10FYSEfye/59023/1120708811165516200_59023.273_105296212_8_target.fits
# POSTAGE_STAMP_REF_FITS: 10FYSEfye/59023/1120708811165516200_59023.273_105296212_8_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10FYSEfye/59023/1120708811165516200_59023.273_105296212_8_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020nap
# REAL_BOGUS_SCORE: 0.99998
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59017.658  G  9289.664  1711.219  17.580  0.200  None  Gaia  Gaia-Photometric  None
OBS:      58929.352  i  -18.782  229.231  nan  -13.251  None  Pan-STARRS1  GPC1  None
OBS:      58929.355  g  -75.474  222.622  nan  -3.203  None  Pan-STARRS1  GPC1  None
OBS:      58942.514  r  -10.323  164.749  nan  -17.327  None  Pan-STARRS1  GPC1  None
OBS:      58942.516  z  427.248  559.870  20.923  1.310  None  Pan-STARRS1  GPC1  None
OBS:      58958.403  g  -73.997  63.309  nan  -0.929  None  Pan-STARRS1  GPC1  None
OBS:      58958.406  i  -9.753  69.077  nan  -7.690  None  Pan-STARRS1  GPC1  None
OBS:      58964.414  g  -311.547  291.815  nan  -1.017  None  Pan-STARRS1  GPC1  None
OBS:      58967.253  g  33.129  119.736  23.700  3.614  None  Pan-STARRS1  GPC1  None
OBS:      58967.256  i  -102.623  122.445  nan  -1.295  None  Pan-STARRS1  GPC1  None
OBS:      58969.257  g  -28.362  155.763  nan  -5.963  None  Pan-STARRS1  GPC1  None
OBS:      58969.260  z  -4.345  186.922  nan  -46.704  None  Pan-STARRS1  GPC1  None
OBS:      58985.369  i  -84.382  78.525  nan  -1.010  None  Pan-STARRS1  GPC1  None
OBS:      58992.342  g  -21.607  110.277  nan  -5.541  None  Pan-STARRS1  GPC1  None
OBS:      58992.345  r  55.217  122.363  23.145  2.216  None  Pan-STARRS1  GPC1  None
OBS:      59013.272  g  44.279  259.961  23.385  6.374  None  Pan-STARRS1  GPC1  None
OBS:      59013.275  i  -99.804  255.995  nan  -2.785  None  Pan-STARRS1  GPC1  None
OBS:      59023.271  r  13168.883  154.453  17.201  0.012  None  Pan-STARRS1  GPC1  None
OBS:      59023.273  g  13363.206  260.585  17.185  0.020  None  Pan-STARRS1  GPC1  None
OBS:      59030.274  r  12660.183  150.400  17.244  0.013  None  Pan-STARRS1  GPC1  None
OBS:      59030.277  z  12085.928  175.599  17.294  0.016  None  Pan-STARRS1  GPC1  None
OBS:      59032.290  r  11943.181  207.863  17.307  0.019  None  Pan-STARRS1  GPC1  None
OBS:      59032.293  i  11656.281  306.349  17.334  0.029  None  Pan-STARRS1  GPC1  None
OBS:      59034.298  r  11348.018  196.801  17.363  0.019  None  Pan-STARRS1  GPC1  None
OBS:      59195.574  i  222.477  190.586  21.632  0.857  None  Pan-STARRS1  GPC1  None
OBS:      59195.577  g  144.910  220.640  22.097  1.523  None  Pan-STARRS1  GPC1  None
OBS:      59200.633  g  -5.971  280.152  nan  -50.945  None  Pan-STARRS1  GPC1  None
OBS:      59200.635  i  78.227  299.753  22.767  3.832  None  Pan-STARRS1  GPC1  None
OBS:      59207.642  z  549.338  121.305  20.650  0.240  None  Pan-STARRS1  GPC1  None
OBS:      59207.645  r  380.750  64.414  21.048  0.184  None  Pan-STARRS1  GPC1  None
OBS:      59212.621  z  553.656  121.221  20.642  0.238  None  Pan-STARRS1  GPC1  None
OBS:      59212.624  r  448.704  79.505  20.870  0.192  None  Pan-STARRS1  GPC1  None
OBS:      59222.577  g  269.724  128.156  21.423  0.475  None  Pan-STARRS1  GPC1  None
OBS:      59222.580  r  391.345  74.345  21.019  0.206  None  Pan-STARRS1  GPC1  None
OBS:      59226.564  i  190.712  90.437  21.799  0.474  None  Pan-STARRS1  GPC1  None
OBS:      59226.564  i  190.712  90.437  21.799  0.474  None  Pan-STARRS1  GPC1  None
OBS:      59226.567  g  201.340  202.883  21.740  1.008  None  Pan-STARRS1  GPC1  None
OBS:      59226.567  g  201.340  202.883  21.740  1.008  None  Pan-STARRS1  GPC1  None
OBS:      59230.546  r  290.251  99.723  21.343  0.344  None  Pan-STARRS1  GPC1  None
OBS:      59230.546  r  290.251  99.723  21.343  0.344  None  Pan-STARRS1  GPC1  None
OBS:      59237.643  i  -127.368  479.815  nan  -4.090  None  Pan-STARRS1  GPC1  None
OBS:      59237.643  i  -127.368  479.815  nan  -4.090  None  Pan-STARRS1  GPC1  None
OBS:      59237.645  r  -209.692  786.352  nan  -4.072  None  Pan-STARRS1  GPC1  None
OBS:      59237.645  r  -209.692  786.352  nan  -4.072  None  Pan-STARRS1  GPC1  None
OBS:      59243.508  r  225.528  393.344  21.617  1.744  None  Pan-STARRS1  GPC1  None
