# CREATED_DATE: 2020-07-16T20:16:11.756Z
# MODIFIED_DATE: 2022-08-30T05:29:06.913Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ib/c
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: UGC09684; (15:03:50.49, +42:06:55.40)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020pni
# RA: 225.95818267088404
# DEC: 42.114037198330685
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-07-17T00:00:00Z
# REDSHIFT: 0.01687
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-07-15T06:06:02Z
# NON_DETECT_LIMIT: 20.8249
# MW_EBV: 0.017
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10GYSEhkk/59047/1150349961420650500_59047.270_106034290_26_target.jpeg
# POSTAGE_STAMP_REF: 10GYSEhkk/59047/1150349961420650500_59047.270_106034290_26_ref.jpeg
# POSTAGE_STAMP_DIFF: 10GYSEhkk/59047/1150349961420650500_59047.270_106034290_26_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10GYSEhkk/59047/1150349961420650500_59047.270_106034290_26_target.fits
# POSTAGE_STAMP_REF_FITS: 10GYSEhkk/59047/1150349961420650500_59047.270_106034290_26_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10GYSEhkk/59047/1150349961420650500_59047.270_106034290_26_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.205
# ALT_STATUS: CONFIRMED
# SLUG: 2020pni
# REAL_BOGUS_SCORE: 0.999991
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [1, 6, 10, 29, 88]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59046.198  r-ZTF  1197.402  169.276  19.804  0.153  None  P48  ZTF-Cam  None
OBS:      59046.214  g-ZTF  1412.538  167.288  19.625  0.129  None  P48  ZTF-Cam  None
OBS:      59046.198  r-ZTF  1197.403  169.276  19.804  0.153  None  P48  ZTF-Cam  None
OBS:      59046.214  g-ZTF  1412.570  167.292  19.625  0.129  None  P48  ZTF-Cam  None
OBS:      59047.220  r-ZTF  6404.733  366.462  17.984  0.062  None  P48  ZTF-Cam  None
OBS:      59047.258  g-ZTF  8656.616  402.585  17.657  0.050  None  P48  ZTF-Cam  None
OBS:      59048.207  r-ZTF  14789.099  624.686  17.075  0.046  None  P48  ZTF-Cam  None
OBS:      59048.261  g-ZTF  19324.506  679.549  16.785  0.038  None  P48  ZTF-Cam  None
OBS:      59049.176  r-ZTF  21773.488  697.499  16.655  0.035  None  P48  ZTF-Cam  None
OBS:      59049.202  g-ZTF  26896.791  951.933  16.426  0.038  None  P48  ZTF-Cam  None
OBS:      59050.289  r-ZTF  24997.193  683.053  16.505  0.030  None  P48  ZTF-Cam  None
OBS:      59051.180  g-ZTF  31847.728  904.297  16.242  0.031  None  P48  ZTF-Cam  None
OBS:      59051.198  r-ZTF  26725.583  777.864  16.433  0.032  None  P48  ZTF-Cam  None
OBS:      59052.169  r-ZTF  27788.653  860.865  16.390  0.034  None  P48  ZTF-Cam  None
OBS:      59052.310  g-ZTF  31874.371  884.242  16.241  0.030  None  P48  ZTF-Cam  None
OBS:      59053.205  g-ZTF  31675.373  901.768  16.248  0.031  None  P48  ZTF-Cam  None
OBS:      59054.207  r-ZTF  29542.832  1100.271  16.324  0.040  None  P48  ZTF-Cam  None
OBS:      59054.246  g-ZTF  31284.505  1009.370  16.262  0.035  None  P48  ZTF-Cam  None
OBS:      59055.202  r-ZTF  29989.178  1001.009  16.308  0.036  None  P48  ZTF-Cam  None
OBS:      59057.179  r-ZTF  29212.539  973.349  16.336  0.036  None  P48  ZTF-Cam  None
OBS:      59062.199  g-ZTF  25501.194  774.529  16.484  0.033  None  P48  ZTF-Cam  None
