# CREATED_DATE: 2020-09-09T19:01:26.526Z
# MODIFIED_DATE: 2022-09-25T10:47:04.885Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN IIn
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: NT
# BEST_SPECTRUM: None
# HOST: Host: SDSSJ010944.57+002024.4; (01:09:44.57, +00:20:24.50)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020tan
# RA: 17.435829767526
# DEC: 0.34023901873264695
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-09-09T00:00:00Z
# REDSHIFT: 0.079
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-09-07T08:04:50Z
# NON_DETECT_LIMIT: 19.5139
# MW_EBV: 0.022
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10IYSEkkg/59101/1010944591002024800_59101.444_107731637_120_target.jpeg
# POSTAGE_STAMP_REF: 10IYSEkkg/59101/1010944591002024800_59101.444_107731637_120_ref.jpeg
# POSTAGE_STAMP_DIFF: 10IYSEkkg/59101/1010944591002024800_59101.444_107731637_120_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10IYSEkkg/59101/1010944591002024800_59101.444_107731637_120_target.fits
# POSTAGE_STAMP_REF_FITS: 10IYSEkkg/59101/1010944591002024800_59101.444_107731637_120_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10IYSEkkg/59101/1010944591002024800_59101.444_107731637_120_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN IIn
# POINT_SOURCE_PROBABILITY: 0.001
# ALT_STATUS: CONFIRMED
# SLUG: 2020tan
# REAL_BOGUS_SCORE: 0.949484
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 30, 48]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59058.566  i  42.936  107.598  23.418  2.506  None  Pan-STARRS1  GPC1  None
OBS:      59058.569  g  33.569  128.111  23.685  3.816  None  Pan-STARRS1  GPC1  None
OBS:      59060.507  i  53.945  123.902  23.170  2.297  None  Pan-STARRS1  GPC1  None
OBS:      59060.510  r  53.579  109.134  23.177  2.037  None  Pan-STARRS1  GPC1  None
OBS:      59064.562  r  38.651  94.252  23.532  2.439  None  Pan-STARRS1  GPC1  None
OBS:      59075.531  i  0.966  51.070  27.537  52.845  None  Pan-STARRS1  GPC1  None
OBS:      59075.533  g  54.628  54.564  23.157  0.999  None  Pan-STARRS1  GPC1  None
OBS:      59079.495  g  104.623  134.635  22.451  1.287  None  Pan-STARRS1  GPC1  None
OBS:      59084.487  i  65.522  71.823  22.959  1.096  None  Pan-STARRS1  GPC1  None
OBS:      59084.490  g  21.921  83.949  24.148  3.830  None  Pan-STARRS1  GPC1  None
OBS:      59093.474  i  390.619  148.757  21.021  0.381  None  Pan-STARRS1  GPC1  None
OBS:      59093.476  r  349.529  248.979  21.141  0.712  None  Pan-STARRS1  GPC1  None
OBS:      59101.442  g  1671.755  124.287  19.442  0.074  None  Pan-STARRS1  GPC1  None
OBS:      59101.445  z  963.115  98.893  20.041  0.103  None  Pan-STARRS1  GPC1  None
OBS:      59103.450  g  1812.341  141.305  19.354  0.085  None  Pan-STARRS1  GPC1  None
OBS:      59103.453  i  1262.641  114.785  19.747  0.099  None  Pan-STARRS1  GPC1  None
OBS:      59107.540  i  1726.474  100.960  19.407  0.063  None  Pan-STARRS1  GPC1  None
OBS:      59107.543  g  2137.568  185.791  19.175  0.094  None  Pan-STARRS1  GPC1  None
OBS:      59109.603  r  1880.529  120.388  19.314  0.070  None  Pan-STARRS1  GPC1  None
OBS:      59109.606  g  2692.031  193.013  18.925  0.078  None  Pan-STARRS1  GPC1  None
OBS:      59114.472  i  1615.846  84.665  19.479  0.057  None  Pan-STARRS1  GPC1  None
OBS:      59114.474  g  2655.095  94.285  18.940  0.039  None  Pan-STARRS1  GPC1  None
OBS:      59118.440  r  1059.546  71.561  19.937  0.073  None  Pan-STARRS1  GPC1  None
OBS:      59118.443  z  1319.593  128.125  19.699  0.105  None  Pan-STARRS1  GPC1  None
OBS:      59128.460  z  1731.729  372.723  19.404  0.234  None  Pan-STARRS1  GPC1  None
OBS:      59128.463  r  2331.954  253.568  19.081  0.118  None  Pan-STARRS1  GPC1  None
OBS:      59132.422  g  2337.976  119.242  19.078  0.055  None  Pan-STARRS1  GPC1  None
OBS:      59132.425  z  1870.338  108.783  19.320  0.063  None  Pan-STARRS1  GPC1  None
OBS:      59137.447  g  1934.283  109.771  19.284  0.062  None  Pan-STARRS1  GPC1  None
OBS:      59137.449  r  2086.796  93.104  19.201  0.048  None  Pan-STARRS1  GPC1  None
OBS:      59142.276  r  1986.461  174.647  19.255  0.095  None  Pan-STARRS1  GPC1  None
OBS:      59142.279  g  1951.821  161.386  19.274  0.090  None  Pan-STARRS1  GPC1  None
OBS:      59143.322  g  2030.673  199.483  19.231  0.107  None  Pan-STARRS1  GPC1  None
OBS:      59143.325  i  2067.664  201.069  19.211  0.106  None  Pan-STARRS1  GPC1  None
OBS:      59146.439  i  2110.715  130.289  19.189  0.062  None  Pan-STARRS1  GPC1  None
OBS:      59146.442  g  1969.518  168.284  19.264  0.093  None  Pan-STARRS1  GPC1  None
OBS:      59158.297  r  1937.135  94.177  19.282  0.053  None  Pan-STARRS1  GPC1  None
OBS:      59158.299  z  1710.330  110.478  19.417  0.070  None  Pan-STARRS1  GPC1  None
OBS:      59169.233  r  1030.576  149.143  19.967  0.157  None  Pan-STARRS1  GPC1  None
OBS:      59169.235  g  1275.969  158.933  19.735  0.135  None  Pan-STARRS1  GPC1  None
OBS:      59173.383  i  1674.943  110.875  19.440  0.072  None  Pan-STARRS1  GPC1  None
OBS:      59173.386  g  1009.997  174.376  19.989  0.187  None  Pan-STARRS1  GPC1  None
OBS:      59182.291  r  1510.637  263.823  19.552  0.190  None  Pan-STARRS1  GPC1  None
OBS:      59182.293  i  1505.220  283.319  19.556  0.204  None  Pan-STARRS1  GPC1  None
OBS:      59186.264  z  1201.047  92.963  19.801  0.084  None  Pan-STARRS1  GPC1  None
OBS:      59186.266  r  1482.655  0.000  19.572  0.000  None  Pan-STARRS1  GPC1  None
OBS:      59188.323  i  1283.394  225.491  19.729  0.191  None  Pan-STARRS1  GPC1  None
OBS:      59188.326  r  1349.833  216.330  19.674  0.174  None  Pan-STARRS1  GPC1  None
OBS:      59193.253  r  967.208  78.431  20.036  0.088  None  Pan-STARRS1  GPC1  None
OBS:      59193.256  g  731.543  83.083  20.339  0.123  None  Pan-STARRS1  GPC1  None
OBS:      59211.218  z  923.916  431.234  20.086  0.467  None  Pan-STARRS1  GPC1  None
OBS:      59211.221  r  749.687  212.406  20.313  0.308  None  Pan-STARRS1  GPC1  None
OBS:      59213.215  r  821.032  182.260  20.214  0.241  None  Pan-STARRS1  GPC1  None
OBS:      59213.218  i  931.708  283.442  20.077  0.330  None  Pan-STARRS1  GPC1  None
OBS:      59216.217  i  996.506  218.113  20.004  0.238  None  Pan-STARRS1  GPC1  None
OBS:      59216.220  r  481.908  168.227  20.793  0.349  None  Pan-STARRS1  GPC1  None
OBS:      59217.217  z  853.965  91.035  20.171  0.116  None  Pan-STARRS1  GPC1  None
OBS:      59217.220  r  742.403  59.368  20.323  0.087  None  Pan-STARRS1  GPC1  None
OBS:      59219.217  i  850.589  60.395  20.176  0.077  None  Pan-STARRS1  GPC1  None
OBS:      59219.219  g  434.911  59.959  20.904  0.150  None  Pan-STARRS1  GPC1  None
OBS:      59227.227  i  706.240  64.776  20.378  0.092  None  Pan-STARRS1  GPC1  None
OBS:      59227.230  g  344.110  52.397  21.158  0.152  None  Pan-STARRS1  GPC1  None
OBS:      59229.228  r  551.620  82.027  20.646  0.161  None  Pan-STARRS1  GPC1  None
OBS:      59229.231  g  358.063  83.756  21.115  0.254  None  Pan-STARRS1  GPC1  None
OBS:      59230.222  r  559.603  148.924  20.630  0.289  None  Pan-STARRS1  GPC1  None
OBS:      59243.240  r  185.123  289.789  21.831  1.565  None  Pan-STARRS1  GPC1  None
OBS:      59243.243  i  173.215  366.946  21.904  2.118  None  Pan-STARRS1  GPC1  None
OBS:      59245.230  z  236.716  181.112  21.564  0.765  None  Pan-STARRS1  GPC1  None
OBS:      59245.232  r  286.488  109.684  21.357  0.383  None  Pan-STARRS1  GPC1  None
OBS:      59254.230  i  394.275  269.764  21.011  0.684  None  Pan-STARRS1  GPC1  None
OBS:      59254.233  g  188.650  221.231  21.811  1.173  None  Pan-STARRS1  GPC1  None
OBS:      59429.577  r  50.103  78.540  23.250  1.568  None  Pan-STARRS1  GPC1  None
OBS:      59429.580  g  81.294  148.820  22.725  1.831  None  Pan-STARRS1  GPC1  None
OBS:      59433.584  i  132.531  198.565  22.194  1.498  None  Pan-STARRS1  GPC1  None
OBS:      59433.587  g  28.259  155.806  23.872  5.513  None  Pan-STARRS1  GPC1  None
OBS:      59434.504  g  19.681  78.515  24.265  3.989  None  Pan-STARRS1  GPC1  None
OBS:      59434.507  r  99.375  43.296  22.507  0.436  None  Pan-STARRS1  GPC1  None
OBS:      59437.548  i  99.937  189.287  22.501  1.894  None  Pan-STARRS1  GPC1  None
OBS:      59437.551  g  105.838  155.848  22.438  1.473  None  Pan-STARRS1  GPC1  None
OBS:      59440.482  i  112.635  61.119  22.371  0.543  None  Pan-STARRS1  GPC1  None
OBS:      59440.484  g  37.769  67.510  23.557  1.787  None  Pan-STARRS1  GPC1  None
OBS:      59442.547  g  6.723  68.022  25.431  10.118  None  Pan-STARRS1  GPC1  None
OBS:      59442.550  z  166.560  79.731  21.946  0.479  None  Pan-STARRS1  GPC1  None
OBS:      59445.531  z  99.633  136.349  22.504  1.369  None  Pan-STARRS1  GPC1  None
OBS:      59445.535  r  19.736  87.570  24.262  4.437  None  Pan-STARRS1  GPC1  None
OBS:      59457.421  g  65.561  147.868  22.958  2.255  None  Pan-STARRS1  GPC1  None
OBS:      59457.424  z  76.639  145.818  22.789  1.903  None  Pan-STARRS1  GPC1  None
