# CREATED_DATE: 2020-09-16T16:20:21.299Z
# MODIFIED_DATE: 2022-09-03T05:38:02.124Z
# STATUS: NeedsTemplate
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN IIn
# PHOTO_CLASS: SN Ia
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237661362914328673; (14:40:09.27, +42:46:46.36)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020tlf
# RA: 220.0417917521817
# DEC: 42.77762541137058
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-07-12T00:00:00Z
# REDSHIFT: 0.008463
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2018-05-31T12:00:00Z
# NON_DETECT_LIMIT: 20.5
# MW_EBV: 0.014
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 
# POSTAGE_STAMP_REF: 
# POSTAGE_STAMP_DIFF: 
# POSTAGE_STAMP_FILE_FITS: 
# POSTAGE_STAMP_REF_FITS: 
# POSTAGE_STAMP_DIFF_FITS: 
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN IIn
# POINT_SOURCE_PROBABILITY: 0.375
# ALT_STATUS: CONFIRMED
# SLUG: 2020tlf
# REAL_BOGUS_SCORE: None
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [6, 10, 29, 32, 33, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59180.554  r-ZTF  50781.648  1604.657  15.736  0.034  None  P48  ZTF-Cam  None
OBS:      59184.517  r-ZTF  49829.409  1237.274  15.756  0.027  None  P48  ZTF-Cam  None
OBS:      59184.531  g-ZTF  30687.166  784.544  16.283  0.028  None  P48  ZTF-Cam  None
OBS:      59188.521  r-ZTF  47063.569  1100.869  15.818  0.025  None  P48  ZTF-Cam  None
OBS:      59188.545  g-ZTF  28054.654  827.185  16.380  0.032  None  P48  ZTF-Cam  None
OBS:      59193.530  r-ZTF  42019.756  1181.018  15.941  0.031  None  P48  ZTF-Cam  None
OBS:      59193.549  g-ZTF  24819.277  791.404  16.513  0.035  None  P48  ZTF-Cam  None
OBS:      59198.464  r-ZTF  39004.097  1074.927  16.022  0.030  None  P48  ZTF-Cam  None
OBS:      59198.547  g-ZTF  21533.235  724.697  16.667  0.037  None  P48  ZTF-Cam  None
OBS:      59200.479  g-ZTF  21539.780  1506.330  16.667  0.076  None  P48  ZTF-Cam  None
OBS:      59200.537  r-ZTF  38622.471  1306.096  16.033  0.037  None  P48  ZTF-Cam  None
OBS:      59203.513  r-ZTF  33643.151  1123.461  16.183  0.036  None  P48  ZTF-Cam  None
OBS:      59203.548  g-ZTF  18897.443  633.702  16.809  0.036  None  P48  ZTF-Cam  None
OBS:      59206.519  r-ZTF  33299.643  1431.630  16.194  0.047  None  P48  ZTF-Cam  None
OBS:      59215.531  r-ZTF  27057.781  731.546  16.419  0.029  None  P48  ZTF-Cam  None
OBS:      59215.568  g-ZTF  12963.219  791.443  17.218  0.066  None  P48  ZTF-Cam  None
OBS:      59217.487  r-ZTF  26245.105  882.915  16.452  0.037  None  P48  ZTF-Cam  None
OBS:      59217.555  g-ZTF  11860.244  589.063  17.315  0.054  None  P48  ZTF-Cam  None
OBS:      59219.450  g-ZTF  11607.494  607.961  17.338  0.057  None  P48  ZTF-Cam  None
OBS:      59219.510  r-ZTF  24168.286  704.242  16.542  0.032  None  P48  ZTF-Cam  None
OBS:      59221.517  g-ZTF  10000.738  421.258  17.500  0.046  None  P48  ZTF-Cam  None
OBS:      59221.545  r-ZTF  21297.990  1499.328  16.679  0.076  None  P48  ZTF-Cam  None
OBS:      59224.508  r-ZTF  18736.855  644.767  16.818  0.037  None  P48  ZTF-Cam  None
OBS:      59224.531  g-ZTF  7885.555  436.552  17.758  0.060  None  P48  ZTF-Cam  None
OBS:      59226.494  r-ZTF  14299.320  558.350  17.112  0.042  None  P48  ZTF-Cam  None
OBS:      59226.529  g-ZTF  6112.384  326.365  18.034  0.058  None  P48  ZTF-Cam  None
OBS:      59228.487  r-ZTF  9294.676  495.048  17.579  0.058  None  P48  ZTF-Cam  None
OBS:      59228.507  g-ZTF  3705.813  255.519  18.578  0.075  None  P48  ZTF-Cam  None
OBS:      59230.499  g-ZTF  2154.497  232.149  19.167  0.117  None  P48  ZTF-Cam  None
OBS:      59230.532  r-ZTF  5381.485  268.936  18.173  0.054  None  P48  ZTF-Cam  None
OBS:      59232.515  r-ZTF  3506.531  218.880  18.638  0.068  None  P48  ZTF-Cam  None
OBS:      59232.529  g-ZTF  1343.895  145.845  19.679  0.118  None  P48  ZTF-Cam  None
OBS:      59249.487  r-ZTF  2204.274  231.017  19.142  0.114  None  P48  ZTF-Cam  None
OBS:      59251.472  r-ZTF  2459.488  229.923  19.023  0.101  None  P48  ZTF-Cam  None
OBS:      59253.495  r-ZTF  2094.550  197.875  19.197  0.103  None  P48  ZTF-Cam  None
OBS:      59253.533  g-ZTF  917.798  130.565  20.093  0.154  None  P48  ZTF-Cam  None
OBS:      59255.389  g-ZTF  763.856  140.405  20.292  0.200  None  P48  ZTF-Cam  None
OBS:      59258.351  r-ZTF  2179.461  221.190  19.154  0.110  None  P48  ZTF-Cam  None
OBS:      59262.497  r-ZTF  1866.993  215.355  19.322  0.125  None  P48  ZTF-Cam  None
OBS:      59264.520  r-ZTF  2044.867  180.951  19.223  0.096  None  P48  ZTF-Cam  None
OBS:      59270.343  r-ZTF  1969.738  301.001  19.264  0.166  None  P48  ZTF-Cam  None
OBS:      59272.452  r-ZTF  2186.398  378.347  19.151  0.188  None  P48  ZTF-Cam  None
OBS:      59280.433  r-ZTF  1542.808  208.694  19.529  0.147  None  P48  ZTF-Cam  None
OBS:      59291.371  r-ZTF  1603.134  192.022  19.488  0.130  None  P48  ZTF-Cam  None
OBS:      59297.412  r-ZTF  1588.930  241.619  19.497  0.165  None  P48  ZTF-Cam  None
OBS:      59305.347  r-ZTF  1309.924  231.679  19.707  0.192  None  P48  ZTF-Cam  None
OBS:      59307.346  r-ZTF  1278.224  186.885  19.733  0.159  None  P48  ZTF-Cam  None
OBS:      59309.401  r-ZTF  1421.329  177.293  19.618  0.135  None  P48  ZTF-Cam  None
OBS:      59311.326  r-ZTF  1265.956  167.228  19.744  0.143  None  P48  ZTF-Cam  None
OBS:      59313.352  r-ZTF  1121.849  165.004  19.875  0.160  None  P48  ZTF-Cam  None
OBS:      59317.410  r-ZTF  1051.655  133.346  19.945  0.138  None  P48  ZTF-Cam  None
OBS:      59321.406  r-ZTF  1109.960  166.599  19.887  0.163  None  P48  ZTF-Cam  None
OBS:      59329.287  r-ZTF  1151.007  222.629  19.847  0.210  None  P48  ZTF-Cam  None
OBS:      59340.312  r-ZTF  1040.759  149.675  19.957  0.156  None  P48  ZTF-Cam  None
OBS:      59345.325  r-ZTF  828.973  144.546  20.204  0.189  None  P48  ZTF-Cam  None
OBS:      59349.298  r-ZTF  879.510  139.700  20.139  0.172  None  P48  ZTF-Cam  None
OBS:      59353.322  r-ZTF  850.145  129.187  20.176  0.165  None  P48  ZTF-Cam  None
OBS:      59368.299  r-ZTF  749.225  133.123  20.313  0.193  None  P48  ZTF-Cam  None
OBS:      59108.221  cyan  44258.837  1426.736  15.885  0.035  None  ATLAS  HKO  None
OBS:      58929.536  r  -346.811  118.736  nan  -0.372  None  Pan-STARRS1  GPC1  None
OBS:      58929.539  g  -91.474  123.645  nan  -1.468  None  Pan-STARRS1  GPC1  None
OBS:      58933.516  r  -376.127  191.010  nan  -0.551  None  Pan-STARRS1  GPC1  None
OBS:      58942.482  i  -153.647  188.928  nan  -1.335  None  Pan-STARRS1  GPC1  None
OBS:      58942.485  r  -194.490  221.749  nan  -1.238  None  Pan-STARRS1  GPC1  None
OBS:      58947.517  r  9.962  177.748  25.004  17.843  None  Pan-STARRS1  GPC1  None
OBS:      58947.520  z  63.707  207.888  22.990  3.263  None  Pan-STARRS1  GPC1  None
OBS:      58956.473  g  9.027  114.242  25.111  12.656  None  Pan-STARRS1  GPC1  None
OBS:      58956.476  r  41.335  118.402  23.459  2.864  None  Pan-STARRS1  GPC1  None
OBS:      58958.516  g  110.049  78.598  22.396  0.714  None  Pan-STARRS1  GPC1  None
OBS:      58960.459  g  112.964  103.415  22.368  0.915  None  Pan-STARRS1  GPC1  None
OBS:      58960.462  r  143.059  95.734  22.111  0.669  None  Pan-STARRS1  GPC1  None
OBS:      58965.485  g  0.689  337.598  27.905  490.129  None  Pan-STARRS1  GPC1  None
OBS:      58965.487  r  -42.491  356.990  nan  -9.122  None  Pan-STARRS1  GPC1  None
OBS:      58969.375  g  -198.907  370.529  nan  -2.023  None  Pan-STARRS1  GPC1  None
OBS:      58969.378  z  184.348  527.838  21.836  2.863  None  Pan-STARRS1  GPC1  None
OBS:      58971.412  g  -6.264  105.808  nan  -18.340  None  Pan-STARRS1  GPC1  None
OBS:      58974.416  r  -34.954  295.085  nan  -9.166  None  Pan-STARRS1  GPC1  None
OBS:      58974.419  z  273.721  555.210  21.407  2.028  None  Pan-STARRS1  GPC1  None
OBS:      58975.431  r  412.022  180.362  20.963  0.438  None  Pan-STARRS1  GPC1  None
OBS:      58975.434  i  180.712  130.045  21.858  0.720  None  Pan-STARRS1  GPC1  None
OBS:      58980.375  i  152.644  79.113  22.041  0.518  None  Pan-STARRS1  GPC1  None
OBS:      58980.378  r  174.600  80.664  21.895  0.462  None  Pan-STARRS1  GPC1  None
OBS:      58982.455  g  80.124  160.083  22.741  1.998  None  Pan-STARRS1  GPC1  None
OBS:      58982.458  i  225.957  136.169  21.615  0.603  None  Pan-STARRS1  GPC1  None
OBS:      58984.286  g  -2.533  115.125  nan  -49.353  None  Pan-STARRS1  GPC1  None
OBS:      58984.289  z  326.588  120.567  21.215  0.369  None  Pan-STARRS1  GPC1  None
OBS:      58987.384  g  -94.871  207.769  nan  -2.378  None  Pan-STARRS1  GPC1  None
OBS:      58987.387  i  197.691  160.885  21.760  0.814  None  Pan-STARRS1  GPC1  None
OBS:      59003.385  r  -123.366  308.247  nan  -2.713  None  Pan-STARRS1  GPC1  None
OBS:      59009.360  z  386.060  222.357  21.033  0.576  None  Pan-STARRS1  GPC1  None
OBS:      59009.363  r  73.338  156.017  22.837  2.127  None  Pan-STARRS1  GPC1  None
OBS:      59014.419  g  -27.544  284.287  nan  -11.206  None  Pan-STARRS1  GPC1  None
OBS:      59014.422  i  271.504  155.414  21.416  0.572  None  Pan-STARRS1  GPC1  None
OBS:      59017.291  r  192.825  114.058  21.787  0.592  None  Pan-STARRS1  GPC1  None
OBS:      59017.294  g  93.497  108.687  22.573  1.162  None  Pan-STARRS1  GPC1  None
OBS:      59021.290  g  12.591  57.430  24.750  4.561  None  Pan-STARRS1  GPC1  None
OBS:      59021.293  i  303.530  66.213  21.294  0.218  None  Pan-STARRS1  GPC1  None
OBS:      59022.288  r  186.150  239.539  21.825  1.287  None  Pan-STARRS1  GPC1  None
OBS:      59026.285  g  -178.024  187.028  nan  -1.141  None  Pan-STARRS1  GPC1  None
OBS:      59026.288  i  278.711  198.493  21.387  0.712  None  Pan-STARRS1  GPC1  None
OBS:      59033.279  r  106.209  136.700  22.435  1.287  None  Pan-STARRS1  GPC1  None
OBS:      59033.282  z  238.056  158.588  21.558  0.666  None  Pan-STARRS1  GPC1  None
OBS:      59037.270  r  57.060  74.029  23.109  1.297  None  Pan-STARRS1  GPC1  None
OBS:      59037.273  i  288.304  65.967  21.350  0.229  None  Pan-STARRS1  GPC1  None
OBS:      59040.270  z  276.138  158.113  21.397  0.573  None  Pan-STARRS1  GPC1  None
OBS:      59040.272  r  -1.180  136.131  nan  -125.263  None  Pan-STARRS1  GPC1  None
OBS:      59042.293  i  310.090  75.912  21.271  0.245  None  Pan-STARRS1  GPC1  None
OBS:      59042.295  g  -29.454  79.048  nan  -2.914  None  Pan-STARRS1  GPC1  None
OBS:      59047.267  r  263.309  193.238  21.449  0.734  None  Pan-STARRS1  GPC1  None
OBS:      59047.270  g  -64.183  204.891  nan  -3.466  None  Pan-STARRS1  GPC1  None
OBS:      59051.280  i  283.529  49.113  21.369  0.173  None  Pan-STARRS1  GPC1  None
OBS:      59053.274  g  261.593  160.997  21.456  0.615  None  Pan-STARRS1  GPC1  None
OBS:      59058.292  i  -127.352  273.695  nan  -2.333  None  Pan-STARRS1  GPC1  None
OBS:      59058.295  g  -133.975  411.338  nan  -3.333  None  Pan-STARRS1  GPC1  None
OBS:      59058.295  g  -133.975  411.338  nan  -3.333  None  Pan-STARRS1  GPC1  None
OBS:      59058.295  g  -133.975  411.338  nan  -3.333  None  Pan-STARRS1  GPC1  None
OBS:      59064.294  r  60.993  250.679  23.037  4.110  None  Pan-STARRS1  GPC1  None
OBS:      59064.296  z  238.110  233.409  21.558  0.980  None  Pan-STARRS1  GPC1  None
OBS:      59066.270  r  186.236  200.272  21.825  1.075  None  Pan-STARRS1  GPC1  None
OBS:      59066.272  i  92.854  201.519  22.581  2.170  None  Pan-STARRS1  GPC1  None
OBS:      59070.283  i  -299.479  331.634  nan  -1.202  None  Pan-STARRS1  GPC1  None
OBS:      59072.270  z  254.572  212.400  21.485  0.834  None  Pan-STARRS1  GPC1  None
OBS:      59072.272  g  110.658  236.557  22.390  2.138  None  Pan-STARRS1  GPC1  None
OBS:      59074.273  i  208.788  113.051  21.701  0.541  None  Pan-STARRS1  GPC1  None
OBS:      59074.276  g  100.308  123.053  22.497  1.227  None  Pan-STARRS1  GPC1  None
OBS:      59078.255  g  156.151  119.972  22.016  0.768  None  Pan-STARRS1  GPC1  None
OBS:      59078.258  i  -17.620  105.080  nan  -6.475  None  Pan-STARRS1  GPC1  None
OBS:      59081.252  r  -51.017  288.868  nan  -6.148  None  Pan-STARRS1  GPC1  None
OBS:      59081.254  g  26.900  175.126  23.926  6.510  None  Pan-STARRS1  GPC1  None
OBS:      59093.252  r  -211.176  192.784  nan  -0.991  None  Pan-STARRS1  GPC1  None
OBS:      59093.255  z  132.455  227.479  22.195  1.717  None  Pan-STARRS1  GPC1  None
OBS:      59095.247  r  -97.588  107.231  nan  -1.193  None  Pan-STARRS1  GPC1  None
OBS:      59095.249  i  102.036  84.982  22.478  0.833  None  Pan-STARRS1  GPC1  None
OBS:      59097.238  z  561.259  167.697  20.627  0.299  None  Pan-STARRS1  GPC1  None
OBS:      59097.240  r  273.733  79.385  21.407  0.290  None  Pan-STARRS1  GPC1  None
OBS:      59100.236  z  2322.144  338.831  19.085  0.146  None  Pan-STARRS1  GPC1  None
OBS:      59100.239  r  1740.430  178.399  19.398  0.103  None  Pan-STARRS1  GPC1  None
OBS:      59104.242  g  6975.767  282.716  17.891  0.044  None  Pan-STARRS1  GPC1  None
OBS:      59104.244  z  6766.559  256.985  17.924  0.041  None  Pan-STARRS1  GPC1  None
OBS:      59220.659  g  10722.104  137.023  17.424  0.014  None  Pan-STARRS1  GPC1  None
OBS:      59220.659  g  10548.726  133.655  17.442  0.014  None  Pan-STARRS1  GPC1  None
OBS:      59220.662  z  26850.971  174.225  16.428  0.007  None  Pan-STARRS1  GPC1  None
OBS:      59220.662  z  26015.969  188.173  16.462  0.008  None  Pan-STARRS1  GPC1  None
OBS:      59226.632  g  6081.350  281.171  18.040  0.050  None  Pan-STARRS1  GPC1  None
OBS:      59226.632  g  5874.894  286.979  18.078  0.053  None  Pan-STARRS1  GPC1  None
OBS:      59226.635  r  14069.543  305.882  17.129  0.024  None  Pan-STARRS1  GPC1  None
OBS:      59226.635  r  14295.521  325.979  17.112  0.025  None  Pan-STARRS1  GPC1  None
OBS:      59236.659  g  636.850  298.719  20.490  0.469  None  Pan-STARRS1  GPC1  None
OBS:      59236.661  i  1109.474  364.334  19.887  0.328  None  Pan-STARRS1  GPC1  None
OBS:      59242.637  r  -2205.022  291.327  nan  -0.143  None  Pan-STARRS1  GPC1  None
OBS:      59242.640  i  -2331.347  374.056  nan  -0.174  None  Pan-STARRS1  GPC1  None
OBS:      59245.660  i  1544.828  260.527  19.528  0.169  None  Pan-STARRS1  GPC1  None
OBS:      59245.663  r  2105.329  284.692  19.192  0.147  None  Pan-STARRS1  GPC1  None
OBS:      59245.663  r  2097.587  295.847  19.196  0.153  None  Pan-STARRS1  GPC1  None
OBS:      59246.643  r  1965.531  344.618  19.266  0.190  None  Pan-STARRS1  GPC1  None
OBS:      59246.643  r  1820.707  321.413  19.349  0.192  None  Pan-STARRS1  GPC1  None
OBS:      59246.646  z  3134.729  324.697  18.759  0.112  None  Pan-STARRS1  GPC1  None
OBS:      59246.646  z  3168.692  280.257  18.748  0.096  None  Pan-STARRS1  GPC1  None
OBS:      59257.569  i  1512.446  77.921  19.551  0.056  None  Pan-STARRS1  GPC1  None
OBS:      59257.569  i  1525.457  71.706  19.541  0.051  None  Pan-STARRS1  GPC1  None
OBS:      59257.572  g  672.977  88.406  20.430  0.143  None  Pan-STARRS1  GPC1  None
OBS:      59257.572  g  632.412  85.245  20.497  0.146  None  Pan-STARRS1  GPC1  None
OBS:      59261.625  g  553.248  69.405  20.643  0.136  None  Pan-STARRS1  GPC1  None
OBS:      59261.625  g  625.000  71.791  20.510  0.125  None  Pan-STARRS1  GPC1  None
OBS:      59261.628  r  1890.079  91.076  19.309  0.052  None  Pan-STARRS1  GPC1  None
OBS:      59261.628  r  1996.917  91.334  19.249  0.050  None  Pan-STARRS1  GPC1  None
OBS:      59270.581  r  1731.410  443.113  19.404  0.278  None  Pan-STARRS1  GPC1  None
OBS:      59270.581  r  2044.184  458.848  19.224  0.244  None  Pan-STARRS1  GPC1  None
OBS:      59270.584  i  1126.367  374.194  19.871  0.361  None  Pan-STARRS1  GPC1  None
OBS:      59270.584  i  1032.952  340.816  19.965  0.358  None  Pan-STARRS1  GPC1  None
OBS:      59298.505  z  338.174  541.756  21.177  1.602  None  Pan-STARRS1  GPC1  None
OBS:      59298.508  r  1237.401  244.902  19.769  0.198  None  Pan-STARRS1  GPC1  None
OBS:      59303.528  r  966.885  373.039  20.037  0.386  None  Pan-STARRS1  GPC1  None
OBS:      59303.531  i  849.649  341.590  20.177  0.402  None  Pan-STARRS1  GPC1  None
OBS:      59304.506  r  1140.961  221.852  19.857  0.194  None  Pan-STARRS1  GPC1  None
OBS:      59304.508  z  1598.527  147.006  19.491  0.100  None  Pan-STARRS1  GPC1  None
OBS:      59304.508  z  1547.248  134.779  19.526  0.095  None  Pan-STARRS1  GPC1  None
OBS:      59313.530  r  1091.541  150.027  19.905  0.149  None  Pan-STARRS1  GPC1  None
OBS:      59313.530  r  1173.600  153.375  19.826  0.142  None  Pan-STARRS1  GPC1  None
OBS:      59313.533  g  527.862  136.225  20.694  0.280  None  Pan-STARRS1  GPC1  None
OBS:      59317.491  i  807.696  268.119  20.232  0.332  None  Pan-STARRS1  GPC1  None
OBS:      59317.494  g  550.488  215.463  20.648  0.391  None  Pan-STARRS1  GPC1  None
OBS:      59321.461  r  1086.326  65.658  19.910  0.066  None  Pan-STARRS1  GPC1  None
OBS:      59321.461  r  1173.275  66.620  19.826  0.062  None  Pan-STARRS1  GPC1  None
OBS:      59321.464  g  278.843  71.972  21.387  0.280  None  Pan-STARRS1  GPC1  None
OBS:      59321.464  g  274.258  70.869  21.405  0.281  None  Pan-STARRS1  GPC1  None
OBS:      59326.394  r  1120.779  282.551  19.876  0.274  None  Pan-STARRS1  GPC1  None
OBS:      59326.394  r  1100.424  305.751  19.896  0.302  None  Pan-STARRS1  GPC1  None
OBS:      59326.396  i  487.931  373.732  20.779  0.766  None  Pan-STARRS1  GPC1  None
OBS:      59328.462  z  942.583  530.377  20.064  0.563  None  Pan-STARRS1  GPC1  None
OBS:      59328.464  r  386.090  467.096  21.033  1.210  None  Pan-STARRS1  GPC1  None
OBS:      59331.401  i  869.697  363.277  20.151  0.418  None  Pan-STARRS1  GPC1  None
OBS:      59331.404  r  753.912  320.016  20.307  0.424  None  Pan-STARRS1  GPC1  None
OBS:      59333.431  z  999.724  122.047  20.000  0.133  None  Pan-STARRS1  GPC1  None
OBS:      59333.431  z  816.357  131.224  20.220  0.175  None  Pan-STARRS1  GPC1  None
OBS:      59333.434  r  1008.602  89.888  19.991  0.097  None  Pan-STARRS1  GPC1  None
OBS:      59333.434  r  1027.164  97.446  19.971  0.103  None  Pan-STARRS1  GPC1  None
OBS:      59344.331  i  468.123  109.793  20.824  0.255  None  Pan-STARRS1  GPC1  None
OBS:      59344.331  i  453.398  110.576  20.859  0.265  None  Pan-STARRS1  GPC1  None
OBS:      59344.334  g  233.428  132.740  21.580  0.569  None  Pan-STARRS1  GPC1  None
OBS:      59349.454  i  -204.888  361.406  nan  -1.915  None  Pan-STARRS1  GPC1  None
OBS:      59349.457  g  658.021  338.758  20.454  0.515  None  Pan-STARRS1  GPC1  None
OBS:      59351.372  i  251.269  308.556  21.500  1.228  None  Pan-STARRS1  GPC1  None
OBS:      59357.364  i  554.623  284.176  20.640  0.512  None  Pan-STARRS1  GPC1  None
OBS:      59357.367  r  552.607  274.126  20.644  0.496  None  Pan-STARRS1  GPC1  None
OBS:      59359.406  z  543.400  127.789  20.662  0.255  None  Pan-STARRS1  GPC1  None
OBS:      59359.409  r  686.879  146.810  20.408  0.232  None  Pan-STARRS1  GPC1  None
OBS:      59359.409  r  653.371  141.037  20.462  0.234  None  Pan-STARRS1  GPC1  None
OBS:      59364.395  z  629.912  95.337  20.502  0.164  None  Pan-STARRS1  GPC1  None
OBS:      59364.395  z  638.028  90.165  20.488  0.153  None  Pan-STARRS1  GPC1  None
