# CREATED_DATE: 2020-10-21T16:05:48.007Z
# MODIFIED_DATE: 2022-10-23T12:50:22.275Z
# STATUS: NeedsTemplate
# OBS_GROUP: YSE
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: UGC12218; (22:51:21.70, +32:21:01.60)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020xua
# RA: 342.8424046341604
# DEC: 32.351312614002275
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-10-22T00:00:00Z
# REDSHIFT: 0.022
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-06-28T00:24:29Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.075
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10JYSEmep/59144/1225122171322104800_59144.233_109406570_141_target.jpeg
# POSTAGE_STAMP_REF: 10JYSEmep/59144/1225122171322104800_59144.233_109406570_141_ref.jpeg
# POSTAGE_STAMP_DIFF: 10JYSEmep/59144/1225122171322104800_59144.233_109406570_141_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10JYSEmep/59144/1225122171322104800_59144.233_109406570_141_target.fits
# POSTAGE_STAMP_REF_FITS: 10JYSEmep/59144/1225122171322104800_59144.233_109406570_141_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10JYSEmep/59144/1225122171322104800_59144.233_109406570_141_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020xua
# REAL_BOGUS_SCORE: 0.994984
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 30, 33, 77]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59143.336  cyan  5888.437  319.984  18.075  0.059  None  ATLAS  HKO  None
OBS:      59066.507  r  -98.487  310.589  nan  -3.424  None  Pan-STARRS1  GPC1  None
OBS:      59066.510  z  -75.546  296.238  nan  -4.257  None  Pan-STARRS1  GPC1  None
OBS:      59070.544  r  -53.321  118.104  nan  -2.405  None  Pan-STARRS1  GPC1  None
OBS:      59070.546  i  62.919  173.005  23.003  2.750  None  Pan-STARRS1  GPC1  None
OBS:      59073.493  i  41.033  110.465  23.467  2.692  None  Pan-STARRS1  GPC1  None
OBS:      59073.496  g  -41.220  109.696  nan  -2.889  None  Pan-STARRS1  GPC1  None
OBS:      59076.477  g  -10.813  46.207  nan  -4.640  None  Pan-STARRS1  GPC1  None
OBS:      59076.480  r  26.429  48.087  23.945  1.819  None  Pan-STARRS1  GPC1  None
OBS:      59080.416  g  33.522  50.995  23.687  1.521  None  Pan-STARRS1  GPC1  None
OBS:      59080.419  i  -39.714  67.979  nan  -1.858  None  Pan-STARRS1  GPC1  None
OBS:      59090.413  r  15.110  163.430  24.552  10.816  None  Pan-STARRS1  GPC1  None
OBS:      59090.416  i  -137.017  195.621  nan  -1.550  None  Pan-STARRS1  GPC1  None
OBS:      59094.434  z  109.524  131.573  22.401  1.201  None  Pan-STARRS1  GPC1  None
OBS:      59094.437  r  35.196  128.814  23.634  3.660  None  Pan-STARRS1  GPC1  None
OBS:      59097.472  r  -65.832  228.574  nan  -3.770  None  Pan-STARRS1  GPC1  None
OBS:      59097.475  i  156.476  227.447  22.014  1.454  None  Pan-STARRS1  GPC1  None
OBS:      59101.370  g  9.390  72.786  25.068  7.751  None  Pan-STARRS1  GPC1  None
OBS:      59101.373  i  40.653  142.541  23.477  3.506  None  Pan-STARRS1  GPC1  None
OBS:      59104.401  g  -98.270  92.679  nan  -1.024  None  Pan-STARRS1  GPC1  None
OBS:      59104.404  z  -425.323  230.782  nan  -0.589  None  Pan-STARRS1  GPC1  None
OBS:      59106.257  i  -25.862  63.177  nan  -2.652  None  Pan-STARRS1  GPC1  None
OBS:      59106.260  g  14.037  44.780  24.632  3.190  None  Pan-STARRS1  GPC1  None
OBS:      59109.347  g  134.206  131.386  22.181  0.979  None  Pan-STARRS1  GPC1  None
OBS:      59109.349  r  207.179  216.364  21.709  1.044  None  Pan-STARRS1  GPC1  None
OBS:      59113.418  i  -158.413  313.047  nan  -2.146  None  Pan-STARRS1  GPC1  None
OBS:      59113.421  g  -55.142  200.844  nan  -3.955  None  Pan-STARRS1  GPC1  None
OBS:      59115.342  z  -83.962  94.929  nan  -1.228  None  Pan-STARRS1  GPC1  None
OBS:      59115.345  g  29.111  60.721  23.840  2.086  None  Pan-STARRS1  GPC1  None
OBS:      59118.434  i  17.969  83.612  24.364  4.653  None  Pan-STARRS1  GPC1  None
OBS:      59118.437  r  -25.782  85.428  nan  -3.597  None  Pan-STARRS1  GPC1  None
OBS:      59120.383  z  -12.681  380.504  nan  -32.579  None  Pan-STARRS1  GPC1  None
OBS:      59128.295  r  1.776  190.827  26.876  107.437  None  Pan-STARRS1  GPC1  None
OBS:      59128.298  i  -824.330  220.945  nan  -0.291  None  Pan-STARRS1  GPC1  None
OBS:      59131.372  g  28.081  116.886  23.879  4.162  None  Pan-STARRS1  GPC1  None
OBS:      59131.375  i  17.957  140.609  24.364  7.830  None  Pan-STARRS1  GPC1  None
OBS:      59136.290  g  -218.150  100.739  nan  -0.501  None  Pan-STARRS1  GPC1  None
OBS:      59136.293  r  -263.189  122.674  nan  -0.506  None  Pan-STARRS1  GPC1  None
OBS:      59144.230  g  7763.385  420.981  17.775  0.054  None  Pan-STARRS1  GPC1  None
OBS:      59144.233  z  4594.159  459.486  18.345  0.100  None  Pan-STARRS1  GPC1  None
OBS:      59148.306  r  8519.236  203.732  17.674  0.024  None  Pan-STARRS1  GPC1  None
OBS:      59155.221  r  8876.395  444.041  17.630  0.050  None  Pan-STARRS1  GPC1  None
OBS:      59155.224  z  8212.729  419.478  17.714  0.051  None  Pan-STARRS1  GPC1  None
OBS:      59157.365  r  8170.483  106.493  17.719  0.013  None  Pan-STARRS1  GPC1  None
OBS:      59157.368  i  7795.773  111.455  17.770  0.014  None  Pan-STARRS1  GPC1  None
OBS:      59159.251  z  8676.928  1091.466  17.654  0.126  None  Pan-STARRS1  GPC1  None
OBS:      59159.254  r  8718.721  752.983  17.649  0.086  None  Pan-STARRS1  GPC1  None
OBS:      59166.207  g  6659.197  413.853  17.941  0.062  None  Pan-STARRS1  GPC1  None
OBS:      59166.210  r  8704.155  468.154  17.651  0.054  None  Pan-STARRS1  GPC1  None
OBS:      59173.206  r  7730.422  221.154  17.779  0.029  None  Pan-STARRS1  GPC1  None
OBS:      59173.209  g  5609.170  184.511  18.128  0.033  None  Pan-STARRS1  GPC1  None
OBS:      59181.260  r  7904.043  403.771  17.755  0.051  None  Pan-STARRS1  GPC1  None
OBS:      59181.263  z  7396.488  543.715  17.827  0.074  None  Pan-STARRS1  GPC1  None
OBS:      59183.315  r  7598.800  750.706  17.798  0.099  None  Pan-STARRS1  GPC1  None
OBS:      59183.318  i  7417.299  752.564  17.824  0.101  None  Pan-STARRS1  GPC1  None
OBS:      59185.227  r  7218.246  222.335  17.854  0.031  None  Pan-STARRS1  GPC1  None
OBS:      59185.229  z  7096.793  222.084  17.872  0.031  None  Pan-STARRS1  GPC1  None
OBS:      59187.207  i  7552.056  171.548  17.805  0.023  None  Pan-STARRS1  GPC1  None
OBS:      59187.210  r  6997.329  209.547  17.888  0.030  None  Pan-STARRS1  GPC1  None
OBS:      59189.217  r  6858.394  126.343  17.909  0.018  None  Pan-STARRS1  GPC1  None
OBS:      59189.219  z  7575.986  174.959  17.801  0.023  None  Pan-STARRS1  GPC1  None
OBS:      59807.446  i  73.274  190.032  22.838  2.593  None  Pan-STARRS1  GPC1  None
OBS:      59807.449  r  -21.002  289.430  nan  -14.963  None  Pan-STARRS1  GPC1  None
OBS:      59813.474  r  1.211  182.915  27.292  151.059  None  Pan-STARRS1  GPC1  None
OBS:      59813.477  g  182.119  238.377  21.849  1.309  None  Pan-STARRS1  GPC1  None
OBS:      59820.358  i  13.168  142.339  24.701  10.809  None  Pan-STARRS1  GPC1  None
OBS:      59820.361  g  -54.911  102.434  nan  -2.025  None  Pan-STARRS1  GPC1  None
OBS:      59821.404  g  -1395.515  188.195  nan  -0.146  None  Pan-STARRS1  GPC1  None
OBS:      59821.406  r  -2052.062  215.483  nan  -0.114  None  Pan-STARRS1  GPC1  None
OBS:      59824.433  i  11.665  72.936  24.833  6.252  None  Pan-STARRS1  GPC1  None
OBS:      59824.436  g  -29.024  70.848  nan  -2.650  None  Pan-STARRS1  GPC1  None
OBS:      59836.311  r  25.319  115.957  23.991  4.580  None  Pan-STARRS1  GPC1  None
OBS:      59836.314  i  150.821  145.732  22.054  0.966  None  Pan-STARRS1  GPC1  None
OBS:      59840.388  g  -6.555  91.881  nan  -15.218  None  Pan-STARRS1  GPC1  None
OBS:      59840.391  y  35.253  307.738  23.632  8.729  None  Pan-STARRS1  GPC1  None
OBS:      59845.338  g  17.540  132.228  24.390  7.539  None  Pan-STARRS1  GPC1  None
OBS:      59845.341  i  55.324  125.968  23.143  2.277  None  Pan-STARRS1  GPC1  None
OBS:      59850.282  r  -19.152  155.726  nan  -8.828  None  Pan-STARRS1  GPC1  None
OBS:      59850.285  g  -43.140  135.740  nan  -3.416  None  Pan-STARRS1  GPC1  None
OBS:      59868.436  r  -7.813  77.376  nan  -10.753  None  Pan-STARRS1  GPC1  None
OBS:      59868.439  z  -137.892  133.630  nan  -1.052  None  Pan-STARRS1  GPC1  None
OBS:      59875.323  i  39.223  82.550  23.516  2.105  None  Pan-STARRS1  GPC1  None
OBS:      59875.327  g  -70.801  74.439  nan  -1.142  None  Pan-STARRS1  GPC1  None
OBS:      59144.230  g  7798.301  359.125  17.770  0.050  None  Pan-STARRS1  GPC1  None
