# CREATED_DATE: 2020-01-16T08:08:33.950Z
# MODIFIED_DATE: 2022-09-03T05:54:05.361Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ib/c
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237661434319863972/UGC09495/1; (14:43:52.05, +41:14:03.64)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020zx
# RA: 220.95745545140622
# DEC: 41.228880484108664
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-01-18T00:00:00Z
# REDSHIFT: 0.033
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-01-11T11:13:55Z
# NON_DETECT_LIMIT: 19.7073
# MW_EBV: 0.014
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10AYSEadz/58866/1144349791411344000_58866.657_101621163_167_target.jpeg
# POSTAGE_STAMP_REF: 10AYSEadz/58866/1144349791411344000_58866.657_101621163_167_ref.jpeg
# POSTAGE_STAMP_DIFF: 10AYSEadz/58866/1144349791411344000_58866.657_101621163_167_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10AYSEadz/58866/1144349791411344000_58866.657_101621163_167_target.fits
# POSTAGE_STAMP_REF_FITS: 10AYSEadz/58866/1144349791411344000_58866.657_101621163_167_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10AYSEadz/58866/1144349791411344000_58866.657_101621163_167_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020zx
# REAL_BOGUS_SCORE: 0.998318
# HAS_HST: None
# HAS_SPITZER: None
# HAS_CHANDRA: None
# TAGS: [29, 77]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      58872.448  g-ZTF  1844.858  310.799  19.335  0.183  None  P48  ZTF-Cam  None
OBS:      58872.554  r-ZTF  1500.600  171.644  19.559  0.124  None  P48  ZTF-Cam  None
OBS:      58875.495  g-ZTF  1300.071  203.501  19.715  0.170  None  P48  ZTF-Cam  None
OBS:      58875.552  r-ZTF  1697.714  230.132  19.425  0.147  None  P48  ZTF-Cam  None
OBS:      58878.555  r-ZTF  1806.825  211.170  19.358  0.127  None  P48  ZTF-Cam  None
OBS:      58881.494  g-ZTF  1205.336  148.081  19.797  0.133  None  P48  ZTF-Cam  None
OBS:      58881.557  r-ZTF  1738.953  174.389  19.399  0.109  None  P48  ZTF-Cam  None
OBS:      58884.475  g-ZTF  1290.290  172.521  19.723  0.145  None  P48  ZTF-Cam  None
OBS:      58884.547  r-ZTF  1756.743  251.220  19.388  0.155  None  P48  ZTF-Cam  None
OBS:      58887.531  r-ZTF  1701.443  219.916  19.423  0.140  None  P48  ZTF-Cam  None
OBS:      58893.497  g-ZTF  1331.431  244.422  19.689  0.199  None  P48  ZTF-Cam  None
OBS:      58898.456  g-ZTF  777.666  128.194  20.273  0.179  None  P48  ZTF-Cam  None
OBS:      58898.512  r-ZTF  1581.019  172.556  19.503  0.118  None  P48  ZTF-Cam  None
OBS:      58903.496  r-ZTF  1688.947  172.226  19.431  0.111  None  P48  ZTF-Cam  None
OBS:      58903.541  g-ZTF  1015.249  152.400  19.984  0.163  None  P48  ZTF-Cam  None
OBS:      58911.426  g-ZTF  846.231  168.107  20.181  0.216  None  P48  ZTF-Cam  None
OBS:      58911.484  r-ZTF  1671.568  248.126  19.442  0.161  None  P48  ZTF-Cam  None
OBS:      58914.530  r-ZTF  1373.117  131.080  19.656  0.104  None  P48  ZTF-Cam  None
OBS:      58936.406  r-ZTF  1189.219  153.710  19.812  0.140  None  P48  ZTF-Cam  None
OBS:      58941.426  r-ZTF  1184.804  173.655  19.816  0.159  None  P48  ZTF-Cam  None
OBS:      58954.444  r-ZTF  1009.989  179.115  19.989  0.193  None  P48  ZTF-Cam  None
OBS:      58863.453  g-ZTF  1725.679  0.000  19.408  0.000  None  P48  ZTF-Cam  None
OBS:      58866.655  g  1813.510  158.500  19.354  0.095  None  Pan-STARRS1  GPC1  None
OBS:      58866.658  z  1142.984  174.205  19.855  0.165  None  Pan-STARRS1  GPC1  None
OBS:      58868.654  r  1524.614  71.094  19.542  0.051  None  Pan-STARRS1  GPC1  None
OBS:      58868.657  g  1655.160  87.297  19.453  0.057  None  Pan-STARRS1  GPC1  None
OBS:      58873.621  g  1575.869  94.402  19.506  0.065  None  Pan-STARRS1  GPC1  None
OBS:      58873.624  r  1834.848  88.961  19.341  0.053  None  Pan-STARRS1  GPC1  None
OBS:      58877.639  g  1530.242  217.800  19.538  0.155  None  Pan-STARRS1  GPC1  None
OBS:      58877.642  i  1625.399  222.383  19.473  0.149  None  Pan-STARRS1  GPC1  None
OBS:      58883.650  z  1256.377  203.245  19.752  0.176  None  Pan-STARRS1  GPC1  None
OBS:      58883.653  r  1771.577  127.872  19.379  0.078  None  Pan-STARRS1  GPC1  None
OBS:      58929.536  r  1336.842  145.916  19.685  0.119  None  Pan-STARRS1  GPC1  None
OBS:      58929.539  g  732.217  121.883  20.338  0.181  None  Pan-STARRS1  GPC1  None
OBS:      58933.516  r  1308.579  138.297  19.708  0.115  None  Pan-STARRS1  GPC1  None
OBS:      58942.482  i  984.464  171.853  20.017  0.190  None  Pan-STARRS1  GPC1  None
OBS:      58942.485  r  1104.384  181.512  19.892  0.178  None  Pan-STARRS1  GPC1  None
OBS:      58956.473  g  223.608  137.607  21.626  0.615  None  Pan-STARRS1  GPC1  None
OBS:      58956.476  r  660.085  122.453  20.451  0.201  None  Pan-STARRS1  GPC1  None
OBS:      58958.516  g  200.835  46.245  21.743  0.250  None  Pan-STARRS1  GPC1  None
OBS:      58958.519  i  584.252  68.542  20.584  0.127  None  Pan-STARRS1  GPC1  None
OBS:      58960.459  g  157.258  107.811  22.009  0.686  None  Pan-STARRS1  GPC1  None
OBS:      58960.462  r  514.897  90.561  20.721  0.191  None  Pan-STARRS1  GPC1  None
OBS:      58965.485  g  17.495  272.069  24.393  15.551  None  Pan-STARRS1  GPC1  None
OBS:      58965.487  r  424.043  258.857  20.931  0.610  None  Pan-STARRS1  GPC1  None
OBS:      58969.375  g  60.676  294.209  23.042  4.849  None  Pan-STARRS1  GPC1  None
OBS:      58969.378  z  724.778  477.914  20.349  0.659  None  Pan-STARRS1  GPC1  None
OBS:      58971.412  g  127.006  104.884  22.241  0.826  None  Pan-STARRS1  GPC1  None
OBS:      58971.415  i  405.583  83.020  20.980  0.222  None  Pan-STARRS1  GPC1  None
OBS:      58972.432  g  269.234  174.030  21.425  0.646  None  Pan-STARRS1  GPC1  None
OBS:      58972.435  z  543.652  148.698  20.662  0.274  None  Pan-STARRS1  GPC1  None
OBS:      58974.416  r  292.680  339.397  21.334  1.160  None  Pan-STARRS1  GPC1  None
OBS:      58974.419  z  366.038  591.655  21.091  1.616  None  Pan-STARRS1  GPC1  None
OBS:      58975.431  r  473.374  198.180  20.812  0.419  None  Pan-STARRS1  GPC1  None
OBS:      58975.434  i  362.658  144.163  21.101  0.398  None  Pan-STARRS1  GPC1  None
OBS:      58980.375  i  337.381  48.327  21.180  0.156  None  Pan-STARRS1  GPC1  None
OBS:      58980.378  r  335.089  44.072  21.187  0.143  None  Pan-STARRS1  GPC1  None
OBS:      58984.286  g  71.691  104.309  22.861  1.455  None  Pan-STARRS1  GPC1  None
OBS:      58984.289  z  378.544  119.097  21.055  0.315  None  Pan-STARRS1  GPC1  None
OBS:      58987.384  g  51.637  210.377  23.218  4.074  None  Pan-STARRS1  GPC1  None
OBS:      58987.387  i  377.136  152.059  21.059  0.403  None  Pan-STARRS1  GPC1  None
OBS:      58992.291  g  125.375  37.497  22.254  0.299  None  Pan-STARRS1  GPC1  None
OBS:      58992.293  i  247.332  41.746  21.517  0.183  None  Pan-STARRS1  GPC1  None
OBS:      58997.322  g  64.038  53.362  22.984  0.833  None  Pan-STARRS1  GPC1  None
OBS:      58997.325  i  193.446  50.406  21.784  0.283  None  Pan-STARRS1  GPC1  None
OBS:      58999.367  g  119.446  82.633  22.307  0.692  None  Pan-STARRS1  GPC1  None
OBS:      58999.370  i  255.448  100.115  21.482  0.392  None  Pan-STARRS1  GPC1  None
OBS:      59003.385  r  387.136  353.885  21.030  0.914  None  Pan-STARRS1  GPC1  None
OBS:      59003.388  z  57.770  515.204  23.096  8.918  None  Pan-STARRS1  GPC1  None
OBS:      59009.360  z  326.515  219.055  21.215  0.671  None  Pan-STARRS1  GPC1  None
OBS:      59009.363  r  320.893  87.605  21.234  0.296  None  Pan-STARRS1  GPC1  None
OBS:      59014.419  g  90.608  151.798  22.607  1.675  None  Pan-STARRS1  GPC1  None
OBS:      59014.422  i  276.134  118.379  21.397  0.429  None  Pan-STARRS1  GPC1  None
OBS:      59017.291  r  218.755  93.955  21.650  0.429  None  Pan-STARRS1  GPC1  None
OBS:      59017.294  g  63.476  88.501  22.994  1.394  None  Pan-STARRS1  GPC1  None
OBS:      59021.290  g  44.099  75.410  23.389  1.710  None  Pan-STARRS1  GPC1  None
OBS:      59021.293  i  126.138  75.316  22.248  0.597  None  Pan-STARRS1  GPC1  None
OBS:      59022.288  r  280.507  220.975  21.380  0.788  None  Pan-STARRS1  GPC1  None
OBS:      59022.291  g  -26.384  212.715  nan  -8.754  None  Pan-STARRS1  GPC1  None
OBS:      59028.279  g  13.820  87.702  24.649  6.346  None  Pan-STARRS1  GPC1  None
OBS:      59028.282  z  441.164  94.204  20.889  0.232  None  Pan-STARRS1  GPC1  None
OBS:      59030.285  r  224.095  70.059  21.624  0.313  None  Pan-STARRS1  GPC1  None
OBS:      59030.288  i  158.757  67.164  21.998  0.423  None  Pan-STARRS1  GPC1  None
OBS:      59033.279  r  205.686  125.925  21.717  0.612  None  Pan-STARRS1  GPC1  None
OBS:      59033.282  z  379.937  160.919  21.051  0.424  None  Pan-STARRS1  GPC1  None
OBS:      59037.270  r  235.053  46.929  21.572  0.200  None  Pan-STARRS1  GPC1  None
OBS:      59037.273  i  197.810  50.368  21.759  0.255  None  Pan-STARRS1  GPC1  None
OBS:      59040.270  z  152.940  201.252  22.039  1.316  None  Pan-STARRS1  GPC1  None
OBS:      59040.272  r  170.537  101.745  21.921  0.597  None  Pan-STARRS1  GPC1  None
OBS:      59047.267  r  164.098  218.243  21.962  1.330  None  Pan-STARRS1  GPC1  None
OBS:      59047.267  r  164.098  218.243  21.962  1.330  None  Pan-STARRS1  GPC1  None
OBS:      59047.270  g  85.585  282.458  22.669  3.300  None  Pan-STARRS1  GPC1  None
OBS:      59047.270  g  85.585  282.458  22.669  3.300  None  Pan-STARRS1  GPC1  None
OBS:      59051.280  i  147.690  35.362  22.077  0.239  None  Pan-STARRS1  GPC1  None
OBS:      59051.280  i  147.690  35.362  22.077  0.239  None  Pan-STARRS1  GPC1  None
OBS:      59053.274  g  211.867  112.334  21.685  0.530  None  Pan-STARRS1  GPC1  None
OBS:      59053.274  g  211.867  112.334  21.685  0.530  None  Pan-STARRS1  GPC1  None
