# CREATED_DATE: 2021-02-04T19:07:55.253Z
# MODIFIED_DATE: 2022-10-15T12:08:52.945Z
# STATUS: Ignore
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ib/c
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 2MASXJ16182821+1346253; (16:18:28.21, +13:46:25.38)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021btn
# RA: 244.61772431126943
# DEC: 13.7744223016733
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-04-06T00:00:00Z
# REDSHIFT: 0.083
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-01-18T12:57:04Z
# NON_DETECT_LIMIT: 20.5506
# MW_EBV: 0.049
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11DYSEbsh/59310/1161828251134627900_59310.493_113902288_162_target.jpeg
# POSTAGE_STAMP_REF: 11DYSEbsh/59310/1161828251134627900_59310.493_113902288_162_ref.jpeg
# POSTAGE_STAMP_DIFF: 11DYSEbsh/59310/1161828251134627900_59310.493_113902288_162_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11DYSEbsh/59310/1161828251134627900_59310.493_113902288_162_target.fits
# POSTAGE_STAMP_REF_FITS: 11DYSEbsh/59310/1161828251134627900_59310.493_113902288_162_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11DYSEbsh/59310/1161828251134627900_59310.493_113902288_162_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.069
# ALT_STATUS: CONFIRMED
# SLUG: 2021btn
# REAL_BOGUS_SCORE: 0.99984
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 30]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59249.504  r-ZTF  2684.603  277.316  18.928  0.112  None  P48  ZTF-Cam  None
OBS:      59249.504  r-ZTF  2684.600  277.314  18.928  0.112  None  P48  ZTF-Cam  None
OBS:      59251.489  r-ZTF  3073.977  310.384  18.781  0.110  None  P48  ZTF-Cam  None
OBS:      59253.506  r-ZTF  3096.677  259.255  18.773  0.091  None  P48  ZTF-Cam  None
OBS:      59256.456  r-ZTF  3723.936  235.057  18.572  0.069  None  P48  ZTF-Cam  None
OBS:      59263.476  r-ZTF  4640.869  387.287  18.334  0.091  None  P48  ZTF-Cam  None
OBS:      59267.416  r-ZTF  4354.353  327.843  18.403  0.082  None  P48  ZTF-Cam  None
OBS:      59270.496  r-ZTF  4612.972  432.603  18.340  0.102  None  P48  ZTF-Cam  None
OBS:      59273.465  r-ZTF  4491.922  457.968  18.369  0.111  None  P48  ZTF-Cam  None
OBS:      59278.475  r-ZTF  4691.173  385.658  18.322  0.089  None  P48  ZTF-Cam  None
OBS:      59282.505  r-ZTF  4415.081  285.907  18.388  0.070  None  P48  ZTF-Cam  None
OBS:      59291.460  r-ZTF  3858.402  304.078  18.534  0.086  None  P48  ZTF-Cam  None
OBS:      59295.482  r-ZTF  3443.665  252.314  18.657  0.080  None  P48  ZTF-Cam  None
OBS:      59297.420  r-ZTF  3264.495  304.547  18.715  0.101  None  P48  ZTF-Cam  None
OBS:      59301.402  r-ZTF  2817.898  461.302  18.875  0.178  None  P48  ZTF-Cam  None
OBS:      59303.425  r-ZTF  2661.833  320.013  18.937  0.131  None  P48  ZTF-Cam  None
OBS:      59306.476  r-ZTF  2623.141  306.656  18.953  0.127  None  P48  ZTF-Cam  None
OBS:      59308.458  r-ZTF  2582.343  238.053  18.970  0.100  None  P48  ZTF-Cam  None
OBS:      59310.444  r-ZTF  2609.491  244.891  18.959  0.102  None  P48  ZTF-Cam  None
OBS:      59312.400  r-ZTF  2396.202  249.859  19.051  0.113  None  P48  ZTF-Cam  None
OBS:      59319.389  r-ZTF  2132.955  286.035  19.178  0.146  None  P48  ZTF-Cam  None
