# CREATED_DATE: 2021-03-26T21:31:42.146Z
# MODIFIED_DATE: 2022-10-15T12:08:54.139Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ia
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: SDSSJ160153.62+201526.8; (16:01:53.69, +20:15:29.04)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021hud
# RA: 240.47210385959337
# DEC: 20.258336804480688
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-03-26T00:00:00Z
# REDSHIFT: 0.047469
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-03-22T07:25:32Z
# NON_DETECT_LIMIT: 19.2516
# MW_EBV: 0.043
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11CYSEbph/59299/1160153301201530000_59299.552_113635978_418_target.jpeg
# POSTAGE_STAMP_REF: 11CYSEbph/59299/1160153301201530000_59299.552_113635978_418_ref.jpeg
# POSTAGE_STAMP_DIFF: 11CYSEbph/59299/1160153301201530000_59299.552_113635978_418_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11CYSEbph/59299/1160153301201530000_59299.552_113635978_418_target.fits
# POSTAGE_STAMP_REF_FITS: 11CYSEbph/59299/1160153301201530000_59299.552_113635978_418_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11CYSEbph/59299/1160153301201530000_59299.552_113635978_418_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2021hud
# REAL_BOGUS_SCORE: 0.685837
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 30]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59324.290  r-ZTF  972.497  176.903  20.030  0.198  None  P48  ZTF-Cam  None
OBS:      59255.619  g  725.546  261.111  20.348  0.360  None  Pan-STARRS1  GPC1  None
OBS:      59255.622  i  638.774  283.758  20.487  0.444  None  Pan-STARRS1  GPC1  None
OBS:      59262.632  g  654.685  101.418  20.460  0.155  None  Pan-STARRS1  GPC1  None
OBS:      59268.588  i  822.710  258.910  20.212  0.315  None  Pan-STARRS1  GPC1  None
OBS:      59268.591  r  560.166  240.533  20.629  0.429  None  Pan-STARRS1  GPC1  None
OBS:      59292.507  r  641.888  114.583  20.481  0.179  None  Pan-STARRS1  GPC1  None
OBS:      59297.530  i  664.879  301.513  20.443  0.453  None  Pan-STARRS1  GPC1  None
OBS:      59297.533  r  300.536  256.948  21.305  0.855  None  Pan-STARRS1  GPC1  None
OBS:      59299.550  r  702.097  122.847  20.384  0.175  None  Pan-STARRS1  GPC1  None
OBS:      59299.553  z  561.442  146.622  20.627  0.261  None  Pan-STARRS1  GPC1  None
OBS:      59300.528  r  997.273  1068.084  20.003  1.071  None  Pan-STARRS1  GPC1  None
OBS:      59300.531  i  1008.589  846.045  19.991  0.839  None  Pan-STARRS1  GPC1  None
OBS:      59311.469  g  405.713  99.623  20.979  0.246  None  Pan-STARRS1  GPC1  None
OBS:      59311.472  i  709.065  85.710  20.373  0.121  None  Pan-STARRS1  GPC1  None
OBS:      59317.498  g  340.416  115.571  21.170  0.340  None  Pan-STARRS1  GPC1  None
OBS:      59317.501  r  504.453  85.937  20.743  0.170  None  Pan-STARRS1  GPC1  None
OBS:      59321.575  i  689.591  66.965  20.404  0.097  None  Pan-STARRS1  GPC1  None
OBS:      59321.579  g  279.564  50.785  21.384  0.182  None  Pan-STARRS1  GPC1  None
OBS:      59326.465  r  606.065  219.218  20.544  0.362  None  Pan-STARRS1  GPC1  None
OBS:      59326.468  z  490.708  409.481  20.773  0.834  None  Pan-STARRS1  GPC1  None
OBS:      59327.458  i  722.166  229.515  20.353  0.318  None  Pan-STARRS1  GPC1  None
OBS:      59327.462  r  568.097  252.367  20.614  0.444  None  Pan-STARRS1  GPC1  None
OBS:      59336.608  i  692.385  169.470  20.399  0.245  None  Pan-STARRS1  GPC1  None
OBS:      59336.611  r  674.242  302.422  20.428  0.449  None  Pan-STARRS1  GPC1  None
OBS:      59342.553  g  179.067  126.618  21.867  0.707  None  Pan-STARRS1  GPC1  None
OBS:      59342.556  r  429.068  177.428  20.919  0.414  None  Pan-STARRS1  GPC1  None
OBS:      59345.551  i  572.272  92.355  20.606  0.161  None  Pan-STARRS1  GPC1  None
OBS:      59345.555  g  259.937  74.082  21.463  0.285  None  Pan-STARRS1  GPC1  None
OBS:      59349.375  g  308.116  215.310  21.278  0.699  None  Pan-STARRS1  GPC1  None
OBS:      59349.378  r  541.905  200.262  20.665  0.370  None  Pan-STARRS1  GPC1  None
OBS:      59355.380  i  568.375  59.704  20.613  0.105  None  Pan-STARRS1  GPC1  None
OBS:      59355.383  g  159.005  71.142  21.997  0.447  None  Pan-STARRS1  GPC1  None
OBS:      59356.381  r  398.166  101.994  21.000  0.256  None  Pan-STARRS1  GPC1  None
OBS:      59356.384  i  496.978  75.647  20.759  0.152  None  Pan-STARRS1  GPC1  None
OBS:      59357.376  r  299.921  178.452  21.308  0.595  None  Pan-STARRS1  GPC1  None
OBS:      59357.379  z  498.715  144.657  20.755  0.290  None  Pan-STARRS1  GPC1  None
OBS:      59363.494  r  423.482  176.279  20.933  0.416  None  Pan-STARRS1  GPC1  None
OBS:      59363.497  i  389.044  119.226  21.025  0.306  None  Pan-STARRS1  GPC1  None
OBS:      59365.346  z  390.631  76.053  21.020  0.195  None  Pan-STARRS1  GPC1  None
OBS:      59365.349  r  249.600  62.719  21.507  0.251  None  Pan-STARRS1  GPC1  None
OBS:      59367.342  z  422.989  97.059  20.934  0.229  None  Pan-STARRS1  GPC1  None
OBS:      59367.345  g  113.559  69.520  22.362  0.612  None  Pan-STARRS1  GPC1  None
OBS:      59371.503  i  328.627  307.814  21.208  0.937  None  Pan-STARRS1  GPC1  None
