# CREATED_DATE: 2021-04-07T01:33:56.002Z
# MODIFIED_DATE: 2022-08-15T06:37:56.668Z
# STATUS: Ignore
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ia
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237665442057355285; (13:48:21.35, +28:16:03.89)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021inc
# RA: 207.0883549516102
# DEC: 28.268645785800587
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-04-06T00:00:00Z
# REDSHIFT: 0.0777
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-04-05T09:23:22Z
# NON_DETECT_LIMIT: 20.3593
# MW_EBV: 0.013
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11DYSEbsk/59310/1134821211281607100_59310.358_113887752_125_target.jpeg
# POSTAGE_STAMP_REF: 11DYSEbsk/59310/1134821211281607100_59310.358_113887752_125_ref.jpeg
# POSTAGE_STAMP_DIFF: 11DYSEbsk/59310/1134821211281607100_59310.358_113887752_125_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11DYSEbsk/59310/1134821211281607100_59310.358_113887752_125_target.fits
# POSTAGE_STAMP_REF_FITS: 11DYSEbsk/59310/1134821211281607100_59310.358_113887752_125_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11DYSEbsk/59310/1134821211281607100_59310.358_113887752_125_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2021inc
# REAL_BOGUS_SCORE: 0.441015
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [22, 29]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59311.279  g-ZTF  797.265  151.502  20.246  0.206  None  P48  ZTF-Cam  None
OBS:      59313.262  g-ZTF  868.440  150.545  20.153  0.188  None  P48  ZTF-Cam  None
OBS:      59313.311  r-ZTF  928.789  180.212  20.080  0.211  None  P48  ZTF-Cam  None
OBS:      59317.256  g-ZTF  1075.286  166.202  19.921  0.168  None  P48  ZTF-Cam  None
OBS:      59317.279  g-ZTF  952.582  181.278  20.053  0.207  None  P48  ZTF-Cam  None
OBS:      59317.320  r-ZTF  1116.227  130.774  19.881  0.127  None  P48  ZTF-Cam  None
OBS:      59317.406  r-ZTF  883.556  146.956  20.134  0.181  None  P48  ZTF-Cam  None
OBS:      59320.368  g-ZTF  1100.964  161.296  19.896  0.159  None  P48  ZTF-Cam  None
OBS:      59321.308  r-ZTF  1128.050  211.886  19.869  0.204  None  P48  ZTF-Cam  None
OBS:      59321.382  g-ZTF  1085.802  159.996  19.911  0.160  None  P48  ZTF-Cam  None
OBS:      59322.253  r-ZTF  1063.417  165.492  19.933  0.169  None  P48  ZTF-Cam  None
OBS:      59322.318  g-ZTF  1114.105  178.907  19.883  0.174  None  P48  ZTF-Cam  None
OBS:      59323.295  g-ZTF  1046.668  170.252  19.950  0.177  None  P48  ZTF-Cam  None
OBS:      59323.338  r-ZTF  1121.782  191.751  19.875  0.186  None  P48  ZTF-Cam  None
OBS:      59324.267  r-ZTF  922.865  182.409  20.087  0.215  None  P48  ZTF-Cam  None
OBS:      59336.354  r-ZTF  948.511  137.079  20.057  0.157  None  P48  ZTF-Cam  None
OBS:      59339.273  r-ZTF  896.271  131.680  20.119  0.160  None  P48  ZTF-Cam  None
OBS:      59340.296  r-ZTF  895.087  125.831  20.120  0.153  None  P48  ZTF-Cam  None
OBS:      59341.234  r-ZTF  834.185  166.239  20.197  0.216  None  P48  ZTF-Cam  None
OBS:      59341.300  g-ZTF  607.867  114.956  20.540  0.205  None  P48  ZTF-Cam  None
OBS:      59343.215  r-ZTF  866.185  131.207  20.156  0.164  None  P48  ZTF-Cam  None
