# CREATED_DATE: 2021-08-09T02:06:53.245Z
# MODIFIED_DATE: 2022-09-27T02:49:03.578Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237659161203507464; (16:21:10.98, +36:04:06.30)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021vgn
# RA: 245.29379482847082
# DEC: 36.06120310104329
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-08-14T00:00:00Z
# REDSHIFT: 0.0323409997
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-08-03T06:36:11Z
# NON_DETECT_LIMIT: 20.5158
# MW_EBV: 0.014
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11HYSEgaa/59440/1162110511360340300_59440.258_118332532_56_target.jpeg
# POSTAGE_STAMP_REF: 11HYSEgaa/59440/1162110511360340300_59440.258_118332532_56_ref.jpeg
# POSTAGE_STAMP_DIFF: 11HYSEgaa/59440/1162110511360340300_59440.258_118332532_56_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11HYSEgaa/59440/1162110511360340300_59440.258_118332532_56_target.fits
# POSTAGE_STAMP_REF_FITS: 11HYSEgaa/59440/1162110511360340300_59440.258_118332532_56_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11HYSEgaa/59440/1162110511360340300_59440.258_118332532_56_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.038
# ALT_STATUS: CONFIRMED
# SLUG: 2021vgn
# REAL_BOGUS_SCORE: 0.998073
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 30, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59434.187  r-ZTF  1233.240  137.319  19.772  0.121  None  P48  ZTF-Cam  None
OBS:      59434.237  g-ZTF  1865.366  199.565  19.323  0.116  None  P48  ZTF-Cam  None
OBS:      59436.205  r-ZTF  4172.208  319.821  18.449  0.083  None  P48  ZTF-Cam  None
OBS:      59436.248  g-ZTF  4777.467  398.432  18.302  0.091  None  P48  ZTF-Cam  None
OBS:      59439.180  g-ZTF  2761.385  253.568  18.897  0.100  None  P48  ZTF-Cam  None
OBS:      59439.208  r-ZTF  3104.526  268.037  18.770  0.094  None  P48  ZTF-Cam  None
OBS:      59441.186  r-ZTF  1960.114  221.464  19.269  0.123  None  P48  ZTF-Cam  None
OBS:      59441.244  g-ZTF  1621.616  273.367  19.475  0.183  None  P48  ZTF-Cam  None
OBS:      59443.183  g-ZTF  1571.527  299.346  19.509  0.207  None  P48  ZTF-Cam  None
OBS:      59443.238  r-ZTF  2176.741  306.929  19.155  0.153  None  P48  ZTF-Cam  None
OBS:      59447.197  r-ZTF  2659.926  282.814  18.938  0.115  None  P48  ZTF-Cam  None
OBS:      59450.163  r-ZTF  3593.102  317.154  18.611  0.096  None  P48  ZTF-Cam  None
OBS:      59450.198  g-ZTF  1981.702  385.431  19.257  0.211  None  P48  ZTF-Cam  None
OBS:      59452.206  r-ZTF  3874.792  258.119  18.529  0.072  None  P48  ZTF-Cam  None
OBS:      59452.280  g-ZTF  3195.881  452.142  18.739  0.154  None  P48  ZTF-Cam  None
OBS:      59454.182  g-ZTF  3005.378  241.493  18.805  0.087  None  P48  ZTF-Cam  None
OBS:      59454.282  r-ZTF  4204.346  312.219  18.441  0.081  None  P48  ZTF-Cam  None
OBS:      59457.225  g-ZTF  3059.190  291.552  18.786  0.103  None  P48  ZTF-Cam  None
OBS:      59460.201  r-ZTF  4144.128  256.674  18.456  0.067  None  P48  ZTF-Cam  None
OBS:      59460.262  g-ZTF  2412.048  250.367  19.044  0.113  None  P48  ZTF-Cam  None
OBS:      59462.224  r-ZTF  3549.543  259.617  18.625  0.079  None  P48  ZTF-Cam  None
