# CREATED_DATE: 2021-08-19T17:20:37.936Z
# MODIFIED_DATE: 2022-10-16T13:04:28.026Z
# STATUS: Ignore
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237653008121200881; (21:15:53.23, +10:41:20.62)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021wjs
# RA: 318.97249723518377
# DEC: 10.690018765152217
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-08-19T00:00:00Z
# REDSHIFT: 0.0718
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-08-16T08:22:34Z
# NON_DETECT_LIMIT: 20.65
# MW_EBV: 0.06
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11HYSEgfw/59445/1211553401104124000_59445.386_118552340_358_target.jpeg
# POSTAGE_STAMP_REF: 11HYSEgfw/59445/1211553401104124000_59445.386_118552340_358_ref.jpeg
# POSTAGE_STAMP_DIFF: 11HYSEgfw/59445/1211553401104124000_59445.386_118552340_358_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11HYSEgfw/59445/1211553401104124000_59445.386_118552340_358_target.fits
# POSTAGE_STAMP_REF_FITS: 11HYSEgfw/59445/1211553401104124000_59445.386_118552340_358_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11HYSEgfw/59445/1211553401104124000_59445.386_118552340_358_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2021wjs
# REAL_BOGUS_SCORE: 0.999991
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 30, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59444.346  g-ZTF  1739.353  268.854  19.399  0.168  None  P48  ZTF-Cam  None
OBS:      59448.334  g-ZTF  2574.005  488.965  18.973  0.206  None  P48  ZTF-Cam  None
OBS:      59453.276  r-ZTF  2247.852  227.128  19.121  0.110  None  P48  ZTF-Cam  None
OBS:      59459.237  r-ZTF  1738.418  159.339  19.400  0.100  None  P48  ZTF-Cam  None
OBS:      59463.215  g-ZTF  1538.488  168.191  19.532  0.119  None  P48  ZTF-Cam  None
OBS:      59469.195  r-ZTF  1567.080  199.231  19.512  0.138  None  P48  ZTF-Cam  None
OBS:      59471.278  g-ZTF  968.948  167.855  20.034  0.188  None  P48  ZTF-Cam  None
OBS:      59473.269  r-ZTF  1225.670  181.282  19.779  0.161  None  P48  ZTF-Cam  None
OBS:      59485.211  r-ZTF  1005.042  161.468  19.995  0.174  None  P48  ZTF-Cam  None
OBS:      59488.193  r-ZTF  943.307  169.676  20.063  0.195  None  P48  ZTF-Cam  None
OBS:      59445.384  i  1513.561  97.583  19.550  0.070  None  Pan-STARRS1  GPC1  None
OBS:      59456.262  w  2269.865  104.531  19.110  0.050  None  Pan-STARRS1  GPC1  None
OBS:      59458.299  w  870.964  120.328  20.150  0.150  None  Pan-STARRS1  GPC1  None
OBS:      59415.495  orange-ATLAS  -0.476  0.340  nan  -0.775  None  ATLAS  HKO  None
OBS:      59415.509  orange-ATLAS  0.560  0.305  19.878  5.000  None  ATLAS  HKO  None
OBS:      59416.453  orange-ATLAS  -4.126  2.276  nan  -0.599  None  ATLAS  HKO  None
OBS:      59417.617  orange-ATLAS  0.833  0.446  19.458  5.000  None  ATLAS  HKO  None
OBS:      59421.451  orange-ATLAS  0.245  0.474  19.745  5.000  None  ATLAS  HKO  None
OBS:      59424.511  orange-ATLAS  0.041  0.301  20.362  5.000  None  ATLAS  HKO  None
OBS:      59425.514  orange-ATLAS  -0.060  0.202  nan  -3.642  None  ATLAS  HKO  None
OBS:      59428.483  orange-ATLAS  -0.017  0.194  nan  -12.089  None  ATLAS  HKO  None
