# CREATED_DATE: 2020-11-16T22:35:04.274Z
# MODIFIED_DATE: 2021-11-09T09:28:25.011Z
# STATUS: FollowupFinished
# OBS_GROUP: ALeRCE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ib/c
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: PSO J091334.489+520551.625; (09:13:34.49, +52:05:51.63)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020aafm
# RA: 138.394121477599
# DEC: 52.0972476253596
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-11-17T10:47:54.997Z
# REDSHIFT: 0.066
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-11-15T11:45:53Z
# NON_DETECT_LIMIT: 20.7749
# MW_EBV: 0.014
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10KYSEmvu/59169/1091334571520550000_59169.602_110189939_194_target.jpeg
# POSTAGE_STAMP_REF: 10KYSEmvu/59169/1091334571520550000_59169.602_110189939_194_ref.jpeg
# POSTAGE_STAMP_DIFF: 10KYSEmvu/59169/1091334571520550000_59169.602_110189939_194_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10KYSEmvu/59169/1091334571520550000_59169.602_110189939_194_target.fits
# POSTAGE_STAMP_REF_FITS: 10KYSEmvu/59169/1091334571520550000_59169.602_110189939_194_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10KYSEmvu/59169/1091334571520550000_59169.602_110189939_194_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.019
# ALT_STATUS: None
# SLUG: 2020aafm
# REAL_BOGUS_SCORE: 0.971843
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 30, 77]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59145.600  i  -42.915  51.036  nan  -1.291  None  Pan-STARRS1  GPC1  None
OBS:      59145.603  g  63.377  46.055  22.995  0.727  None  Pan-STARRS1  GPC1  None
OBS:      59147.609  z  -65.044  115.679  nan  -1.931  None  Pan-STARRS1  GPC1  None
OBS:      59147.612  g  -11.129  58.475  nan  -5.705  None  Pan-STARRS1  GPC1  None
OBS:      59154.604  r  171.310  219.655  21.916  1.282  None  Pan-STARRS1  GPC1  None
OBS:      59165.631  i  -15.383  176.228  nan  -12.439  None  Pan-STARRS1  GPC1  None
OBS:      59165.634  g  150.318  163.253  22.058  1.086  None  Pan-STARRS1  GPC1  None
OBS:      59169.599  g  902.885  90.290  20.111  0.100  None  Pan-STARRS1  GPC1  None
OBS:      59169.602  r  803.063  67.593  20.238  0.084  None  Pan-STARRS1  GPC1  None
OBS:      59175.601  z  759.074  467.172  20.299  0.615  None  Pan-STARRS1  GPC1  None
OBS:      59175.603  g  796.673  202.891  20.247  0.277  None  Pan-STARRS1  GPC1  None
OBS:      59184.542  i  1301.607  158.883  19.714  0.133  None  Pan-STARRS1  GPC1  None
OBS:      59184.545  r  1051.574  182.210  19.945  0.188  None  Pan-STARRS1  GPC1  None
OBS:      59190.604  g  508.768  58.270  20.734  0.124  None  Pan-STARRS1  GPC1  None
OBS:      59190.607  i  1215.178  58.114  19.788  0.052  None  Pan-STARRS1  GPC1  None
OBS:      59194.638  r  678.828  60.252  20.421  0.096  None  Pan-STARRS1  GPC1  None
OBS:      59194.641  g  364.485  51.317  21.096  0.153  None  Pan-STARRS1  GPC1  None
OBS:      59198.569  r  714.825  176.326  20.364  0.268  None  Pan-STARRS1  GPC1  None
OBS:      59198.572  g  261.670  266.944  21.456  1.020  None  Pan-STARRS1  GPC1  None
OBS:      59208.550  r  4749.663  99.547  18.308  0.021  None  Pan-STARRS1  GPC1  None
OBS:      59217.497  r  298.181  108.192  21.314  0.363  None  Pan-STARRS1  GPC1  None
OBS:      59218.527  r  329.064  65.904  21.207  0.217  None  Pan-STARRS1  GPC1  None
OBS:      59218.530  z  462.466  114.066  20.837  0.268  None  Pan-STARRS1  GPC1  None
OBS:      59219.430  g  93.612  98.754  22.572  1.055  None  Pan-STARRS1  GPC1  None
OBS:      59219.433  i  379.042  125.190  21.053  0.330  None  Pan-STARRS1  GPC1  None
OBS:      59221.482  z  256.170  187.565  21.479  0.732  None  Pan-STARRS1  GPC1  None
OBS:      59221.485  g  96.217  61.624  22.542  0.640  None  Pan-STARRS1  GPC1  None
OBS:      59228.543  g  -14.907  207.342  nan  -15.102  None  Pan-STARRS1  GPC1  None
OBS:      59235.461  g  94.671  56.946  22.559  0.602  None  Pan-STARRS1  GPC1  None
OBS:      59235.464  i  314.330  83.903  21.256  0.267  None  Pan-STARRS1  GPC1  None
OBS:      59170.450  g-ZTF  816.949  126.435  20.220  0.168  None  P48  ZTF-Cam  None
OBS:      59170.535  r-ZTF  842.478  123.041  20.186  0.159  None  P48  ZTF-Cam  None
OBS:      59177.478  r-ZTF  938.901  142.919  20.068  0.165  None  P48  ZTF-Cam  None
OBS:      59179.470  g-ZTF  854.374  116.589  20.171  0.148  None  P48  ZTF-Cam  None
