# CREATED_DATE: 2020-11-26T20:11:14.931Z
# MODIFIED_DATE: 2022-08-13T19:10:52.861Z
# STATUS: Ignore
# OBS_GROUP: ZTF
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: PSO J113653.177+210015.182; (11:36:53.18, +21:00:15.25)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020abah
# RA: 174.22273749999997
# DEC: 21.000269444444445
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-11-23T12:24:59.904Z
# REDSHIFT: 0.03
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-11-20T12:33:53Z
# NON_DETECT_LIMIT: 19.824
# MW_EBV: 0.02
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: PS21aep/59310/1113653451210000900_59310.458_113898874_146_target.jpeg
# POSTAGE_STAMP_REF: PS21aep/59310/1113653451210000900_59310.458_113898874_146_ref.jpeg
# POSTAGE_STAMP_DIFF: PS21aep/59310/1113653451210000900_59310.458_113898874_146_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: PS21aep/59310/1113653451210000900_59310.458_113898874_146_target.fits
# POSTAGE_STAMP_REF_FITS: PS21aep/59310/1113653451210000900_59310.458_113898874_146_ref.fits
# POSTAGE_STAMP_DIFF_FITS: PS21aep/59310/1113653451210000900_59310.458_113898874_146_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: GOOD
# SLUG: 2020abah
# REAL_BOGUS_SCORE: 0.647305
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 30]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59176.517  g-ZTF  948.069  0.000  20.058  0.000  None  P48  ZTF-Cam  None
OBS:      59176.517  g-ZTF  948.063  188.584  20.058  0.216  None  P48  ZTF-Cam  None
OBS:      59179.527  r-ZTF  1017.083  155.946  19.982  0.166  None  P48  ZTF-Cam  None
OBS:      59188.510  r-ZTF  1052.201  200.847  19.945  0.207  None  P48  ZTF-Cam  None
OBS:      59198.476  r-ZTF  1082.916  164.557  19.914  0.165  None  P48  ZTF-Cam  None
OBS:      59203.484  r-ZTF  1373.414  230.199  19.655  0.182  None  P48  ZTF-Cam  None
OBS:      59223.464  r-ZTF  1781.074  268.327  19.373  0.164  None  P48  ZTF-Cam  None
OBS:      59225.413  r-ZTF  1579.174  240.203  19.504  0.165  None  P48  ZTF-Cam  None
OBS:      59231.421  g-ZTF  730.759  136.732  20.341  0.203  None  P48  ZTF-Cam  None
OBS:      59231.465  r-ZTF  1836.464  146.681  19.340  0.087  None  P48  ZTF-Cam  None
OBS:      59248.420  r-ZTF  1915.218  223.700  19.294  0.127  None  P48  ZTF-Cam  None
OBS:      59250.378  r-ZTF  2211.037  248.761  19.139  0.122  None  P48  ZTF-Cam  None
OBS:      59252.369  r-ZTF  1841.970  218.198  19.337  0.129  None  P48  ZTF-Cam  None
OBS:      59254.399  r-ZTF  1859.441  168.164  19.327  0.098  None  P48  ZTF-Cam  None
OBS:      59256.399  r-ZTF  2016.858  187.498  19.238  0.101  None  P48  ZTF-Cam  None
OBS:      59258.343  r-ZTF  2045.758  215.897  19.223  0.115  None  P48  ZTF-Cam  None
OBS:      59262.339  r-ZTF  2253.197  207.387  19.118  0.100  None  P48  ZTF-Cam  None
OBS:      59264.372  r-ZTF  2028.434  189.194  19.232  0.101  None  P48  ZTF-Cam  None
OBS:      59266.359  r-ZTF  2177.188  287.035  19.155  0.143  None  P48  ZTF-Cam  None
OBS:      59268.353  r-ZTF  1961.478  195.474  19.269  0.108  None  P48  ZTF-Cam  None
OBS:      59270.339  r-ZTF  2332.024  300.341  19.081  0.140  None  P48  ZTF-Cam  None
OBS:      59276.369  r-ZTF  2115.915  244.476  19.186  0.125  None  P48  ZTF-Cam  None
OBS:      59280.285  r-ZTF  1749.493  176.841  19.393  0.110  None  P48  ZTF-Cam  None
OBS:      59290.342  r-ZTF  1716.146  181.499  19.414  0.115  None  P48  ZTF-Cam  None
OBS:      59292.339  r-ZTF  1465.948  186.717  19.585  0.138  None  P48  ZTF-Cam  None
OBS:      59295.265  r-ZTF  1467.332  283.280  19.584  0.210  None  P48  ZTF-Cam  None
OBS:      59307.246  r-ZTF  863.511  153.004  20.159  0.192  None  P48  ZTF-Cam  None
OBS:      59309.235  r-ZTF  1018.810  159.133  19.980  0.170  None  P48  ZTF-Cam  None
OBS:      59317.194  r-ZTF  671.826  114.750  20.432  0.185  None  P48  ZTF-Cam  None
OBS:      59342.277  r-ZTF  710.268  136.181  20.371  0.208  None  P48  ZTF-Cam  None
OBS:      59229.608  cyan  1408.640  189.421  19.628  0.146  None  ATLAS  HKO  None
OBS:      59231.478  w  1432.188  52.764  19.610  0.040  None  Pan-STARRS1  GPC1  None
OBS:      59310.421  w  787.046  21.747  20.260  0.030  None  Pan-STARRS1  GPC1  None
OBS:      59347.365  i  597.035  93.481  20.560  0.170  None  Pan-STARRS1  GPC1  None
OBS:      59321.257  w  612.463  35.308  20.532  0.063  None  Pan-STARRS1  GPC1  None
OBS:      59321.270  w  635.389  33.597  20.492  0.057  None  Pan-STARRS1  GPC1  None
OBS:      59321.283  w  602.393  36.000  20.550  0.065  None  Pan-STARRS1  GPC1  None
