# CREATED_DATE: 2020-12-06T09:08:14.067Z
# MODIFIED_DATE: 2022-04-30T06:47:29.980Z
# STATUS: Ignore
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: NT
# BEST_SPECTRUM: None
# HOST: Host: UGC04754; (09:04:01.00, -00:05:19.50)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020absk
# RA: 136.00383485135995
# DEC: -0.08891237140903542
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-12-22T00:00:00Z
# REDSHIFT: 0.01889
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-12-01T11:57:18Z
# NON_DETECT_LIMIT: 19.505
# MW_EBV: 0.035
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10LYSEnqd/59205/1090400910000520000_59205.573_111307358_60_target.jpeg
# POSTAGE_STAMP_REF: 10LYSEnqd/59205/1090400910000520000_59205.573_111307358_60_ref.jpeg
# POSTAGE_STAMP_DIFF: 10LYSEnqd/59205/1090400910000520000_59205.573_111307358_60_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10LYSEnqd/59205/1090400910000520000_59205.573_111307358_60_target.fits
# POSTAGE_STAMP_REF_FITS: 10LYSEnqd/59205/1090400910000520000_59205.573_111307358_60_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10LYSEnqd/59205/1090400910000520000_59205.573_111307358_60_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020absk
# REAL_BOGUS_SCORE: 0.999514
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 30]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59188.381  r-ZTF  3366.615  363.955  18.682  0.117  None  P48  ZTF-Cam  None
OBS:      59188.440  g-ZTF  2942.665  354.538  18.828  0.131  None  P48  ZTF-Cam  None
OBS:      59194.440  g-ZTF  3273.063  274.402  18.713  0.091  None  P48  ZTF-Cam  None
OBS:      59196.441  g-ZTF  3193.905  350.834  18.739  0.119  None  P48  ZTF-Cam  None
OBS:      59196.484  r-ZTF  4630.437  337.755  18.336  0.079  None  P48  ZTF-Cam  None
OBS:      59199.404  r-ZTF  4755.696  381.033  18.307  0.087  None  P48  ZTF-Cam  None
OBS:      59199.455  g-ZTF  2938.672  240.178  18.830  0.089  None  P48  ZTF-Cam  None
OBS:      59203.380  g-ZTF  2782.206  286.990  18.889  0.112  None  P48  ZTF-Cam  None
OBS:      59203.460  r-ZTF  4399.395  377.740  18.392  0.093  None  P48  ZTF-Cam  None
OBS:      59218.339  g-ZTF  2240.196  313.947  19.124  0.152  None  P48  ZTF-Cam  None
OBS:      59218.400  r-ZTF  4462.467  330.387  18.376  0.080  None  P48  ZTF-Cam  None
OBS:      59222.354  r-ZTF  4002.010  265.622  18.494  0.072  None  P48  ZTF-Cam  None
OBS:      59222.378  g-ZTF  1800.181  177.881  19.362  0.107  None  P48  ZTF-Cam  None
OBS:      59224.374  r-ZTF  3989.445  375.135  18.498  0.102  None  P48  ZTF-Cam  None
OBS:      59224.419  g-ZTF  1833.662  198.264  19.342  0.117  None  P48  ZTF-Cam  None
OBS:      59226.381  g-ZTF  1732.729  227.473  19.403  0.143  None  P48  ZTF-Cam  None
OBS:      59226.413  r-ZTF  4380.547  384.833  18.396  0.095  None  P48  ZTF-Cam  None
OBS:      59228.361  g-ZTF  1827.999  243.723  19.345  0.145  None  P48  ZTF-Cam  None
OBS:      59228.444  r-ZTF  3857.955  313.671  18.534  0.088  None  P48  ZTF-Cam  None
OBS:      59230.417  g-ZTF  1753.327  220.025  19.390  0.136  None  P48  ZTF-Cam  None
OBS:      59230.428  r-ZTF  4284.085  381.097  18.420  0.097  None  P48  ZTF-Cam  None
OBS:      59232.381  g-ZTF  1495.337  176.682  19.563  0.128  None  P48  ZTF-Cam  None
OBS:      59232.403  r-ZTF  3874.316  272.425  18.530  0.076  None  P48  ZTF-Cam  None
OBS:      59248.363  r-ZTF  3408.049  390.512  18.669  0.124  None  P48  ZTF-Cam  None
OBS:      59250.294  g-ZTF  1342.286  252.288  19.680  0.204  None  P48  ZTF-Cam  None
OBS:      59250.335  r-ZTF  3813.831  302.925  18.547  0.086  None  P48  ZTF-Cam  None
OBS:      59252.273  g-ZTF  1173.008  200.928  19.827  0.186  None  P48  ZTF-Cam  None
OBS:      59252.295  r-ZTF  3857.806  281.673  18.534  0.079  None  P48  ZTF-Cam  None
OBS:      59254.379  r-ZTF  3583.640  226.989  18.614  0.069  None  P48  ZTF-Cam  None
