# CREATED_DATE: 2020-12-17T17:36:12.587Z
# MODIFIED_DATE: 2022-10-21T21:34:03.281Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 2MASXJ04330739-0731311; (04:33:07.35, -07:31:31.66)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020aczd
# RA: 68.2821998774624
# DEC: -7.527257997584674
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-12-15T00:00:00Z
# REDSHIFT: 0.034
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-12-15T07:15:44Z
# NON_DETECT_LIMIT: 20.2967
# MW_EBV: 0.072
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10LYSEnpv/59198/1043307720073138000_59198.379_111162446_105_target.jpeg
# POSTAGE_STAMP_REF: 10LYSEnpv/59198/1043307720073138000_59198.379_111162446_105_ref.jpeg
# POSTAGE_STAMP_DIFF: 10LYSEnpv/59198/1043307720073138000_59198.379_111162446_105_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10LYSEnpv/59198/1043307720073138000_59198.379_111162446_105_target.fits
# POSTAGE_STAMP_REF_FITS: 10LYSEnpv/59198/1043307720073138000_59198.379_111162446_105_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10LYSEnpv/59198/1043307720073138000_59198.379_111162446_105_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020aczd
# REAL_BOGUS_SCORE: 0.389611
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [16, 29, 46, 77, 91]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59200.215  g-ZTF  2693.727  250.330  18.924  0.101  None  P48  ZTF-Cam  None
OBS:      59200.215  g-ZTF  2693.767  250.333  18.924  0.101  None  P48  ZTF-Cam  None
OBS:      59105.608  g  -127.356  84.333  nan  -0.719  None  Pan-STARRS1  GPC1  None
OBS:      59105.610  r  71.584  89.500  22.863  1.250  None  Pan-STARRS1  GPC1  None
OBS:      59107.547  g  3.431  88.483  26.162  25.792  None  Pan-STARRS1  GPC1  None
OBS:      59110.601  g  -47.357  98.291  nan  -2.253  None  Pan-STARRS1  GPC1  None
OBS:      59115.628  g  27.984  146.911  23.883  5.250  None  Pan-STARRS1  GPC1  None
OBS:      59115.631  i  -824.590  116.800  nan  -0.154  None  Pan-STARRS1  GPC1  None
OBS:      59119.613  r  -57.935  82.663  nan  -1.549  None  Pan-STARRS1  GPC1  None
OBS:      59119.615  i  492.684  151.677  20.768  0.308  None  Pan-STARRS1  GPC1  None
OBS:      59123.575  r  131.702  139.853  22.201  1.062  None  Pan-STARRS1  GPC1  None
OBS:      59123.578  i  400.347  130.351  20.994  0.326  None  Pan-STARRS1  GPC1  None
OBS:      59130.547  r  -691.007  65.966  nan  -0.104  None  Pan-STARRS1  GPC1  None
OBS:      59130.550  z  -362.641  101.992  nan  -0.305  None  Pan-STARRS1  GPC1  None
OBS:      59133.580  g  -77.338  110.046  nan  -1.545  None  Pan-STARRS1  GPC1  None
OBS:      59138.523  g  27.145  72.888  23.916  2.685  None  Pan-STARRS1  GPC1  None
OBS:      59142.545  r  -1013.323  51.885  nan  -0.056  None  Pan-STARRS1  GPC1  None
OBS:      59142.548  g  -70.708  59.571  nan  -0.915  None  Pan-STARRS1  GPC1  None
OBS:      59146.534  g  -84.759  142.451  nan  -1.825  None  Pan-STARRS1  GPC1  None
OBS:      59148.537  z  -154.220  141.779  nan  -0.998  None  Pan-STARRS1  GPC1  None
OBS:      59148.540  r  -269.187  141.331  nan  -0.570  None  Pan-STARRS1  GPC1  None
OBS:      59158.489  r  293.331  100.485  21.332  0.343  None  Pan-STARRS1  GPC1  None
OBS:      59158.492  z  31.487  246.845  23.755  7.840  None  Pan-STARRS1  GPC1  None
OBS:      59161.457  z  -549.730  288.223  nan  -0.569  None  Pan-STARRS1  GPC1  None
OBS:      59161.460  g  -546.478  170.600  nan  -0.339  None  Pan-STARRS1  GPC1  None
OBS:      59172.457  g  -264.184  148.567  nan  -0.611  None  Pan-STARRS1  GPC1  None
OBS:      59172.459  i  1015.690  231.734  19.983  0.228  None  Pan-STARRS1  GPC1  None
OBS:      59185.406  r  213.178  127.850  21.678  0.600  None  Pan-STARRS1  GPC1  None
OBS:      59185.409  z  -217.013  126.528  nan  -0.633  None  Pan-STARRS1  GPC1  None
OBS:      59190.415  g  -105.574  83.232  nan  -0.856  None  Pan-STARRS1  GPC1  None
OBS:      59198.377  g  2717.985  143.811  18.914  0.053  None  Pan-STARRS1  GPC1  None
OBS:      59198.380  r  2096.233  172.816  19.196  0.082  None  Pan-STARRS1  GPC1  None
OBS:      59213.285  r  3291.332  671.310  18.706  0.204  None  Pan-STARRS1  GPC1  None
OBS:      59213.287  z  2588.281  279.014  18.967  0.108  None  Pan-STARRS1  GPC1  None
OBS:      59218.360  z  2540.771  440.513  18.988  0.173  None  Pan-STARRS1  GPC1  None
OBS:      59220.326  g  1997.896  88.758  19.249  0.044  None  Pan-STARRS1  GPC1  None
OBS:      59229.294  g  1584.115  235.674  19.500  0.149  None  Pan-STARRS1  GPC1  None
OBS:      59229.296  r  2726.337  237.058  18.911  0.087  None  Pan-STARRS1  GPC1  None
OBS:      59243.232  i  5549.295  519.772  18.139  0.094  None  Pan-STARRS1  GPC1  None
OBS:      59243.235  r  1679.842  598.777  19.437  0.356  None  Pan-STARRS1  GPC1  None
OBS:      59244.339  z  2250.955  212.498  19.119  0.094  None  Pan-STARRS1  GPC1  None
OBS:      59244.342  r  2249.597  324.332  19.120  0.144  None  Pan-STARRS1  GPC1  None
OBS:      59245.260  r  2312.303  199.282  19.090  0.086  None  Pan-STARRS1  GPC1  None
OBS:      59254.244  g  705.640  252.310  20.379  0.358  None  Pan-STARRS1  GPC1  None
OBS:      59269.269  z  2529.161  693.339  18.992  0.274  None  Pan-STARRS1  GPC1  None
OBS:      59269.272  r  893.156  469.722  20.123  0.526  None  Pan-STARRS1  GPC1  None
OBS:      59486.603  g  -250.594  339.515  nan  -1.471  None  Pan-STARRS1  GPC1  None
OBS:      59486.605  z  -15.653  197.090  nan  -13.671  None  Pan-STARRS1  GPC1  None
OBS:      59489.617  g  -161.747  82.087  nan  -0.551  None  Pan-STARRS1  GPC1  None
OBS:      59489.620  i  -26.749  97.327  nan  -3.951  None  Pan-STARRS1  GPC1  None
OBS:      59492.554  r  -23.990  148.877  nan  -6.738  None  Pan-STARRS1  GPC1  None
OBS:      59492.557  g  -71.518  103.276  nan  -1.568  None  Pan-STARRS1  GPC1  None
OBS:      59501.557  i  211.312  83.781  21.688  0.396  None  Pan-STARRS1  GPC1  None
OBS:      59501.560  g  -127.925  83.919  nan  -0.712  None  Pan-STARRS1  GPC1  None
OBS:      59504.594  i  737.290  245.643  20.331  0.333  None  Pan-STARRS1  GPC1  None
OBS:      59504.597  r  -187.024  269.106  nan  -1.562  None  Pan-STARRS1  GPC1  None
OBS:      59505.519  r  -0.350  230.088  nan  -714.068  None  Pan-STARRS1  GPC1  None
OBS:      59505.522  z  -75.605  323.807  nan  -4.650  None  Pan-STARRS1  GPC1  None
OBS:      59513.482  r  34.709  123.980  23.649  3.572  None  Pan-STARRS1  GPC1  None
OBS:      59513.485  z  2.025  140.011  26.734  69.131  None  Pan-STARRS1  GPC1  None
OBS:      59516.532  g  -109.779  158.870  nan  -1.571  None  Pan-STARRS1  GPC1  None
OBS:      59516.534  z  178.525  380.369  21.871  2.131  None  Pan-STARRS1  GPC1  None
OBS:      59518.559  g  -63.831  57.424  nan  -0.977  None  Pan-STARRS1  GPC1  None
OBS:      59518.561  i  97.238  55.114  22.530  0.567  None  Pan-STARRS1  GPC1  None
OBS:      59524.493  r  -393.400  304.308  nan  -0.840  None  Pan-STARRS1  GPC1  None
OBS:      59524.496  g  -209.117  255.470  nan  -1.326  None  Pan-STARRS1  GPC1  None
OBS:      59529.480  g  29.592  47.190  23.822  1.595  None  Pan-STARRS1  GPC1  None
OBS:      59529.483  z  -1111.199  58.248  nan  -0.057  None  Pan-STARRS1  GPC1  None
OBS:      59542.438  i  874.026  160.157  20.146  0.183  None  Pan-STARRS1  GPC1  None
OBS:      59542.441  r  -77.366  235.416  nan  -3.304  None  Pan-STARRS1  GPC1  None
OBS:      59544.427  g  -116.275  82.398  nan  -0.769  None  Pan-STARRS1  GPC1  None
OBS:      59544.430  i  649.711  145.950  20.468  0.225  None  Pan-STARRS1  GPC1  None
OBS:      59546.413  z  -197.875  399.195  nan  -2.190  None  Pan-STARRS1  GPC1  None
OBS:      59546.416  g  -184.709  138.066  nan  -0.812  None  Pan-STARRS1  GPC1  None
OBS:      59841.599  g  -229.431  112.184  nan  -0.531  None  Pan-STARRS1  GPC1  None
OBS:      59841.602  y  475.349  390.204  20.808  0.821  None  Pan-STARRS1  GPC1  None
OBS:      59842.575  g  -144.851  90.708  nan  -0.680  None  Pan-STARRS1  GPC1  None
OBS:      59842.578  r  -21.333  132.303  nan  -6.734  None  Pan-STARRS1  GPC1  None
OBS:      59845.620  g  -388.638  322.300  nan  -0.900  None  Pan-STARRS1  GPC1  None
OBS:      59845.623  i  968.400  212.861  20.035  0.220  None  Pan-STARRS1  GPC1  None
OBS:      59849.615  r  -48.241  152.691  nan  -3.437  None  Pan-STARRS1  GPC1  None
OBS:      59849.618  g  -50.524  105.022  nan  -2.257  None  Pan-STARRS1  GPC1  None
OBS:      59868.554  r  -55.309  96.360  nan  -1.892  None  Pan-STARRS1  GPC1  None
OBS:      59868.557  i  -2133.212  57.676  nan  -0.029  None  Pan-STARRS1  GPC1  None
OBS:      59873.557  i  1531.532  277.916  19.537  0.181  None  Pan-STARRS1  GPC1  None
OBS:      59873.560  g  -141.404  201.963  nan  -1.551  None  Pan-STARRS1  GPC1  None
OBS:      59144.471  orange-ATLAS  -19624.563  117.747  nan  -0.007  None  ATLAS  HKO  None
OBS:      59144.473  orange-ATLAS  -1975.150  351.577  nan  -0.193  None  ATLAS  HKO  None
OBS:      59144.477  orange-ATLAS  -3206.269  41.682  nan  -0.014  None  ATLAS  HKO  None
OBS:      59144.483  orange-ATLAS  -7965.261  366.402  nan  -0.050  None  ATLAS  HKO  None
OBS:      59146.551  cyan-ATLAS  -2777.154  244.390  nan  -0.096  None  ATLAS  HKO  None
OBS:      59146.555  cyan-ATLAS  -3076.097  301.457  nan  -0.106  None  ATLAS  HKO  None
OBS:      59146.561  cyan-ATLAS  -8774.048  254.447  nan  -0.031  None  ATLAS  HKO  None
OBS:      59146.596  cyan-ATLAS  3165.192  265.876  18.749  0.084  None  ATLAS  HKO  None
OBS:      59147.481  orange-ATLAS  -6528.298  208.906  nan  -0.035  None  ATLAS  HKO  None
OBS:      59147.483  orange-ATLAS  -26205.956  157.236  nan  -0.007  None  ATLAS  HKO  None
OBS:      59147.486  orange-ATLAS  -5696.394  273.427  nan  -0.052  None  ATLAS  HKO  None
OBS:      59147.491  orange-ATLAS  1468.250  255.475  19.583  0.174  None  ATLAS  HKO  None
OBS:      59148.453  orange-ATLAS  -6020.049  632.105  nan  -0.114  None  ATLAS  HKO  None
OBS:      59148.456  orange-ATLAS  63.797  491.237  22.988  7.700  None  ATLAS  HKO  None
OBS:      59148.459  orange-ATLAS  -732.487  1598.287  nan  -2.369  None  ATLAS  HKO  None
OBS:      59148.468  orange-ATLAS  -1499.685  1198.248  nan  -0.868  None  ATLAS  HKO  None
OBS:      59150.598  orange-ATLAS  35612.298  1602.553  16.121  0.045  None  ATLAS  HKO  None
OBS:      59158.504  orange-ATLAS  -1195.639  413.691  nan  -0.376  None  ATLAS  HKO  None
OBS:      59158.507  orange-ATLAS  -1931.968  1481.820  nan  -0.833  None  ATLAS  HKO  None
OBS:      59158.535  orange-ATLAS  -1761.976  611.406  nan  -0.377  None  ATLAS  HKO  None
OBS:      59158.563  orange-ATLAS  -7557.880  445.915  nan  -0.064  None  ATLAS  HKO  None
OBS:      59160.514  orange-ATLAS  -3014.394  373.785  nan  -0.135  None  ATLAS  HKO  None
OBS:      59160.517  orange-ATLAS  420.339  334.170  20.941  0.795  None  ATLAS  HKO  None
OBS:      59160.552  orange-ATLAS  -304.789  327.649  nan  -1.167  None  ATLAS  HKO  None
OBS:      59160.559  orange-ATLAS  1554.533  310.907  19.521  0.200  None  ATLAS  HKO  None
OBS:      59170.436  cyan-ATLAS  -2370.282  267.842  nan  -0.123  None  ATLAS  HKO  None
OBS:      59170.438  cyan-ATLAS  -10092.529  191.758  nan  -0.021  None  ATLAS  HKO  None
OBS:      59170.441  cyan-ATLAS  -4975.079  199.003  nan  -0.043  None  ATLAS  HKO  None
OBS:      59170.446  cyan-ATLAS  -25118.864  125.594  nan  -0.005  None  ATLAS  HKO  None
OBS:      59173.419  cyan-ATLAS  -40031.328  200.157  nan  -0.005  None  ATLAS  HKO  None
