# CREATED_DATE: 2020-12-24T21:31:17.601Z
# MODIFIED_DATE: 2022-06-03T05:53:26.025Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ia
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: SDSSJ095430.34+061518.2; (09:54:30.35, +06:15:18.30)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020aeeg
# RA: 148.62710248790853
# DEC: 6.255080041983357
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-12-24T00:00:00Z
# REDSHIFT: 0.05
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-01-08T09:35:47Z
# NON_DETECT_LIMIT: 20.6314
# MW_EBV: 0.036
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10LYSEnwh/59207/1095430501061518100_59207.588_111420707_259_target.jpeg
# POSTAGE_STAMP_REF: 10LYSEnwh/59207/1095430501061518100_59207.588_111420707_259_ref.jpeg
# POSTAGE_STAMP_DIFF: 10LYSEnwh/59207/1095430501061518100_59207.588_111420707_259_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10LYSEnwh/59207/1095430501061518100_59207.588_111420707_259_target.fits
# POSTAGE_STAMP_REF_FITS: 10LYSEnwh/59207/1095430501061518100_59207.588_111420707_259_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10LYSEnwh/59207/1095430501061518100_59207.588_111420707_259_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.007
# ALT_STATUS: CONFIRMED
# SLUG: 2020aeeg
# REAL_BOGUS_SCORE: 0.521732
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 30]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59222.467  r-ZTF  1205.346  157.722  19.797  0.142  None  P48  ZTF-Cam  None
OBS:      59224.489  r-ZTF  1312.182  192.514  19.705  0.159  None  P48  ZTF-Cam  None
OBS:      59226.420  r-ZTF  1321.987  187.252  19.697  0.154  None  P48  ZTF-Cam  None
OBS:      59230.422  r-ZTF  1483.742  171.873  19.572  0.126  None  P48  ZTF-Cam  None
OBS:      59232.400  r-ZTF  1517.793  158.577  19.547  0.113  None  P48  ZTF-Cam  None
OBS:      59248.387  r-ZTF  2028.830  200.478  19.232  0.107  None  P48  ZTF-Cam  None
OBS:      59250.338  r-ZTF  2245.484  258.146  19.122  0.125  None  P48  ZTF-Cam  None
OBS:      59252.299  r-ZTF  2130.592  201.224  19.179  0.103  None  P48  ZTF-Cam  None
OBS:      59254.381  r-ZTF  2254.041  173.038  19.118  0.083  None  P48  ZTF-Cam  None
OBS:      59256.380  r-ZTF  2210.940  205.209  19.139  0.101  None  P48  ZTF-Cam  None
OBS:      59262.250  r-ZTF  2266.401  297.306  19.112  0.142  None  P48  ZTF-Cam  None
OBS:      59264.294  r-ZTF  2248.575  187.442  19.120  0.091  None  P48  ZTF-Cam  None
OBS:      59266.320  r-ZTF  2409.749  303.984  19.045  0.137  None  P48  ZTF-Cam  None
OBS:      59268.339  r-ZTF  2052.414  241.774  19.219  0.128  None  P48  ZTF-Cam  None
OBS:      59270.323  r-ZTF  2405.071  291.206  19.047  0.131  None  P48  ZTF-Cam  None
OBS:      59275.319  r-ZTF  2323.249  245.800  19.085  0.115  None  P48  ZTF-Cam  None
OBS:      59278.282  r-ZTF  2352.044  250.382  19.071  0.116  None  P48  ZTF-Cam  None
OBS:      59281.247  r-ZTF  2446.023  212.596  19.029  0.094  None  P48  ZTF-Cam  None
OBS:      59291.236  r-ZTF  2093.821  191.823  19.198  0.099  None  P48  ZTF-Cam  None
OBS:      59293.213  r-ZTF  1967.632  189.041  19.265  0.104  None  P48  ZTF-Cam  None
OBS:      59296.248  r-ZTF  1715.396  301.533  19.414  0.191  None  P48  ZTF-Cam  None
