# CREATED_DATE: 2020-12-28T18:31:57.662Z
# MODIFIED_DATE: 2022-07-23T07:04:51.485Z
# STATUS: Ignore
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN IIP
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: SDSSJ131259.49+061012.4; (13:12:59.52, +06:10:13.12)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020aeqx
# RA: 198.25011221336695
# DEC: 6.170067225698157
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-12-28T00:00:00Z
# REDSHIFT: 0.03179
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-12-23T13:17:29Z
# NON_DETECT_LIMIT: 19.4856
# MW_EBV: 0.032
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10LYSEoap/59211/1131300021061012100_59211.662_111557953_59_target.jpeg
# POSTAGE_STAMP_REF: 10LYSEoap/59211/1131300021061012100_59211.662_111557953_59_ref.jpeg
# POSTAGE_STAMP_DIFF: 10LYSEoap/59211/1131300021061012100_59211.662_111557953_59_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10LYSEoap/59211/1131300021061012100_59211.662_111557953_59_target.fits
# POSTAGE_STAMP_REF_FITS: 10LYSEoap/59211/1131300021061012100_59211.662_111557953_59_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10LYSEoap/59211/1131300021061012100_59211.662_111557953_59_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN IIP
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020aeqx
# REAL_BOGUS_SCORE: 0.709776
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59195.587  g  -112.306  279.366  nan  -2.701  None  Pan-STARRS1  GPC1  None
OBS:      59195.589  i  7.252  223.927  25.349  30.878  None  Pan-STARRS1  GPC1  None
OBS:      59207.653  r  -14.963  106.878  nan  -7.755  None  Pan-STARRS1  GPC1  None
OBS:      59207.656  z  117.444  165.714  22.325  1.411  None  Pan-STARRS1  GPC1  None
OBS:      59211.660  r  1724.567  165.619  19.408  0.104  None  Pan-STARRS1  GPC1  None
OBS:      59211.663  z  1479.517  239.015  19.575  0.175  None  Pan-STARRS1  GPC1  None
OBS:      59214.636  i  1965.894  338.114  19.266  0.187  None  Pan-STARRS1  GPC1  None
OBS:      59214.639  r  2168.902  177.531  19.159  0.089  None  Pan-STARRS1  GPC1  None
OBS:      59222.590  g  2268.193  211.415  19.111  0.101  None  Pan-STARRS1  GPC1  None
OBS:      59222.593  r  2375.527  143.749  19.061  0.066  None  Pan-STARRS1  GPC1  None
OBS:      59231.605  r  2295.937  185.408  19.098  0.088  None  Pan-STARRS1  GPC1  None
OBS:      59231.608  g  1788.957  120.986  19.369  0.073  None  Pan-STARRS1  GPC1  None
OBS:      59238.570  r  2205.566  223.582  19.141  0.110  None  Pan-STARRS1  GPC1  None
OBS:      59238.573  i  2110.182  214.813  19.189  0.111  None  Pan-STARRS1  GPC1  None
OBS:      59243.571  r  1901.078  360.846  19.302  0.206  None  Pan-STARRS1  GPC1  None
OBS:      59243.581  z  1856.094  288.324  19.328  0.169  None  Pan-STARRS1  GPC1  None
OBS:      59258.526  g  1077.159  241.449  19.919  0.243  None  Pan-STARRS1  GPC1  None
OBS:      59258.528  i  1629.896  281.934  19.470  0.188  None  Pan-STARRS1  GPC1  None
OBS:      59262.571  g  778.538  121.655  20.272  0.170  None  Pan-STARRS1  GPC1  None
OBS:      59262.574  r  1639.230  102.023  19.463  0.068  None  Pan-STARRS1  GPC1  None
OBS:      59262.631  g  0.348  89.142  28.646  256.088  None  Pan-STARRS1  GPC1  None
OBS:      59267.569  r  1517.749  157.301  19.547  0.113  None  Pan-STARRS1  GPC1  None
OBS:      59267.572  i  1431.397  169.759  19.611  0.129  None  Pan-STARRS1  GPC1  None
OBS:      59269.525  z  1693.870  454.980  19.428  0.292  None  Pan-STARRS1  GPC1  None
OBS:      59269.528  r  1487.168  302.482  19.569  0.221  None  Pan-STARRS1  GPC1  None
OBS:      59277.538  r  1408.729  167.924  19.628  0.119  None  Pan-STARRS1  GPC1  None
OBS:      59277.541  z  1459.314  213.859  19.590  0.147  None  Pan-STARRS1  GPC1  None
OBS:      59292.399  r  1022.822  181.315  19.976  0.192  None  Pan-STARRS1  GPC1  None
OBS:      59292.402  g  466.359  135.417  20.828  0.315  None  Pan-STARRS1  GPC1  None
OBS:      59295.419  g  495.732  272.286  20.762  0.549  None  Pan-STARRS1  GPC1  None
OBS:      59295.422  i  884.953  192.566  20.133  0.236  None  Pan-STARRS1  GPC1  None
OBS:      59298.444  i  602.665  246.734  20.550  0.409  None  Pan-STARRS1  GPC1  None
OBS:      59298.447  r  864.378  350.978  20.158  0.406  None  Pan-STARRS1  GPC1  None
OBS:      59305.481  z  718.071  412.922  20.360  0.575  None  Pan-STARRS1  GPC1  None
OBS:      59305.484  r  285.451  322.327  21.361  1.129  None  Pan-STARRS1  GPC1  None
OBS:      59316.435  g  229.837  136.303  21.596  0.593  None  Pan-STARRS1  GPC1  None
OBS:      59316.438  r  204.809  132.339  21.722  0.646  None  Pan-STARRS1  GPC1  None
OBS:      59319.354  i  184.802  154.807  21.833  0.838  None  Pan-STARRS1  GPC1  None
OBS:      59319.357  g  1.491  132.754  27.067  89.055  None  Pan-STARRS1  GPC1  None
OBS:      59323.361  g  137.465  117.178  22.154  0.852  None  Pan-STARRS1  GPC1  None
OBS:      59323.364  z  419.043  146.032  20.944  0.348  None  Pan-STARRS1  GPC1  None
OBS:      59332.293  i  398.960  296.073  20.998  0.742  None  Pan-STARRS1  GPC1  None
OBS:      59332.296  r  249.421  186.421  21.508  0.747  None  Pan-STARRS1  GPC1  None
OBS:      59333.309  z  407.470  187.241  20.975  0.460  None  Pan-STARRS1  GPC1  None
OBS:      59333.311  r  265.458  92.046  21.440  0.347  None  Pan-STARRS1  GPC1  None
OBS:      59335.403  i  198.948  244.668  21.753  1.230  None  Pan-STARRS1  GPC1  None
OBS:      59335.406  r  129.861  219.293  22.216  1.689  None  Pan-STARRS1  GPC1  None
OBS:      59338.285  g  130.799  228.050  22.209  1.744  None  Pan-STARRS1  GPC1  None
OBS:      59338.288  i  200.496  225.784  21.745  1.126  None  Pan-STARRS1  GPC1  None
OBS:      59344.260  i  200.906  82.184  21.742  0.409  None  Pan-STARRS1  GPC1  None
OBS:      59344.263  g  26.497  78.567  23.942  2.965  None  Pan-STARRS1  GPC1  None
OBS:      59346.285  g  -4.432  82.081  nan  -20.107  None  Pan-STARRS1  GPC1  None
OBS:      59346.287  r  159.972  68.809  21.990  0.430  None  Pan-STARRS1  GPC1  None
OBS:      59349.312  g  -12.971  127.451  nan  -10.668  None  Pan-STARRS1  GPC1  None
OBS:      59349.315  r  69.009  87.560  22.903  1.269  None  Pan-STARRS1  GPC1  None
OBS:      59351.261  g  -146.953  288.820  nan  -2.134  None  Pan-STARRS1  GPC1  None
OBS:      59351.264  r  186.827  233.816  21.821  1.252  None  Pan-STARRS1  GPC1  None
OBS:      59399.298  r  178.901  159.568  21.869  0.892  None  Pan-STARRS1  GPC1  None
OBS:      59399.300  g  -5.356  140.600  nan  -28.500  None  Pan-STARRS1  GPC1  None
OBS:      59400.287  g  221.412  117.013  21.637  0.528  None  Pan-STARRS1  GPC1  None
OBS:      59400.289  i  182.730  107.007  21.845  0.586  None  Pan-STARRS1  GPC1  None
OBS:      59401.286  g  21.363  71.587  24.176  3.351  None  Pan-STARRS1  GPC1  None
OBS:      59401.289  r  121.257  63.205  22.291  0.521  None  Pan-STARRS1  GPC1  None
OBS:      59402.290  g  -97.492  115.138  nan  -1.282  None  Pan-STARRS1  GPC1  None
OBS:      59402.293  i  106.779  72.121  22.429  0.675  None  Pan-STARRS1  GPC1  None
OBS:      59403.283  r  212.753  69.066  21.680  0.325  None  Pan-STARRS1  GPC1  None
OBS:      59403.285  g  31.667  74.416  23.748  2.350  None  Pan-STARRS1  GPC1  None
OBS:      59404.283  g  -74.489  83.212  nan  -1.213  None  Pan-STARRS1  GPC1  None
OBS:      59404.286  i  67.476  59.572  22.927  0.883  None  Pan-STARRS1  GPC1  None
OBS:      59405.296  g  74.385  200.891  22.821  2.701  None  Pan-STARRS1  GPC1  None
OBS:      59405.299  r  159.480  75.639  21.993  0.474  None  Pan-STARRS1  GPC1  None
OBS:      59215.539  r-ZTF  1998.813  335.919  19.248  0.182  None  P48  ZTF-Cam  None
