# CREATED_DATE: 2020-01-20T18:05:17.378Z
# MODIFIED_DATE: 2022-07-13T05:26:26.433Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: None
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237658491746582689/SDSSJ12381; (12:38:14.64, +09:13:55.13)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020ama
# RA: 189.5619549757006
# DEC: 9.230728720802686
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-01-20T00:00:00Z
# REDSHIFT: 0.063977
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: None
# NON_DETECT_LIMIT: None
# MW_EBV: 0.017
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10AYSEagy/58868/1123814861091350600_58868.570_101710615_249_target.jpeg
# POSTAGE_STAMP_REF: 10AYSEagy/58868/1123814861091350600_58868.570_101710615_249_ref.jpeg
# POSTAGE_STAMP_DIFF: 10AYSEagy/58868/1123814861091350600_58868.570_101710615_249_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10AYSEagy/58868/1123814861091350600_58868.570_101710615_249_target.fits
# POSTAGE_STAMP_REF_FITS: 10AYSEagy/58868/1123814861091350600_58868.570_101710615_249_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10AYSEagy/58868/1123814861091350600_58868.570_101710615_249_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020ama
# REAL_BOGUS_SCORE: 0.984551
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 91]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      58868.569  g  550.250  85.077  20.649  0.168  None  Pan-STARRS1  GPC1  None
OBS:      58868.571  i  565.145  85.439  20.620  0.164  None  Pan-STARRS1  GPC1  None
OBS:      58878.501  r  526.366  183.550  20.697  0.349  None  Pan-STARRS1  GPC1  None
OBS:      58878.503  g  432.938  161.464  20.909  0.373  None  Pan-STARRS1  GPC1  None
OBS:      58932.508  g  303.341  104.760  21.295  0.345  None  Pan-STARRS1  GPC1  None
OBS:      58942.506  r  536.790  267.027  20.675  0.497  None  Pan-STARRS1  GPC1  None
OBS:      58942.508  i  437.601  230.681  20.897  0.527  None  Pan-STARRS1  GPC1  None
OBS:      58958.409  g  79.471  103.575  22.749  1.303  None  Pan-STARRS1  GPC1  None
OBS:      58958.411  i  433.591  72.387  20.907  0.181  None  Pan-STARRS1  GPC1  None
OBS:      58960.294  g  23.862  42.336  24.056  1.774  None  Pan-STARRS1  GPC1  None
OBS:      58964.420  r  555.966  485.901  20.637  0.874  None  Pan-STARRS1  GPC1  None
OBS:      58964.422  g  86.106  369.829  22.662  4.295  None  Pan-STARRS1  GPC1  None
OBS:      58967.248  g  128.136  90.971  22.231  0.710  None  Pan-STARRS1  GPC1  None
OBS:      58970.304  g  98.663  188.681  22.515  1.912  None  Pan-STARRS1  GPC1  None
OBS:      58970.306  i  368.400  96.509  21.084  0.284  None  Pan-STARRS1  GPC1  None
OBS:      58985.374  g  58.076  51.896  23.090  0.894  None  Pan-STARRS1  GPC1  None
OBS:      58985.376  i  173.097  74.722  21.904  0.432  None  Pan-STARRS1  GPC1  None
OBS:      58995.359  r  50.551  71.115  23.241  1.407  None  Pan-STARRS1  GPC1  None
OBS:      58995.361  g  17.482  53.921  24.393  3.084  None  Pan-STARRS1  GPC1  None
OBS:      59005.336  r  154.940  147.882  22.025  0.954  None  Pan-STARRS1  GPC1  None
OBS:      59008.286  r  52.681  60.439  23.196  1.147  None  Pan-STARRS1  GPC1  None
OBS:      59008.288  i  166.961  63.015  21.943  0.377  None  Pan-STARRS1  GPC1  None
