# CREATED_DATE: 2020-03-05T04:19:51.992Z
# MODIFIED_DATE: 2021-11-09T07:00:27.288Z
# STATUS: Ignore
# OBS_GROUP: ZTF
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: PSO J025819.723+405523.387; (02:58:19.73, +40:55:23.36)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020eaf
# RA: 44.58325
# DEC: 40.9231888888889
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-03-05T02:52:16.032Z
# REDSHIFT: 0.0206
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-02-25T04:15:06Z
# NON_DETECT_LIMIT: 20.0143
# MW_EBV: 0.089
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10IYSEkuh/59105/1025819981405523300_59105.504_107925892_783_target.jpeg
# POSTAGE_STAMP_REF: 10IYSEkuh/59105/1025819981405523300_59105.504_107925892_783_ref.jpeg
# POSTAGE_STAMP_DIFF: 10IYSEkuh/59105/1025819981405523300_59105.504_107925892_783_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10IYSEkuh/59105/1025819981405523300_59105.504_107925892_783_target.fits
# POSTAGE_STAMP_REF_FITS: 10IYSEkuh/59105/1025819981405523300_59105.504_107925892_783_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10IYSEkuh/59105/1025819981405523300_59105.504_107925892_783_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.255
# ALT_STATUS: None
# SLUG: 2020eaf
# REAL_BOGUS_SCORE: 0.980432
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      58913.120  g-ZTF  14053.103  658.441  17.131  0.051  None  P48  ZTF-Cam  None
OBS:      58913.163  r-ZTF  11981.517  637.608  17.304  0.058  None  P48  ZTF-Cam  None
OBS:      58915.125  r-ZTF  19376.550  717.677  16.782  0.040  None  P48  ZTF-Cam  None
OBS:      58917.178  g-ZTF  21918.517  906.093  16.648  0.045  None  P48  ZTF-Cam  None
OBS:      59046.451  r-ZTF  3862.899  257.409  18.533  0.072  None  P48  ZTF-Cam  None
OBS:      59046.474  g-ZTF  1155.119  206.890  19.843  0.194  None  P48  ZTF-Cam  None
OBS:      59049.434  r-ZTF  3926.859  220.039  18.515  0.061  None  P48  ZTF-Cam  None
OBS:      59049.464  g-ZTF  1056.397  137.031  19.940  0.141  None  P48  ZTF-Cam  None
OBS:      59052.432  r-ZTF  3892.606  256.310  18.524  0.071  None  P48  ZTF-Cam  None
OBS:      59052.472  g-ZTF  968.205  135.834  20.035  0.152  None  P48  ZTF-Cam  None
OBS:      59055.437  g-ZTF  953.446  161.295  20.052  0.184  None  P48  ZTF-Cam  None
OBS:      59055.466  r-ZTF  3802.792  186.112  18.550  0.053  None  P48  ZTF-Cam  None
OBS:      59060.493  g-ZTF  968.545  177.410  20.035  0.199  None  P48  ZTF-Cam  None
OBS:      59061.393  r-ZTF  3555.703  287.037  18.623  0.088  None  P48  ZTF-Cam  None
OBS:      59062.449  g-ZTF  925.053  157.126  20.085  0.184  None  P48  ZTF-Cam  None
OBS:      59062.495  r-ZTF  3397.641  201.961  18.672  0.065  None  P48  ZTF-Cam  None
OBS:      59064.413  r-ZTF  3087.665  299.895  18.776  0.105  None  P48  ZTF-Cam  None
OBS:      59065.413  r-ZTF  3282.870  299.969  18.709  0.099  None  P48  ZTF-Cam  None
OBS:      59065.447  r-ZTF  3576.941  392.135  18.616  0.119  None  P48  ZTF-Cam  None
OBS:      59066.501  r-ZTF  3345.138  266.283  18.689  0.086  None  P48  ZTF-Cam  None
OBS:      59068.427  r-ZTF  3115.781  269.912  18.766  0.094  None  P48  ZTF-Cam  None
