# CREATED_DATE: 2020-04-09T17:12:36.972Z
# MODIFIED_DATE: 2022-10-23T12:53:22.230Z
# STATUS: Ignore
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ib/c
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237678876710076484; (21:31:22.10, +09:25:42.20)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020gcv
# RA: 322.8403025251633
# DEC: 9.429986756542528
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-05-31T00:00:00Z
# REDSHIFT: 0.028396
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2018-05-31T12:00:00Z
# NON_DETECT_LIMIT: 20.5
# MW_EBV: 0.032
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10EYSEexq/59000/1213121681092548000_59000.517_104629414_466_target.jpeg
# POSTAGE_STAMP_REF: 10EYSEexq/59000/1213121681092548000_59000.517_104629414_466_ref.jpeg
# POSTAGE_STAMP_DIFF: 10EYSEexq/59000/1213121681092548000_59000.517_104629414_466_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10EYSEexq/59000/1213121681092548000_59000.517_104629414_466_target.fits
# POSTAGE_STAMP_REF_FITS: 10EYSEexq/59000/1213121681092548000_59000.517_104629414_466_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10EYSEexq/59000/1213121681092548000_59000.517_104629414_466_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020gcv
# REAL_BOGUS_SCORE: 0.994653
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 30]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      58948.581  orange  7001.644  877.030  17.887  0.136  None  ATLAS  HKO  None
OBS:      58966.440  g-ZTF  2466.749  252.034  19.020  0.111  None  P48  ZTF-Cam  None
OBS:      58966.461  r-ZTF  5019.415  401.023  18.248  0.087  None  P48  ZTF-Cam  None
OBS:      58970.423  r-ZTF  4538.706  385.216  18.358  0.092  None  P48  ZTF-Cam  None
OBS:      58970.477  g-ZTF  2124.534  193.876  19.182  0.099  None  P48  ZTF-Cam  None
OBS:      58978.490  r-ZTF  4625.973  599.688  18.337  0.141  None  P48  ZTF-Cam  None
OBS:      58987.456  g-ZTF  1722.613  152.768  19.410  0.096  None  P48  ZTF-Cam  None
OBS:      58992.467  g-ZTF  1365.967  184.172  19.661  0.146  None  P48  ZTF-Cam  None
OBS:      58996.451  g-ZTF  1014.142  134.239  19.985  0.144  None  P48  ZTF-Cam  None
OBS:      58996.466  r-ZTF  3661.267  254.775  18.591  0.076  None  P48  ZTF-Cam  None
OBS:      58999.414  g-ZTF  943.312  157.417  20.063  0.181  None  P48  ZTF-Cam  None
OBS:      59002.464  r-ZTF  2651.873  256.306  18.941  0.105  None  P48  ZTF-Cam  None
OBS:      59013.357  r-ZTF  1259.622  201.433  19.749  0.174  None  P48  ZTF-Cam  None
OBS:      59016.464  r-ZTF  976.759  151.616  20.026  0.169  None  P48  ZTF-Cam  None
OBS:      59045.356  r-ZTF  896.445  128.573  20.119  0.156  None  P48  ZTF-Cam  None
OBS:      59054.360  r-ZTF  804.754  152.941  20.236  0.206  None  P48  ZTF-Cam  None
OBS:      59057.365  r-ZTF  769.343  150.861  20.285  0.213  None  P48  ZTF-Cam  None
OBS:      59060.412  r-ZTF  758.691  145.372  20.300  0.208  None  P48  ZTF-Cam  None
OBS:      58966.440  g-ZTF  2466.721  0.000  19.020  0.000  None  P48  ZTF-Cam  None
OBS:      59000.515  g  797.513  68.134  20.246  0.085  None  Pan-STARRS1  GPC1  None
OBS:      59000.518  z  3171.841  111.040  18.747  0.035  None  Pan-STARRS1  GPC1  None
