# CREATED_DATE: 2020-04-08T18:09:43.653Z
# MODIFIED_DATE: 2022-02-23T18:21:10.681Z
# STATUS: Interesting
# OBS_GROUP: Unknown
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: PSO J144520.535+384408.117; (14:45:20.54, +38:44:08.12)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020ghq
# RA: 221.33512499999998
# DEC: 38.738419444444446
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-04-08T12:24:28.800Z
# REDSHIFT: 0.01521
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-04-15T09:17:51Z
# NON_DETECT_LIMIT: 20.5922
# MW_EBV: 0.009
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10DYSEbhb/58947/1144520431384418200_58947.519_102858345_147_target.jpeg
# POSTAGE_STAMP_REF: 10DYSEbhb/58947/1144520431384418200_58947.519_102858345_147_ref.jpeg
# POSTAGE_STAMP_DIFF: 10DYSEbhb/58947/1144520431384418200_58947.519_102858345_147_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10DYSEbhb/58947/1144520431384418200_58947.519_102858345_147_target.fits
# POSTAGE_STAMP_REF_FITS: 10DYSEbhb/58947/1144520431384418200_58947.519_102858345_147_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10DYSEbhb/58947/1144520431384418200_58947.519_102858345_147_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: None
# SLUG: 2020ghq
# REAL_BOGUS_SCORE: None
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [16, 21, 29, 31, 46, 48, 89]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      58866.655  g  103.614  222.959  22.462  2.152  None  Pan-STARRS1  GPC1  None
OBS:      58866.657  z  -15.666  129.544  nan  -8.978  None  Pan-STARRS1  GPC1  None
OBS:      58868.654  r  23.353  58.540  24.079  2.507  None  Pan-STARRS1  GPC1  None
OBS:      58868.656  g  6.224  87.628  25.515  14.079  None  Pan-STARRS1  GPC1  None
OBS:      58873.621  g  -62.751  76.233  nan  -1.319  None  Pan-STARRS1  GPC1  None
OBS:      58873.624  r  -62.897  53.576  nan  -0.925  None  Pan-STARRS1  GPC1  None
OBS:      58883.650  z  -10.318  124.758  nan  -13.128  None  Pan-STARRS1  GPC1  None
OBS:      58883.653  r  -46.629  97.725  nan  -2.275  None  Pan-STARRS1  GPC1  None
OBS:      58929.536  r  16.505  179.208  24.456  10.858  None  Pan-STARRS1  GPC1  None
OBS:      58929.539  g  -86.266  142.669  nan  -1.796  None  Pan-STARRS1  GPC1  None
OBS:      58933.513  g  -437.218  204.025  nan  -0.507  None  Pan-STARRS1  GPC1  None
OBS:      58933.516  r  -194.133  193.120  nan  -1.080  None  Pan-STARRS1  GPC1  None
OBS:      58947.517  r  1350.082  216.104  19.674  0.174  None  Pan-STARRS1  GPC1  None
OBS:      58947.519  z  1337.950  244.971  19.684  0.199  None  Pan-STARRS1  GPC1  None
OBS:      58950.584  r  3786.169  581.384  18.555  0.167  None  Pan-STARRS1  GPC1  None
OBS:      58950.586  z  3410.044  637.095  18.668  0.203  None  Pan-STARRS1  GPC1  None
OBS:      58958.516  g  586.732  81.439  20.579  0.151  None  Pan-STARRS1  GPC1  None
OBS:      58958.518  i  1699.182  78.665  19.424  0.050  None  Pan-STARRS1  GPC1  None
OBS:      58960.459  g  351.334  67.435  21.136  0.208  None  Pan-STARRS1  GPC1  None
OBS:      58960.462  r  912.851  67.510  20.099  0.080  None  Pan-STARRS1  GPC1  None
OBS:      58965.484  g  213.632  261.148  21.676  1.327  None  Pan-STARRS1  GPC1  Bad
OBS:      58965.487  r  718.141  270.349  20.359  0.409  None  Pan-STARRS1  GPC1  Bad
