# CREATED_DATE: 2020-04-18T17:30:29.776Z
# MODIFIED_DATE: 2022-07-23T07:13:06.208Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: Unknown
# BEST_SPECTRUM: None
# HOST: Host: AGC233593; (13:04:07.20, +05:33:42.98)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020hrw
# RA: 196.0296299356162
# DEC: 5.56187714006263
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-04-20T00:00:00Z
# REDSHIFT: 0.024
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-04-16T06:39:27Z
# NON_DETECT_LIMIT: 20.1789
# MW_EBV: 0.032
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10DYSEbzi/58959/1130407111053342700_58959.348_103159051_172_target.jpeg
# POSTAGE_STAMP_REF: 10DYSEbzi/58959/1130407111053342700_58959.348_103159051_172_ref.jpeg
# POSTAGE_STAMP_DIFF: 10DYSEbzi/58959/1130407111053342700_58959.348_103159051_172_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10DYSEbzi/58959/1130407111053342700_58959.348_103159051_172_target.fits
# POSTAGE_STAMP_REF_FITS: 10DYSEbzi/58959/1130407111053342700_58959.348_103159051_172_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10DYSEbzi/58959/1130407111053342700_58959.348_103159051_172_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.002
# ALT_STATUS: CONFIRMED
# SLUG: 2020hrw
# REAL_BOGUS_SCORE: 0.999417
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 31, 48]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      58955.497  w  737.904  40.778  20.330  0.060  None  Pan-STARRS1  GPC1  None
OBS:      58960.389  w  903.649  49.938  20.110  0.060  None  Pan-STARRS1  GPC1  None
OBS:      58965.310  r-ZTF  925.039  184.696  20.085  0.217  None  P48  ZTF-Cam  None
OBS:      58980.272  r-ZTF  1160.124  156.836  19.839  0.147  None  P48  ZTF-Cam  None
OBS:      58985.208  g-ZTF  677.346  127.700  20.423  0.205  None  P48  ZTF-Cam  None
OBS:      58992.232  r-ZTF  1395.512  172.151  19.638  0.134  None  P48  ZTF-Cam  None
OBS:      58995.248  r-ZTF  1276.133  186.212  19.735  0.158  None  P48  ZTF-Cam  None
OBS:      59009.170  r-ZTF  1926.211  234.431  19.288  0.132  None  P48  ZTF-Cam  None
OBS:      59012.226  r-ZTF  1763.031  182.871  19.384  0.113  None  P48  ZTF-Cam  None
OBS:      59015.216  r-ZTF  1731.579  180.531  19.404  0.113  None  P48  ZTF-Cam  None
OBS:      59018.204  g-ZTF  775.187  143.979  20.276  0.202  None  P48  ZTF-Cam  None
OBS:      59021.237  r-ZTF  1938.966  225.648  19.281  0.126  None  P48  ZTF-Cam  None
OBS:      59024.199  g-ZTF  824.042  148.872  20.210  0.196  None  P48  ZTF-Cam  None
OBS:      59024.219  r-ZTF  1884.242  213.981  19.312  0.123  None  P48  ZTF-Cam  None
OBS:      59027.186  r-ZTF  1869.181  319.808  19.321  0.186  None  P48  ZTF-Cam  None
OBS:      59032.213  r-ZTF  1856.347  316.900  19.328  0.185  None  P48  ZTF-Cam  None
OBS:      59036.254  r-ZTF  2176.993  429.419  19.155  0.214  None  P48  ZTF-Cam  None
OBS:      59038.192  r-ZTF  1637.018  209.409  19.465  0.139  None  P48  ZTF-Cam  None
OBS:      59039.211  r-ZTF  1635.873  201.325  19.466  0.134  None  P48  ZTF-Cam  None
OBS:      59043.238  r-ZTF  1348.895  267.185  19.675  0.215  None  P48  ZTF-Cam  None
OBS:      58867.608  g  116.081  134.174  22.338  1.156  None  Pan-STARRS1  GPC1  None
OBS:      58867.611  i  13.968  148.188  24.637  10.609  None  Pan-STARRS1  GPC1  None
OBS:      58871.640  r  106.087  72.119  22.436  0.680  None  Pan-STARRS1  GPC1  None
OBS:      58874.595  g  -31.696  87.671  nan  -3.003  None  Pan-STARRS1  GPC1  None
OBS:      58874.598  i  -2.594  64.185  nan  -26.863  None  Pan-STARRS1  GPC1  None
OBS:      58931.448  g  -2.468  93.302  nan  -41.042  None  Pan-STARRS1  GPC1  None
OBS:      58931.450  r  -100.478  172.299  nan  -1.862  None  Pan-STARRS1  GPC1  None
OBS:      58943.358  r  913.996  557.607  20.098  0.610  None  Pan-STARRS1  GPC1  None
OBS:      58943.361  i  -913.077  1428.040  nan  -1.698  None  Pan-STARRS1  GPC1  None
OBS:      58949.363  z  752.563  414.327  20.309  0.551  None  Pan-STARRS1  GPC1  None
OBS:      58949.366  r  719.746  332.288  20.357  0.462  None  Pan-STARRS1  GPC1  None
OBS:      58956.445  g  448.190  165.816  20.871  0.370  None  Pan-STARRS1  GPC1  None
OBS:      58956.447  i  1058.023  133.884  19.939  0.127  None  Pan-STARRS1  GPC1  None
OBS:      58959.345  g  465.457  45.649  20.830  0.106  None  Pan-STARRS1  GPC1  None
OBS:      58959.348  r  825.049  54.728  20.209  0.072  None  Pan-STARRS1  GPC1  None
OBS:      58964.429  g  513.782  422.709  20.723  0.823  None  Pan-STARRS1  GPC1  None
