# CREATED_DATE: 2020-05-06T06:51:21.503Z
# MODIFIED_DATE: 2022-07-21T07:12:32.833Z
# STATUS: NeedsTemplate
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: SDSSJ122147.60+042938.5; (12:21:47.60, +04:29:38.51)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020jfo
# RA: 185.46034885076713
# DEC: 4.481697183275802
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-05-14T00:00:00Z
# REDSHIFT: 0.00502
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-05-02T06:36:11Z
# NON_DETECT_LIMIT: 19.6963
# MW_EBV: 0.019
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10EYSEdqu/58983/1122150481042854100_58983.287_103994875_5_target.jpeg
# POSTAGE_STAMP_REF: 10EYSEdqu/58983/1122150481042854100_58983.287_103994875_5_ref.jpeg
# POSTAGE_STAMP_DIFF: 10EYSEdqu/58983/1122150481042854100_58983.287_103994875_5_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10EYSEdqu/58983/1122150481042854100_58983.287_103994875_5_target.fits
# POSTAGE_STAMP_REF_FITS: 10EYSEdqu/58983/1122150481042854100_58983.287_103994875_5_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10EYSEdqu/58983/1122150481042854100_58983.287_103994875_5_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020jfo
# REAL_BOGUS_SCORE: 0.999953
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [12, 19, 22, 29, 32, 33, 48, 77]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      58975.203  r-ZTF  39274.864  1299.293  16.015  0.036  None  P48  ZTF-Cam  None
OBS:      58975.250  g-ZTF  69273.421  1942.350  15.399  0.030  None  P48  ZTF-Cam  None
OBS:      58978.192  g-ZTF  155535.144  3825.671  14.520  0.027  None  P48  ZTF-Cam  None
OBS:      58978.248  r-ZTF  139276.606  4565.445  14.640  0.036  None  P48  ZTF-Cam  None
OBS:      58981.199  g-ZTF  167613.121  3116.991  14.439  0.020  None  P48  ZTF-Cam  None
OBS:      58981.249  r-ZTF  166186.427  5032.875  14.449  0.033  None  P48  ZTF-Cam  None
OBS:      58986.192  g-ZTF  142261.576  3021.092  14.617  0.023  None  P48  ZTF-Cam  None
OBS:      58986.256  r-ZTF  151722.942  4208.276  14.547  0.030  None  P48  ZTF-Cam  None
OBS:      58992.193  g-ZTF  127686.645  2324.525  14.735  0.020  None  P48  ZTF-Cam  None
OBS:      58992.234  r-ZTF  158956.645  3602.863  14.497  0.025  None  P48  ZTF-Cam  None
OBS:      58995.201  g-ZTF  115719.555  2463.104  14.841  0.023  None  P48  ZTF-Cam  None
OBS:      58995.229  r-ZTF  150713.475  2987.658  14.555  0.022  None  P48  ZTF-Cam  None
OBS:      58998.193  g-ZTF  105768.714  2769.370  14.939  0.028  None  P48  ZTF-Cam  None
OBS:      58998.225  r-ZTF  149731.898  3831.439  14.562  0.028  None  P48  ZTF-Cam  None
OBS:      59005.187  g-ZTF  88873.686  2125.976  15.128  0.026  None  P48  ZTF-Cam  None
OBS:      59009.231  g-ZTF  85666.942  1773.572  15.168  0.022  None  P48  ZTF-Cam  None
OBS:      59014.200  g-ZTF  77110.916  1587.387  15.282  0.022  None  P48  ZTF-Cam  None
OBS:      59017.235  r-ZTF  133818.087  3093.169  14.684  0.025  None  P48  ZTF-Cam  None
OBS:      59020.198  g-ZTF  70541.881  1955.932  15.379  0.030  None  P48  ZTF-Cam  None
OBS:      59020.236  r-ZTF  130213.288  4658.952  14.713  0.039  None  P48  ZTF-Cam  None
OBS:      59023.214  g-ZTF  66401.500  1488.075  15.445  0.024  None  P48  ZTF-Cam  None
OBS:      59033.176  r-ZTF  102057.371  2196.689  14.978  0.023  None  P48  ZTF-Cam  None
OBS:      59033.198  g-ZTF  44887.395  1025.511  15.870  0.025  None  P48  ZTF-Cam  None
OBS:      59037.212  g-ZTF  31013.585  1169.843  16.271  0.041  None  P48  ZTF-Cam  None
OBS:      59176.516  g-ZTF  2686.685  271.770  18.927  0.110  None  P48  ZTF-Cam  None
OBS:      59176.562  r-ZTF  6693.403  482.654  17.936  0.078  None  P48  ZTF-Cam  None
OBS:      59180.561  r-ZTF  6452.481  726.400  17.976  0.122  None  P48  ZTF-Cam  None
OBS:      59184.507  r-ZTF  5583.301  378.620  18.133  0.074  None  P48  ZTF-Cam  None
OBS:      59188.511  r-ZTF  5353.151  394.288  18.178  0.080  None  P48  ZTF-Cam  None
OBS:      59188.542  g-ZTF  2776.255  320.017  18.891  0.125  None  P48  ZTF-Cam  None
OBS:      59194.516  r-ZTF  4871.395  313.112  18.281  0.070  None  P48  ZTF-Cam  None
