# CREATED_DATE: 2020-05-20T15:32:00.421Z
# MODIFIED_DATE: 2022-09-30T04:02:27.345Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237662306199863818; (15:59:48.50, +27:15:37.69)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020koc
# RA: 239.9521536598713
# DEC: 27.260574454660173
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-05-20T00:00:00Z
# REDSHIFT: 0.166
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-06-01T06:16:06Z
# NON_DETECT_LIMIT: 20.1757
# MW_EBV: 0.038
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10EYSEeco/58989/1155948521271538100_58989.514_104268655_123_target.jpeg
# POSTAGE_STAMP_REF: 10EYSEeco/58989/1155948521271538100_58989.514_104268655_123_ref.jpeg
# POSTAGE_STAMP_DIFF: 10EYSEeco/58989/1155948521271538100_58989.514_104268655_123_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10EYSEeco/58989/1155948521271538100_58989.514_104268655_123_target.fits
# POSTAGE_STAMP_REF_FITS: 10EYSEeco/58989/1155948521271538100_58989.514_104268655_123_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10EYSEeco/58989/1155948521271538100_58989.514_104268655_123_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020koc
# REAL_BOGUS_SCORE: 0.544025
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [16, 29, 31, 48]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      58991.268  r-ZTF  604.959  112.554  20.546  0.202  None  P48  ZTF-Cam  None
OBS:      58993.269  g-ZTF  755.475  130.934  20.304  0.188  None  P48  ZTF-Cam  None
OBS:      58993.299  r-ZTF  770.762  119.222  20.283  0.168  None  P48  ZTF-Cam  None
OBS:      58994.310  r-ZTF  673.543  113.288  20.429  0.183  None  P48  ZTF-Cam  None
OBS:      58995.258  r-ZTF  690.966  120.022  20.401  0.189  None  P48  ZTF-Cam  None
OBS:      58996.317  g-ZTF  948.728  138.762  20.057  0.159  None  P48  ZTF-Cam  None
OBS:      58997.295  r-ZTF  821.580  145.257  20.213  0.192  None  P48  ZTF-Cam  None
OBS:      58998.261  r-ZTF  995.112  141.634  20.005  0.155  None  P48  ZTF-Cam  None
OBS:      58998.295  r-ZTF  874.389  170.136  20.146  0.211  None  P48  ZTF-Cam  None
OBS:      58998.352  g-ZTF  912.458  133.818  20.099  0.159  None  P48  ZTF-Cam  None
OBS:      58999.270  g-ZTF  1024.352  184.393  19.974  0.195  None  P48  ZTF-Cam  None
OBS:      58999.296  r-ZTF  943.416  168.519  20.063  0.194  None  P48  ZTF-Cam  None
OBS:      59000.289  g-ZTF  1216.250  217.545  19.787  0.194  None  P48  ZTF-Cam  None
OBS:      59000.400  g-ZTF  1095.487  176.904  19.901  0.175  None  P48  ZTF-Cam  None
OBS:      59008.319  r-ZTF  1478.154  206.543  19.576  0.152  None  P48  ZTF-Cam  None
OBS:      59009.268  g-ZTF  1874.433  249.035  19.318  0.144  None  P48  ZTF-Cam  None
OBS:      59011.256  r-ZTF  1640.720  146.400  19.462  0.097  None  P48  ZTF-Cam  None
OBS:      59011.290  g-ZTF  1726.303  182.188  19.407  0.115  None  P48  ZTF-Cam  None
OBS:      59014.237  r-ZTF  1777.349  165.286  19.376  0.101  None  P48  ZTF-Cam  None
OBS:      59017.256  r-ZTF  1834.120  160.489  19.341  0.095  None  P48  ZTF-Cam  None
OBS:      59017.303  g-ZTF  1939.102  145.319  19.281  0.081  None  P48  ZTF-Cam  None
OBS:      59020.253  r-ZTF  1791.685  184.245  19.367  0.112  None  P48  ZTF-Cam  None
OBS:      59023.197  r-ZTF  1875.886  189.253  19.317  0.110  None  P48  ZTF-Cam  None
OBS:      59023.236  g-ZTF  1951.367  183.072  19.274  0.102  None  P48  ZTF-Cam  None
OBS:      59024.250  r-ZTF  1970.191  193.369  19.264  0.107  None  P48  ZTF-Cam  None
OBS:      59026.233  g-ZTF  2039.773  335.780  19.226  0.179  None  P48  ZTF-Cam  None
OBS:      59029.215  r-ZTF  1964.426  357.006  19.267  0.197  None  P48  ZTF-Cam  None
OBS:      59032.250  r-ZTF  2067.370  371.267  19.211  0.195  None  P48  ZTF-Cam  None
OBS:      59032.364  g-ZTF  2186.667  319.469  19.151  0.159  None  P48  ZTF-Cam  None
OBS:      59035.317  r-ZTF  2015.717  399.416  19.239  0.215  None  P48  ZTF-Cam  None
OBS:      59038.214  r-ZTF  1994.299  235.056  19.251  0.128  None  P48  ZTF-Cam  None
OBS:      59041.212  g-ZTF  2099.516  209.317  19.195  0.108  None  P48  ZTF-Cam  None
OBS:      59041.255  r-ZTF  2118.652  173.456  19.185  0.089  None  P48  ZTF-Cam  None
OBS:      59044.196  g-ZTF  1970.215  166.573  19.264  0.092  None  P48  ZTF-Cam  None
OBS:      59044.232  r-ZTF  2142.219  212.332  19.173  0.108  None  P48  ZTF-Cam  None
OBS:      59047.215  r-ZTF  2044.469  179.311  19.224  0.095  None  P48  ZTF-Cam  None
OBS:      59047.243  g-ZTF  2030.752  171.929  19.231  0.092  None  P48  ZTF-Cam  None
OBS:      59050.194  g-ZTF  1888.271  173.277  19.310  0.100  None  P48  ZTF-Cam  None
OBS:      59050.290  r-ZTF  1985.755  265.787  19.255  0.145  None  P48  ZTF-Cam  None
OBS:      59054.196  r-ZTF  1620.175  185.631  19.476  0.124  None  P48  ZTF-Cam  None
