# CREATED_DATE: 2020-05-21T15:55:49.466Z
# MODIFIED_DATE: 2022-07-20T07:26:40.277Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 2MASXJ12305529+0909044; (12:30:55.30, +09:09:04.47)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020kpz
# RA: 187.73105910343466
# DEC: 9.152848157589641
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-05-21T00:00:00Z
# REDSHIFT: 0.039
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-02-06T06:18:43Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.017
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10EYSEedo/58990/1123055451090910200_58990.263_104281540_140_target.jpeg
# POSTAGE_STAMP_REF: 10EYSEedo/58990/1123055451090910200_58990.263_104281540_140_ref.jpeg
# POSTAGE_STAMP_DIFF: 10EYSEedo/58990/1123055451090910200_58990.263_104281540_140_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10EYSEedo/58990/1123055451090910200_58990.263_104281540_140_target.fits
# POSTAGE_STAMP_REF_FITS: 10EYSEedo/58990/1123055451090910200_58990.263_104281540_140_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10EYSEedo/58990/1123055451090910200_58990.263_104281540_140_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020kpz
# REAL_BOGUS_SCORE: 0.977936
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 30, 38, 46, 77]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      58988.267  g  1270.574  210.644  19.740  0.180  None  Pan-STARRS1  GPC1  None
OBS:      59252.492  w  855.067  31.502  20.170  0.040  None  Pan-STARRS1  GPC1  None
OBS:      59267.419  r-ZTF  984.193  195.473  20.017  0.216  None  P48  ZTF-Cam  None
OBS:      58922.418  r  255.733  147.340  21.481  0.576  None  Pan-STARRS1  GPC1  None
OBS:      58922.419  i  136.498  181.497  22.162  1.330  None  Pan-STARRS1  GPC1  None
OBS:      58930.512  z  27.444  362.893  23.904  13.223  None  Pan-STARRS1  GPC1  None
OBS:      58930.513  g  -382.756  400.379  nan  -1.136  None  Pan-STARRS1  GPC1  None
OBS:      58931.443  g  -91.499  137.585  nan  -1.633  None  Pan-STARRS1  GPC1  None
OBS:      58931.444  r  126.751  160.907  22.243  1.269  None  Pan-STARRS1  GPC1  None
OBS:      58932.513  g  192.086  173.944  21.791  0.906  None  Pan-STARRS1  GPC1  None
OBS:      58933.508  g  -245.658  432.363  nan  -1.911  None  Pan-STARRS1  GPC1  None
OBS:      58933.509  z  85.953  462.741  22.664  5.384  None  Pan-STARRS1  GPC1  None
OBS:      58942.511  z  39.694  347.478  23.503  8.754  None  Pan-STARRS1  GPC1  None
OBS:      58942.512  r  12.173  166.243  24.787  13.656  None  Pan-STARRS1  GPC1  None
OBS:      58943.353  r  40.008  216.509  23.495  5.412  None  Pan-STARRS1  GPC1  None
OBS:      58943.354  i  82.860  182.088  22.704  2.198  None  Pan-STARRS1  GPC1  None
OBS:      58950.325  z  47.850  441.955  23.300  9.236  None  Pan-STARRS1  GPC1  None
OBS:      58950.326  r  113.290  214.670  22.364  1.895  None  Pan-STARRS1  GPC1  None
OBS:      58955.444  g  -83.075  146.314  nan  -1.912  None  Pan-STARRS1  GPC1  None
OBS:      58955.445  i  11.054  176.092  24.891  15.930  None  Pan-STARRS1  GPC1  None
OBS:      58956.440  g  223.338  231.467  21.628  1.036  None  Pan-STARRS1  GPC1  None
OBS:      58956.441  z  -30.795  299.810  nan  -10.570  None  Pan-STARRS1  GPC1  None
OBS:      58957.430  g  38.866  105.480  23.526  2.714  None  Pan-STARRS1  GPC1  None
OBS:      58957.431  r  94.667  132.959  22.559  1.404  None  Pan-STARRS1  GPC1  None
OBS:      58960.299  g  73.469  87.327  22.835  1.189  None  Pan-STARRS1  GPC1  None
OBS:      58960.300  r  12.333  76.124  24.772  6.172  None  Pan-STARRS1  GPC1  None
OBS:      58961.329  g  39.073  55.704  23.520  1.426  None  Pan-STARRS1  GPC1  None
OBS:      58961.329  i  54.119  59.270  23.167  1.095  None  Pan-STARRS1  GPC1  None
OBS:      58964.424  g  -1176.856  551.883  nan  -0.509  None  Pan-STARRS1  GPC1  None
OBS:      58965.415  g  298.045  296.027  21.314  0.993  None  Pan-STARRS1  GPC1  None
OBS:      58965.416  z  45.937  270.737  23.345  5.894  None  Pan-STARRS1  GPC1  None
OBS:      58966.311  g  -44.358  107.785  nan  -2.638  None  Pan-STARRS1  GPC1  None
OBS:      58966.312  r  38.572  90.316  23.534  2.342  None  Pan-STARRS1  GPC1  None
OBS:      58967.311  g  -102.971  128.897  nan  -1.359  None  Pan-STARRS1  GPC1  None
OBS:      58967.312  i  37.451  115.439  23.566  3.082  None  Pan-STARRS1  GPC1  None
OBS:      58968.315  g  85.376  95.158  22.672  1.115  None  Pan-STARRS1  GPC1  None
OBS:      58968.316  i  110.749  77.787  22.389  0.702  None  Pan-STARRS1  GPC1  None
OBS:      58969.263  g  102.185  224.898  22.477  2.201  None  Pan-STARRS1  GPC1  None
OBS:      58969.264  r  82.074  91.713  22.715  1.117  None  Pan-STARRS1  GPC1  None
OBS:      58970.308  g  94.546  160.714  22.561  1.700  None  Pan-STARRS1  GPC1  None
OBS:      58970.309  i  70.214  158.186  22.884  2.253  None  Pan-STARRS1  GPC1  None
OBS:      58976.414  i  131.992  375.033  22.199  2.841  None  Pan-STARRS1  GPC1  None
OBS:      58976.415  r  -12.368  396.768  nan  -34.830  None  Pan-STARRS1  GPC1  None
OBS:      58980.371  r  0.955  77.789  27.550  81.460  None  Pan-STARRS1  GPC1  None
OBS:      58980.372  i  16.492  76.465  24.457  4.636  None  Pan-STARRS1  GPC1  None
OBS:      58981.409  r  -33.069  129.350  nan  -4.247  None  Pan-STARRS1  GPC1  None
