# CREATED_DATE: 2020-06-04T20:55:36.410Z
# MODIFIED_DATE: 2022-08-13T17:31:13.938Z
# STATUS: Ignore
# OBS_GROUP: ALeRCE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ia
# CONTEXT_CLASS: NT
# BEST_SPECTRUM: None
# HOST: Host: PSO J140106.734+343451.365; (14:01:06.74, +34:34:51.42)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020lrr
# RA: 210.2780125
# DEC: 34.58090666666667
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-06-04T06:03:53.004Z
# REDSHIFT: 0.0275
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-05-31T07:38:55Z
# NON_DETECT_LIMIT: 18.4822
# MW_EBV: 0.011
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10FYSEffm/59009/1140106731343451300_59009.357_104835664_35_target.jpeg
# POSTAGE_STAMP_REF: 10FYSEffm/59009/1140106731343451300_59009.357_104835664_35_ref.jpeg
# POSTAGE_STAMP_DIFF: 10FYSEffm/59009/1140106731343451300_59009.357_104835664_35_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10FYSEffm/59009/1140106731343451300_59009.357_104835664_35_target.fits
# POSTAGE_STAMP_REF_FITS: 10FYSEffm/59009/1140106731343451300_59009.357_104835664_35_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10FYSEffm/59009/1140106731343451300_59009.357_104835664_35_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.19
# ALT_STATUS: CONFIRMED
# SLUG: 2020lrr
# REAL_BOGUS_SCORE: 0.99961
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 38, 46, 77]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59004.253  r-ZTF  4864.520  307.314  18.282  0.069  None  P48  ZTF-Cam  None
OBS:      59009.214  r-ZTF  10471.285  482.221  17.450  0.050  None  P48  ZTF-Cam  None
OBS:      59004.253  r-ZTF  4864.665  307.323  18.282  0.069  None  P48  ZTF-Cam  None
OBS:      59009.214  r-ZTF  10490.040  516.826  17.448  0.053  None  P48  ZTF-Cam  None
OBS:      59009.247  g-ZTF  11604.313  524.223  17.338  0.049  None  P48  ZTF-Cam  None
OBS:      59012.200  g-ZTF  11186.942  492.835  17.378  0.048  None  P48  ZTF-Cam  None
OBS:      59012.236  r-ZTF  9799.280  387.133  17.522  0.043  None  P48  ZTF-Cam  None
OBS:      59016.239  r-ZTF  9121.916  559.932  17.600  0.067  None  P48  ZTF-Cam  None
OBS:      59019.215  r-ZTF  9215.254  407.762  17.589  0.048  None  P48  ZTF-Cam  None
OBS:      59019.259  g-ZTF  8002.725  381.264  17.742  0.052  None  P48  ZTF-Cam  None
OBS:      59022.222  r-ZTF  8197.233  360.116  17.716  0.048  None  P48  ZTF-Cam  None
OBS:      59024.170  r-ZTF  7663.724  369.149  17.789  0.052  None  P48  ZTF-Cam  None
OBS:      59025.227  g-ZTF  6307.989  522.755  18.000  0.090  None  P48  ZTF-Cam  None
OBS:      59028.205  g-ZTF  5195.645  412.483  18.211  0.086  None  P48  ZTF-Cam  None
OBS:      59028.217  r-ZTF  7128.453  601.225  17.868  0.092  None  P48  ZTF-Cam  None
OBS:      59031.176  g-ZTF  4596.204  334.934  18.344  0.079  None  P48  ZTF-Cam  None
OBS:      59031.216  r-ZTF  6364.590  521.208  17.991  0.089  None  P48  ZTF-Cam  None
OBS:      59034.200  g-ZTF  3596.411  479.733  18.610  0.145  None  P48  ZTF-Cam  None
OBS:      59034.318  r-ZTF  6008.740  451.842  18.053  0.082  None  P48  ZTF-Cam  None
OBS:      59035.299  r-ZTF  5761.974  470.297  18.099  0.089  None  P48  ZTF-Cam  None
OBS:      59036.195  g-ZTF  3591.436  460.728  18.612  0.139  None  P48  ZTF-Cam  None
OBS:      59036.271  r-ZTF  5752.901  608.093  18.100  0.115  None  P48  ZTF-Cam  None
OBS:      59037.196  r-ZTF  5802.147  461.302  18.091  0.086  None  P48  ZTF-Cam  None
OBS:      59038.195  r-ZTF  5966.938  551.276  18.061  0.100  None  P48  ZTF-Cam  None
OBS:      59038.235  g-ZTF  3104.166  389.492  18.770  0.136  None  P48  ZTF-Cam  None
OBS:      59039.208  g-ZTF  3055.156  299.798  18.787  0.107  None  P48  ZTF-Cam  None
OBS:      59039.237  r-ZTF  5376.174  454.194  18.174  0.092  None  P48  ZTF-Cam  None
OBS:      59040.202  r-ZTF  5297.172  289.692  18.190  0.059  None  P48  ZTF-Cam  None
OBS:      59040.229  g-ZTF  2888.731  312.022  18.848  0.117  None  P48  ZTF-Cam  None
OBS:      59041.247  r-ZTF  5402.617  467.505  18.168  0.094  None  P48  ZTF-Cam  None
OBS:      59042.200  g-ZTF  2858.382  271.483  18.860  0.103  None  P48  ZTF-Cam  None
OBS:      59042.216  r-ZTF  4932.639  347.512  18.267  0.076  None  P48  ZTF-Cam  None
OBS:      59043.205  g-ZTF  2703.198  268.700  18.920  0.108  None  P48  ZTF-Cam  None
OBS:      59043.240  r-ZTF  5264.433  442.717  18.197  0.091  None  P48  ZTF-Cam  None
OBS:      59044.219  r-ZTF  4785.186  317.093  18.300  0.072  None  P48  ZTF-Cam  None
OBS:      59045.237  g-ZTF  2544.159  302.415  18.986  0.129  None  P48  ZTF-Cam  None
OBS:      59046.196  r-ZTF  4924.639  302.889  18.269  0.067  None  P48  ZTF-Cam  None
OBS:      59046.213  g-ZTF  2399.517  282.340  19.050  0.128  None  P48  ZTF-Cam  None
OBS:      59047.219  r-ZTF  4673.865  361.514  18.326  0.084  None  P48  ZTF-Cam  None
OBS:      59048.208  r-ZTF  4722.171  276.935  18.315  0.064  None  P48  ZTF-Cam  None
OBS:      59048.267  g-ZTF  2539.801  230.895  18.988  0.099  None  P48  ZTF-Cam  None
OBS:      59051.187  g-ZTF  1956.931  256.916  19.271  0.143  None  P48  ZTF-Cam  None
OBS:      59051.197  r-ZTF  4863.793  258.787  18.283  0.058  None  P48  ZTF-Cam  None
OBS:      58929.531  g  -73.887  171.669  nan  -2.523  None  Pan-STARRS1  GPC1  None
OBS:      58929.534  r  67.541  190.567  22.926  2.821  None  Pan-STARRS1  GPC1  None
OBS:      58934.498  g  -1143.049  340.784  nan  -0.324  None  Pan-STARRS1  GPC1  None
OBS:      58934.501  r  -1764.852  1050.968  nan  -0.647  None  Pan-STARRS1  GPC1  None
OBS:      58943.423  r  -779.296  434.093  nan  -0.605  None  Pan-STARRS1  GPC1  None
OBS:      58943.425  z  -1242.161  325.401  nan  -0.284  None  Pan-STARRS1  GPC1  None
OBS:      58949.373  r  -80.288  378.138  nan  -5.114  None  Pan-STARRS1  GPC1  None
OBS:      58949.376  z  -1562.362  353.183  nan  -0.245  None  Pan-STARRS1  GPC1  None
OBS:      58957.542  g  160.546  143.455  21.986  0.894  None  Pan-STARRS1  GPC1  None
OBS:      58957.544  i  420.359  213.042  20.941  0.507  None  Pan-STARRS1  GPC1  None
OBS:      58959.360  g  93.602  109.169  22.572  1.166  None  Pan-STARRS1  GPC1  None
OBS:      58959.362  r  394.321  126.964  21.010  0.322  None  Pan-STARRS1  GPC1  None
OBS:      58967.369  g  164.081  173.204  21.962  1.056  None  Pan-STARRS1  GPC1  None
OBS:      58967.372  i  840.767  179.880  20.188  0.214  None  Pan-STARRS1  GPC1  None
OBS:      58970.375  g  -1050.451  438.348  nan  -0.453  None  Pan-STARRS1  GPC1  None
OBS:      58970.378  z  65.493  742.107  22.959  11.331  None  Pan-STARRS1  GPC1  None
OBS:      58975.426  z  1247.197  336.553  19.760  0.270  None  Pan-STARRS1  GPC1  None
OBS:      58975.429  r  -95.399  250.036  nan  -2.846  None  Pan-STARRS1  GPC1  None
OBS:      58976.426  r  181.572  464.360  21.852  2.557  None  Pan-STARRS1  GPC1  None
OBS:      58976.429  i  -266.066  500.993  nan  -2.044  None  Pan-STARRS1  GPC1  None
OBS:      58984.281  g  19.137  142.132  24.295  7.427  None  Pan-STARRS1  GPC1  None
OBS:      58984.284  i  484.220  187.415  20.787  0.387  None  Pan-STARRS1  GPC1  None
OBS:      58987.382  g  -172.627  264.754  nan  -1.665  None  Pan-STARRS1  GPC1  None
OBS:      58992.285  g  36.682  107.166  23.589  2.921  None  Pan-STARRS1  GPC1  None
OBS:      58992.288  r  362.997  135.733  21.100  0.374  None  Pan-STARRS1  GPC1  None
OBS:      58999.362  z  1393.801  232.457  19.639  0.181  None  Pan-STARRS1  GPC1  None
OBS:      58999.365  g  268.071  147.268  21.429  0.596  None  Pan-STARRS1  GPC1  None
OBS:      59003.379  z  1647.013  736.871  19.458  0.486  None  Pan-STARRS1  GPC1  None
OBS:      59003.382  r  631.874  498.030  20.498  0.856  None  Pan-STARRS1  GPC1  None
OBS:      59005.277  i  6483.634  449.576  17.971  0.069  None  Pan-STARRS1  GPC1  None
OBS:      59009.355  r  10347.609  242.164  17.463  0.025  None  Pan-STARRS1  GPC1  None
OBS:      59009.358  z  7971.866  354.616  17.746  0.048  None  Pan-STARRS1  GPC1  None
OBS:      59011.412  r  8039.245  410.549  17.737  0.051  None  Pan-STARRS1  GPC1  None
OBS:      59011.415  i  5046.638  584.591  18.242  0.116  None  Pan-STARRS1  GPC1  None
OBS:      59017.298  g  8575.906  298.588  17.667  0.038  None  Pan-STARRS1  GPC1  None
OBS:      59017.301  r  9323.951  278.283  17.576  0.032  None  Pan-STARRS1  GPC1  None
OBS:      59029.283  g  5021.113  176.366  18.248  0.038  None  Pan-STARRS1  GPC1  None
OBS:      59029.286  i  7452.809  173.436  17.819  0.025  None  Pan-STARRS1  GPC1  None
OBS:      59036.268  z  6964.341  325.501  17.893  0.051  None  Pan-STARRS1  GPC1  None
OBS:      59036.271  r  5827.469  244.166  18.086  0.045  None  Pan-STARRS1  GPC1  None
OBS:      59038.337  r  4511.973  502.348  18.364  0.111  None  Pan-STARRS1  GPC1  None
OBS:      59038.340  i  5087.295  411.858  18.234  0.081  None  Pan-STARRS1  GPC1  None
OBS:      59042.284  z  6699.463  247.862  17.935  0.040  None  Pan-STARRS1  GPC1  None
OBS:      59042.287  g  2863.387  207.826  18.858  0.079  None  Pan-STARRS1  GPC1  None
OBS:      59044.283  g  2552.936  254.584  18.982  0.108  None  Pan-STARRS1  GPC1  None
OBS:      59044.286  i  4863.624  273.141  18.283  0.061  None  Pan-STARRS1  GPC1  None
OBS:      59048.268  i  4862.728  202.873  18.283  0.045  None  Pan-STARRS1  GPC1  None
OBS:      59048.270  g  2366.574  236.109  19.065  0.108  None  Pan-STARRS1  GPC1  None
OBS:      59052.327  r  4175.995  301.170  18.448  0.078  None  Pan-STARRS1  GPC1  None
OBS:      59052.330  g  1765.713  353.620  19.383  0.217  None  Pan-STARRS1  GPC1  None
OBS:      59058.287  g  665.979  379.601  20.441  0.570  None  Pan-STARRS1  GPC1  None
OBS:      59058.289  i  -2091.571  418.223  nan  -0.217  None  Pan-STARRS1  GPC1  None
OBS:      59061.275  r  3227.899  222.227  18.728  0.075  None  Pan-STARRS1  GPC1  None
OBS:      59061.278  i  3313.142  344.843  18.699  0.113  None  Pan-STARRS1  GPC1  None
OBS:      59064.288  z  3621.429  453.452  18.603  0.136  None  Pan-STARRS1  GPC1  None
OBS:      59064.291  r  1895.309  485.608  19.306  0.278  None  Pan-STARRS1  GPC1  None
OBS:      59066.286  r  1727.340  358.534  19.407  0.208  None  Pan-STARRS1  GPC1  None
OBS:      59066.289  i  2302.695  299.088  19.094  0.130  None  Pan-STARRS1  GPC1  None
OBS:      59070.278  r  -286.096  452.958  nan  -1.719  None  Pan-STARRS1  GPC1  None
OBS:      59070.281  i  -1269.698  414.664  nan  -0.355  None  Pan-STARRS1  GPC1  None
OBS:      59072.265  g  430.564  286.303  20.915  0.665  None  Pan-STARRS1  GPC1  None
OBS:      59072.267  z  1613.615  363.852  19.480  0.245  None  Pan-STARRS1  GPC1  None
OBS:      59076.268  i  431.569  352.431  20.912  0.817  None  Pan-STARRS1  GPC1  None
OBS:      59076.271  g  434.622  372.059  20.905  0.856  None  Pan-STARRS1  GPC1  None
OBS:      59080.252  r  1126.367  234.842  19.871  0.226  None  Pan-STARRS1  GPC1  None
OBS:      59080.255  g  397.300  343.693  21.002  0.865  None  Pan-STARRS1  GPC1  None
OBS:      59090.250  r  442.048  496.313  20.886  1.123  None  Pan-STARRS1  GPC1  None
OBS:      59090.253  i  332.317  391.909  21.196  1.179  None  Pan-STARRS1  GPC1  None
