# CREATED_DATE: 2020-06-12T21:56:56.975Z
# MODIFIED_DATE: 2022-10-15T12:11:01.743Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 2MASXJ15454960+1941085; (15:45:49.60, +19:41:08.50)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020mks
# RA: 236.45501366597324
# DEC: 19.684589144909786
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-06-19T00:00:00Z
# REDSHIFT: 0.049
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-06-09T06:24:17Z
# NON_DETECT_LIMIT: 20.0558
# MW_EBV: 0.051
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10FYSEfrh/59019/1154549191194104400_59019.475_105169849_70_target.jpeg
# POSTAGE_STAMP_REF: 10FYSEfrh/59019/1154549191194104400_59019.475_105169849_70_ref.jpeg
# POSTAGE_STAMP_DIFF: 10FYSEfrh/59019/1154549191194104400_59019.475_105169849_70_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10FYSEfrh/59019/1154549191194104400_59019.475_105169849_70_target.fits
# POSTAGE_STAMP_REF_FITS: 10FYSEfrh/59019/1154549191194104400_59019.475_105169849_70_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10FYSEfrh/59019/1154549191194104400_59019.475_105169849_70_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020mks
# REAL_BOGUS_SCORE: 0.55902
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 33, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59011.256  r-ZTF  890.395  148.891  20.126  0.182  None  P48  ZTF-Cam  None
OBS:      59011.291  g-ZTF  1044.099  180.258  19.953  0.187  None  P48  ZTF-Cam  None
OBS:      59014.236  r-ZTF  2200.795  177.982  19.144  0.088  None  P48  ZTF-Cam  None
OBS:      59017.256  r-ZTF  2293.053  222.177  19.099  0.105  None  P48  ZTF-Cam  None
OBS:      59017.302  g-ZTF  2646.535  150.335  18.943  0.062  None  P48  ZTF-Cam  None
OBS:      59020.221  g-ZTF  2577.440  195.681  18.972  0.082  None  P48  ZTF-Cam  None
OBS:      59020.252  r-ZTF  2324.960  206.390  19.084  0.096  None  P48  ZTF-Cam  None
OBS:      59023.197  r-ZTF  2398.249  190.451  19.050  0.086  None  P48  ZTF-Cam  None
OBS:      59023.235  g-ZTF  2242.657  155.450  19.123  0.075  None  P48  ZTF-Cam  None
OBS:      59024.249  r-ZTF  2200.675  200.522  19.144  0.099  None  P48  ZTF-Cam  None
OBS:      59026.232  g-ZTF  2164.622  356.953  19.162  0.179  None  P48  ZTF-Cam  None
OBS:      59029.213  r-ZTF  1976.678  389.537  19.260  0.214  None  P48  ZTF-Cam  None
OBS:      59032.249  r-ZTF  1900.681  304.797  19.303  0.174  None  P48  ZTF-Cam  None
OBS:      59036.191  g-ZTF  1607.855  309.525  19.484  0.209  None  P48  ZTF-Cam  None
OBS:      59039.197  g-ZTF  1457.574  253.046  19.591  0.188  None  P48  ZTF-Cam  None
OBS:      59042.195  g-ZTF  1292.538  159.290  19.721  0.134  None  P48  ZTF-Cam  None
OBS:      59042.232  r-ZTF  1887.807  197.853  19.310  0.114  None  P48  ZTF-Cam  None
OBS:      59045.225  r-ZTF  1789.995  177.875  19.368  0.108  None  P48  ZTF-Cam  None
OBS:      59048.193  r-ZTF  1639.510  191.795  19.463  0.127  None  P48  ZTF-Cam  None
OBS:      59051.171  g-ZTF  1068.302  197.559  19.928  0.201  None  P48  ZTF-Cam  None
OBS:      59055.191  r-ZTF  1518.055  201.848  19.547  0.144  None  P48  ZTF-Cam  None
