# CREATED_DATE: 2020-06-24T08:37:35.078Z
# MODIFIED_DATE: 2022-07-27T09:08:19.146Z
# STATUS: Ignore
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: SDSSJ161652.36+264409.0; (16:16:52.36, +26:44:09.11)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020nim
# RA: 244.21818208962867
# DEC: 26.73585846498839
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-07-29T00:00:00Z
# REDSHIFT: 0.06
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-06-14T05:40:49Z
# NON_DETECT_LIMIT: 20.7794
# MW_EBV: 0.046
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10GYSEiet/59059/1161652361264409100_59059.378_106405050_13_target.jpeg
# POSTAGE_STAMP_REF: 10GYSEiet/59059/1161652361264409100_59059.378_106405050_13_ref.jpeg
# POSTAGE_STAMP_DIFF: 10GYSEiet/59059/1161652361264409100_59059.378_106405050_13_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10GYSEiet/59059/1161652361264409100_59059.378_106405050_13_target.fits
# POSTAGE_STAMP_REF_FITS: 10GYSEiet/59059/1161652361264409100_59059.378_106405050_13_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10GYSEiet/59059/1161652361264409100_59059.378_106405050_13_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.0
# ALT_STATUS: CONFIRMED
# SLUG: 2020nim
# REAL_BOGUS_SCORE: 0.991439
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [16, 29, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59017.256  r-ZTF  420.727  127.876  20.940  0.330  None  P48  ZTF-Cam  None
OBS:      59020.253  r-ZTF  765.597  141.028  20.290  0.200  None  P48  ZTF-Cam  None
OBS:      59020.253  r-ZTF  768.763  138.274  20.286  0.195  None  P48  ZTF-Cam  None
OBS:      59023.197  r-ZTF  1358.865  161.958  19.667  0.129  None  P48  ZTF-Cam  None
OBS:      59023.236  g-ZTF  1424.852  185.646  19.616  0.141  None  P48  ZTF-Cam  None
OBS:      59024.250  r-ZTF  1676.502  166.274  19.439  0.108  None  P48  ZTF-Cam  None
OBS:      59026.233  g-ZTF  2519.505  231.898  18.997  0.100  None  P48  ZTF-Cam  None
OBS:      59026.288  r-ZTF  1908.159  196.563  19.298  0.112  None  P48  ZTF-Cam  None
OBS:      59029.215  r-ZTF  2826.698  338.781  18.872  0.130  None  P48  ZTF-Cam  None
OBS:      59032.250  r-ZTF  2929.404  314.595  18.833  0.117  None  P48  ZTF-Cam  None
OBS:      59032.364  g-ZTF  3562.111  307.705  18.621  0.094  None  P48  ZTF-Cam  None
OBS:      59035.317  r-ZTF  3350.131  345.956  18.687  0.112  None  P48  ZTF-Cam  None
OBS:      59038.214  r-ZTF  3449.708  239.872  18.656  0.075  None  P48  ZTF-Cam  None
OBS:      59038.232  g-ZTF  4324.136  288.344  18.410  0.072  None  P48  ZTF-Cam  None
OBS:      59041.212  g-ZTF  4485.646  288.675  18.370  0.070  None  P48  ZTF-Cam  None
OBS:      59041.255  r-ZTF  3746.640  241.650  18.566  0.070  None  P48  ZTF-Cam  None
OBS:      59044.196  g-ZTF  4647.142  321.914  18.332  0.075  None  P48  ZTF-Cam  None
OBS:      59044.232  r-ZTF  3823.820  236.081  18.544  0.067  None  P48  ZTF-Cam  None
OBS:      59047.215  r-ZTF  4022.358  240.222  18.489  0.065  None  P48  ZTF-Cam  None
OBS:      59047.243  g-ZTF  4431.173  276.891  18.384  0.068  None  P48  ZTF-Cam  None
OBS:      59050.194  g-ZTF  4409.105  214.182  18.389  0.053  None  P48  ZTF-Cam  None
