# CREATED_DATE: 2020-07-09T21:19:26.666Z
# MODIFIED_DATE: 2022-08-15T06:41:21.342Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 2MASXJ13003351+2730146; (13:00:33.52, +27:30:15.47)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020ofw
# RA: 195.1394782243247
# DEC: 27.50451792950755
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-12-26T00:00:00Z
# REDSHIFT: 0.0186
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-07-06T06:09:18Z
# NON_DETECT_LIMIT: 19.4508
# MW_EBV: 0.008
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10LYSEoad/59209/1130033471273016100_59209.640_111515239_159_target.jpeg
# POSTAGE_STAMP_REF: 10LYSEoad/59209/1130033471273016100_59209.640_111515239_159_ref.jpeg
# POSTAGE_STAMP_DIFF: 10LYSEoad/59209/1130033471273016100_59209.640_111515239_159_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10LYSEoad/59209/1130033471273016100_59209.640_111515239_159_target.fits
# POSTAGE_STAMP_REF_FITS: 10LYSEoad/59209/1130033471273016100_59209.640_111515239_159_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10LYSEoad/59209/1130033471273016100_59209.640_111515239_159_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.053
# ALT_STATUS: CONFIRMED
# SLUG: 2020ofw
# REAL_BOGUS_SCORE: 0.432718
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59039.177  g-ZTF  3327.222  291.297  18.695  0.095  None  P48  ZTF-Cam  None
OBS:      59039.215  r-ZTF  2844.807  321.203  18.865  0.123  None  P48  ZTF-Cam  None
OBS:      59042.228  r-ZTF  3958.671  262.028  18.506  0.072  None  P48  ZTF-Cam  None
OBS:      59045.208  r-ZTF  4390.562  237.669  18.394  0.059  None  P48  ZTF-Cam  None
OBS:      59045.238  g-ZTF  5053.647  325.799  18.241  0.070  None  P48  ZTF-Cam  None
OBS:      59039.177  g-ZTF  3327.208  291.296  18.695  0.095  None  P48  ZTF-Cam  None
OBS:      59039.215  r-ZTF  2844.723  321.194  18.865  0.123  None  P48  ZTF-Cam  None
OBS:      59167.908  UVW1  226.986  226.568  21.610  1.080  None  Swift  UVOT  Bad
OBS:      59168.579  UVW1  310.456  309.884  21.270  1.080  None  Swift  UVOT  Bad
OBS:      59206.645  g  254.740  44.630  21.485  0.175  None  Pan-STARRS1  GPC1  None
OBS:      59206.647  z  1144.627  84.017  19.853  0.073  None  Pan-STARRS1  GPC1  None
OBS:      59209.623  i  534.313  284.201  20.680  0.532  None  Pan-STARRS1  GPC1  None
OBS:      59209.625  r  697.958  197.732  20.390  0.283  None  Pan-STARRS1  GPC1  None
OBS:      59209.638  r  638.176  175.235  20.488  0.275  None  Pan-STARRS1  GPC1  None
OBS:      59209.641  i  709.305  136.523  20.373  0.192  None  Pan-STARRS1  GPC1  None
OBS:      59214.626  r  315.543  291.066  21.252  0.922  None  Pan-STARRS1  GPC1  None
OBS:      59214.626  r  315.543  291.066  21.252  0.922  None  Pan-STARRS1  GPC1  None
OBS:      59214.629  z  720.058  413.253  20.357  0.574  None  Pan-STARRS1  GPC1  None
OBS:      59214.645  z  1267.185  364.998  19.743  0.313  None  Pan-STARRS1  GPC1  None
OBS:      59217.632  i  716.803  112.736  20.361  0.171  None  Pan-STARRS1  GPC1  None
OBS:      59217.634  r  793.743  155.768  20.251  0.213  None  Pan-STARRS1  GPC1  None
OBS:      59225.599  i  549.554  227.049  20.650  0.413  None  Pan-STARRS1  GPC1  None
OBS:      59225.601  g  197.825  220.197  21.759  1.113  None  Pan-STARRS1  GPC1  None
OBS:      59225.612  r  677.713  316.257  20.422  0.467  None  Pan-STARRS1  GPC1  None
OBS:      59225.614  g  281.667  270.943  21.376  0.962  None  Pan-STARRS1  GPC1  None
OBS:      59228.624  g  347.324  293.086  21.148  0.844  None  Pan-STARRS1  GPC1  None
OBS:      59228.626  r  631.060  219.637  20.500  0.348  None  Pan-STARRS1  GPC1  None
OBS:      59229.645  g  253.677  93.390  21.489  0.368  None  Pan-STARRS1  GPC1  None
OBS:      59229.648  r  652.289  94.805  20.464  0.158  None  Pan-STARRS1  GPC1  None
OBS:      59231.595  r  597.090  109.608  20.560  0.199  None  Pan-STARRS1  GPC1  None
OBS:      59231.597  g  336.588  99.434  21.182  0.295  None  Pan-STARRS1  GPC1  None
OBS:      59231.617  i  493.992  119.180  20.766  0.262  None  Pan-STARRS1  GPC1  None
OBS:      59231.620  g  174.223  133.881  21.897  0.768  None  Pan-STARRS1  GPC1  None
OBS:      59235.535  z  731.251  357.568  20.340  0.489  None  Pan-STARRS1  GPC1  None
OBS:      59235.537  g  342.660  204.226  21.163  0.596  None  Pan-STARRS1  GPC1  None
