# CREATED_DATE: 2020-07-28T18:31:04.156Z
# MODIFIED_DATE: 2022-10-23T12:53:18.531Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 2MASXJ00413350+0126172; (00:41:33.54, +01:26:15.94)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020qmo
# RA: 10.390399269219575
# DEC: 1.4374602027229562
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-07-28T00:00:00Z
# REDSHIFT: 0.042
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-06-22T20:38:24Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.016
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10GYSEhzg/59058/1004133691012614800_59058.567_106381632_20_target.jpeg
# POSTAGE_STAMP_REF: 10GYSEhzg/59058/1004133691012614800_59058.567_106381632_20_ref.jpeg
# POSTAGE_STAMP_DIFF: 10GYSEhzg/59058/1004133691012614800_59058.567_106381632_20_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10GYSEhzg/59058/1004133691012614800_59058.567_106381632_20_target.fits
# POSTAGE_STAMP_REF_FITS: 10GYSEhzg/59058/1004133691012614800_59058.567_106381632_20_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10GYSEhzg/59058/1004133691012614800_59058.567_106381632_20_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.107
# ALT_STATUS: CONFIRMED
# SLUG: 2020qmo
# REAL_BOGUS_SCORE: 0.999992
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 30, 33, 34]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59058.564  i  2402.708  163.090  19.048  0.068  None  Pan-STARRS1  GPC1  None
OBS:      59058.567  g  3369.056  187.697  18.681  0.056  None  Pan-STARRS1  GPC1  None
OBS:      59060.506  i  2719.915  165.229  18.914  0.061  None  Pan-STARRS1  GPC1  None
OBS:      59060.506  i  2719.915  165.229  18.914  0.061  None  Pan-STARRS1  GPC1  None
OBS:      59060.508  r  3255.393  144.418  18.718  0.044  None  Pan-STARRS1  GPC1  None
OBS:      59060.508  r  3255.393  144.418  18.718  0.044  None  Pan-STARRS1  GPC1  None
OBS:      59064.560  r  3747.906  133.422  18.566  0.036  None  Pan-STARRS1  GPC1  None
OBS:      59064.560  r  3747.906  133.422  18.566  0.036  None  Pan-STARRS1  GPC1  None
OBS:      59064.563  i  3554.616  151.715  18.623  0.043  None  Pan-STARRS1  GPC1  None
OBS:      59064.563  i  3554.616  151.715  18.623  0.043  None  Pan-STARRS1  GPC1  None
OBS:      59073.548  g  3139.847  143.349  18.758  0.046  None  Pan-STARRS1  GPC1  None
OBS:      59073.548  g  3139.847  143.349  18.758  0.046  None  Pan-STARRS1  GPC1  None
OBS:      59073.551  z  4070.595  129.978  18.476  0.032  None  Pan-STARRS1  GPC1  None
OBS:      59073.551  z  4070.595  129.978  18.476  0.032  None  Pan-STARRS1  GPC1  None
OBS:      59075.529  i  3903.118  96.337  18.521  0.025  None  Pan-STARRS1  GPC1  None
OBS:      59075.529  i  3903.118  96.337  18.521  0.025  None  Pan-STARRS1  GPC1  None
OBS:      59075.532  g  2861.940  92.175  18.858  0.032  None  Pan-STARRS1  GPC1  None
OBS:      59075.532  g  2861.940  92.175  18.858  0.032  None  Pan-STARRS1  GPC1  None
OBS:      59079.494  g  2389.447  172.964  19.054  0.072  None  Pan-STARRS1  GPC1  None
OBS:      59079.494  g  2389.447  172.964  19.054  0.072  None  Pan-STARRS1  GPC1  None
OBS:      59079.496  r  3269.251  128.539  18.714  0.039  None  Pan-STARRS1  GPC1  None
OBS:      59079.496  r  3269.251  128.539  18.714  0.039  None  Pan-STARRS1  GPC1  None
OBS:      59084.486  i  2923.295  130.823  18.835  0.045  None  Pan-STARRS1  GPC1  None
OBS:      59084.486  i  2923.295  130.823  18.835  0.045  None  Pan-STARRS1  GPC1  None
OBS:      59084.488  g  1930.617  113.771  19.286  0.059  None  Pan-STARRS1  GPC1  None
OBS:      59084.488  g  1930.617  113.771  19.286  0.059  None  Pan-STARRS1  GPC1  None
OBS:      59093.472  i  2161.164  220.160  19.163  0.102  None  Pan-STARRS1  GPC1  None
OBS:      59093.472  i  2161.164  220.160  19.163  0.102  None  Pan-STARRS1  GPC1  None
OBS:      59093.475  r  2186.801  265.656  19.150  0.121  None  Pan-STARRS1  GPC1  None
OBS:      59093.475  r  2186.801  265.656  19.150  0.121  None  Pan-STARRS1  GPC1  None
OBS:      59101.440  g  1017.654  112.546  19.981  0.120  None  Pan-STARRS1  GPC1  None
OBS:      59101.440  g  1014.752  106.851  19.984  0.114  None  Pan-STARRS1  GPC1  None
OBS:      59101.443  z  2412.126  103.113  19.044  0.046  None  Pan-STARRS1  GPC1  None
OBS:      59101.443  z  2306.747  106.491  19.093  0.050  None  Pan-STARRS1  GPC1  None
OBS:      59109.601  r  1345.374  183.063  19.678  0.136  None  Pan-STARRS1  GPC1  None
OBS:      59109.601  r  1345.374  183.063  19.678  0.136  None  Pan-STARRS1  GPC1  None
OBS:      59109.604  g  429.864  175.660  20.917  0.409  None  Pan-STARRS1  GPC1  None
OBS:      59114.470  i  1436.085  122.742  19.607  0.085  None  Pan-STARRS1  GPC1  None
OBS:      59114.470  i  1436.085  122.742  19.607  0.085  None  Pan-STARRS1  GPC1  None
OBS:      59114.473  g  540.792  76.827  20.667  0.142  None  Pan-STARRS1  GPC1  None
OBS:      59114.473  g  540.792  76.827  20.667  0.142  None  Pan-STARRS1  GPC1  None
OBS:      59118.439  r  1156.154  131.083  19.842  0.113  None  Pan-STARRS1  GPC1  None
OBS:      59118.439  r  1156.154  131.083  19.842  0.113  None  Pan-STARRS1  GPC1  None
OBS:      59118.441  z  1353.347  163.509  19.671  0.121  None  Pan-STARRS1  GPC1  None
OBS:      59118.441  z  1353.347  163.509  19.671  0.121  None  Pan-STARRS1  GPC1  None
OBS:      59128.458  z  392.857  558.409  21.014  1.421  None  Pan-STARRS1  GPC1  None
OBS:      59128.461  r  348.838  337.017  21.143  0.966  None  Pan-STARRS1  GPC1  None
OBS:      59132.420  g  -95.845  153.575  nan  -1.740  None  Pan-STARRS1  GPC1  None
OBS:      59132.423  z  650.328  106.411  20.467  0.164  None  Pan-STARRS1  GPC1  None
OBS:      59132.423  z  650.328  106.411  20.467  0.164  None  Pan-STARRS1  GPC1  None
OBS:      59137.445  g  16.379  83.066  24.464  5.072  None  Pan-STARRS1  GPC1  None
OBS:      59137.448  r  379.205  67.377  21.053  0.178  None  Pan-STARRS1  GPC1  None
OBS:      59137.448  r  379.205  67.377  21.053  0.178  None  Pan-STARRS1  GPC1  None
OBS:      59142.274  r  254.083  150.407  21.488  0.592  None  Pan-STARRS1  GPC1  None
OBS:      59142.277  g  -137.622  239.893  nan  -1.893  None  Pan-STARRS1  GPC1  None
OBS:      59143.320  g  -61.768  237.439  nan  -4.174  None  Pan-STARRS1  GPC1  None
OBS:      59143.323  i  328.071  229.830  21.210  0.701  None  Pan-STARRS1  GPC1  None
OBS:      59158.296  r  346.693  94.358  21.150  0.272  None  Pan-STARRS1  GPC1  None
OBS:      59158.296  r  346.693  94.358  21.150  0.272  None  Pan-STARRS1  GPC1  None
OBS:      59158.298  z  469.953  136.119  20.820  0.290  None  Pan-STARRS1  GPC1  None
OBS:      59163.301  g  -164.179  235.870  nan  -1.560  None  Pan-STARRS1  GPC1  None
OBS:      59163.303  z  -28.703  404.298  nan  -15.293  None  Pan-STARRS1  GPC1  None
OBS:      59169.232  r  312.473  143.982  21.263  0.461  None  Pan-STARRS1  GPC1  None
OBS:      59169.234  g  34.337  134.647  23.661  3.921  None  Pan-STARRS1  GPC1  None
OBS:      59173.381  i  -63.683  222.903  nan  -3.800  None  Pan-STARRS1  GPC1  None
OBS:      59173.384  g  -63.499  169.444  nan  -2.897  None  Pan-STARRS1  GPC1  None
OBS:      59182.289  r  293.016  298.284  21.333  1.018  None  Pan-STARRS1  GPC1  None
OBS:      59182.292  i  -231.385  371.145  nan  -1.742  None  Pan-STARRS1  GPC1  None
