# CREATED_DATE: 2020-08-13T20:35:19.735Z
# MODIFIED_DATE: 2022-10-23T12:52:14.049Z
# STATUS: Ignore
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ib/c
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237678433792884904; (00:38:49.67, +03:24:16.42)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020rhg
# RA: 9.706766715786795
# DEC: 3.4036958365974126
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-08-14T00:00:00Z
# REDSHIFT: 0.03
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-08-03T09:44:38Z
# NON_DETECT_LIMIT: 19.39
# MW_EBV: 0.018
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10HYSEjee/59075/1003849621032413300_59075.531_106982109_79_target.jpeg
# POSTAGE_STAMP_REF: 10HYSEjee/59075/1003849621032413300_59075.531_106982109_79_ref.jpeg
# POSTAGE_STAMP_DIFF: 10HYSEjee/59075/1003849621032413300_59075.531_106982109_79_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10HYSEjee/59075/1003849621032413300_59075.531_106982109_79_target.fits
# POSTAGE_STAMP_REF_FITS: 10HYSEjee/59075/1003849621032413300_59075.531_106982109_79_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10HYSEjee/59075/1003849621032413300_59075.531_106982109_79_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020rhg
# REAL_BOGUS_SCORE: 0.999952
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 30, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59072.571  orange  2708.944  356.789  18.918  0.143  None  ATLAS  HKO  None
OBS:      59065.416  r-ZTF  1485.936  0.000  19.570  0.000  None  P48  ZTF-Cam  None
OBS:      59066.461  r-ZTF  2002.591  307.829  19.246  0.167  None  P48  ZTF-Cam  None
OBS:      59073.399  g-ZTF  2943.679  208.446  18.828  0.077  None  P48  ZTF-Cam  None
OBS:      59073.457  r-ZTF  3046.206  228.139  18.791  0.081  None  P48  ZTF-Cam  None
OBS:      59075.428  g-ZTF  2856.696  231.514  18.860  0.088  None  P48  ZTF-Cam  None
OBS:      59076.396  r-ZTF  2785.791  195.593  18.888  0.076  None  P48  ZTF-Cam  None
OBS:      59076.414  r-ZTF  2957.861  203.773  18.823  0.075  None  P48  ZTF-Cam  None
OBS:      59076.443  g-ZTF  2749.468  225.731  18.902  0.089  None  P48  ZTF-Cam  None
OBS:      59077.410  g-ZTF  2575.833  210.876  18.973  0.089  None  P48  ZTF-Cam  None
OBS:      59078.408  g-ZTF  2432.687  197.555  19.035  0.088  None  P48  ZTF-Cam  None
OBS:      59079.421  r-ZTF  2747.324  192.966  18.903  0.076  None  P48  ZTF-Cam  None
OBS:      59080.424  g-ZTF  2217.023  199.207  19.136  0.098  None  P48  ZTF-Cam  None
OBS:      59081.402  r-ZTF  2599.055  214.758  18.963  0.090  None  P48  ZTF-Cam  None
OBS:      59082.375  g-ZTF  2493.334  368.169  19.008  0.160  None  P48  ZTF-Cam  None
OBS:      59082.418  g-ZTF  2310.903  211.758  19.091  0.099  None  P48  ZTF-Cam  None
OBS:      59082.460  r-ZTF  2737.313  271.099  18.907  0.108  None  P48  ZTF-Cam  None
OBS:      59085.393  g-ZTF  2081.031  190.983  19.204  0.100  None  P48  ZTF-Cam  None
OBS:      59085.417  g-ZTF  2039.196  191.033  19.226  0.102  None  P48  ZTF-Cam  None
OBS:      59085.463  r-ZTF  2581.024  230.239  18.971  0.097  None  P48  ZTF-Cam  None
OBS:      59086.368  r-ZTF  2733.200  174.039  18.908  0.069  None  P48  ZTF-Cam  None
OBS:      59088.401  r-ZTF  2558.821  220.333  18.980  0.093  None  P48  ZTF-Cam  None
OBS:      59088.473  g-ZTF  1941.884  197.875  19.279  0.111  None  P48  ZTF-Cam  None
OBS:      59089.352  g-ZTF  1815.734  234.458  19.352  0.140  None  P48  ZTF-Cam  None
OBS:      59090.362  g-ZTF  1762.372  204.471  19.385  0.126  None  P48  ZTF-Cam  None
OBS:      59091.361  g-ZTF  1668.080  259.974  19.444  0.169  None  P48  ZTF-Cam  None
OBS:      59099.337  r-ZTF  2639.691  330.906  18.946  0.136  None  P48  ZTF-Cam  None
OBS:      59099.394  g-ZTF  1692.800  329.497  19.428  0.211  None  P48  ZTF-Cam  None
OBS:      59104.396  r-ZTF  2146.175  328.666  19.171  0.166  None  P48  ZTF-Cam  None
OBS:      59104.430  r-ZTF  2050.270  336.732  19.220  0.178  None  P48  ZTF-Cam  None
OBS:      59107.309  r-ZTF  2121.412  196.465  19.183  0.101  None  P48  ZTF-Cam  None
OBS:      59107.357  g-ZTF  1132.289  159.347  19.865  0.153  None  P48  ZTF-Cam  None
OBS:      59110.337  g-ZTF  1058.019  171.527  19.939  0.176  None  P48  ZTF-Cam  None
