# CREATED_DATE: 2020-08-27T14:40:23.900Z
# MODIFIED_DATE: 2022-10-21T21:34:05.505Z
# STATUS: NeedsTemplate
# OBS_GROUP: YSE
# NON_DETECT_BAND: ACAM1 - orange
# BEST_SPEC_CLASS: SN IIn
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237657070091305135; (02:43:52.97, -00:37:03.16)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020scq
# RA: 40.97011406973758
# DEC: -0.6185032167080767
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-08-29T00:00:00Z
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-08-23T13:26:24Z
# NON_DETECT_LIMIT: 19.5
# MW_EBV: 0.031
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10HYSEkfn/59090/1024352830003706500_59090.580_107364704_55_target.jpeg
# POSTAGE_STAMP_REF: 10HYSEkfn/59090/1024352830003706500_59090.580_107364704_55_ref.jpeg
# POSTAGE_STAMP_DIFF: 10HYSEkfn/59090/1024352830003706500_59090.580_107364704_55_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10HYSEkfn/59090/1024352830003706500_59090.580_107364704_55_target.fits
# POSTAGE_STAMP_REF_FITS: 10HYSEkfn/59090/1024352830003706500_59090.580_107364704_55_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10HYSEkfn/59090/1024352830003706500_59090.580_107364704_55_diff.fits
# K2_VALIDATED: None
# K2_MSG: 
# TNS_SPEC_CLASS: None
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020scq
# REAL_BOGUS_SCORE: 0.997045
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 30, 32, 33, 91]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59086.565  cyan  1836.538  252.036  19.340  0.149  None  ATLAS  HKO  None
OBS:      59047.606  g  95.643  73.553  22.548  0.769  None  Pan-STARRS1  GPC1  None
OBS:      59047.608  i  185.680  79.155  21.828  0.426  None  Pan-STARRS1  GPC1  None
OBS:      59058.608  g  644.722  52.945  20.477  0.082  None  Pan-STARRS1  GPC1  None
OBS:      59058.611  z  566.665  111.519  20.617  0.197  None  Pan-STARRS1  GPC1  None
OBS:      59066.594  r  638.986  354.259  20.486  0.554  None  Pan-STARRS1  GPC1  None
OBS:      59066.596  z  315.473  578.789  21.253  1.835  None  Pan-STARRS1  GPC1  None
OBS:      59076.610  i  352.041  195.061  21.134  0.554  None  Pan-STARRS1  GPC1  None
OBS:      59076.613  g  270.685  205.082  21.419  0.758  None  Pan-STARRS1  GPC1  None
OBS:      59078.595  g  283.188  150.352  21.370  0.531  None  Pan-STARRS1  GPC1  None
OBS:      59078.598  r  344.408  231.712  21.157  0.673  None  Pan-STARRS1  GPC1  None
OBS:      59082.595  g  195.360  161.037  21.773  0.824  None  Pan-STARRS1  GPC1  None
OBS:      59082.598  r  358.502  150.688  21.114  0.420  None  Pan-STARRS1  GPC1  None
OBS:      59090.578  i  2652.975  184.785  18.941  0.070  None  Pan-STARRS1  GPC1  None
OBS:      59090.581  r  3116.005  192.975  18.766  0.062  None  Pan-STARRS1  GPC1  None
OBS:      59095.586  z  2248.204  182.104  19.120  0.081  None  Pan-STARRS1  GPC1  None
OBS:      59095.589  r  3007.123  149.252  18.805  0.050  None  Pan-STARRS1  GPC1  None
OBS:      59102.541  g  2093.952  137.064  19.198  0.065  None  Pan-STARRS1  GPC1  None
OBS:      59106.562  g  1783.566  84.071  19.372  0.047  None  Pan-STARRS1  GPC1  None
OBS:      59106.564  r  2224.277  87.892  19.132  0.040  None  Pan-STARRS1  GPC1  None
OBS:      59109.608  g  1499.161  76.134  19.560  0.051  None  Pan-STARRS1  GPC1  None
OBS:      59109.611  i  2059.255  92.803  19.216  0.045  None  Pan-STARRS1  GPC1  None
