# CREATED_DATE: 2020-08-31T18:37:05.750Z
# MODIFIED_DATE: 2021-11-09T07:54:02.679Z
# STATUS: Ignore
# OBS_GROUP: YSE
# NON_DETECT_BAND: ACAM1 - cyan
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: PSO J082124.495+430206.592; (08:21:24.50, +43:02:06.52)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020shf
# RA: 125.35238345437506
# DEC: 43.035490396746646
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-10-18T00:00:00Z
# REDSHIFT: 0.056392
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-05-19T06:28:48Z
# NON_DETECT_LIMIT: 19.34
# MW_EBV: 0.055
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10JYSEmag/59140/1082124571430207900_59140.630_109300016_122_target.jpeg
# POSTAGE_STAMP_REF: 10JYSEmag/59140/1082124571430207900_59140.630_109300016_122_ref.jpeg
# POSTAGE_STAMP_DIFF: 10JYSEmag/59140/1082124571430207900_59140.630_109300016_122_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10JYSEmag/59140/1082124571430207900_59140.630_109300016_122_target.fits
# POSTAGE_STAMP_REF_FITS: 10JYSEmag/59140/1082124571430207900_59140.630_109300016_122_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10JYSEmag/59140/1082124571430207900_59140.630_109300016_122_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: None
# SLUG: 2020shf
# REAL_BOGUS_SCORE: 0.999648
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 30, 61]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59092.517  g-ZTF  4761.690  417.099  18.306  0.095  None  P48  ZTF-Cam  None
OBS:      59122.511  r-ZTF  5876.837  263.479  18.077  0.049  None  P48  ZTF-Cam  None
OBS:      59124.408  r-ZTF  6053.823  353.226  18.045  0.063  None  P48  ZTF-Cam  None
OBS:      59124.470  r-ZTF  5833.411  446.547  18.085  0.083  None  P48  ZTF-Cam  None
OBS:      59124.514  g-ZTF  2553.993  293.587  18.982  0.125  None  P48  ZTF-Cam  None
OBS:      59126.495  g-ZTF  2837.853  297.186  18.868  0.114  None  P48  ZTF-Cam  None
OBS:      59126.518  r-ZTF  5415.312  356.616  18.166  0.071  None  P48  ZTF-Cam  None
OBS:      59128.470  g-ZTF  2343.725  291.427  19.075  0.135  None  P48  ZTF-Cam  None
OBS:      59128.506  r-ZTF  5611.522  397.343  18.127  0.077  None  P48  ZTF-Cam  None
OBS:      59130.472  r-ZTF  5094.033  255.619  18.232  0.054  None  P48  ZTF-Cam  None
OBS:      59130.495  g-ZTF  2571.962  281.400  18.974  0.119  None  P48  ZTF-Cam  None
OBS:      59135.472  g-ZTF  2045.809  234.018  19.223  0.124  None  P48  ZTF-Cam  None
OBS:      59135.494  r-ZTF  4640.657  267.373  18.334  0.063  None  P48  ZTF-Cam  None
OBS:      59137.468  g-ZTF  1908.558  228.000  19.298  0.130  None  P48  ZTF-Cam  None
OBS:      59137.505  r-ZTF  4526.826  282.202  18.361  0.068  None  P48  ZTF-Cam  None
OBS:      59139.428  g-ZTF  2058.162  265.749  19.216  0.140  None  P48  ZTF-Cam  None
OBS:      59139.509  r-ZTF  4335.043  354.197  18.408  0.089  None  P48  ZTF-Cam  None
OBS:      59141.468  g-ZTF  1809.169  183.931  19.356  0.110  None  P48  ZTF-Cam  None
OBS:      59141.506  r-ZTF  4213.744  259.981  18.438  0.067  None  P48  ZTF-Cam  None
OBS:      59143.475  r-ZTF  3971.767  226.874  18.503  0.062  None  P48  ZTF-Cam  None
OBS:      59143.514  g-ZTF  1694.698  162.097  19.427  0.104  None  P48  ZTF-Cam  None
OBS:      59145.454  g-ZTF  1663.710  212.526  19.447  0.139  None  P48  ZTF-Cam  None
OBS:      59145.491  r-ZTF  3961.176  215.333  18.505  0.059  None  P48  ZTF-Cam  None
OBS:      59149.344  r-ZTF  3307.170  438.749  18.701  0.144  None  P48  ZTF-Cam  None
OBS:      59149.496  g-ZTF  1383.879  160.179  19.647  0.126  None  P48  ZTF-Cam  None
OBS:      59150.450  g-ZTF  1366.257  202.454  19.661  0.161  None  P48  ZTF-Cam  None
OBS:      59150.498  r-ZTF  3449.144  199.629  18.656  0.063  None  P48  ZTF-Cam  None
OBS:      59152.466  r-ZTF  3197.701  273.027  18.738  0.093  None  P48  ZTF-Cam  None
OBS:      59152.531  g-ZTF  1409.868  215.675  19.627  0.166  None  P48  ZTF-Cam  None
OBS:      59157.477  r-ZTF  2991.909  360.460  18.810  0.131  None  P48  ZTF-Cam  None
OBS:      59163.443  g-ZTF  1059.250  135.403  19.938  0.139  None  P48  ZTF-Cam  None
OBS:      59163.518  r-ZTF  2468.665  236.974  19.019  0.104  None  P48  ZTF-Cam  None
OBS:      59165.447  g-ZTF  963.930  163.496  20.040  0.184  None  P48  ZTF-Cam  None
OBS:      59168.434  r-ZTF  2294.322  188.206  19.098  0.089  None  P48  ZTF-Cam  None
OBS:      59168.476  g-ZTF  876.349  129.296  20.143  0.160  None  P48  ZTF-Cam  None
OBS:      59170.512  r-ZTF  2141.715  183.430  19.173  0.093  None  P48  ZTF-Cam  None
OBS:      59173.467  g-ZTF  787.865  146.384  20.259  0.202  None  P48  ZTF-Cam  None
OBS:      59181.538  g-ZTF  682.778  136.546  20.414  0.217  None  P48  ZTF-Cam  None
OBS:      59092.517  g-ZTF  4761.678  417.098  18.306  0.095  None  P48  ZTF-Cam  None
OBS:      59094.611  orange  6257.488  1066.221  18.009  0.185  None  ATLAS  HKO  None
OBS:      58799.545  i  1009.253  288.162  19.990  0.310  None  Pan-STARRS1  GPC1  None
OBS:      59140.628  g  1940.886  143.010  19.280  0.080  None  Pan-STARRS1  GPC1  None
OBS:      59146.617  w  3531.832  65.059  18.630  0.020  None  Pan-STARRS1  GPC1  None
OBS:      59140.628  g  1947.691  137.485  19.276  0.077  None  Pan-STARRS1  GPC1  None
OBS:      59140.631  i  5661.350  202.033  18.118  0.039  None  Pan-STARRS1  GPC1  None
OBS:      59145.598  i  4978.746  110.871  18.257  0.024  None  Pan-STARRS1  GPC1  None
OBS:      59145.601  g  1774.843  113.730  19.377  0.070  None  Pan-STARRS1  GPC1  None
