# CREATED_DATE: 2020-09-08T23:50:24.619Z
# MODIFIED_DATE: 2022-10-24T12:03:53.024Z
# STATUS: Following
# OBS_GROUP: Unknown
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 03581045-0849156; (03:58:10.45, -08:49:15.69)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020svn
# RA: 59.54461383699331
# DEC: -8.816889634395991
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-09-15T00:00:00Z
# REDSHIFT: 0.02891
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-08-31T10:46:33Z
# NON_DETECT_LIMIT: 19.5108
# MW_EBV: 0.057
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10IYSEkuz/59105/1035810700084900800_59105.608_107938474_48_target.jpeg
# POSTAGE_STAMP_REF: 10IYSEkuz/59105/1035810700084900800_59105.608_107938474_48_ref.jpeg
# POSTAGE_STAMP_DIFF: 10IYSEkuz/59105/1035810700084900800_59105.608_107938474_48_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10IYSEkuz/59105/1035810700084900800_59105.608_107938474_48_target.fits
# POSTAGE_STAMP_REF_FITS: 10IYSEkuz/59105/1035810700084900800_59105.608_107938474_48_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10IYSEkuz/59105/1035810700084900800_59105.608_107938474_48_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.005
# ALT_STATUS: GOOD
# SLUG: 2020svn
# REAL_BOGUS_SCORE: 0.999994
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 30, 32, 33, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59100.550  orange  3694.877  507.063  18.581  0.149  None  ATLAS  HKO  None
OBS:      59108.480  r-ZTF  8700.402  405.361  17.651  0.051  None  P48  ZTF-Cam  None
OBS:      59108.504  g-ZTF  10302.063  474.197  17.468  0.050  None  P48  ZTF-Cam  None
OBS:      59111.379  g-ZTF  12269.497  468.600  17.278  0.041  None  P48  ZTF-Cam  None
OBS:      59111.422  r-ZTF  10432.756  379.257  17.454  0.039  None  P48  ZTF-Cam  None
OBS:      59116.417  r-ZTF  12210.344  448.363  17.283  0.040  None  P48  ZTF-Cam  None
OBS:      59116.502  g-ZTF  13370.118  452.357  17.185  0.037  None  P48  ZTF-Cam  None
OBS:      59119.459  r-ZTF  11874.400  499.256  17.313  0.046  None  P48  ZTF-Cam  None
OBS:      59119.485  g-ZTF  12853.194  479.968  17.227  0.041  None  P48  ZTF-Cam  None
OBS:      59121.388  g-ZTF  12939.352  531.619  17.220  0.045  None  P48  ZTF-Cam  None
OBS:      59122.402  g-ZTF  12702.173  539.763  17.240  0.046  None  P48  ZTF-Cam  None
OBS:      59123.358  r-ZTF  12062.065  585.504  17.296  0.053  None  P48  ZTF-Cam  None
OBS:      59123.400  g-ZTF  12280.322  699.322  17.277  0.062  None  P48  ZTF-Cam  None
OBS:      59124.359  r-ZTF  11815.221  663.418  17.319  0.061  None  P48  ZTF-Cam  None
OBS:      59125.465  r-ZTF  11564.487  412.471  17.342  0.039  None  P48  ZTF-Cam  None
OBS:      59129.434  g-ZTF  11219.889  393.639  17.375  0.038  None  P48  ZTF-Cam  None
OBS:      59129.462  r-ZTF  11656.250  455.409  17.334  0.042  None  P48  ZTF-Cam  None
OBS:      59131.364  g-ZTF  10904.488  504.219  17.406  0.050  None  P48  ZTF-Cam  None
OBS:      59134.402  g-ZTF  10319.850  430.044  17.466  0.045  None  P48  ZTF-Cam  None
OBS:      59134.458  r-ZTF  11576.642  475.140  17.341  0.045  None  P48  ZTF-Cam  None
OBS:      59136.405  g-ZTF  10195.191  354.563  17.479  0.038  None  P48  ZTF-Cam  None
