# CREATED_DATE: 2020-09-14T12:05:50.348Z
# MODIFIED_DATE: 2022-10-25T07:38:34.390Z
# STATUS: Ignore
# OBS_GROUP: YSE
# NON_DETECT_BAND: ACAM1 - orange
# BEST_SPEC_CLASS: SN IIP
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 76300922176534368; (06:08:52.22, -26:24:48.12)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020tfb
# RA: 92.2172130431873
# DEC: -26.41277200893119
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-09-21T00:00:00Z
# REDSHIFT: 0.048
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-09-05T15:10:05Z
# NON_DETECT_LIMIT: 18.78
# MW_EBV: 0.028
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10IYSElbr/59113/1060852130262445900_59113.629_108252604_217_target.jpeg
# POSTAGE_STAMP_REF: 10IYSElbr/59113/1060852130262445900_59113.629_108252604_217_ref.jpeg
# POSTAGE_STAMP_DIFF: 10IYSElbr/59113/1060852130262445900_59113.629_108252604_217_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10IYSElbr/59113/1060852130262445900_59113.629_108252604_217_target.fits
# POSTAGE_STAMP_REF_FITS: 10IYSElbr/59113/1060852130262445900_59113.629_108252604_217_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10IYSElbr/59113/1060852130262445900_59113.629_108252604_217_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN IIP
# POINT_SOURCE_PROBABILITY: 0.01
# ALT_STATUS: CONFIRMED
# SLUG: 2020tfb
# REAL_BOGUS_SCORE: 0.82901
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 91]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59137.483  r-ZTF  1948.756  197.499  19.276  0.110  None  P48  ZTF-Cam  None
OBS:      59139.472  r-ZTF  2073.521  229.892  19.208  0.120  None  P48  ZTF-Cam  None
OBS:      59141.460  g-ZTF  1030.550  184.086  19.967  0.194  None  P48  ZTF-Cam  None
OBS:      59141.499  r-ZTF  2110.547  236.385  19.189  0.122  None  P48  ZTF-Cam  None
OBS:      59143.460  r-ZTF  2035.527  197.299  19.228  0.105  None  P48  ZTF-Cam  None
OBS:      59143.504  g-ZTF  915.820  172.110  20.095  0.204  None  P48  ZTF-Cam  None
OBS:      59145.483  r-ZTF  1973.191  162.431  19.262  0.089  None  P48  ZTF-Cam  None
OBS:      59152.459  r-ZTF  1851.791  265.831  19.331  0.156  None  P48  ZTF-Cam  None
OBS:      59153.451  r-ZTF  1887.548  295.966  19.310  0.170  None  P48  ZTF-Cam  None
OBS:      59155.419  r-ZTF  1949.006  286.940  19.275  0.160  None  P48  ZTF-Cam  None
OBS:      59165.400  r-ZTF  1618.494  152.312  19.477  0.102  None  P48  ZTF-Cam  None
OBS:      59168.419  r-ZTF  1837.035  231.907  19.340  0.137  None  P48  ZTF-Cam  None
OBS:      59169.398  r-ZTF  1740.625  203.393  19.398  0.127  None  P48  ZTF-Cam  None
OBS:      59171.441  r-ZTF  1563.412  200.480  19.515  0.139  None  P48  ZTF-Cam  None
OBS:      59174.379  r-ZTF  1651.437  189.182  19.455  0.124  None  P48  ZTF-Cam  None
OBS:      59177.356  r-ZTF  1659.087  230.292  19.450  0.151  None  P48  ZTF-Cam  None
OBS:      59188.335  r-ZTF  1586.032  294.356  19.499  0.202  None  P48  ZTF-Cam  None
OBS:      59103.607  orange  2327.019  402.934  19.083  0.188  None  ATLAS  HKO  None
OBS:      59113.627  g  1081.231  195.544  19.915  0.181  None  Pan-STARRS1  GPC1  None
OBS:      59113.627  g  1081.231  195.544  19.915  0.181  None  Pan-STARRS1  GPC1  None
OBS:      59113.630  r  1842.960  258.431  19.336  0.140  None  Pan-STARRS1  GPC1  None
OBS:      59113.630  r  1842.960  258.431  19.336  0.140  None  Pan-STARRS1  GPC1  None
OBS:      59117.621  i  2060.151  144.914  19.215  0.070  None  Pan-STARRS1  GPC1  None
OBS:      59117.621  i  2060.151  144.914  19.215  0.070  None  Pan-STARRS1  GPC1  None
OBS:      59117.624  g  1207.271  214.115  19.796  0.177  None  Pan-STARRS1  GPC1  None
OBS:      59117.624  g  1207.271  214.115  19.796  0.177  None  Pan-STARRS1  GPC1  None
OBS:      59120.620  r  1826.084  148.374  19.346  0.081  None  Pan-STARRS1  GPC1  None
OBS:      59120.620  r  1826.084  148.374  19.346  0.081  None  Pan-STARRS1  GPC1  None
OBS:      59120.623  z  1829.446  236.747  19.344  0.129  None  Pan-STARRS1  GPC1  None
OBS:      59120.623  z  1829.446  236.747  19.344  0.129  None  Pan-STARRS1  GPC1  None
OBS:      59129.621  i  2099.289  138.525  19.195  0.066  None  Pan-STARRS1  GPC1  None
OBS:      59129.621  i  2099.289  138.525  19.195  0.066  None  Pan-STARRS1  GPC1  None
OBS:      59129.624  r  1986.273  145.241  19.255  0.073  None  Pan-STARRS1  GPC1  None
OBS:      59129.624  r  1986.273  145.241  19.255  0.073  None  Pan-STARRS1  GPC1  None
OBS:      59133.628  g  981.025  157.606  20.021  0.174  None  Pan-STARRS1  GPC1  None
OBS:      59133.628  g  1032.476  149.482  19.965  0.157  None  Pan-STARRS1  GPC1  None
