# CREATED_DATE: 2020-09-15T14:31:29.415Z
# MODIFIED_DATE: 2022-10-24T16:32:34.888Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: None
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ib/c
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: GALEXASCJ012908.34-144741.9; (01:29:08.30, -14:47:42.32)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020thx
# RA: 22.284864428382022
# DEC: -14.793968296523447
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-09-15T00:00:00Z
# REDSHIFT: 0.084
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: None
# NON_DETECT_LIMIT: None
# MW_EBV: 0.013
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10IYSEkvo/59107/1012908370144738300_59107.455_108010894_151_target.jpeg
# POSTAGE_STAMP_REF: 10IYSEkvo/59107/1012908370144738300_59107.455_108010894_151_ref.jpeg
# POSTAGE_STAMP_DIFF: 10IYSEkvo/59107/1012908370144738300_59107.455_108010894_151_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10IYSEkvo/59107/1012908370144738300_59107.455_108010894_151_target.fits
# POSTAGE_STAMP_REF_FITS: 10IYSEkvo/59107/1012908370144738300_59107.455_108010894_151_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10IYSEkvo/59107/1012908370144738300_59107.455_108010894_151_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020thx
# REAL_BOGUS_SCORE: 0.999835
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [16, 29, 30]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59111.357  g-ZTF  1097.602  180.745  19.899  0.179  None  P48  ZTF-Cam  None
OBS:      59111.401  r-ZTF  972.615  145.419  20.030  0.162  None  P48  ZTF-Cam  None
OBS:      59114.338  g-ZTF  991.676  149.771  20.009  0.164  None  P48  ZTF-Cam  None
OBS:      59114.399  r-ZTF  976.812  155.898  20.025  0.173  None  P48  ZTF-Cam  None
OBS:      59115.376  r-ZTF  1041.240  175.088  19.956  0.183  None  P48  ZTF-Cam  None
OBS:      59116.312  g-ZTF  930.348  156.222  20.078  0.182  None  P48  ZTF-Cam  None
OBS:      59116.378  r-ZTF  1058.688  136.336  19.938  0.140  None  P48  ZTF-Cam  None
OBS:      59118.440  g-ZTF  890.217  138.099  20.126  0.168  None  P48  ZTF-Cam  None
OBS:      59138.318  r-ZTF  847.528  132.887  20.180  0.170  None  P48  ZTF-Cam  None
OBS:      59140.267  r-ZTF  780.736  139.989  20.269  0.195  None  P48  ZTF-Cam  None
OBS:      59083.556  g  -63.567  161.099  nan  -2.752  None  Pan-STARRS1  GPC1  None
OBS:      59083.558  r  7.670  113.097  25.288  14.745  None  Pan-STARRS1  GPC1  None
OBS:      59084.591  g  8.203  67.228  25.215  8.195  None  Pan-STARRS1  GPC1  None
OBS:      59084.594  r  83.148  74.015  22.700  0.890  None  Pan-STARRS1  GPC1  None
OBS:      59084.594  r  83.148  74.015  22.700  0.890  None  Pan-STARRS1  GPC1  None
OBS:      59093.487  r  241.268  145.022  21.544  0.601  None  Pan-STARRS1  GPC1  None
OBS:      59102.537  g  96.847  124.283  22.535  1.283  None  Pan-STARRS1  GPC1  None
OBS:      59107.453  g  1020.971  125.517  19.977  0.123  None  Pan-STARRS1  GPC1  None
OBS:      59107.453  g  1020.971  125.517  19.977  0.123  None  Pan-STARRS1  GPC1  None
OBS:      59107.455  r  975.520  64.645  20.027  0.066  None  Pan-STARRS1  GPC1  None
OBS:      59107.455  r  975.520  64.645  20.027  0.066  None  Pan-STARRS1  GPC1  None
OBS:      59110.450  g  1085.893  77.562  19.910  0.071  None  Pan-STARRS1  GPC1  None
