# CREATED_DATE: 2020-09-17T14:01:26.740Z
# MODIFIED_DATE: 2022-10-23T12:51:11.068Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ia
# CONTEXT_CLASS: NT
# BEST_SPECTRUM: None
# HOST: Host: SDSSJ221502.19+002753.8; (22:15:02.20, +00:27:53.89)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020tzs
# RA: 333.7593414176013
# DEC: 0.46508793371173346
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-09-17T00:00:00Z
# REDSHIFT: 0.057
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-09-15T07:40:17Z
# NON_DETECT_LIMIT: 20.1457
# MW_EBV: 0.049
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10IYSEkyz/59109/1221502231002754500_59109.343_108084890_174_target.jpeg
# POSTAGE_STAMP_REF: 10IYSEkyz/59109/1221502231002754500_59109.343_108084890_174_ref.jpeg
# POSTAGE_STAMP_DIFF: 10IYSEkyz/59109/1221502231002754500_59109.343_108084890_174_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10IYSEkyz/59109/1221502231002754500_59109.343_108084890_174_target.fits
# POSTAGE_STAMP_REF_FITS: 10IYSEkyz/59109/1221502231002754500_59109.343_108084890_174_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10IYSEkyz/59109/1221502231002754500_59109.343_108084890_174_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.001
# ALT_STATUS: CONFIRMED
# SLUG: 2020tzs
# REAL_BOGUS_SCORE: 0.512988
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59019.585  g  -539.463  348.081  nan  -0.701  None  Pan-STARRS1  GPC1  None
OBS:      59019.588  i  -59.867  398.918  nan  -7.235  None  Pan-STARRS1  GPC1  None
OBS:      59023.597  r  144.550  227.271  22.100  1.572  None  Pan-STARRS1  GPC1  None
OBS:      59027.569  g  2.713  53.931  26.416  19.876  None  Pan-STARRS1  GPC1  None
OBS:      59027.572  z  -36.976  87.058  nan  -2.556  None  Pan-STARRS1  GPC1  None
OBS:      59029.457  i  82.439  50.419  22.710  0.612  None  Pan-STARRS1  GPC1  None
OBS:      59029.460  g  1.017  53.067  27.482  52.193  None  Pan-STARRS1  GPC1  None
OBS:      59036.571  i  5.795  81.500  25.592  14.064  None  Pan-STARRS1  GPC1  None
OBS:      59036.574  r  210.695  88.782  21.691  0.421  None  Pan-STARRS1  GPC1  None
OBS:      59046.517  i  15.068  158.741  24.555  10.535  None  Pan-STARRS1  GPC1  None
OBS:      59046.520  g  380.042  261.529  21.050  0.688  None  Pan-STARRS1  GPC1  None
OBS:      59050.492  g  -182.360  121.845  nan  -0.725  None  Pan-STARRS1  GPC1  None
OBS:      59050.495  i  -34.525  203.662  nan  -6.405  None  Pan-STARRS1  GPC1  None
OBS:      59060.484  z  8.617  211.503  25.162  24.544  None  Pan-STARRS1  GPC1  None
OBS:      59060.486  r  130.028  180.742  22.215  1.390  None  Pan-STARRS1  GPC1  None
OBS:      59070.536  z  16.620  117.919  24.448  7.095  None  Pan-STARRS1  GPC1  None
OBS:      59070.539  r  -26.261  110.979  nan  -4.588  None  Pan-STARRS1  GPC1  None
OBS:      59072.384  g  -21.385  174.939  nan  -8.882  None  Pan-STARRS1  GPC1  None
OBS:      59072.387  z  54.379  307.920  23.161  5.662  None  Pan-STARRS1  GPC1  None
OBS:      59076.470  i  94.717  49.381  22.559  0.521  None  Pan-STARRS1  GPC1  None
OBS:      59076.472  g  -6.990  37.580  nan  -5.837  None  Pan-STARRS1  GPC1  None
OBS:      59079.430  r  53.933  47.728  23.170  0.885  None  Pan-STARRS1  GPC1  None
OBS:      59079.432  g  -13.190  51.426  nan  -4.233  None  Pan-STARRS1  GPC1  None
