# CREATED_DATE: 2020-09-27T00:15:44.249Z
# MODIFIED_DATE: 2022-03-02T22:06:02.346Z
# STATUS: Ignore
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237654627326362100; (08:01:26.87, +36:49:07.81)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020uhm
# RA: 120.36138229540461
# DEC: 36.819204212783156
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-10-23T00:00:00Z
# REDSHIFT: 0.04
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-10-06T11:16:27Z
# NON_DETECT_LIMIT: 19.5239
# MW_EBV: 0.044
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10JYSEmgx/59145/1080126731364909100_59145.608_109493903_270_target.jpeg
# POSTAGE_STAMP_REF: 10JYSEmgx/59145/1080126731364909100_59145.608_109493903_270_ref.jpeg
# POSTAGE_STAMP_DIFF: 10JYSEmgx/59145/1080126731364909100_59145.608_109493903_270_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10JYSEmgx/59145/1080126731364909100_59145.608_109493903_270_target.fits
# POSTAGE_STAMP_REF_FITS: 10JYSEmgx/59145/1080126731364909100_59145.608_109493903_270_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10JYSEmgx/59145/1080126731364909100_59145.608_109493903_270_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020uhm
# REAL_BOGUS_SCORE: 0.999983
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 30, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59122.510  r-ZTF  2053.637  247.818  19.219  0.131  None  P48  ZTF-Cam  None
OBS:      59122.511  r-ZTF  2267.026  242.737  19.111  0.116  None  P48  ZTF-Cam  None
OBS:      59124.407  r-ZTF  2211.352  369.740  19.138  0.182  None  P48  ZTF-Cam  None
OBS:      59124.408  r-ZTF  2207.917  308.112  19.140  0.152  None  P48  ZTF-Cam  None
OBS:      59124.470  r-ZTF  2141.418  270.709  19.173  0.137  None  P48  ZTF-Cam  None
OBS:      59124.476  r-ZTF  2622.372  312.743  18.953  0.129  None  P48  ZTF-Cam  None
OBS:      59126.509  r-ZTF  2165.303  233.288  19.161  0.117  None  P48  ZTF-Cam  None
OBS:      59128.506  r-ZTF  2151.750  318.304  19.168  0.161  None  P48  ZTF-Cam  None
OBS:      59128.526  r-ZTF  2256.227  331.099  19.117  0.159  None  P48  ZTF-Cam  None
OBS:      59130.470  r-ZTF  2349.570  233.783  19.073  0.108  None  P48  ZTF-Cam  None
OBS:      59130.472  r-ZTF  2274.386  244.506  19.108  0.117  None  P48  ZTF-Cam  None
OBS:      59130.495  g-ZTF  1093.484  198.361  19.903  0.197  None  P48  ZTF-Cam  None
OBS:      59135.444  g-ZTF  902.860  163.361  20.111  0.196  None  P48  ZTF-Cam  None
OBS:      59135.494  r-ZTF  2150.900  166.155  19.168  0.084  None  P48  ZTF-Cam  None
OBS:      59135.506  r-ZTF  1965.324  234.044  19.266  0.129  None  P48  ZTF-Cam  None
OBS:      59137.468  g-ZTF  914.647  161.261  20.097  0.191  None  P48  ZTF-Cam  None
OBS:      59137.505  r-ZTF  2005.650  248.590  19.244  0.135  None  P48  ZTF-Cam  None
OBS:      59137.505  r-ZTF  2161.631  196.716  19.163  0.099  None  P48  ZTF-Cam  None
OBS:      59139.486  r-ZTF  2157.409  208.235  19.165  0.105  None  P48  ZTF-Cam  None
OBS:      59139.509  r-ZTF  2405.946  204.331  19.047  0.092  None  P48  ZTF-Cam  None
OBS:      59141.468  g-ZTF  914.785  165.891  20.097  0.197  None  P48  ZTF-Cam  None
