# CREATED_DATE: 2020-10-04T22:23:29.866Z
# MODIFIED_DATE: 2022-10-24T21:36:15.260Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: GALEXASCJ012926.55-152442.2; (01:29:26.55, -15:24:43.41)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020uwl
# RA: 22.360858701620888
# DEC: -15.412619233928044
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-10-05T00:00:00Z
# REDSHIFT: 0.093
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-09-26T10:33:23Z
# NON_DETECT_LIMIT: 20.5706
# MW_EBV: 0.013
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10JYSElks/59127/1012926600152445500_59127.464_108695071_64_target.jpeg
# POSTAGE_STAMP_REF: 10JYSElks/59127/1012926600152445500_59127.464_108695071_64_ref.jpeg
# POSTAGE_STAMP_DIFF: 10JYSElks/59127/1012926600152445500_59127.464_108695071_64_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10JYSElks/59127/1012926600152445500_59127.464_108695071_64_target.fits
# POSTAGE_STAMP_REF_FITS: 10JYSElks/59127/1012926600152445500_59127.464_108695071_64_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10JYSElks/59127/1012926600152445500_59127.464_108695071_64_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.014
# ALT_STATUS: CONFIRMED
# SLUG: 2020uwl
# REAL_BOGUS_SCORE: 0.808673
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [16, 29, 30, 33, 48, 60]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59126.359  r-ZTF  4243.137  403.798  18.431  0.103  None  P48  ZTF-Cam  None
OBS:      59128.316  g-ZTF  7195.715  448.143  17.857  0.068  None  P48  ZTF-Cam  None
OBS:      59128.390  r-ZTF  4131.654  634.846  18.460  0.167  None  P48  ZTF-Cam  None
OBS:      59130.294  r-ZTF  5740.182  313.702  18.103  0.059  None  P48  ZTF-Cam  None
OBS:      59130.357  g-ZTF  7630.274  412.920  17.794  0.059  None  P48  ZTF-Cam  None
OBS:      59134.290  g-ZTF  7824.769  381.459  17.766  0.053  None  P48  ZTF-Cam  None
OBS:      59134.320  r-ZTF  6162.758  263.854  18.026  0.046  None  P48  ZTF-Cam  None
OBS:      59136.357  g-ZTF  7360.632  355.649  17.833  0.052  None  P48  ZTF-Cam  None
OBS:      59138.318  r-ZTF  6062.891  258.807  18.043  0.046  None  P48  ZTF-Cam  None
OBS:      59138.359  g-ZTF  6942.491  398.622  17.896  0.062  None  P48  ZTF-Cam  None
OBS:      59140.267  r-ZTF  5801.097  326.419  18.091  0.061  None  P48  ZTF-Cam  None
OBS:      59140.294  g-ZTF  6123.960  311.722  18.032  0.055  None  P48  ZTF-Cam  None
OBS:      59142.382  g-ZTF  5430.574  258.363  18.163  0.052  None  P48  ZTF-Cam  None
OBS:      59144.234  r-ZTF  4603.177  226.858  18.342  0.054  None  P48  ZTF-Cam  None
OBS:      59144.335  g-ZTF  4735.388  272.176  18.312  0.062  None  P48  ZTF-Cam  None
OBS:      59149.337  r-ZTF  3705.969  403.344  18.578  0.118  None  P48  ZTF-Cam  None
OBS:      59150.275  r-ZTF  3529.986  329.921  18.631  0.101  None  P48  ZTF-Cam  None
OBS:      59152.265  g-ZTF  2931.742  468.916  18.832  0.174  None  P48  ZTF-Cam  None
OBS:      59153.231  g-ZTF  2667.024  482.885  18.935  0.197  None  P48  ZTF-Cam  None
OBS:      59155.190  g-ZTF  2353.503  386.197  19.071  0.178  None  P48  ZTF-Cam  None
OBS:      59155.266  r-ZTF  2654.795  276.593  18.940  0.113  None  P48  ZTF-Cam  None
