# CREATED_DATE: 2020-10-08T11:35:15.259Z
# MODIFIED_DATE: 2022-10-24T16:31:45.168Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 90370135781353014; (00:54:18.70, -14:41:22.17)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020vdk
# RA: 13.577821906772295
# DEC: -14.68988504714598
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-10-08T00:00:00Z
# REDSHIFT: 0.074
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-09-25T08:31:00Z
# NON_DETECT_LIMIT: 20.542
# MW_EBV: 0.024
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10JYSElml/59130/1005418670144123600_59130.495_108839671_85_target.jpeg
# POSTAGE_STAMP_REF: 10JYSElml/59130/1005418670144123600_59130.495_108839671_85_ref.jpeg
# POSTAGE_STAMP_DIFF: 10JYSElml/59130/1005418670144123600_59130.495_108839671_85_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10JYSElml/59130/1005418670144123600_59130.495_108839671_85_target.fits
# POSTAGE_STAMP_REF_FITS: 10JYSElml/59130/1005418670144123600_59130.495_108839671_85_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10JYSElml/59130/1005418670144123600_59130.495_108839671_85_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.011
# ALT_STATUS: CONFIRMED
# SLUG: 2020vdk
# REAL_BOGUS_SCORE: 0.999999
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [16, 29, 30, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59128.301  g-ZTF  1759.038  288.279  19.387  0.178  None  P48  ZTF-Cam  None
OBS:      59130.359  g-ZTF  3119.587  215.051  18.765  0.075  None  P48  ZTF-Cam  None
OBS:      59134.273  g-ZTF  3384.238  282.918  18.676  0.091  None  P48  ZTF-Cam  None
OBS:      59134.316  r-ZTF  2874.541  241.805  18.854  0.091  None  P48  ZTF-Cam  None
OBS:      59136.312  r-ZTF  2717.583  171.621  18.915  0.069  None  P48  ZTF-Cam  None
OBS:      59136.350  g-ZTF  3240.031  231.500  18.724  0.078  None  P48  ZTF-Cam  None
OBS:      59138.253  g-ZTF  2959.701  223.952  18.822  0.082  None  P48  ZTF-Cam  None
OBS:      59138.294  r-ZTF  2624.949  223.949  18.952  0.093  None  P48  ZTF-Cam  None
OBS:      59140.271  r-ZTF  3021.939  220.757  18.799  0.079  None  P48  ZTF-Cam  None
OBS:      59144.230  r-ZTF  3030.988  200.961  18.796  0.072  None  P48  ZTF-Cam  None
OBS:      59144.315  g-ZTF  2517.006  177.714  18.998  0.077  None  P48  ZTF-Cam  None
OBS:      59155.231  r-ZTF  2189.327  334.660  19.149  0.166  None  P48  ZTF-Cam  None
OBS:      59156.277  r-ZTF  2016.390  222.569  19.239  0.120  None  P48  ZTF-Cam  None
OBS:      59158.196  g-ZTF  1367.052  251.709  19.661  0.200  None  P48  ZTF-Cam  None
OBS:      59158.211  r-ZTF  1860.791  238.952  19.326  0.139  None  P48  ZTF-Cam  None
OBS:      59164.274  r-ZTF  1680.477  291.099  19.436  0.188  None  P48  ZTF-Cam  None
OBS:      59165.189  g-ZTF  1040.408  142.168  19.957  0.148  None  P48  ZTF-Cam  None
OBS:      59165.227  r-ZTF  1691.468  190.173  19.429  0.122  None  P48  ZTF-Cam  None
OBS:      59167.242  r-ZTF  1482.362  247.273  19.573  0.181  None  P48  ZTF-Cam  None
OBS:      59167.252  g-ZTF  1032.986  166.447  19.965  0.175  None  P48  ZTF-Cam  None
OBS:      59168.209  g-ZTF  881.248  147.918  20.137  0.182  None  P48  ZTF-Cam  None
