# CREATED_DATE: 2020-10-30T17:05:47.798Z
# MODIFIED_DATE: 2021-10-01T22:07:11.643Z
# STATUS: Ignore
# OBS_GROUP: ZTF
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: ORPHAN
# BEST_SPECTRUM: None
# HOST: Host: WISEA J041608.11-252758.3; (04:16:08.07, -25:27:59.04)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020ykb
# RA: 64.0382362159591
# DEC: -25.4743028859729
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-10-28T11:13:55.200Z
# REDSHIFT: 0.09
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-10-27T10:36:05Z
# NON_DETECT_LIMIT: 19.8309
# MW_EBV: 0.029
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10KYSEmsq/59161/1041609170252827300_59161.452_109941264_192_target.jpeg
# POSTAGE_STAMP_REF: 10KYSEmsq/59161/1041609170252827300_59161.452_109941264_192_ref.jpeg
# POSTAGE_STAMP_DIFF: 10KYSEmsq/59161/1041609170252827300_59161.452_109941264_192_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10KYSEmsq/59161/1041609170252827300_59161.452_109941264_192_target.fits
# POSTAGE_STAMP_REF_FITS: 10KYSEmsq/59161/1041609170252827300_59161.452_109941264_192_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10KYSEmsq/59161/1041609170252827300_59161.452_109941264_192_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: None
# SLUG: 2020ykb
# REAL_BOGUS_SCORE: 0.999262
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [16, 29, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59150.468  r-ZTF  1485.936  0.000  19.570  0.000  None  P48  ZTF-Cam  None
OBS:      59151.377  g-ZTF  2406.436  451.642  19.047  0.204  None  P48  ZTF-Cam  None
OBS:      59152.355  g-ZTF  2999.050  524.556  18.808  0.190  None  P48  ZTF-Cam  None
OBS:      59152.405  r-ZTF  1861.196  291.555  19.326  0.170  None  P48  ZTF-Cam  None
OBS:      59153.382  r-ZTF  2581.155  381.458  18.970  0.160  None  P48  ZTF-Cam  None
OBS:      59153.413  g-ZTF  2509.364  461.225  19.001  0.200  None  P48  ZTF-Cam  None
OBS:      59155.430  r-ZTF  2561.150  351.540  18.979  0.149  None  P48  ZTF-Cam  None
OBS:      59156.397  g-ZTF  2716.738  458.456  18.915  0.183  None  P48  ZTF-Cam  None
OBS:      59156.425  g-ZTF  2453.744  405.365  19.025  0.179  None  P48  ZTF-Cam  None
OBS:      59158.355  r-ZTF  2863.690  514.654  18.858  0.195  None  P48  ZTF-Cam  None
OBS:      59165.330  r-ZTF  2538.146  277.154  18.989  0.119  None  P48  ZTF-Cam  None
OBS:      59165.335  r-ZTF  2684.222  270.526  18.928  0.109  None  P48  ZTF-Cam  None
OBS:      59165.356  g-ZTF  2453.830  257.057  19.025  0.114  None  P48  ZTF-Cam  None
OBS:      59165.360  g-ZTF  2621.147  242.679  18.954  0.101  None  P48  ZTF-Cam  None
OBS:      59166.380  g-ZTF  2542.318  250.516  18.987  0.107  None  P48  ZTF-Cam  None
OBS:      59166.393  g-ZTF  2493.929  277.831  19.008  0.121  None  P48  ZTF-Cam  None
OBS:      59166.423  r-ZTF  2577.680  311.054  18.972  0.131  None  P48  ZTF-Cam  None
OBS:      59166.423  r-ZTF  2708.827  222.724  18.918  0.089  None  P48  ZTF-Cam  None
OBS:      59168.326  r-ZTF  2573.612  334.187  18.974  0.141  None  P48  ZTF-Cam  None
OBS:      59168.357  g-ZTF  2341.877  281.428  19.076  0.130  None  P48  ZTF-Cam  None
OBS:      59168.358  g-ZTF  2512.248  361.627  19.000  0.156  None  P48  ZTF-Cam  None
