# CREATED_DATE: 2020-11-03T07:52:26.909Z
# MODIFIED_DATE: 2022-10-11T21:34:19.983Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 2MASXJ20480965-0112426; (20:48:09.68, -01:12:42.93)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020ytg
# RA: 312.04163576058966
# DEC: -1.211142407252545
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-10-31T00:00:00Z
# REDSHIFT: 0.056
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-10-31T02:04:48Z
# NON_DETECT_LIMIT: 19.9278
# MW_EBV: 0.061
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10JYSEmtj/59153/1204810000011240000_59153.250_109646540_973_target.jpeg
# POSTAGE_STAMP_REF: 10JYSEmtj/59153/1204810000011240000_59153.250_109646540_973_ref.jpeg
# POSTAGE_STAMP_DIFF: 10JYSEmtj/59153/1204810000011240000_59153.250_109646540_973_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10JYSEmtj/59153/1204810000011240000_59153.250_109646540_973_target.fits
# POSTAGE_STAMP_REF_FITS: 10JYSEmtj/59153/1204810000011240000_59153.250_109646540_973_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10JYSEmtj/59153/1204810000011240000_59153.250_109646540_973_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020ytg
# REAL_BOGUS_SCORE: 0.305588
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 46, 65, 77]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59155.106  r-ZTF  1229.867  203.374  19.775  0.180  None  P48  ZTF-Cam  None
OBS:      59155.128  g-ZTF  1625.937  262.881  19.472  0.176  None  P48  ZTF-Cam  None
OBS:      59158.155  g-ZTF  2356.320  239.566  19.069  0.110  None  P48  ZTF-Cam  None
OBS:      59164.107  r-ZTF  2319.619  234.635  19.086  0.110  None  P48  ZTF-Cam  None
OBS:      59167.108  r-ZTF  2288.365  240.504  19.101  0.114  None  P48  ZTF-Cam  None
OBS:      59167.164  g-ZTF  2658.557  301.806  18.938  0.123  None  P48  ZTF-Cam  None
OBS:      59169.107  g-ZTF  2633.863  231.294  18.949  0.095  None  P48  ZTF-Cam  None
OBS:      59171.088  r-ZTF  2574.308  230.279  18.973  0.097  None  P48  ZTF-Cam  None
OBS:      59171.152  g-ZTF  2680.368  208.002  18.930  0.084  None  P48  ZTF-Cam  None
OBS:      59173.084  r-ZTF  2796.009  175.322  18.884  0.068  None  P48  ZTF-Cam  None
OBS:      59177.069  r-ZTF  2563.842  321.035  18.978  0.136  None  P48  ZTF-Cam  None
OBS:      59177.111  g-ZTF  2533.718  345.671  18.991  0.148  None  P48  ZTF-Cam  None
OBS:      59179.122  r-ZTF  2436.579  214.956  19.033  0.096  None  P48  ZTF-Cam  None
OBS:      59181.081  r-ZTF  3289.428  382.896  18.707  0.126  None  P48  ZTF-Cam  None
OBS:      59184.093  r-ZTF  2634.896  278.036  18.948  0.115  None  P48  ZTF-Cam  None
OBS:      59186.095  r-ZTF  2763.822  334.975  18.896  0.132  None  P48  ZTF-Cam  None
OBS:      59188.094  r-ZTF  2582.888  227.754  18.970  0.096  None  P48  ZTF-Cam  None
OBS:      59190.115  r-ZTF  2665.947  254.329  18.935  0.104  None  P48  ZTF-Cam  None
OBS:      59155.106  r-ZTF  1229.816  203.365  19.775  0.180  None  P48  ZTF-Cam  None
OBS:      59155.128  g-ZTF  1625.998  262.890  19.472  0.176  None  P48  ZTF-Cam  None
OBS:      59075.360  g  41.924  40.643  23.444  0.969  None  Pan-STARRS1  GPC1  None
OBS:      59075.362  i  -40.947  47.914  nan  -1.270  None  Pan-STARRS1  GPC1  None
