# CREATED_DATE: 2021-10-01T19:36:09.677Z
# MODIFIED_DATE: 2022-10-05T12:37:18.868Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 00462011-1933233; (00:46:20.12, -19:33:23.38)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021aaej
# RA: 11.586016526870248
# DEC: -19.55842615150498
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-10-06T00:00:00Z
# REDSHIFT: 0.09
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-09-28T08:35:31Z
# NON_DETECT_LIMIT: 17.4842
# MW_EBV: 0.016
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11JYSEher/59493/1004620640193330200_59493.480_120151505_190_target.jpeg
# POSTAGE_STAMP_REF: 11JYSEher/59493/1004620640193330200_59493.480_120151505_190_ref.jpeg
# POSTAGE_STAMP_DIFF: 11JYSEher/59493/1004620640193330200_59493.480_120151505_190_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11JYSEher/59493/1004620640193330200_59493.480_120151505_190_target.fits
# POSTAGE_STAMP_REF_FITS: 11JYSEher/59493/1004620640193330200_59493.480_120151505_190_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11JYSEher/59493/1004620640193330200_59493.480_120151505_190_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2021aaej
# REAL_BOGUS_SCORE: 0.815708
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 30, 46, 84]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59488.287  g-ZTF  1046.177  206.085  19.951  0.214  None  P48  ZTF-Cam  None
OBS:      59488.287  g-ZTF  1046.165  206.083  19.951  0.214  None  P48  ZTF-Cam  None
OBS:      59430.609  g  -38.467  92.081  nan  -2.599  None  Pan-STARRS1  GPC1  None
OBS:      59433.589  g  -213.534  249.723  nan  -1.270  None  Pan-STARRS1  GPC1  None
OBS:      59433.592  r  16.210  121.367  24.476  7.487  None  Pan-STARRS1  GPC1  None
OBS:      59434.585  g  -15.250  60.327  nan  -4.295  None  Pan-STARRS1  GPC1  None
OBS:      59434.588  i  -14.466  73.521  nan  -5.518  None  Pan-STARRS1  GPC1  None
OBS:      59436.583  r  -118.506  82.910  nan  -0.760  None  Pan-STARRS1  GPC1  None
OBS:      59436.586  g  -48.806  95.335  nan  -2.121  None  Pan-STARRS1  GPC1  None
OBS:      59438.618  g  -77.003  85.358  nan  -1.204  None  Pan-STARRS1  GPC1  None
OBS:      59438.621  i  33.403  93.311  23.691  2.794  None  Pan-STARRS1  GPC1  None
OBS:      59440.553  r  47.438  123.119  23.310  2.595  None  Pan-STARRS1  GPC1  None
OBS:      59440.556  g  -44.042  152.593  nan  -3.762  None  Pan-STARRS1  GPC1  None
OBS:      59442.553  z  -3.179  138.671  nan  -47.366  None  Pan-STARRS1  GPC1  None
OBS:      59442.556  g  -22.165  98.458  nan  -4.823  None  Pan-STARRS1  GPC1  None
OBS:      59445.557  r  -1.366  105.532  nan  -83.869  None  Pan-STARRS1  GPC1  None
OBS:      59445.559  z  -11.058  168.735  nan  -16.567  None  Pan-STARRS1  GPC1  None
OBS:      59447.557  r  16.436  180.523  24.460  10.983  None  Pan-STARRS1  GPC1  None
OBS:      59447.560  i  -21.759  110.421  nan  -5.510  None  Pan-STARRS1  GPC1  None
OBS:      59458.513  g  -246.823  369.701  nan  -1.626  None  Pan-STARRS1  GPC1  None
OBS:      59458.516  z  149.549  567.656  22.063  3.796  None  Pan-STARRS1  GPC1  None
OBS:      59464.568  r  -192.632  132.264  nan  -0.745  None  Pan-STARRS1  GPC1  None
OBS:      59464.571  g  -41.926  193.658  nan  -5.015  None  Pan-STARRS1  GPC1  None
OBS:      59470.397  g  -17.039  107.937  nan  -6.878  None  Pan-STARRS1  GPC1  None
OBS:      59470.399  z  -141.788  183.716  nan  -1.407  None  Pan-STARRS1  GPC1  None
OBS:      59487.491  i  453.500  140.164  20.859  0.336  None  Pan-STARRS1  GPC1  None
OBS:      59487.494  g  803.368  101.800  20.238  0.138  None  Pan-STARRS1  GPC1  None
OBS:      59493.478  r  715.553  111.783  20.363  0.156  None  Pan-STARRS1  GPC1  None
OBS:      59493.481  g  829.948  95.433  20.202  0.115  None  Pan-STARRS1  GPC1  None
OBS:      59500.447  i  639.798  257.028  20.485  0.402  None  Pan-STARRS1  GPC1  None
OBS:      59500.450  g  510.130  302.118  20.731  0.592  None  Pan-STARRS1  GPC1  None
OBS:      59510.443  r  415.265  589.460  20.954  1.419  None  Pan-STARRS1  GPC1  None
OBS:      59510.446  i  371.473  536.140  21.075  1.443  None  Pan-STARRS1  GPC1  None
OBS:      59513.497  r  369.979  317.880  21.079  0.859  None  Pan-STARRS1  GPC1  None
OBS:      59513.500  i  565.774  326.505  20.618  0.577  None  Pan-STARRS1  GPC1  None
OBS:      59515.370  g  273.462  134.161  21.408  0.491  None  Pan-STARRS1  GPC1  None
OBS:      59515.372  z  321.660  196.465  21.232  0.611  None  Pan-STARRS1  GPC1  None
OBS:      59518.420  g  125.390  322.135  22.254  2.569  None  Pan-STARRS1  GPC1  None
OBS:      59518.423  i  406.888  206.638  20.976  0.508  None  Pan-STARRS1  GPC1  None
OBS:      59524.374  g  289.166  127.792  21.347  0.442  None  Pan-STARRS1  GPC1  None
OBS:      59524.376  r  399.108  205.151  20.997  0.514  None  Pan-STARRS1  GPC1  None
OBS:      59529.348  z  419.566  94.878  20.943  0.246  None  Pan-STARRS1  GPC1  None
OBS:      59537.418  r  410.376  177.519  20.967  0.433  None  Pan-STARRS1  GPC1  None
OBS:      59537.421  z  143.854  233.676  22.105  1.624  None  Pan-STARRS1  GPC1  None
OBS:      59540.252  i  265.386  373.975  21.440  1.409  None  Pan-STARRS1  GPC1  None
OBS:      59541.308  z  401.447  163.077  20.991  0.406  None  Pan-STARRS1  GPC1  None
OBS:      59541.311  r  344.057  127.741  21.158  0.371  None  Pan-STARRS1  GPC1  None
OBS:      59542.259  r  412.693  185.047  20.961  0.448  None  Pan-STARRS1  GPC1  None
OBS:      59542.262  i  594.291  248.973  20.565  0.419  None  Pan-STARRS1  GPC1  None
OBS:      59544.377  i  445.082  85.162  20.879  0.208  None  Pan-STARRS1  GPC1  None
OBS:      59544.380  g  199.223  83.680  21.752  0.420  None  Pan-STARRS1  GPC1  None
