# CREATED_DATE: 2021-10-06T21:36:56.619Z
# MODIFIED_DATE: 2022-10-22T06:12:02.054Z
# STATUS: Following
# OBS_GROUP: Unknown
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: UGC02119; (02:37:58.69, -01:50:38.62)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021aaqn
# RA: 39.49244873139382
# DEC: -1.8314536016419727
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-10-06T00:00:00Z
# REDSHIFT: 0.028
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-10-02T09:58:30Z
# NON_DETECT_LIMIT: 20.4892
# MW_EBV: 0.034
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11JYSEhfl/59493/1023758180014953100_59493.543_120159257_75_target.jpeg
# POSTAGE_STAMP_REF: 11JYSEhfl/59493/1023758180014953100_59493.543_120159257_75_ref.jpeg
# POSTAGE_STAMP_DIFF: 11JYSEhfl/59493/1023758180014953100_59493.543_120159257_75_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11JYSEhfl/59493/1023758180014953100_59493.543_120159257_75_target.fits
# POSTAGE_STAMP_REF_FITS: 11JYSEhfl/59493/1023758180014953100_59493.543_120159257_75_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11JYSEhfl/59493/1023758180014953100_59493.543_120159257_75_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2021aaqn
# REAL_BOGUS_SCORE: 0.999957
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [10, 29, 30, 33, 59, 83, 86, 88]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59446.596  r  -24.404  55.793  nan  -2.482  None  Pan-STARRS1  GPC1  None
OBS:      59446.599  z  -132.133  64.621  nan  -0.531  None  Pan-STARRS1  GPC1  None
OBS:      59448.549  i  45.726  85.047  23.350  1.860  None  Pan-STARRS1  GPC1  None
OBS:      59448.552  r  40.721  83.161  23.475  2.042  None  Pan-STARRS1  GPC1  None
OBS:      59462.584  r  -16.061  112.878  nan  -7.631  None  Pan-STARRS1  GPC1  None
OBS:      59462.587  g  -33.581  205.232  nan  -6.636  None  Pan-STARRS1  GPC1  None
OBS:      59466.585  g  -45.201  47.850  nan  -1.149  None  Pan-STARRS1  GPC1  None
OBS:      59466.587  i  -1.069  61.998  nan  -62.967  None  Pan-STARRS1  GPC1  None
OBS:      59475.570  z  166.339  876.652  21.948  5.270  None  Pan-STARRS1  GPC1  None
OBS:      59475.573  r  -85.916  489.645  nan  -6.188  None  Pan-STARRS1  GPC1  None
OBS:      59477.556  r  -104.722  233.686  nan  -2.423  None  Pan-STARRS1  GPC1  None
OBS:      59477.559  i  -89.757  253.764  nan  -3.070  None  Pan-STARRS1  GPC1  None
OBS:      59484.569  z  44.019  298.308  23.391  6.777  None  Pan-STARRS1  GPC1  None
OBS:      59484.572  r  108.935  168.442  22.407  1.546  None  Pan-STARRS1  GPC1  None
OBS:      59487.500  g  5.693  42.065  25.612  7.389  None  Pan-STARRS1  GPC1  None
OBS:      59487.503  z  -120.097  95.048  nan  -0.859  None  Pan-STARRS1  GPC1  None
OBS:      59490.532  i  -114.044  135.890  nan  -1.294  None  Pan-STARRS1  GPC1  None
OBS:      59490.535  g  -58.569  94.423  nan  -1.750  None  Pan-STARRS1  GPC1  None
OBS:      59493.541  r  1693.169  71.689  19.428  0.042  None  Pan-STARRS1  GPC1  None
OBS:      59493.544  g  2067.357  82.080  19.211  0.040  None  Pan-STARRS1  GPC1  None
OBS:      59500.510  z  4926.981  346.353  18.268  0.070  None  Pan-STARRS1  GPC1  None
OBS:      59500.513  g  4644.691  176.298  18.333  0.038  None  Pan-STARRS1  GPC1  None
