# CREATED_DATE: 2021-10-24T17:33:15.356Z
# MODIFIED_DATE: 2022-09-28T07:48:55.550Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: SDSSJ221405.06+064942.2; (22:14:05.06, +06:49:42.20)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021aceh
# RA: 333.5215760262498
# DEC: 6.8245537389576345
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-10-24T00:00:00Z
# REDSHIFT: 0.047
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-10-23T05:24:00Z
# NON_DETECT_LIMIT: 19.13
# MW_EBV: 0.102
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11JYSEhjs/59511/1221405171064928400_59511.266_120673487_360_target.jpeg
# POSTAGE_STAMP_REF: 11JYSEhjs/59511/1221405171064928400_59511.266_120673487_360_ref.jpeg
# POSTAGE_STAMP_DIFF: 11JYSEhjs/59511/1221405171064928400_59511.266_120673487_360_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11JYSEhjs/59511/1221405171064928400_59511.266_120673487_360_target.fits
# POSTAGE_STAMP_REF_FITS: 11JYSEhjs/59511/1221405171064928400_59511.266_120673487_360_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11JYSEhjs/59511/1221405171064928400_59511.266_120673487_360_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2021aceh
# REAL_BOGUS_SCORE: 0.778024
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 30, 84]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59412.606  g  26.623  55.588  23.937  2.088  None  Pan-STARRS1  GPC1  None
OBS:      59412.609  z  -8.884  80.416  nan  -9.828  None  Pan-STARRS1  GPC1  None
OBS:      59413.445  g  -145.776  188.690  nan  -1.405  None  Pan-STARRS1  GPC1  None
OBS:      59413.448  i  -153.425  143.146  nan  -1.013  None  Pan-STARRS1  GPC1  None
OBS:      59415.507  r  37.543  91.799  23.564  2.445  None  Pan-STARRS1  GPC1  None
OBS:      59415.510  z  138.819  200.673  22.144  1.446  None  Pan-STARRS1  GPC1  None
OBS:      59430.480  i  -38.817  87.539  nan  -2.449  None  Pan-STARRS1  GPC1  None
OBS:      59430.483  g  28.620  85.507  23.858  2.988  None  Pan-STARRS1  GPC1  None
OBS:      59433.383  g  72.675  122.152  22.846  1.681  None  Pan-STARRS1  GPC1  None
OBS:      59433.385  r  -60.110  68.927  nan  -1.245  None  Pan-STARRS1  GPC1  None
OBS:      59434.517  g  4.072  46.592  25.976  11.443  None  Pan-STARRS1  GPC1  None
OBS:      59434.520  i  -52.051  64.220  nan  -1.340  None  Pan-STARRS1  GPC1  None
OBS:      59437.402  g  93.620  180.787  22.572  1.931  None  Pan-STARRS1  GPC1  None
OBS:      59437.405  r  45.982  141.902  23.343  3.086  None  Pan-STARRS1  GPC1  None
OBS:      59439.402  i  -13.619  190.714  nan  -15.204  None  Pan-STARRS1  GPC1  None
OBS:      59439.405  g  7.537  192.287  25.307  25.512  None  Pan-STARRS1  GPC1  None
OBS:      59441.434  g  -13.397  70.519  nan  -5.715  None  Pan-STARRS1  GPC1  None
OBS:      59441.437  z  94.607  184.451  22.560  1.950  None  Pan-STARRS1  GPC1  None
OBS:      59443.434  g  47.886  228.799  23.299  4.778  None  Pan-STARRS1  GPC1  None
OBS:      59445.392  r  -64.071  114.634  nan  -1.943  None  Pan-STARRS1  GPC1  None
OBS:      59445.395  z  54.812  99.189  23.153  1.810  None  Pan-STARRS1  GPC1  None
OBS:      59452.577  i  102.724  395.201  22.471  3.847  None  Pan-STARRS1  GPC1  None
OBS:      59452.579  r  3.574  390.996  26.117  109.401  None  Pan-STARRS1  GPC1  None
OBS:      59454.564  z  -110.047  290.688  nan  -2.868  None  Pan-STARRS1  GPC1  None
OBS:      59454.567  r  -49.055  124.265  nan  -2.750  None  Pan-STARRS1  GPC1  None
OBS:      59467.340  r  112.480  74.182  22.372  0.660  None  Pan-STARRS1  GPC1  None
OBS:      59467.343  g  -122.734  94.775  nan  -0.838  None  Pan-STARRS1  GPC1  None
OBS:      59469.283  i  -99.145  138.059  nan  -1.512  None  Pan-STARRS1  GPC1  None
OBS:      59469.286  g  33.008  134.246  23.703  4.067  None  Pan-STARRS1  GPC1  None
OBS:      59472.358  g  -62.892  235.679  nan  -4.069  None  Pan-STARRS1  GPC1  None
OBS:      59472.361  z  237.077  405.867  21.563  1.712  None  Pan-STARRS1  GPC1  None
OBS:      59479.473  i  -159.654  164.238  nan  -1.117  None  Pan-STARRS1  GPC1  None
OBS:      59479.476  r  150.230  179.312  22.058  1.194  None  Pan-STARRS1  GPC1  None
OBS:      59480.472  z  -81.334  186.651  nan  -2.492  None  Pan-STARRS1  GPC1  None
OBS:      59480.475  r  55.118  147.600  23.147  2.678  None  Pan-STARRS1  GPC1  None
OBS:      59485.280  i  62.628  162.196  23.008  2.590  None  Pan-STARRS1  GPC1  None
OBS:      59485.282  g  39.230  152.479  23.516  3.887  None  Pan-STARRS1  GPC1  None
OBS:      59490.280  g  -79.290  113.481  nan  -1.554  None  Pan-STARRS1  GPC1  None
OBS:      59498.429  i  -7.776  117.036  nan  -16.340  None  Pan-STARRS1  GPC1  None
OBS:      59498.432  g  40.487  107.388  23.482  2.652  None  Pan-STARRS1  GPC1  None
OBS:      59507.295  r  -106.373  105.274  nan  -1.075  None  Pan-STARRS1  GPC1  None
OBS:      59507.298  i  -127.567  116.101  nan  -0.988  None  Pan-STARRS1  GPC1  None
OBS:      59508.304  r  -62.542  361.180  nan  -6.270  None  Pan-STARRS1  GPC1  None
OBS:      59508.307  z  176.034  478.021  21.886  2.716  None  Pan-STARRS1  GPC1  None
OBS:      59509.260  i  415.121  355.032  20.955  0.855  None  Pan-STARRS1  GPC1  None
OBS:      59509.262  r  474.949  247.863  20.808  0.522  None  Pan-STARRS1  GPC1  None
OBS:      59511.264  r  1130.246  120.712  19.867  0.107  None  Pan-STARRS1  GPC1  None
OBS:      59511.266  z  1044.046  192.508  19.953  0.184  None  Pan-STARRS1  GPC1  None
OBS:      59512.287  i  1188.831  199.094  19.812  0.182  None  Pan-STARRS1  GPC1  None
OBS:      59512.290  r  1338.074  123.448  19.684  0.100  None  Pan-STARRS1  GPC1  None
OBS:      59515.216  g  1572.968  105.309  19.508  0.073  None  Pan-STARRS1  GPC1  None
OBS:      59515.219  i  1391.490  105.220  19.641  0.082  None  Pan-STARRS1  GPC1  None
OBS:      59517.210  z  953.672  294.412  20.052  0.309  None  Pan-STARRS1  GPC1  None
OBS:      59517.213  g  1575.433  186.756  19.506  0.129  None  Pan-STARRS1  GPC1  None
OBS:      59525.264  g  1084.326  46.592  19.912  0.047  None  Pan-STARRS1  GPC1  None
OBS:      59525.267  r  1363.076  66.031  19.664  0.053  None  Pan-STARRS1  GPC1  None
OBS:      59527.207  i  1420.104  155.930  19.619  0.119  None  Pan-STARRS1  GPC1  None
OBS:      59527.210  g  1126.160  257.390  19.871  0.248  None  Pan-STARRS1  GPC1  None
OBS:      59537.219  r  1526.441  362.203  19.541  0.258  None  Pan-STARRS1  GPC1  None
