# CREATED_DATE: 2021-10-26T22:10:42.159Z
# MODIFIED_DATE: 2022-10-16T08:20:03.793Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: SDSSJ024541.95-003336.9; (02:45:41.96, -00:33:37.12)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021acfc
# RA: 41.423206582075025
# DEC: -0.560070087005189
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-10-26T00:00:00Z
# REDSHIFT: 0.067
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-10-18T08:38:24Z
# NON_DETECT_LIMIT: 19.48
# MW_EBV: 0.029
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11JYSEhkh/59513/1024541560003336300_59513.478_120747237_67_target.jpeg
# POSTAGE_STAMP_REF: 11JYSEhkh/59513/1024541560003336300_59513.478_120747237_67_ref.jpeg
# POSTAGE_STAMP_DIFF: 11JYSEhkh/59513/1024541560003336300_59513.478_120747237_67_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11JYSEhkh/59513/1024541560003336300_59513.478_120747237_67_target.fits
# POSTAGE_STAMP_REF_FITS: 11JYSEhkh/59513/1024541560003336300_59513.478_120747237_67_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11JYSEhkh/59513/1024541560003336300_59513.478_120747237_67_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2021acfc
# REAL_BOGUS_SCORE: 0.991072
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 30, 46, 84]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59512.319  r-ZTF  2074.658  198.811  19.208  0.104  None  P48  ZTF-Cam  None
OBS:      59512.380  g-ZTF  2301.924  231.663  19.095  0.109  None  P48  ZTF-Cam  None
OBS:      59518.318  r-ZTF  2284.698  197.374  19.103  0.094  None  P48  ZTF-Cam  None
OBS:      59518.338  g-ZTF  2201.882  172.469  19.143  0.085  None  P48  ZTF-Cam  None
OBS:      59521.280  r-ZTF  2120.425  141.956  19.184  0.073  None  P48  ZTF-Cam  None
OBS:      59521.315  g-ZTF  2102.967  157.438  19.193  0.081  None  P48  ZTF-Cam  None
OBS:      59523.256  r-ZTF  2167.826  174.742  19.160  0.088  None  P48  ZTF-Cam  None
OBS:      59523.338  g-ZTF  2008.252  170.416  19.243  0.092  None  P48  ZTF-Cam  None
OBS:      59525.277  r-ZTF  2091.755  164.621  19.199  0.085  None  P48  ZTF-Cam  None
OBS:      59525.323  g-ZTF  1899.376  151.927  19.303  0.087  None  P48  ZTF-Cam  None
OBS:      59527.299  g-ZTF  1749.957  164.764  19.392  0.102  None  P48  ZTF-Cam  None
OBS:      59446.596  r  -61.375  66.938  nan  -1.184  None  Pan-STARRS1  GPC1  None
OBS:      59446.599  z  18.702  108.622  24.320  5.808  None  Pan-STARRS1  GPC1  None
OBS:      59448.549  i  -117.121  110.831  nan  -1.027  None  Pan-STARRS1  GPC1  None
OBS:      59448.552  r  -18.774  79.926  nan  -4.622  None  Pan-STARRS1  GPC1  None
OBS:      59457.578  g  -65.267  77.755  nan  -1.293  None  Pan-STARRS1  GPC1  None
OBS:      59457.581  i  56.715  250.622  23.116  4.419  None  Pan-STARRS1  GPC1  None
OBS:      59462.584  r  -42.241  93.797  nan  -2.411  None  Pan-STARRS1  GPC1  None
OBS:      59462.587  g  154.232  141.630  22.030  0.918  None  Pan-STARRS1  GPC1  None
OBS:      59466.585  g  41.431  42.415  23.457  1.024  None  Pan-STARRS1  GPC1  None
OBS:      59466.587  i  14.603  47.801  24.589  3.273  None  Pan-STARRS1  GPC1  None
OBS:      59468.503  r  49.093  67.267  23.273  1.370  None  Pan-STARRS1  GPC1  None
