# CREATED_DATE: 2021-10-28T00:03:19.019Z
# MODIFIED_DATE: 2022-10-12T21:13:37.033Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: None
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237678619552121175; (21:59:27.98, +02:38:38.33)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021achy
# RA: 329.8673278198835
# DEC: 2.643980304758478
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-10-28T00:00:00Z
# REDSHIFT: 0.08
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: None
# NON_DETECT_LIMIT: None
# MW_EBV: 0.05
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11JYSEhnm/59515/1215928171023838200_59515.217_120809167_358_target.jpeg
# POSTAGE_STAMP_REF: 11JYSEhnm/59515/1215928171023838200_59515.217_120809167_358_ref.jpeg
# POSTAGE_STAMP_DIFF: 11JYSEhnm/59515/1215928171023838200_59515.217_120809167_358_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11JYSEhnm/59515/1215928171023838200_59515.217_120809167_358_target.fits
# POSTAGE_STAMP_REF_FITS: 11JYSEhnm/59515/1215928171023838200_59515.217_120809167_358_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11JYSEhnm/59515/1215928171023838200_59515.217_120809167_358_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.04
# ALT_STATUS: CONFIRMED
# SLUG: 2021achy
# REAL_BOGUS_SCORE: 0.99988
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 30, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59512.288  r  474.242  117.934  20.810  0.270  None  Pan-STARRS1  GPC1  None
OBS:      59514.210  w  895.365  49.480  20.120  0.060  None  Pan-STARRS1  GPC1  None
OBS:      59382.570  i  423.607  59.681  20.933  0.141  None  Pan-STARRS1  GPC1  None
OBS:      59412.604  g  -29.316  57.930  nan  -2.145  None  Pan-STARRS1  GPC1  None
OBS:      59412.607  z  -47.626  102.745  nan  -2.342  None  Pan-STARRS1  GPC1  None
OBS:      59413.444  g  66.554  189.856  22.942  2.853  None  Pan-STARRS1  GPC1  None
OBS:      59413.447  i  44.045  166.525  23.390  3.781  None  Pan-STARRS1  GPC1  None
OBS:      59415.506  r  153.100  61.754  22.038  0.403  None  Pan-STARRS1  GPC1  None
OBS:      59415.509  z  211.467  168.084  21.687  0.795  None  Pan-STARRS1  GPC1  None
OBS:      59427.384  i  -157.757  305.817  nan  -2.105  None  Pan-STARRS1  GPC1  None
OBS:      59427.386  g  -47.982  182.393  nan  -4.127  None  Pan-STARRS1  GPC1  None
OBS:      59430.479  i  2.649  60.336  26.442  22.780  None  Pan-STARRS1  GPC1  None
OBS:      59430.482  g  -80.346  71.893  nan  -0.972  None  Pan-STARRS1  GPC1  None
OBS:      59433.381  g  -24.352  100.200  nan  -4.467  None  Pan-STARRS1  GPC1  None
OBS:      59433.384  r  0.664  75.327  27.944  113.379  None  Pan-STARRS1  GPC1  None
OBS:      59434.516  g  -80.639  52.320  nan  -0.704  None  Pan-STARRS1  GPC1  None
OBS:      59439.400  i  -797.078  260.630  nan  -0.355  None  Pan-STARRS1  GPC1  None
OBS:      59439.403  g  -192.875  255.084  nan  -1.436  None  Pan-STARRS1  GPC1  None
OBS:      59441.433  g  31.555  95.659  23.752  3.031  None  Pan-STARRS1  GPC1  None
OBS:      59441.436  z  39.857  156.622  23.499  3.930  None  Pan-STARRS1  GPC1  None
OBS:      59443.430  i  -43.059  200.832  nan  -5.064  None  Pan-STARRS1  GPC1  None
OBS:      59443.433  g  -127.581  239.473  nan  -2.038  None  Pan-STARRS1  GPC1  None
OBS:      59445.391  r  45.000  110.063  23.367  2.446  None  Pan-STARRS1  GPC1  None
OBS:      59457.413  i  46.091  56.295  23.341  1.221  None  Pan-STARRS1  GPC1  None
OBS:      59457.416  g  -34.282  53.396  nan  -1.691  None  Pan-STARRS1  GPC1  None
OBS:      59464.385  i  8.173  79.964  25.219  9.784  None  Pan-STARRS1  GPC1  None
OBS:      59464.388  g  -20.557  65.998  nan  -3.486  None  Pan-STARRS1  GPC1  None
OBS:      59467.339  r  -15.371  67.201  nan  -4.747  None  Pan-STARRS1  GPC1  None
OBS:      59467.342  g  31.876  68.847  23.741  2.160  None  Pan-STARRS1  GPC1  None
OBS:      59472.357  g  70.757  274.902  22.876  3.885  None  Pan-STARRS1  GPC1  None
OBS:      59472.360  z  -86.133  476.196  nan  -6.003  None  Pan-STARRS1  GPC1  None
OBS:      59479.472  i  -158.025  193.219  nan  -1.328  None  Pan-STARRS1  GPC1  None
OBS:      59479.474  r  110.381  252.333  22.393  2.286  None  Pan-STARRS1  GPC1  None
OBS:      59481.442  i  799.294  388.094  20.243  0.486  None  Pan-STARRS1  GPC1  None
OBS:      59481.445  r  147.470  330.030  22.078  2.238  None  Pan-STARRS1  GPC1  None
