# CREATED_DATE: 2021-01-09T10:01:16.351Z
# MODIFIED_DATE: 2022-04-25T06:38:47.887Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: None
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237658424623956210; (10:06:26.18, +06:54:47.18)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021aff
# RA: 151.6089306196412
# DEC: 6.91220171351477
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-01-08T00:00:00Z
# REDSHIFT: 0.051
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: None
# NON_DETECT_LIMIT: None
# MW_EBV: 0.018
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11AYSEajq/59222/1100626111065444100_59222.516_111994115_60_target.jpeg
# POSTAGE_STAMP_REF: 11AYSEajq/59222/1100626111065444100_59222.516_111994115_60_ref.jpeg
# POSTAGE_STAMP_DIFF: 11AYSEajq/59222/1100626111065444100_59222.516_111994115_60_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11AYSEajq/59222/1100626111065444100_59222.516_111994115_60_target.fits
# POSTAGE_STAMP_REF_FITS: 11AYSEajq/59222/1100626111065444100_59222.516_111994115_60_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11AYSEajq/59222/1100626111065444100_59222.516_111994115_60_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2021aff
# REAL_BOGUS_SCORE: 0.917454
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 30, 34]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59224.442  g-ZTF  767.003  140.584  20.288  0.199  None  P48  ZTF-Cam  None
OBS:      59226.420  r-ZTF  863.058  157.299  20.160  0.198  None  P48  ZTF-Cam  None
OBS:      59228.422  g-ZTF  1044.402  186.579  19.953  0.194  None  P48  ZTF-Cam  None
OBS:      59232.400  r-ZTF  1103.274  136.875  19.893  0.135  None  P48  ZTF-Cam  None
OBS:      59248.387  r-ZTF  1169.150  190.765  19.830  0.177  None  P48  ZTF-Cam  None
OBS:      59252.299  r-ZTF  1105.666  183.259  19.891  0.180  None  P48  ZTF-Cam  None
OBS:      59252.382  g-ZTF  701.646  130.490  20.385  0.202  None  P48  ZTF-Cam  None
OBS:      59254.381  r-ZTF  1179.380  175.460  19.821  0.162  None  P48  ZTF-Cam  None
OBS:      59256.380  r-ZTF  1156.987  136.797  19.842  0.128  None  P48  ZTF-Cam  None
OBS:      59262.250  r-ZTF  1359.680  270.225  19.666  0.216  None  P48  ZTF-Cam  None
OBS:      59264.294  r-ZTF  1247.133  202.310  19.760  0.176  None  P48  ZTF-Cam  None
OBS:      59268.339  r-ZTF  1201.784  199.277  19.800  0.180  None  P48  ZTF-Cam  None
OBS:      59281.247  r-ZTF  1199.483  159.318  19.803  0.144  None  P48  ZTF-Cam  None
OBS:      59291.236  r-ZTF  1062.790  173.033  19.934  0.177  None  P48  ZTF-Cam  None
OBS:      59293.213  r-ZTF  1007.220  173.329  19.992  0.187  None  P48  ZTF-Cam  None
OBS:      59307.229  r-ZTF  1302.890  189.824  19.713  0.158  None  P48  ZTF-Cam  None
OBS:      59313.207  r-ZTF  1330.049  224.455  19.690  0.183  None  P48  ZTF-Cam  None
OBS:      59324.190  r-ZTF  1284.414  246.017  19.728  0.208  None  P48  ZTF-Cam  None
OBS:      59335.192  r-ZTF  1330.889  219.894  19.690  0.179  None  P48  ZTF-Cam  None
OBS:      59338.214  r-ZTF  1298.241  188.755  19.717  0.158  None  P48  ZTF-Cam  None
OBS:      59340.250  r-ZTF  1467.786  234.513  19.583  0.173  None  P48  ZTF-Cam  None
