# CREATED_DATE: 2021-02-05T20:25:39.473Z
# MODIFIED_DATE: 2022-06-03T05:52:00.666Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ia
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: UGC05487; (10:10:27.86, +02:13:41.59)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021bwv
# RA: 152.6143091382226
# DEC: 2.2281627863211817
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-02-07T00:00:00Z
# REDSHIFT: 0.022
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-02-05T08:06:30Z
# NON_DETECT_LIMIT: 20.144
# MW_EBV: 0.041
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11BYSEavp/59252/1101027431021341300_59252.428_112661027_105_target.jpeg
# POSTAGE_STAMP_REF: 11BYSEavp/59252/1101027431021341300_59252.428_112661027_105_ref.jpeg
# POSTAGE_STAMP_DIFF: 11BYSEavp/59252/1101027431021341300_59252.428_112661027_105_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11BYSEavp/59252/1101027431021341300_59252.428_112661027_105_target.fits
# POSTAGE_STAMP_REF_FITS: 11BYSEavp/59252/1101027431021341300_59252.428_112661027_105_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11BYSEavp/59252/1101027431021341300_59252.428_112661027_105_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2021bwv
# REAL_BOGUS_SCORE: 0.664785
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 30]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59250.371  g-ZTF  1297.418  185.882  19.717  0.156  None  P48  ZTF-Cam  None
OBS:      59250.371  g-ZTF  1297.443  185.885  19.717  0.156  None  P48  ZTF-Cam  None
OBS:      59252.382  g-ZTF  1665.924  175.775  19.446  0.115  None  P48  ZTF-Cam  None
OBS:      59254.298  g-ZTF  1860.984  154.195  19.326  0.090  None  P48  ZTF-Cam  None
OBS:      59256.336  g-ZTF  1739.970  173.128  19.399  0.108  None  P48  ZTF-Cam  None
OBS:      59258.371  g-ZTF  1467.881  202.616  19.583  0.150  None  P48  ZTF-Cam  None
OBS:      59262.329  g-ZTF  1746.328  178.728  19.395  0.111  None  P48  ZTF-Cam  None
OBS:      59264.294  r-ZTF  1988.177  220.330  19.254  0.120  None  P48  ZTF-Cam  None
OBS:      59266.279  g-ZTF  1507.525  279.785  19.554  0.202  None  P48  ZTF-Cam  None
OBS:      59268.226  g-ZTF  1172.659  196.025  19.827  0.181  None  P48  ZTF-Cam  None
OBS:      59268.339  r-ZTF  1987.671  206.263  19.254  0.113  None  P48  ZTF-Cam  None
OBS:      59270.323  r-ZTF  1849.206  342.835  19.333  0.201  None  P48  ZTF-Cam  None
OBS:      59278.259  g-ZTF  1173.838  160.092  19.826  0.148  None  P48  ZTF-Cam  None
OBS:      59278.282  r-ZTF  1954.753  251.242  19.272  0.140  None  P48  ZTF-Cam  None
OBS:      59281.247  r-ZTF  1756.055  205.974  19.389  0.127  None  P48  ZTF-Cam  None
OBS:      59281.316  g-ZTF  1081.463  155.690  19.915  0.156  None  P48  ZTF-Cam  None
OBS:      59293.213  r-ZTF  1710.235  242.458  19.417  0.154  None  P48  ZTF-Cam  None
OBS:      59293.278  g-ZTF  1007.567  134.352  19.992  0.145  None  P48  ZTF-Cam  None
OBS:      59296.248  r-ZTF  1915.830  243.701  19.294  0.138  None  P48  ZTF-Cam  None
OBS:      59303.318  r-ZTF  1855.509  317.146  19.329  0.186  None  P48  ZTF-Cam  None
OBS:      59307.156  g-ZTF  891.030  135.026  20.125  0.165  None  P48  ZTF-Cam  None
OBS:      59309.248  r-ZTF  1777.973  233.312  19.375  0.142  None  P48  ZTF-Cam  None
OBS:      59317.173  g-ZTF  874.237  133.981  20.146  0.166  None  P48  ZTF-Cam  None
OBS:      59324.190  r-ZTF  1964.371  238.618  19.267  0.132  None  P48  ZTF-Cam  None
OBS:      59342.271  r-ZTF  1549.340  232.399  19.525  0.163  None  P48  ZTF-Cam  None
OBS:      59167.634  g  -57.824  166.607  nan  -3.128  None  Pan-STARRS1  GPC1  None
OBS:      59172.631  i  12.804  178.914  24.732  13.974  None  Pan-STARRS1  GPC1  None
OBS:      59172.633  g  -25.063  135.688  nan  -5.878  None  Pan-STARRS1  GPC1  None
OBS:      59178.641  r  26.463  83.933  23.943  3.172  None  Pan-STARRS1  GPC1  None
OBS:      59178.643  i  -137.602  100.142  nan  -0.790  None  Pan-STARRS1  GPC1  None
OBS:      59181.637  z  -330.246  551.239  nan  -1.812  None  Pan-STARRS1  GPC1  None
OBS:      59181.640  r  -25.548  325.581  nan  -13.836  None  Pan-STARRS1  GPC1  None
OBS:      59183.647  r  -136.863  155.569  nan  -1.234  None  Pan-STARRS1  GPC1  None
OBS:      59183.650  i  39.269  158.360  23.515  4.033  None  Pan-STARRS1  GPC1  None
OBS:      59200.582  r  -152.588  211.895  nan  -1.508  None  Pan-STARRS1  GPC1  None
OBS:      59200.585  g  -134.952  185.497  nan  -1.492  None  Pan-STARRS1  GPC1  None
OBS:      59205.578  z  -56.272  160.446  nan  -3.096  None  Pan-STARRS1  GPC1  None
OBS:      59205.580  g  -210.605  143.946  nan  -0.742  None  Pan-STARRS1  GPC1  None
OBS:      59207.586  i  -667.647  79.661  nan  -0.130  None  Pan-STARRS1  GPC1  None
OBS:      59207.589  r  42.849  53.299  23.420  1.244  None  Pan-STARRS1  GPC1  None
OBS:      59212.631  z  -201.816  115.549  nan  -0.622  None  Pan-STARRS1  GPC1  None
OBS:      59212.633  r  161.612  151.103  21.979  0.935  None  Pan-STARRS1  GPC1  None
OBS:      59221.544  i  104.944  167.025  22.448  1.592  None  Pan-STARRS1  GPC1  None
OBS:      59222.514  i  -49.235  79.911  nan  -1.762  None  Pan-STARRS1  GPC1  None
OBS:      59222.516  g  -62.397  60.821  nan  -1.058  None  Pan-STARRS1  GPC1  None
OBS:      59226.552  r  -61.217  48.164  nan  -0.854  None  Pan-STARRS1  GPC1  None
OBS:      59226.555  g  -48.163  57.677  nan  -1.300  None  Pan-STARRS1  GPC1  None
OBS:      59236.643  g  -381.802  201.683  nan  -0.574  None  Pan-STARRS1  GPC1  None
OBS:      59241.398  r  -1529.891  703.459  nan  -0.499  None  Pan-STARRS1  GPC1  None
OBS:      59241.400  i  -630.130  403.994  nan  -0.696  None  Pan-STARRS1  GPC1  None
OBS:      59252.426  g  1589.592  130.136  19.497  0.082  None  Pan-STARRS1  GPC1  None
OBS:      59256.466  g  1770.272  111.242  19.380  0.068  None  Pan-STARRS1  GPC1  None
OBS:      59256.469  i  1473.262  95.003  19.579  0.070  None  Pan-STARRS1  GPC1  None
OBS:      59528.628  i  -0.746  76.280  nan  -111.081  None  Pan-STARRS1  GPC1  None
OBS:      59528.631  g  -159.641  67.928  nan  -0.462  None  Pan-STARRS1  GPC1  None
OBS:      59531.635  g  72.001  63.742  22.857  0.885  None  Pan-STARRS1  GPC1  None
OBS:      59531.638  z  128.276  136.453  22.230  1.064  None  Pan-STARRS1  GPC1  None
OBS:      59536.629  r  70.568  168.985  22.878  2.395  None  Pan-STARRS1  GPC1  None
OBS:      59536.632  i  117.298  204.702  22.327  1.745  None  Pan-STARRS1  GPC1  None
OBS:      59539.630  r  382.586  316.854  21.043  0.828  None  Pan-STARRS1  GPC1  None
OBS:      59539.633  z  84.106  157.781  22.688  1.876  None  Pan-STARRS1  GPC1  None
