# CREATED_DATE: 2021-02-16T00:09:58.198Z
# MODIFIED_DATE: 2022-07-08T16:50:32.237Z
# STATUS: NeedsTemplate
# OBS_GROUP: Unknown
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ia
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: PSO J092427.144-063448.120; (09:24:27.14, -06:34:48.09)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021dbg
# RA: 141.111655788524
# DEC: -6.5814213549888
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-02-15T10:14:52.800Z
# REDSHIFT: 0.02
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-12-10T01:03:22Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.027
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11BYSEbha/59262/1092426790063453100_59262.407_112988848_24_target.jpeg
# POSTAGE_STAMP_REF: 11BYSEbha/59262/1092426790063453100_59262.407_112988848_24_ref.jpeg
# POSTAGE_STAMP_DIFF: 11BYSEbha/59262/1092426790063453100_59262.407_112988848_24_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11BYSEbha/59262/1092426790063453100_59262.407_112988848_24_target.fits
# POSTAGE_STAMP_REF_FITS: 11BYSEbha/59262/1092426790063453100_59262.407_112988848_24_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11BYSEbha/59262/1092426790063453100_59262.407_112988848_24_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.003
# ALT_STATUS: None
# SLUG: 2021dbg
# REAL_BOGUS_SCORE: 0.999979
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [16, 21, 29, 33, 46, 59, 77, 88]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59260.427  cyan  5576.992  308.196  18.134  0.060  None  ATLAS  HKO  None
OBS:      59205.571  g  -12.976  48.857  nan  -4.088  None  Pan-STARRS1  GPC1  None
OBS:      59205.574  z  -75.689  93.910  nan  -1.347  None  Pan-STARRS1  GPC1  None
OBS:      59211.533  i  0.229  403.940  29.101  1764.380  None  Pan-STARRS1  GPC1  None
OBS:      59213.592  z  7.371  235.893  25.331  32.004  None  Pan-STARRS1  GPC1  None
OBS:      59219.499  i  145.775  91.902  22.091  0.630  None  Pan-STARRS1  GPC1  None
OBS:      59219.501  g  27.006  142.660  23.921  5.283  None  Pan-STARRS1  GPC1  None
OBS:      59220.559  z  96.979  127.278  22.533  1.312  None  Pan-STARRS1  GPC1  None
OBS:      59220.561  g  -41.008  61.900  nan  -1.639  None  Pan-STARRS1  GPC1  None
OBS:      59222.508  g  35.837  81.643  23.614  2.278  None  Pan-STARRS1  GPC1  None
OBS:      59222.511  i  103.216  90.975  22.466  0.881  None  Pan-STARRS1  GPC1  None
OBS:      59262.405  i  11647.821  140.411  17.334  0.012  None  Pan-STARRS1  GPC1  None
OBS:      59262.408  g  19592.264  194.116  16.770  0.010  None  Pan-STARRS1  GPC1  None
OBS:      59267.449  i  28588.567  633.025  16.360  0.022  None  Pan-STARRS1  GPC1  None
OBS:      59267.452  r  32343.621  445.556  16.226  0.014  None  Pan-STARRS1  GPC1  None
OBS:      59278.489  g  25065.709  844.564  16.502  0.037  None  Pan-STARRS1  GPC1  None
OBS:      59278.492  i  27966.621  970.979  16.383  0.038  None  Pan-STARRS1  GPC1  None
OBS:      59288.285  g  16148.047  339.487  16.980  0.023  None  Pan-STARRS1  GPC1  None
OBS:      59288.309  r  21086.281  303.250  16.690  0.016  None  Pan-STARRS1  GPC1  None
OBS:      59293.296  g  13522.598  329.400  17.172  0.024  None  Pan-STARRS1  GPC1  None
OBS:      59293.303  z  17749.383  644.575  16.877  0.036  None  Pan-STARRS1  GPC1  None
OBS:      59295.293  g  13384.434  544.094  17.183  0.044  None  Pan-STARRS1  GPC1  None
OBS:      59301.319  z  11330.263  2674.070  17.364  0.256  None  Pan-STARRS1  GPC1  None
OBS:      59301.322  r  18228.881  752.079  16.848  0.045  None  Pan-STARRS1  GPC1  None
OBS:      59304.296  r  16608.102  364.308  16.949  0.024  None  Pan-STARRS1  GPC1  None
OBS:      59312.248  i  15622.841  289.028  17.016  0.020  None  Pan-STARRS1  GPC1  None
OBS:      59318.309  g  7900.677  116.843  17.756  0.015  None  Pan-STARRS1  GPC1  None
OBS:      59318.312  i  14274.214  130.424  17.114  0.009  None  Pan-STARRS1  GPC1  None
OBS:      59322.247  i  14253.450  135.292  17.115  0.010  None  Pan-STARRS1  GPC1  None
OBS:      59322.250  g  7826.363  121.706  17.766  0.017  None  Pan-STARRS1  GPC1  None
OBS:      59262.422  UVW1  16443.717  1015.726  16.960  0.070  None  Swift  UVOT  None
OBS:      59262.424  U  21086.282  1228.005  16.690  0.060  None  Swift  UVOT  None
OBS:      59272.524  UVW1  6854.882  598.813  17.910  0.090  None  Swift  UVOT  None
OBS:      59272.526  U  18535.316  1407.423  16.830  0.080  None  Swift  UVOT  None
OBS:      59272.527  B  24888.573  1889.838  16.510  0.080  None  Swift  UVOT  None
OBS:      59272.527  UVW2  4055.085  354.235  18.480  0.090  None  Swift  UVOT  None
OBS:      59272.530  V  27797.133  2827.158  16.390  0.110  None  Swift  UVOT  None
OBS:      59272.531  UVM2  4285.485  337.157  18.420  0.090  None  Swift  UVOT  None
OBS:      59747.396  UVW1  428.549  427.759  20.920  1.080  None  Swift  UVOT  Bad
OBS:      59747.399  U  779.830  778.394  20.270  1.080  None  Swift  UVOT  Bad
OBS:      59747.400  B  2488.857  551.930  19.010  0.240  None  Swift  UVOT  None
OBS:      59747.401  UVW2  190.546  190.195  21.800  1.080  None  Swift  UVOT  Bad
OBS:      59747.406  V  5546.257  1226.756  18.140  0.240  None  Swift  UVOT  None
OBS:      59747.408  UVM2  313.329  312.752  21.260  1.080  None  Swift  UVOT  Bad
OBS:      59264.417  up  36654.194  1271.312  16.090  0.038  None  Siding_Spring_1m  Sinistro  None
