# CREATED_DATE: 2021-03-18T19:50:21.192Z
# MODIFIED_DATE: 2022-07-26T04:33:21.955Z
# STATUS: Following
# OBS_GROUP: Unknown
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237667915954454702; (11:53:18.32, +20:06:26.68)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021gdz
# RA: 178.32925669127337
# DEC: 20.10859006861817
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-03-22T00:00:00Z
# REDSHIFT: 0.022
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-01-24T03:59:02Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.028
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11CYSEbnx/59295/1115319021200630900_59295.536_113480845_13_target.jpeg
# POSTAGE_STAMP_REF: 11CYSEbnx/59295/1115319021200630900_59295.536_113480845_13_ref.jpeg
# POSTAGE_STAMP_DIFF: 11CYSEbnx/59295/1115319021200630900_59295.536_113480845_13_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11CYSEbnx/59295/1115319021200630900_59295.536_113480845_13_target.fits
# POSTAGE_STAMP_REF_FITS: 11CYSEbnx/59295/1115319021200630900_59295.536_113480845_13_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11CYSEbnx/59295/1115319021200630900_59295.536_113480845_13_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.366
# ALT_STATUS: CONFIRMED
# SLUG: 2021gdz
# REAL_BOGUS_SCORE: 0.99999
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 30, 32, 77]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59291.397  cyan  4421.809  342.101  18.386  0.084  None  ATLAS  HKO  None
OBS:      59291.483  w  4698.941  216.394  18.320  0.050  None  Pan-STARRS1  GPC1  None
OBS:      59295.534  i  6854.882  126.272  17.910  0.020  None  Pan-STARRS1  GPC1  None
OBS:      59310.424  w  10568.175  97.336  17.440  0.010  None  Pan-STARRS1  GPC1  None
OBS:      59195.573  i  16.075  190.839  24.485  11.872  None  Pan-STARRS1  GPC1  None
OBS:      59195.576  g  109.975  197.991  22.397  1.800  None  Pan-STARRS1  GPC1  None
OBS:      59200.632  g  -288.289  228.960  nan  -0.862  None  Pan-STARRS1  GPC1  None
OBS:      59200.635  i  -20.171  247.008  nan  -13.295  None  Pan-STARRS1  GPC1  None
OBS:      59207.641  z  -85.737  87.228  nan  -1.105  None  Pan-STARRS1  GPC1  None
OBS:      59212.621  z  147.951  111.065  22.075  0.751  None  Pan-STARRS1  GPC1  None
OBS:      59212.624  r  68.796  91.096  22.906  1.324  None  Pan-STARRS1  GPC1  None
OBS:      59222.577  g  -52.107  96.083  nan  -2.002  None  Pan-STARRS1  GPC1  None
OBS:      59222.579  r  45.700  74.697  23.350  1.634  None  Pan-STARRS1  GPC1  None
OBS:      59226.563  i  27.740  79.226  23.892  2.856  None  Pan-STARRS1  GPC1  None
OBS:      59226.566  g  -44.028  111.943  nan  -2.761  None  Pan-STARRS1  GPC1  None
OBS:      59230.546  r  28.057  76.312  23.880  2.720  None  Pan-STARRS1  GPC1  None
OBS:      59230.549  g  17.830  79.587  24.372  4.464  None  Pan-STARRS1  GPC1  None
OBS:      59237.642  i  -2.740  520.790  nan  -206.359  None  Pan-STARRS1  GPC1  None
OBS:      59237.645  r  231.731  771.417  21.587  3.329  None  Pan-STARRS1  GPC1  None
OBS:      59243.507  r  -48.680  322.745  nan  -7.198  None  Pan-STARRS1  GPC1  None
OBS:      59243.510  i  68.741  352.804  22.907  5.132  None  Pan-STARRS1  GPC1  None
OBS:      59254.594  r  37.689  475.746  23.559  12.623  None  Pan-STARRS1  GPC1  None
OBS:      59254.597  g  248.697  414.424  21.511  1.666  None  Pan-STARRS1  GPC1  None
OBS:      59256.473  i  -39.111  88.695  nan  -2.462  None  Pan-STARRS1  GPC1  None
OBS:      59256.475  g  49.772  97.349  23.258  1.956  None  Pan-STARRS1  GPC1  None
OBS:      59261.457  g  82.282  97.840  22.712  1.189  None  Pan-STARRS1  GPC1  None
OBS:      59261.459  i  78.486  87.991  22.763  1.121  None  Pan-STARRS1  GPC1  None
OBS:      59268.457  r  -44.268  224.957  nan  -5.517  None  Pan-STARRS1  GPC1  None
OBS:      59268.459  z  -20.106  221.780  nan  -11.976  None  Pan-STARRS1  GPC1  None
OBS:      59288.531  r  70.574  82.259  22.878  1.166  None  Pan-STARRS1  GPC1  None
OBS:      59288.534  g  -17.595  70.214  nan  -4.333  None  Pan-STARRS1  GPC1  None
OBS:      59295.534  i  6824.644  152.390  17.915  0.024  None  Pan-STARRS1  GPC1  None
OBS:      59295.536  g  9464.987  231.203  17.560  0.027  None  Pan-STARRS1  GPC1  None
OBS:      59297.491  i  6658.862  397.045  17.942  0.065  None  Pan-STARRS1  GPC1  None
OBS:      59297.494  r  8638.533  400.333  17.659  0.050  None  Pan-STARRS1  GPC1  None
OBS:      59305.312  r  9908.319  190.537  17.510  0.021  None  Pan-STARRS1  GPC1  None
OBS:      59305.315  z  7741.765  242.280  17.778  0.034  None  Pan-STARRS1  GPC1  None
OBS:      59313.301  g  10568.183  209.626  17.440  0.020  None  Pan-STARRS1  GPC1  None
OBS:      59313.303  i  9877.332  157.728  17.513  0.016  None  Pan-STARRS1  GPC1  None
OBS:      59314.303  g  9505.172  207.947  17.555  0.024  None  Pan-STARRS1  GPC1  None
OBS:      59314.306  r  11104.014  164.731  17.386  0.016  None  Pan-STARRS1  GPC1  None
OBS:      59316.447  g  9929.331  206.679  17.508  0.023  None  Pan-STARRS1  GPC1  None
OBS:      59316.450  i  9657.840  359.913  17.538  0.040  None  Pan-STARRS1  GPC1  None
OBS:      59318.437  g  8825.797  149.815  17.636  0.017  None  Pan-STARRS1  GPC1  None
OBS:      59320.473  i  10273.537  145.998  17.471  0.015  None  Pan-STARRS1  GPC1  None
OBS:      59320.476  g  8336.044  149.512  17.698  0.019  None  Pan-STARRS1  GPC1  None
OBS:      59331.393  r  10776.556  570.604  17.419  0.057  None  Pan-STARRS1  GPC1  None
OBS:      59331.396  i  10308.607  457.808  17.467  0.048  None  Pan-STARRS1  GPC1  None
OBS:      59333.424  r  10183.100  131.984  17.480  0.014  None  Pan-STARRS1  GPC1  None
OBS:      59333.427  z  9436.262  162.676  17.563  0.019  None  Pan-STARRS1  GPC1  None
OBS:      59335.396  r  10113.000  391.186  17.488  0.042  None  Pan-STARRS1  GPC1  None
OBS:      59335.399  i  9744.510  255.741  17.528  0.028  None  Pan-STARRS1  GPC1  None
OBS:      59337.265  z  9237.704  168.355  17.586  0.018  None  Pan-STARRS1  GPC1  None
OBS:      59338.271  i  9885.531  268.360  17.512  0.029  None  Pan-STARRS1  GPC1  None
OBS:      59338.274  g  6151.769  275.928  18.027  0.049  None  Pan-STARRS1  GPC1  None
OBS:      59343.258  i  10199.057  108.089  17.479  0.012  None  Pan-STARRS1  GPC1  None
OBS:      59343.260  g  6058.987  91.642  18.044  0.016  None  Pan-STARRS1  GPC1  None
OBS:      59345.258  g  6189.848  219.459  18.021  0.038  None  Pan-STARRS1  GPC1  None
