# CREATED_DATE: 2021-04-04T00:23:34.104Z
# MODIFIED_DATE: 2022-07-23T06:58:32.195Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237651735760011605; (12:27:38.11, +01:55:07.16)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021hxv
# RA: 186.90928130202045
# DEC: 1.9179565507896885
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-04-07T00:00:00Z
# REDSHIFT: 0.078
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-04-01T06:39:04Z
# NON_DETECT_LIMIT: 17.9927
# MW_EBV: 0.018
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11DYSEbto/59311/1122738231015504700_59311.349_113933300_359_target.jpeg
# POSTAGE_STAMP_REF: 11DYSEbto/59311/1122738231015504700_59311.349_113933300_359_ref.jpeg
# POSTAGE_STAMP_DIFF: 11DYSEbto/59311/1122738231015504700_59311.349_113933300_359_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11DYSEbto/59311/1122738231015504700_59311.349_113933300_359_target.fits
# POSTAGE_STAMP_REF_FITS: 11DYSEbto/59311/1122738231015504700_59311.349_113933300_359_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11DYSEbto/59311/1122738231015504700_59311.349_113933300_359_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2021hxv
# REAL_BOGUS_SCORE: 0.963229
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59307.297  g-ZTF  613.002  111.716  20.531  0.198  None  P48  ZTF-Cam  None
OBS:      59309.309  g-ZTF  613.070  110.162  20.531  0.195  None  P48  ZTF-Cam  None
OBS:      59311.234  g-ZTF  855.749  155.802  20.169  0.198  None  P48  ZTF-Cam  None
OBS:      59313.256  g-ZTF  838.086  124.598  20.192  0.161  None  P48  ZTF-Cam  None
OBS:      59313.298  r-ZTF  998.908  186.385  20.001  0.203  None  P48  ZTF-Cam  None
OBS:      59317.252  g-ZTF  739.204  118.529  20.328  0.174  None  P48  ZTF-Cam  None
OBS:      59321.271  g-ZTF  675.571  113.656  20.426  0.183  None  P48  ZTF-Cam  None
OBS:      59321.298  r-ZTF  906.431  133.906  20.107  0.160  None  P48  ZTF-Cam  None
OBS:      59323.316  r-ZTF  997.978  135.637  20.002  0.148  None  P48  ZTF-Cam  None
OBS:      59336.311  r-ZTF  903.703  144.869  20.110  0.174  None  P48  ZTF-Cam  None
OBS:      59342.275  r-ZTF  834.770  147.476  20.196  0.192  None  P48  ZTF-Cam  None
OBS:      59344.246  r-ZTF  789.189  111.032  20.257  0.153  None  P48  ZTF-Cam  None
OBS:      59349.176  r-ZTF  942.467  147.521  20.064  0.170  None  P48  ZTF-Cam  None
OBS:      59363.207  r-ZTF  749.374  128.296  20.313  0.186  None  P48  ZTF-Cam  None
OBS:      59369.207  r-ZTF  690.846  134.867  20.402  0.212  None  P48  ZTF-Cam  None
OBS:      59600.337  r-ZTF  84.758  454.259  22.680  5.820  None  P48  ZTF-Cam  None
OBS:      59623.316  g-ZTF  11.289  341.126  24.868  32.816  None  P48  ZTF-Cam  None
OBS:      59623.378  r-ZTF  -226.981  244.355  nan  -1.169  None  P48  ZTF-Cam  None
OBS:      59625.356  g-ZTF  -298.847  386.962  nan  -1.406  None  P48  ZTF-Cam  None
OBS:      59625.415  r-ZTF  112.179  307.154  22.375  2.974  None  P48  ZTF-Cam  None
OBS:      59307.254  r-ZTF  744.321  142.137  20.321  0.207  None  P48  ZTF-Cam  None
OBS:      59307.297  g-ZTF  613.028  111.720  20.531  0.198  None  P48  ZTF-Cam  None
OBS:      59211.659  r  33.283  186.018  23.695  5.589  None  Pan-STARRS1  GPC1  None
OBS:      59211.662  z  85.359  451.991  22.672  5.295  None  Pan-STARRS1  GPC1  None
OBS:      59222.590  g  -19.010  99.978  nan  -5.710  None  Pan-STARRS1  GPC1  None
OBS:      59222.593  r  108.423  100.664  22.412  0.928  None  Pan-STARRS1  GPC1  None
OBS:      59231.604  r  2.946  107.697  26.327  36.555  None  Pan-STARRS1  GPC1  None
OBS:      59231.607  g  -14.082  114.487  nan  -8.827  None  Pan-STARRS1  GPC1  None
OBS:      59243.571  r  -44.049  338.136  nan  -8.334  None  Pan-STARRS1  GPC1  None
OBS:      59243.580  z  -128.780  483.503  nan  -4.076  None  Pan-STARRS1  GPC1  None
OBS:      59252.540  g  -9.812  124.079  nan  -13.730  None  Pan-STARRS1  GPC1  None
OBS:      59252.543  i  99.774  143.870  22.503  1.442  None  Pan-STARRS1  GPC1  None
OBS:      59256.530  g  -7.721  62.004  nan  -8.720  None  Pan-STARRS1  GPC1  None
